L,auto_wksz_g,auto_wksz_g_err,auto_wksz,auto_wksz_err,auto_bias,auto_bias_err
60.0,1.041146523373797e-05,1.3794964018890164e-05,1.0485966440872764e-05,1.385394227081177e-05,0.0035621934902090612,0.035653294395084176
100.0,5.011700983935772e-06,6.6627737137850714e-06,4.967504175955598e-06,6.557685196300144e-06,0.0063271878830233825,0.03886414163265566
140.0,2.5637217340613785e-06,3.4587693975041346e-06,2.5765139854040606e-06,3.473626723259053e-06,0.006227823198244651,0.04640844008815981
180.0,1.1711585010586837e-06,1.506425537271895e-06,1.1553816568660452e-06,1.4692010769857752e-06,0.0010390504693489197,0.05876563683578713
220.0,5.309200373681634e-07,6.055214057793817e-07,5.403336591927181e-07,6.154241183449472e-07,0.01649718585646813,0.059799846691151674
260.0,3.20949169227462e-07,3.337833462915793e-07,3.147440294591265e-07,3.2636826713486717e-07,-0.0069002784067772015,0.07205195295000744
300.0,3.552328327277151e-07,3.842396452403848e-07,3.6055329284314736e-07,3.900529031138764e-07,0.014798925143500492,0.05964062676612944
340.0,3.8630364539371854e-07,4.333858463826439e-07,3.899628836451831e-07,4.384702121185893e-07,0.010882142939071703,0.05960859347644802
380.0,3.508624173924232e-07,3.9691422240533315e-07,3.5561261555667276e-07,4.034102670547084e-07,0.009423830588591578,0.06250136009967558
420.0,3.28558206080921e-07,3.546452866211599e-07,3.2165518684751744e-07,3.4666372440308643e-07,-0.009538160052144886,0.0509776591386161
460.0,3.20597083771638e-07,3.7534337120176523e-07,3.158305371806376e-07,3.658400643387515e-07,-0.001095707189891741,0.05246027394796073
500.0,2.920216956729395e-07,3.23229256293348e-07,2.885450874960799e-07,3.1701403296705775e-07,-0.006498743590033882,0.05000034639492494
540.0,2.6118938138226846e-07,2.8479509427126966e-07,2.638554205723306e-07,2.876972437025232e-07,0.007379542913389565,0.05020326658777761
580.0,2.684863882665647e-07,2.95725604867888e-07,2.663431329126973e-07,2.920446756125317e-07,-0.004167061319720938,0.051441564520411716
620.0,2.695271448019108e-07,2.9710037845399767e-07,2.732021131096661e-07,3.0390356952230946e-07,0.002877752442005834,0.04876700600941803
660.0,2.499568564268355e-07,2.709365450227137e-07,2.472817360884748e-07,2.689404774124085e-07,-0.008040652758273946,0.04529508144856289
700.0,2.5124166661644467e-07,2.79303552986957e-07,2.504994892473388e-07,2.75021129100569e-07,0.0054084870202047546,0.05171126443269221
740.0,2.2698089757234655e-07,2.447019722156532e-07,2.1960581937655892e-07,2.3601831151654415e-07,-0.01954708199933551,0.05830787978569344
780.0,2.3040142392311715e-07,2.5871517392822766e-07,2.256822167459367e-07,2.488441776413721e-07,-0.003357531172881282,0.04067406703740659
820.0,1.91404963315327e-07,1.969300221667921e-07,1.9197113652114452e-07,1.9809477792614991e-07,0.0004293626418615743,0.049203948332908636
860.0,2.0177173002043985e-07,2.153384052803944e-07,1.9982519319719148e-07,2.1209177238383246e-07,-0.0024580257633871616,0.042580680969570864
900.0,1.968254837801961e-07,2.086768624811901e-07,1.9588816936307058e-07,2.070622029867812e-07,0.0008276550632427348,0.05007625368832502
940.0,1.9926953142588377e-07,2.1429181084193878e-07,2.0073132825028455e-07,2.151359237003973e-07,0.00705823199334591,0.049837372420983406
