Ls,reckap_x_reckap_t,reckap_x_reckap_t_err,bias,bias_err,ellmin,ellmax,cutout_width,declination,resolution,bin_width
140.0,7.742807041620512e-07,2.9242856456216495e-08,-0.0037250324489468342,0.03861180199990484,30,4500,30,15,1.0,200
340.0,7.317037086060399e-07,1.9374273343972665e-08,-0.0006951281828147778,0.02664700170639502,30,4500,30,15,1.0,200
540.0,7.74242543686292e-07,2.1641912594572366e-08,-0.0003989833772853402,0.027077389623154417,30,4500,30,15,1.0,200
740.0,8.622419283982015e-07,1.780886180950661e-08,-0.0006533874980056805,0.02085273723290476,30,4500,30,15,1.0,200
940.0,9.749592087502878e-07,2.500331118116025e-08,-0.00042641315026631816,0.025876723513221542,30,4500,30,15,1.0,200
1140.0,1.1259353853492105e-06,2.4347519744905215e-08,-0.0014749030940712463,0.021576764717265273,30,4500,30,15,1.0,200
1340.0,1.3424091109684844e-06,2.6945851746387242e-08,-0.0006565929447896381,0.019535778598522034,30,4500,30,15,1.0,200
1540.0,1.6404358488659542e-06,2.5602759765904436e-08,3.7196533145835864e-05,0.015717199775741975,30,4500,30,15,1.0,200
1740.0,1.9413252407664285e-06,3.420036322799468e-08,-0.000422603130043052,0.01756595819237091,30,4500,30,15,1.0,200
1940.0,2.305965452573047e-06,4.020203927490967e-08,-0.0005162233672882339,0.017549908969106357,30,4500,30,15,1.0,200
2140.0,2.66211319684334e-06,3.49657194255612e-08,-0.0003658225331871546,0.013167818886324427,30,4500,30,15,1.0,200
2340.0,3.0698522502882324e-06,5.267160121729544e-08,-0.00043090014601826124,0.017249251222341905,30,4500,30,15,1.0,200
2540.0,3.6521035428304507e-06,4.106630425075872e-08,-0.0007025631811526835,0.011318304287240118,30,4500,30,15,1.0,200
2740.0,4.483379080963229e-06,7.023264804122383e-08,-0.00039760907211180865,0.01558900177405546,30,4500,30,15,1.0,200
2940.0,5.8027325808081156e-06,5.430911856418383e-08,-0.0003405103851391137,0.00932769425100797,30,4500,30,15,1.0,200
3140.0,7.8683909429096e-06,9.827726908496819e-08,-0.0004680304269535428,0.012469281943002834,30,4500,30,15,1.0,200
3340.0,1.106345012440027e-05,1.1890344659343616e-07,-0.00025179218606242093,0.0107475853589166,30,4500,30,15,1.0,200
3540.0,1.641939879527872e-05,1.9803963089138306e-07,-7.376771477300211e-05,0.012126624161340763,30,4500,30,15,1.0,200
3740.0,2.550792997357849e-05,2.765030449337042e-07,-0.0004269068364959711,0.010855112564933642,30,4500,30,15,1.0,200
3940.0,4.135293102709603e-05,3.3600798784369125e-07,0.0003272488303901894,0.008112299823518104,30,4500,30,15,1.0,200
4140.0,6.960240469920785e-05,6.933290283989723e-07,-0.00044316534959563426,0.01005613529312713,30,4500,30,15,1.0,200
4340.0,0.00012101635633496815,1.0314380313921635e-06,-0.0002433309890264582,0.008545963034619165,30,4500,30,15,1.0,200
