L,auto_wksz_g,auto_wksz_g_err,auto_wksz,auto_wksz_err,auto_bias,auto_bias_err
60.0,5.695667561826726e-07,7.241308949320848e-08,5.641657960088672e-07,6.800381204954801e-08,-0.008264885797874277,0.028643160020153643
100.0,3.84601806086868e-07,2.7236477684649587e-08,3.718078212469371e-07,2.5452119285897386e-08,-0.0327888767802,0.0263510080829673
140.0,2.193690926223267e-07,3.4694715084273603e-08,2.1374021056210213e-07,3.180218684592654e-08,-0.02412392433256197,0.027891777585490496
180.0,1.5006318624538174e-07,9.059206377728132e-09,1.4624886893881288e-07,7.914046176002877e-09,-0.024636843698003164,0.030064576933080758
220.0,1.1285969726616856e-07,8.99661250096114e-09,1.0947225909058918e-07,1.018131138605706e-08,-0.030368314903138387,0.034870496998339495
260.0,9.820960292726694e-08,7.432682646642776e-09,9.63998476704869e-08,6.284289947737961e-09,-0.01688241771881242,0.04098220155373433
300.0,8.418393023512853e-08,5.179921748727353e-09,8.325299204105616e-08,4.376303414951144e-09,-0.009781201019479028,0.04028377877397031
340.0,8.226215388170891e-08,3.32920087514675e-09,8.046577619446084e-08,3.6455559049758896e-09,-0.021483800182564725,0.032731883111173074
380.0,7.815977828817297e-08,4.542890367575896e-09,7.685555662506423e-08,4.638887635513726e-09,-0.01646422209272221,0.026603442443466054
420.0,7.445894024112544e-08,4.476881049861514e-09,7.23998003681306e-08,4.3333701876450736e-09,-0.02695652547323626,0.03733959082106634
460.0,6.72210425184774e-08,4.41930323045167e-09,6.618387625983049e-08,4.170857967135903e-09,-0.014432132413475879,0.04066313695001307
500.0,6.362366814747082e-08,3.2194795559179743e-09,6.301026407872063e-08,2.8120511765266863e-09,-0.009060245614589447,0.026158350200298983
540.0,6.264658745027914e-08,3.0116250131946524e-09,6.213481683033822e-08,2.836627099900023e-09,-0.0076715303150461335,0.027672307680947073
580.0,5.991477321807618e-08,4.092507056193551e-09,5.9370752750319774e-08,3.345868943717406e-09,-0.007971198537583794,0.02964354123188224
620.0,5.823984732913622e-08,3.093041172610448e-09,5.725663930839911e-08,3.2287903104855347e-09,-0.01621672331627636,0.04021380242371113
660.0,5.729188134046108e-08,1.681172143762976e-09,5.633812471272961e-08,2.171771662896102e-09,-0.016461815254776663,0.030833201570228386
700.0,5.5481397137339434e-08,1.5054225717046904e-09,5.475586463220181e-08,1.9718100996038976e-09,-0.012967657976038062,0.027818436057848655
740.0,5.4010922801786586e-08,2.243045092074714e-09,5.382933441408189e-08,2.0538697545765248e-09,-0.0029960754806268065,0.022017669029578264
780.0,5.2814808372379717e-08,1.6285463609179116e-09,5.217860349703727e-08,2.294523538180912e-09,-0.012212632223920184,0.02437398580692898
820.0,5.1360413171880006e-08,2.4712557316915684e-09,5.0828031247193844e-08,1.8750085648070083e-09,-0.00955346678039871,0.026160520044318566
860.0,5.048100788723746e-08,1.9317122409646367e-09,5.0409614319302075e-08,1.9787979387717242e-09,-0.0012109085345759429,0.022433935875460324
900.0,4.975668314112578e-08,2.104771104134068e-09,4.999802285383276e-08,1.9635205893335855e-09,0.005213379985922879,0.023267234291673624
940.0,4.905663921814956e-08,1.6212994669973907e-09,4.912231276279198e-08,1.7714328999858842e-09,0.0015537163990145715,0.025857756785944815
980.0,4.737751076594104e-08,1.903367970065839e-09,4.7337712246024324e-08,1.7820309025796148e-09,-0.00045155792325485804,0.024578024128472407
1020.0,4.780342099522277e-08,2.1332824052330877e-09,4.7595510944328175e-08,1.8814748663422335e-09,-0.00392631225926537,0.021302816850555066
1060.0,4.632981162297803e-08,1.3326263616343793e-09,4.652007203541669e-08,1.6650686103289905e-09,0.004118539056693044,0.02172036042661545
1100.0,4.574938646132846e-08,1.3436206671768467e-09,4.510331445782092e-08,1.7024086907949566e-09,-0.014142819895131942,0.02249180027079932
1140.0,4.427511774016375e-08,1.6989685754559469e-09,4.404349948067861e-08,1.5034768565103795e-09,-0.004787213484955828,0.024716939274973287
1180.0,4.417256038010929e-08,1.6530320327678363e-09,4.3880981656908466e-08,1.6956401152286794e-09,-0.006136301865150994,0.032777077975274675
1220.0,4.2849805730157505e-08,1.3119058365748326e-09,4.2955174797398536e-08,1.6560537641272606e-09,0.0023599869253132376,0.01857566614958201
1260.0,4.251160026514292e-08,1.1368380629769827e-09,4.2222114970404576e-08,1.051508617887357e-09,-0.0066231506617681875,0.01722146074601787
1300.0,4.148211008298914e-08,1.3855034937096381e-09,4.1515553446871964e-08,1.311137852023548e-09,0.0009961645744967996,0.016499625189983713
1340.0,4.171830181677467e-08,1.1949638256895751e-09,4.1448090792778506e-08,1.0327953020348665e-09,-0.006213130462025175,0.018369213157526678
1380.0,4.049090004902693e-08,1.3386091776323738e-09,4.032270699151046e-08,1.269880043005264e-09,-0.003790774482711407,0.025875210740758162
1420.0,3.952487618490754e-08,1.3398879962618798e-09,3.9626999105236e-08,1.0223715579747543e-09,0.003033061995616895,0.021514134735380507
1460.0,3.9321066334945355e-08,1.2412523751060933e-09,3.920044667267266e-08,1.2622660505086119e-09,-0.002910874816837028,0.018871745780446963
1500.0,3.8530847260657777e-08,1.3116141775059324e-09,3.855045588760904e-08,1.203842027116656e-09,0.0007274517002585249,0.016581783612625172
1540.0,3.821398538678814e-08,1.1426385917273513e-09,3.832580215215145e-08,1.1086591693459994e-09,0.003174697705874722,0.0215080298409579
1580.0,3.7614095530314916e-08,1.1128011512355308e-09,3.705663922303972e-08,1.0858848670466022e-09,-0.01471358281928623,0.014252447393078809
1620.0,3.7532003310927953e-08,1.1192683414645713e-09,3.7633237046275286e-08,1.0803752572197315e-09,0.0031008386853377972,0.027712346956152184
1660.0,3.6807227548542285e-08,1.0081890132741599e-09,3.667926187349408e-08,1.0302333845388612e-09,-0.0032331210933844337,0.02338967527843738
1700.0,3.626916950830663e-08,9.308119779265642e-10,3.608428608076614e-08,1.0342393685616967e-09,-0.004973903395479554,0.0204991110436383
1740.0,3.545713027564609e-08,9.080454396570817e-10,3.516169553951357e-08,1.010337432449983e-09,-0.008270867945636822,0.016728848259794312
1780.0,3.543261779804231e-08,1.085650624487921e-09,3.525971456770348e-08,8.632234733191809e-10,-0.004427039991146313,0.024553664789854098
1820.0,3.473670520715119e-08,9.640927081323807e-10,3.459288855884823e-08,8.185473184522103e-10,-0.0037984631027493114,0.022438061016284348
1860.0,3.425722629267919e-08,9.315297179090462e-10,3.399425507733534e-08,8.325247724632085e-10,-0.0073820090812445035,0.02174509641547426
1900.0,3.359875612157362e-08,7.121145261631833e-10,3.335760154392971e-08,6.430255362422295e-10,-0.006994446085069286,0.017451950502134495
1940.0,3.3370702799061063e-08,7.885730831352621e-10,3.332482405466467e-08,9.394238417345196e-10,-0.0013364791747832695,0.017543373471018222
1980.0,3.325391715077297e-08,8.670651245686565e-10,3.3114097342264635e-08,8.321153162540627e-10,-0.004062527131259242,0.015639197292681102
2020.0,3.2643471164551375e-08,9.596608731045688e-10,3.264458850423351e-08,1.1167406058363664e-09,1.685007296833013e-05,0.01663139717061398
2060.0,3.238722162845129e-08,1.060744939927989e-09,3.2187645967166386e-08,7.837653187652827e-10,-0.005748225676734434,0.019613757668298364
2100.0,3.2150990637824794e-08,8.11607933066713e-10,3.18955929680987e-08,7.140670726966399e-10,-0.007702970795959732,0.019115487889562046
2140.0,3.1902678512118695e-08,8.228282973089801e-10,3.174220478084401e-08,7.215920096780478e-10,-0.004744967041516507,0.021082383598930915
2180.0,3.155919760624267e-08,9.325703512858756e-10,3.1574318519193435e-08,9.13527292153205e-10,0.0006448425029783787,0.01775920174489265
2220.0,3.162643892307809e-08,8.280066949122749e-10,3.1666314705548244e-08,8.908213516938123e-10,0.0014653154780770328,0.02302374517384688
2260.0,3.1063598108811226e-08,6.666340581513229e-10,3.121826352423722e-08,7.233666768931721e-10,0.005272044145934566,0.026417727903985222
2300.0,3.1019716430469256e-08,6.656836848707048e-10,3.0639115794680826e-08,6.657218501986356e-10,-0.012109570453249044,0.018637026471704052
2340.0,3.075203861274273e-08,5.512633307697363e-10,3.064122294459691e-08,7.149383588939193e-10,-0.003482098038388493,0.02187760409410332
2380.0,3.067488979228989e-08,7.462191384823965e-10,3.06608809981444e-08,8.590796749609526e-10,-0.0004143199227451038,0.01664269959947127
2420.0,3.030303705214743e-08,6.827449237161477e-10,3.024117252994982e-08,8.201092533424915e-10,-0.0019548861829460622,0.02036188876595414
2460.0,3.025289273910589e-08,6.707901184478326e-10,3.029560181290991e-08,7.176593472481897e-10,0.0015498297971358762,0.018891671075315516
2500.0,3.0145232178121974e-08,8.917559874630711e-10,3.014988169665408e-08,8.379993714111775e-10,0.00037509425380394344,0.018852595023917024
2540.0,3.009881489398027e-08,7.24166907627205e-10,3.028445445506195e-08,7.584773208995821e-10,0.00643838295766665,0.024744898530268063
2580.0,3.074849434101674e-08,6.391491105347363e-10,3.066966218051182e-08,6.590744141303467e-10,-0.0024319586086499916,0.01751177979823311
2620.0,3.078754343176365e-08,7.735537274127539e-10,3.084799255135651e-08,8.838402574266048e-10,0.0019815995717380806,0.015117711580784697
2660.0,3.1014919271598435e-08,9.316915877257343e-10,3.089381898865713e-08,7.619289604917576e-10,-0.003585811152872012,0.019005554160253044
2700.0,3.1201329180346455e-08,8.251603820300589e-10,3.113048012405302e-08,6.869803953346656e-10,-0.0020454439648648465,0.01613739246661233
2740.0,3.1192718082266225e-08,7.817534962389083e-10,3.116278554837409e-08,7.524934669606052e-10,-0.0007480987559316047,0.01968997473653537
2780.0,3.207131806920408e-08,7.981966739220053e-10,3.1916240132847426e-08,8.815187518808548e-10,-0.0047412691317698956,0.018255544629973062
2820.0,3.18764404185751e-08,7.076713754762281e-10,3.173829136158993e-08,7.645480425130057e-10,-0.00422977206756795,0.01748514066815299
2860.0,3.255890572186446e-08,7.754447568883262e-10,3.2487445724626924e-08,7.932552666756593e-10,-0.0020175779416021825,0.01987199045869846
2900.0,3.334279238619336e-08,8.409699963152087e-10,3.329115990716213e-08,9.385820257355241e-10,-0.0014638635380145749,0.018319489627172617
2940.0,3.386447993441358e-08,7.473684365601097e-10,3.366263939006747e-08,8.063819957736229e-10,-0.005833566972525759,0.018607246860295957
2980.0,3.4445222575168756e-08,7.150479834463521e-10,3.436639303682818e-08,6.739920385534473e-10,-0.0021597900587739458,0.014931578809192736
3020.0,3.461095603389376e-08,7.411523015784499e-10,3.467434108427664e-08,6.144792657469645e-10,0.0021316579599359275,0.022081199913384975
3060.0,3.536492304718428e-08,8.216273554539796e-10,3.5224019908205555e-08,7.315364872870639e-10,-0.0037577032350380704,0.01915710003563036
3100.0,3.6043495130995144e-08,9.770990462778795e-10,3.6122748564448215e-08,1.0077894333284863e-09,0.002310197823910076,0.016364182338098093
3140.0,3.703276032914079e-08,1.0298053490852966e-09,3.696226470947407e-08,1.0354958467108002e-09,-0.0017875358435243906,0.01615154892146904
3180.0,3.884920514116401e-08,8.193873031349241e-10,3.864321280558643e-08,9.842318964439597e-10,-0.005246713948228956,0.018034030924384194
3220.0,4.086981236302255e-08,7.978414971335016e-10,4.071545955624976e-08,1.0352628395072316e-09,-0.0037300709281354017,0.01902488065728754
3260.0,4.320227643260925e-08,1.0129352886609916e-09,4.3010238060316524e-08,8.292225065770792e-10,-0.004256169391504448,0.014611347395688678
3300.0,4.5317756671872864e-08,1.1243195254324748e-09,4.52990710960806e-08,1.0613116092452133e-09,-0.00020683524156711106,0.019046989811027683
3340.0,4.7724590053357736e-08,1.2473080569917792e-09,4.758528353977363e-08,1.3350372017655082e-09,-0.0028885626332348503,0.013028586719255709
3380.0,5.0041567023917626e-08,9.90052151920248e-10,4.9776984586464316e-08,1.0856034290764558e-09,-0.0052330075335166835,0.014032519005135604
3420.0,5.206480644309916e-08,1.2861836926455049e-09,5.176820000694814e-08,1.1115538911011535e-09,-0.005503261149667382,0.015986993930421963
3460.0,5.4308168744369516e-08,1.2736337985539097e-09,5.434653594438626e-08,1.5686349056755355e-09,0.0007067493728599537,0.016830029051664967
3500.0,5.738477934273531e-08,1.5589152203227459e-09,5.755874072429287e-08,1.2527944853966358e-09,0.003277697710139877,0.01570972226991217
3540.0,6.003786143513748e-08,1.8552134395450282e-09,6.012552224752135e-08,1.6548420717399409e-09,0.0017364410657781189,0.01962287376374837
3580.0,6.2423585750779e-08,1.362198117002183e-09,6.246997462504181e-08,1.2339271397658615e-09,0.0009147337442965599,0.016558513369782882
3620.0,6.396608650766865e-08,1.327702726230899e-09,6.368398875865162e-08,1.7811944226711316e-09,-0.004446749456312148,0.016407409992856222
3660.0,6.492243995202685e-08,1.5103983332933864e-09,6.488712022142343e-08,1.5300953364616492e-09,-0.0004149599199869955,0.016834158962183196
3700.0,6.555290634037951e-08,2.0046681186191446e-09,6.533532122369707e-08,1.7730808474413894e-09,-0.003032019088196792,0.019818538477090943
3740.0,6.833417125506812e-08,2.046235986629769e-09,6.814330602352651e-08,1.9708649350102307e-09,-0.0026500592588024866,0.015198846953096973
3780.0,7.048230739889113e-08,1.9929577714244297e-09,7.027835423983796e-08,1.7732763327855227e-09,-0.0027328404512882063,0.013448198262212871
3820.0,7.370556347520528e-08,1.9672602974437362e-09,7.365792412319628e-08,1.9718220146888174e-09,-0.0005265599445542094,0.016037440792353534
3860.0,7.533367591193354e-08,1.7552338829972795e-09,7.543546910252247e-08,1.4520996906302252e-09,0.00151988898429886,0.013448808572006907
3900.0,7.547523267195313e-08,1.6937715751752216e-09,7.579920514172909e-08,1.810377997933564e-09,0.004324088038654102,0.011504604925339728
3940.0,7.311310563352314e-08,1.5113631875797593e-09,7.292631258056399e-08,1.3437198475256786e-09,-0.002389710433137095,0.015939567795353944
