L,input_kappa,cross_wksz_g,cross_wksz_g_err,cross_wksz,cross_wksz_err,cross_bias,cross_bias_err
60.0,1.9555188640834435e-07,1.675780944490027e-07,4.172560423160238e-08,1.6762667041184064e-07,4.149930869979913e-08,0.0005723366127292186,0.012557452087840515
100.0,1.4833548529744332e-07,1.3042762940053447e-07,2.955335419904017e-08,1.300697733750635e-07,2.9746462280481744e-08,-0.0030529946555897555,0.01437794956977408
140.0,1.2304174935362624e-07,1.1061127231575001e-07,1.744217208356816e-08,1.1037979899355086e-07,1.7478941369833042e-08,-0.0021357646796122585,0.008110458376435868
180.0,9.658808441324892e-08,8.725276380908228e-08,1.4434679197057247e-08,8.716775579199894e-08,1.4455138922264687e-08,-0.0010641613913666757,0.012515118908814113
220.0,8.264336541377801e-08,8.028594600592998e-08,1.3308849964013467e-08,8.03323019394273e-08,1.3067470378886324e-08,0.0011005661503291709,0.008630553713278415
260.0,6.622438313925293e-08,6.263359628150209e-08,1.3147220811940267e-08,6.254374264219686e-08,1.3188342622313705e-08,-0.0016635108917132813,0.011442856680920509
300.0,5.7000134168963416e-08,5.190200787723926e-08,8.280316492629566e-09,5.207602681281985e-08,8.232586241849074e-09,0.003685066989008473,0.014545723151009169
340.0,5.0189169200891014e-08,4.946511751997253e-08,9.670748850459795e-09,4.9539710342355596e-08,9.788009393066431e-09,0.0013425342107932006,0.012287414134199523
380.0,4.344765369768793e-08,4.1464370874718827e-08,5.694848136488839e-09,4.1385731200473833e-08,5.8377095223492505e-09,-0.0023246356199540857,0.014149139369801549
420.0,3.766381450238171e-08,3.688413481807884e-08,6.191363411551003e-09,3.6774872400484545e-08,6.27006339140488e-09,-0.0033721179603429696,0.01210046081861501
460.0,3.277825945271731e-08,3.1678971369501437e-08,5.494055411547927e-09,3.172573381536746e-08,5.397649143569243e-09,0.0022162300820223447,0.016590816256068733
500.0,2.936953876562764e-08,3.065776791290088e-08,6.118777530423742e-09,3.064030318727685e-08,6.1825608572959874e-09,-0.0005068576813946103,0.0157754793578181
540.0,2.6154324026516295e-08,2.6212724099335434e-08,5.190962751785696e-09,2.625224856625476e-08,5.309973687925032e-09,0.0009804142709103486,0.01365302239603307
580.0,2.3348074227280124e-08,2.2529772849900773e-08,3.985623982376798e-09,2.2604732997837042e-08,3.987232739160432e-09,0.003763163701398464,0.014373154638146621
620.0,2.138442819823326e-08,1.9596135715529063e-08,3.8880998272790346e-09,1.9663259227281213e-08,4.009079915329078e-09,0.002533513441258622,0.015144501443575056
660.0,1.9561227527778697e-08,1.9618114147090534e-08,3.853654821492992e-09,1.9638889316366348e-08,3.83552611341785e-09,0.0011651598607206278,0.014855188392158436
