L,input_kappa,cross_wksz_g,cross_wksz_g_err,cross_wksz,cross_wksz_err,cross_bias,cross_bias_err
60.0,1.9555188640834435e-07,1.699985048844651e-07,4.860399374092739e-08,1.6970948966586155e-07,4.972413098686738e-08,-0.003411535269097291,0.014763910115930172
100.0,1.4833548529744332e-07,1.327827291577945e-07,3.071981009423232e-08,1.3308675142889402e-07,3.0814227579934226e-08,0.002398544544900227,0.013799104088535978
140.0,1.2304174935362624e-07,1.115305831627398e-07,1.6148101469467653e-08,1.1153221052529365e-07,1.596004144047795e-08,0.00023057490229029615,0.009328074251335904
180.0,9.658808441324892e-08,8.625223444021222e-08,1.4010652546883213e-08,8.622863117910493e-08,1.3830372558347542e-08,0.00013481092376790564,0.011249821747788111
220.0,8.264336541377801e-08,7.91041419662659e-08,1.1998529301449367e-08,7.908444985064899e-08,1.1622496831355217e-08,0.0004064008407165553,0.010055054823220838
260.0,6.622438313925293e-08,6.324104420928091e-08,1.2259376356061852e-08,6.286759329646837e-08,1.2240952046904987e-08,-0.00597047402137538,0.012706469675128831
300.0,5.7000134168963416e-08,5.1400536083911136e-08,7.603214159593796e-09,5.096199973629209e-08,7.500824352103287e-09,-0.008390458108437244,0.010441610340628764
340.0,5.0189169200891014e-08,5.003303631469628e-08,9.631723550258368e-09,4.9696622327441004e-08,9.569021179364171e-09,-0.006508237391357321,0.015212445902410386
380.0,4.344765369768793e-08,4.110199483705021e-08,5.275950537674388e-09,4.1154772383892875e-08,5.456505795731345e-09,0.0008117670348591028,0.011231621026083724
420.0,3.766381450238171e-08,3.662639061826192e-08,6.330326161342158e-09,3.66086728857136e-08,6.195027483355183e-09,0.0002078390770145184,0.01616147019173716
460.0,3.277825945271731e-08,3.099034094052238e-08,4.210760519879422e-09,3.106036160696288e-08,4.292919745388099e-09,0.0019200103314517371,0.010810514959551105
500.0,2.936953876562764e-08,3.024004224355172e-08,5.726703196638242e-09,3.021143350095258e-08,5.644349777722069e-09,-0.00032029966481513205,0.011508119934062876
540.0,2.6154324026516295e-08,2.6386969444270518e-08,4.9987818818447824e-09,2.6270539547703358e-08,5.074120364963239e-09,-0.005051873317096639,0.017572526656016548
580.0,2.3348074227280124e-08,2.2252367378856136e-08,3.9478084710019935e-09,2.2276716260701548e-08,3.975798428287274e-09,0.0009321014918586275,0.01670266956841725
620.0,2.138442819823326e-08,1.9726035055678674e-08,2.8302662956687103e-09,1.9805035190611036e-08,2.8911595612847615e-09,0.003754403210882216,0.014243681809316703
660.0,1.9561227527778697e-08,1.8924768900215957e-08,3.1519399739313593e-09,1.9006620572105396e-08,3.237379146050073e-09,0.003812141980738186,0.019461331768831986
700.0,1.789999757570735e-08,1.7555853427897253e-08,4.353308980863288e-09,1.7495289606152598e-08,4.319460398524492e-09,-0.00259216802221194,0.01802352536202483
740.0,1.6302615176138037e-08,1.51288593726085e-08,4.391684755849123e-09,1.5159947902217228e-08,4.410580425970271e-09,0.0016773244949971993,0.014486463664746863
780.0,1.5102968454331287e-08,1.559814324198903e-08,3.3562464412247924e-09,1.550285865518574e-08,3.404446369743332e-09,-0.007069255949579527,0.014656516182422252
820.0,1.3777840144087223e-08,1.4182049003822375e-08,3.2300997511032957e-09,1.4142457731692421e-08,3.25659001163229e-09,-0.0030702569743000893,0.018514876572976898
860.0,1.2956918694767011e-08,1.1721543657972631e-08,2.9114841296003237e-09,1.1836372858439907e-08,2.8817108370194515e-09,0.011185834705624289,0.02366943863930632
900.0,1.1975078013599233e-08,1.1590397368281458e-08,2.3364104583593747e-09,1.1572265253610104e-08,2.330295102590755e-09,-0.001316491385427797,0.016442045610697627
940.0,1.1277113534391535e-08,1.0781445036371208e-08,1.9537944282530605e-09,1.0757260873906323e-08,1.9653349585610317e-09,-0.002099490080940685,0.01950567350169241
980.0,1.0569426257325524e-08,1.1216781438663752e-08,2.114925543729902e-09,1.116117007652796e-08,2.1490325917531466e-09,-0.0060229284305249485,0.019346290857057705
1020.0,9.865366411099416e-09,1.033770471025138e-08,3.2512307320891136e-09,1.0345805100484205e-08,3.2271097902164456e-09,0.0024586761577792843,0.021374265173281736
1060.0,9.375660903609502e-09,8.661611275833363e-09,2.066293230393606e-09,8.74999497328316e-09,2.1419490877758068e-09,0.008722624786116217,0.017177937663529513
1100.0,8.766668599120673e-09,8.078545778138088e-09,2.002921310631715e-09,8.0083425032836e-09,2.0073931203628286e-09,-0.009256878874858125,0.016500253831245232
1140.0,8.309032730950781e-09,8.801647829141361e-09,2.493585647495378e-09,8.812950129724416e-09,2.4903941803577644e-09,0.0015644291781066273,0.015996037619152095
1180.0,7.860160906955997e-09,7.4309404847165235e-09,2.6012313678952636e-09,7.391184944447142e-09,2.603550370349401e-09,-0.0069817451916822796,0.028068656525749018
1220.0,7.3805102240124264e-09,6.8461856370996834e-09,2.574961164974467e-09,6.8397601105717016e-09,2.530653504702058e-09,0.0028122660996950793,0.024881155657897874
1260.0,6.975480937794499e-09,7.036960421734277e-09,2.512827274162721e-09,7.039994145301554e-09,2.5495319765651806e-09,-0.0013901441539502155,0.02298394129343971
1300.0,6.7433616972430234e-09,6.4904242574878376e-09,2.0419677693626556e-09,6.48759954357054e-09,2.0557135845823613e-09,-0.0014550629059581863,0.02801670645105527
1340.0,6.385873743861787e-09,6.2837401373128304e-09,1.883306716003492e-09,6.32169188504682e-09,1.8457016460614048e-09,0.009587039370274593,0.02572054937823444
1380.0,6.0103100238481184e-09,5.408888323543622e-09,2.7325838157987324e-09,5.4183023928895295e-09,2.6950567059027002e-09,0.009897983444068573,0.06041772601576491
