L,auto_wksz_g,auto_wksz_g_err,auto_wksz,auto_wksz_err,auto_bias,auto_bias_err
60.0,7.043043905907959e-07,7.643161342676963e-08,7.043904613616898e-07,7.305051428193741e-08,0.0007060818540988145,0.015294608677481739
100.0,5.511937907255325e-07,5.783189744825762e-08,5.51076994533836e-07,5.900563964804887e-08,-0.00046592600254275195,0.009150787720992242
140.0,4.1584549197398694e-07,3.3213045558737414e-08,4.16881630934616e-07,3.4231573188647265e-08,0.002452061783727751,0.013008227590003224
180.0,3.5463395713967314e-07,2.9689070396441275e-08,3.546108848870388e-07,2.7468189497731905e-08,0.0004974793608428534,0.014436265935592293
220.0,3.4124911070600754e-07,2.246822157740012e-08,3.4292272628465817e-07,2.3250622074976183e-08,0.004899130448921144,0.015221371490984691
260.0,3.321735571634563e-07,2.028242041171488e-08,3.3098355067105654e-07,1.9607140865031418e-08,-0.003421244863527,0.01078607695356092
300.0,3.397841022704126e-07,2.2506210310293315e-08,3.3842272362936593e-07,2.1866347337099704e-08,-0.003830427664608251,0.013227615276906125
340.0,3.5132337649752234e-07,2.3381157129410352e-08,3.517927483027626e-07,2.2630537376994202e-08,0.0015301033656221431,0.011251530796300363
380.0,3.507138933952586e-07,2.415242527743789e-08,3.5056408575411886e-07,2.357649534040825e-08,-0.00025389906485235523,0.013220991839732516
420.0,3.416385871955161e-07,2.0126591957007742e-08,3.4127365319438665e-07,2.0469753125305023e-08,-0.0010720025442964541,0.012153692833485176
460.0,3.428071627684323e-07,1.8232519240555257e-08,3.425120874340608e-07,1.7153627104184777e-08,-0.0006576570869281142,0.010301683415214391
500.0,3.452885090690089e-07,1.9439066567646774e-08,3.448620114054516e-07,1.8811079170067084e-08,-0.0011113187934038275,0.00873555128936426
540.0,3.5298532455076747e-07,1.4770742372970247e-08,3.5316067870858006e-07,1.4131005628823081e-08,0.0006040110334414193,0.009855004643289774
580.0,3.625171277093353e-07,1.9217011404901478e-08,3.6106165628132977e-07,2.113775929591982e-08,-0.00425998483738443,0.00991379561378468
620.0,3.8042123540150764e-07,2.4179237309410538e-08,3.7968227975876066e-07,2.494054533379543e-08,-0.002031622217788629,0.008936279180549444
660.0,3.812965546251295e-07,1.5659303056620664e-08,3.8127512093612834e-07,1.6166110757429798e-08,-7.41149516545814e-05,0.009096510054385784
700.0,3.9110584740258193e-07,1.8275428933200994e-08,3.906370437575027e-07,1.7800500725446527e-08,-0.0011135779040467066,0.008213408574566785
740.0,3.9569163889736516e-07,1.719845109545605e-08,3.957072768520567e-07,1.799160693650687e-08,-2.4030311717976852e-05,0.006176396344490845
780.0,3.997391225182943e-07,1.7757398810032102e-08,4.0001132418919707e-07,1.683492371135952e-08,0.0008039485955942694,0.007637630467418266
