Ls,reckap_x_reckap_t,reckap_x_reckap_t_err,bias,bias_err,ellmin,ellmax,cutout_width,declination,resolution,bin_width
140.0,2.62746915015972e-07,1.1124548792326767e-08,-0.010401926704073024,0.043485708936875894,30,3000,30,15,1.0,200
340.0,1.4201720232316407e-07,3.4798099561272897e-09,-0.009228114653205971,0.024630679717137414,30,3000,30,15,1.0,200
540.0,1.27067269981886e-07,2.9686288866969906e-09,-0.005957719978441959,0.023222491101813316,30,3000,30,15,1.0,200
740.0,1.2489248615002504e-07,2.0109658986914702e-09,-0.006387116584534284,0.01633762911068115,30,3000,30,15,1.0,200
940.0,1.2412954658664563e-07,2.4501207047281843e-09,-0.005339637603920137,0.01982765759986098,30,3000,30,15,1.0,200
1140.0,1.2651699138759337e-07,2.3225013298711283e-09,-0.001930810271212474,0.018625315212600475,30,3000,30,15,1.0,200
1340.0,1.3077829050201298e-07,2.2082666270682895e-09,-0.00042129538215964613,0.01713495967196739,30,3000,30,15,1.0,200
1540.0,1.362275227106213e-07,2.384213140970696e-09,-0.002507792393685487,0.017436961314093797,30,3000,30,15,1.0,200
1740.0,1.472604904471675e-07,1.9234532857595636e-09,-0.0011866478819524743,0.01302926486990459,30,3000,30,15,1.0,200
1940.0,1.650751096098808e-07,3.7395816322002815e-09,-0.0015813425722308496,0.022433484052288722,30,3000,30,15,1.0,200
2140.0,1.8666572744879252e-07,2.895901135617101e-09,-0.002904993387273496,0.015582515791782364,30,3000,30,15,1.0,200
2340.0,2.4559757516208523e-07,3.804552328164851e-09,-0.000641551881892739,0.01529525478066708,30,3000,30,15,1.0,200
2540.0,3.172981559731038e-07,6.559392924485846e-09,-0.0026782429729953713,0.0208600701355227,30,3000,30,15,1.0,200
2740.0,3.8006320392001654e-07,7.329934477104748e-09,-0.0017515098889969672,0.019422420933065218,30,3000,30,15,1.0,200
