Ls,reckap_x_reckap_t,reckap_x_reckap_t_err,bias,bias_err,ellmin,ellmax,cutout_width,declination,resolution,bin_width
140.0,7.617625487587417e-07,2.2807418702282932e-08,-0.0005702267605159564,0.029609041940982413,30,4500,30,15,1.0,200
340.0,7.196043941328397e-07,1.8897393200395925e-08,-0.003880731050667659,0.02654048635375031,30,4500,30,15,1.0,200
540.0,7.624428589971225e-07,1.8914559647585874e-08,-0.0009666250911438441,0.024840807836044438,30,4500,30,15,1.0,200
740.0,8.437408040541957e-07,1.5640492725546345e-08,0.00029468014576081663,0.01876956271689863,30,4500,30,15,1.0,200
940.0,9.500059046969861e-07,1.99005536506086e-08,-0.00019193016765215736,0.02096835236889046,30,4500,30,15,1.0,200
1140.0,1.0891110057190157e-06,1.5893487657447825e-08,0.00045185077830577736,0.014580368607533187,30,4500,30,15,1.0,200
1340.0,1.27869391680091e-06,3.250987879987824e-08,-0.0010088333435699659,0.025732829297745806,30,4500,30,15,1.0,200
1540.0,1.5590787008640834e-06,2.6517597286974286e-08,-0.0003052846415284168,0.016939748474711074,30,4500,30,15,1.0,200
1740.0,1.8549539026783066e-06,3.0915144430015766e-08,-0.0003991470009695507,0.016633865826658045,30,4500,30,15,1.0,200
1940.0,2.200753487887589e-06,3.2265410300461165e-08,-0.0001804716234477101,0.01472911653408896,30,4500,30,15,1.0,200
2140.0,2.536998584676011e-06,4.376383257341147e-08,-0.0003197257278786993,0.017162499156854964,30,4500,30,15,1.0,200
2340.0,2.952204259672656e-06,3.7148652304139566e-08,0.0002879504667087961,0.012512824633431995,30,4500,30,15,1.0,200
2540.0,3.5198943289075375e-06,4.040588831735623e-08,4.168731309005124e-05,0.011522753640581562,30,4500,30,15,1.0,200
2740.0,4.3703284242196e-06,4.876407284156162e-08,-1.8222257790376207e-05,0.011222336981760795,30,4500,30,15,1.0,200
2940.0,5.668592860081318e-06,8.274627798871513e-08,-0.00030361545888809536,0.014513742217288484,30,4500,30,15,1.0,200
3140.0,7.657511907741078e-06,8.070100957372203e-08,0.00029533303614357283,0.010640345333468427,30,4500,30,15,1.0,200
3340.0,1.086217197051662e-05,1.0811828106820124e-07,-0.0001845817078262534,0.00992196502381994,30,4500,30,15,1.0,200
3540.0,1.623932902219286e-05,1.397022852181136e-07,0.00016034670408188276,0.008584289321837253,30,4500,30,15,1.0,200
3740.0,2.5085532937018837e-05,3.2506806835206836e-07,-0.0005282610127381306,0.012973816777304715,30,4500,30,15,1.0,200
3940.0,4.077948481381773e-05,4.10443194951265e-07,-0.0005446039527242804,0.010092441755315555,30,4500,30,15,1.0,200
4140.0,6.864744408602184e-05,8.672564566568975e-07,-0.00035950229852598907,0.012557378458235896,30,4500,30,15,1.0,200
4340.0,0.00011931566822149865,9.585237432709e-07,-0.0002261191803205891,0.008031235827468144,30,4500,30,15,1.0,200
