L,auto_wksz_g,auto_wksz_g_err,auto_wksz,auto_wksz_err,auto_bias,auto_bias_err
60.0,8.911664058402012e-06,1.1862305050459349e-05,8.880119830817942e-06,1.1830522632250211e-05,-0.01018369844237753,0.028020874915424626
100.0,4.176794838388054e-06,5.519573182519203e-06,4.196375843997099e-06,5.5312201288935315e-06,-0.005819731062073391,0.0338425823122258
140.0,2.1858443870623608e-06,2.9270058372309994e-06,2.1667704206558318e-06,2.884319978670615e-06,-0.011439097727770312,0.04050190144597502
180.0,9.969062998564429e-07,1.2324720338404353e-06,9.933713027775885e-07,1.231171945457401e-06,-0.015463693807371844,0.05221108058761408
220.0,5.153569097429538e-07,5.856434556278053e-07,5.046719927043362e-07,5.753781429297987e-07,-0.030470582027731896,0.0557377891497673
260.0,3.1072374895229776e-07,3.206251276160336e-07,3.022064653815834e-07,3.0563759490319397e-07,-0.0171091417894804,0.05618338962322587
300.0,3.5664202802230904e-07,3.7835258898715333e-07,3.5684027463366614e-07,3.8165913575935617e-07,-0.01066757045957852,0.04689262604756009
340.0,3.7115554096551567e-07,4.0963592540287364e-07,3.7142348700360277e-07,4.1141369940865324e-07,-0.005232346274145341,0.041108634945253325
380.0,3.448797806418758e-07,3.778750955506562e-07,3.481301280499051e-07,3.9081598864393256e-07,-0.011159423256737005,0.044412075996551045
420.0,3.3655059255327775e-07,3.6480520524712474e-07,3.353158829866935e-07,3.628457580309856e-07,-0.005722539782318259,0.04945127370708663
460.0,3.1016697528340273e-07,3.4581476530593117e-07,3.043465096259303e-07,3.3782190950612546e-07,-0.013905448114744859,0.043566582610330036
500.0,2.865277213520162e-07,3.081438080460963e-07,2.854866522111215e-07,3.062649843640919e-07,-0.006056360443774385,0.04286791635918557
540.0,2.626786642807563e-07,2.817924854846488e-07,2.58265066408826e-07,2.7613390644305345e-07,-0.015875453968159908,0.0463307912157697
580.0,2.651573344085963e-07,2.8573112255875005e-07,2.5914711029467714e-07,2.806235576740462e-07,-0.018248029556902242,0.03769903073513428
620.0,2.619977289286333e-07,2.762787379572601e-07,2.5975205473622147e-07,2.763762537667955e-07,-0.012003181293623322,0.0342660439357326
660.0,2.6124947586262507e-07,2.8184443039105374e-07,2.588707903104067e-07,2.7801978817384596e-07,-0.006437435296690403,0.037761019879856195
700.0,2.536437942814242e-07,2.7427485826853054e-07,2.5519691221062134e-07,2.7843940349137154e-07,-0.004071400922204657,0.03546648974889851
740.0,2.2318843435392667e-07,2.2994446955458163e-07,2.2229503881997474e-07,2.2957198781524525e-07,-0.004983789008221284,0.03309979998691899
780.0,2.285446282058189e-07,2.400304552355571e-07,2.267938137423781e-07,2.369633994638553e-07,-0.004482132120596059,0.032857026799475636
820.0,1.9401476912798876e-07,1.933988456993883e-07,1.948860224303551e-07,1.9536970375614752e-07,-0.0003507993078774773,0.03417289534458756
860.0,2.0874454592397485e-07,2.1729320525143706e-07,2.0944567602002126e-07,2.1929307310862094e-07,-0.0026934836170080406,0.03354760114584228
900.0,2.0344013951694426e-07,2.143845042282094e-07,2.034402457425089e-07,2.1339628966872955e-07,0.00022809843167948018,0.026334959824990765
940.0,2.0667631404131175e-07,2.1517423055776877e-07,2.0694186227948816e-07,2.1738981475019522e-07,-0.0068512326657959345,0.026878487858594015
980.0,1.8587579249542184e-07,1.8678486135025626e-07,1.8556422250250546e-07,1.864472191160534e-07,-0.0015901731618227367,0.03257668937007494
