Ls,reckap_x_reckap_t,reckap_x_reckap_t_err,bias,bias_err,ellmin,ellmax,cutout_width,declination,resolution,bin_width
140.0,2.683129490425923e-07,9.514346680845291e-09,0.000570309906253445,0.03637523803853068,30,3000,30,15,1.0,200
340.0,1.4380173284242208e-07,3.768381536124522e-09,-0.0006467996475417572,0.025955026494357693,30,3000,30,15,1.0,200
540.0,1.2931106069844181e-07,2.2459903260166808e-09,-0.0015780016484281914,0.017317737648388336,30,3000,30,15,1.0,200
740.0,1.2668835271835388e-07,2.5468556566101577e-09,-8.03181496522626e-05,0.019957135947243985,30,3000,30,15,1.0,200
940.0,1.2595466254445696e-07,2.8525499008265205e-09,-0.0029453848156304027,0.022640512436215728,30,3000,30,15,1.0,200
1140.0,1.2796040577792568e-07,2.5313734308144556e-09,-0.00016466734504802516,0.02001869249600019,30,3000,30,15,1.0,200
1340.0,1.3201009304563914e-07,1.9384673718269073e-09,-0.002197261951177335,0.01463029305830957,30,3000,30,15,1.0,200
1540.0,1.3742065384428338e-07,2.5799963014184396e-09,-0.001501991530273547,0.018547270250161636,30,3000,30,15,1.0,200
1740.0,1.4868030268658668e-07,1.9152777600650747e-09,-0.0006964419301574543,0.012762045065180232,30,3000,30,15,1.0,200
1940.0,1.6689548400760487e-07,3.1490548323290182e-09,0.0015553754961308384,0.018514804908114295,30,3000,30,15,1.0,200
2140.0,1.891483684990296e-07,3.4052329833168767e-09,-0.0010507225101613275,0.017934596121144505,30,3000,30,15,1.0,200
2340.0,2.4808063207408923e-07,3.6935488901031413e-09,-0.001801204747726242,0.014873125078102525,30,3000,30,15,1.0,200
2540.0,3.2226200743240757e-07,6.373944878664448e-09,-8.171493245888494e-05,0.019962993980261343,30,3000,30,15,1.0,200
2740.0,3.8461380655772095e-07,7.111717254375037e-09,-0.0012471237286503973,0.018596405922172963,30,3000,30,15,1.0,200
