Ls,reckap_x_reckap_t,reckap_x_reckap_t_err,bias,bias_err,ellmin,ellmax,cutout_width,declination,resolution,bin_width
140.0,7.581430746199227e-07,1.9117769138782592e-08,-0.0020639301739113543,0.025445060915343265,30,3000,30,15,1.0,200
340.0,7.152028938575393e-07,2.3130427604728065e-08,-0.0016364423406239617,0.032562602170628493,30,3000,30,15,1.0,200
540.0,7.587798154335513e-07,1.964942707100551e-08,-0.0010626480411269062,0.026507302549821556,30,3000,30,15,1.0,200
740.0,8.319221060808967e-07,1.6693629275389206e-08,-2.389149556620915e-06,0.019843282774235218,30,3000,30,15,1.0,200
940.0,9.397167047303247e-07,2.2849151858620256e-08,-0.001010611409670611,0.02396902163452498,30,3000,30,15,1.0,200
1140.0,1.0826705284305893e-06,1.8591736577399507e-08,0.00030525220374120625,0.017311300023638475,30,3000,30,15,1.0,200
1340.0,1.2948015544293741e-06,3.0165073568519494e-08,-0.0010522772695515717,0.02316995991518109,30,3000,30,15,1.0,200
1540.0,1.5686657461776007e-06,2.8456551011497096e-08,-0.00030528282224797997,0.018080454370481613,30,3000,30,15,1.0,200
1740.0,1.8895842486222214e-06,3.34888149025029e-08,-0.0009208891533574164,0.01771593478850324,30,3000,30,15,1.0,200
1940.0,2.2614919958648864e-06,2.187494577792347e-08,-0.000651567706999805,0.009655756845758883,30,3000,30,15,1.0,200
2140.0,2.6476589409301923e-06,3.6790161511980365e-08,-0.0006679005514042387,0.014006427465694467,30,3000,30,15,1.0,200
2340.0,3.1032761844179845e-06,3.5777721618731527e-08,-0.0003480979227806899,0.011578057053570267,30,3000,30,15,1.0,200
2540.0,3.7308100542753545e-06,5.766781725618728e-08,-0.00027252639798288345,0.015548341941674341,30,3000,30,15,1.0,200
2740.0,4.607715663691709e-06,7.250904425759048e-08,-0.00032520557269015513,0.015576141353065027,30,3000,30,15,1.0,200
