L,auto_wksz_g,auto_wksz_g_err,auto_wksz,auto_wksz_err,auto_bias,auto_bias_err
60.0,1.218648174191346e-06,1.5336393633774618e-07,1.2184415900521236e-06,1.5018452444013538e-07,0.00015914878158115872,0.011863558970588172
100.0,9.367399990296205e-07,1.0365779438610582e-07,9.363068849315977e-07,1.0496764204102853e-07,-0.0006443372635187434,0.009667827080614037
140.0,7.456551946733869e-07,5.592353656742921e-08,7.468151610684873e-07,5.51888701387008e-08,0.0016782184749231527,0.009993827795274968
180.0,6.702771866312931e-07,5.407619127606351e-08,6.672171518145015e-07,5.4305160078460834e-08,-0.004569933883728466,0.00936019271572207
220.0,6.636229724323656e-07,5.47802918598096e-08,6.619868717997886e-07,5.510340517665533e-08,-0.0024456706289319925,0.01042103632218891
260.0,6.747430084577386e-07,3.6782106657170604e-08,6.746094363282525e-07,3.79268755399251e-08,-0.0002530080147545967,0.007604520511785535
300.0,7.214042800590489e-07,5.376780892649339e-08,7.205093949216215e-07,5.25238988453178e-08,-0.0010971904668132526,0.008466467763796233
340.0,7.365435987576447e-07,4.9468488654558666e-08,7.354223375903251e-07,5.058137083383914e-08,-0.0015914828539798731,0.008276404027649256
380.0,7.437346564263547e-07,4.496610863721976e-08,7.448187396802166e-07,4.478976536428708e-08,0.001510370154032109,0.007760999922270289
420.0,7.28796780008089e-07,4.232229607249709e-08,7.262679630216214e-07,4.266187944445342e-08,-0.0034825693874556986,0.006840625331836983
460.0,7.373836300809809e-07,2.9234219569482547e-08,7.372287324634948e-07,3.0201405602203534e-08,-0.00023967951812939995,0.006933995926011016
500.0,7.421350221406323e-07,3.424380330593242e-08,7.418970889993054e-07,3.453137226731067e-08,-0.0003205661716891613,0.005730366966592858
540.0,7.508398328406322e-07,3.635439739834128e-08,7.48397075816713e-07,3.679210315324897e-08,-0.0032727434012342744,0.00638536271585846
580.0,7.687093031565689e-07,3.611394009971378e-08,7.682016385235761e-07,3.741496863653165e-08,-0.0007208452325712234,0.007179711809952191
620.0,8.024537288303298e-07,3.507895792389984e-08,8.023138592969959e-07,3.293128745888897e-08,-4.204622700829816e-05,0.006726980054530149
660.0,8.153604576087078e-07,3.7997422530083305e-08,8.165019429088319e-07,3.7646940282822984e-08,0.001435656573821706,0.005804641251382204
700.0,8.348882680096061e-07,4.5130570546814266e-08,8.345321405322581e-07,4.384084830616092e-08,-0.0003335644670713073,0.0055913338006260485
740.0,8.439773051173686e-07,3.9095154460630105e-08,8.436808275349538e-07,4.087209945940715e-08,-0.00043562868117539574,0.0056054292941361316
780.0,8.551982255289358e-07,3.327891191436715e-08,8.531304524337905e-07,3.3266152697595726e-08,-0.002404579945191095,0.005680154566297163
820.0,8.51184450519383e-07,3.140421691191961e-08,8.502665279347749e-07,3.2228342066850294e-08,-0.001102946025609788,0.005024861038507753
860.0,8.873997410255667e-07,3.245510864851314e-08,8.874120178158334e-07,3.28562404394192e-08,4.447838606742748e-06,0.003767549310174912
900.0,9.19365777175877e-07,3.580963729626065e-08,9.196956335064469e-07,3.748418438427562e-08,0.00029711158357100415,0.00463179848981679
940.0,9.475167975664792e-07,3.9456082145306417e-08,9.467601652226776e-07,3.843492856137992e-08,-0.0007450666583094062,0.005515980716027462
980.0,9.830144492042126e-07,2.8141873037283062e-08,9.80909020530269e-07,2.685294639741682e-08,-0.0020951493154730983,0.005271050634241803
