ell,Cl
0,1.6913278383806717e-17
1,6.9587539532977875e-34
2,3.956774226657607e-06
3,1.54312772456072e-33
4,3.907250405332257e-06
5,2.4333807659649767e-05
6,2.3560879845261313e-05
7,4.788586842810151e-06
8,1.8273231726800596e-05
9,8.215847418400568e-06
10,1.528238895606831e-05
11,7.3941962745259695e-06
12,1.8356279487330962e-05
13,8.5167319914418e-06
14,3.971785032259292e-06
15,9.133107440757478e-06
16,5.999480205672057e-06
17,9.031212490449192e-06
18,1.5128157862527987e-06
19,1.4725978970508697e-05
20,3.175604567536496e-06
21,2.3894425519456343e-05
22,1.8810515910888982e-05
23,6.307871478979429e-06
24,2.037948965772945e-05
25,4.8227717865630556e-06
26,1.1983688141694733e-05
27,1.405653903558855e-05
28,1.2573812266114483e-05
29,1.1411503034949412e-05
30,1.577555117618159e-05
31,2.8796484530298642e-05
32,1.5767323159162705e-05
33,1.6414933769548116e-05
34,1.597360203130466e-05
35,1.5454763621347925e-05
36,3.446581197975057e-05
37,2.0887136232873918e-05
38,1.1800771213575208e-05
39,3.575645752771618e-05
40,3.446350408503174e-05
41,6.54840100130753e-06
42,2.6312036660191154e-05
43,2.36847164777128e-05
44,9.906740729014099e-06
45,1.431231192130821e-05
46,2.065005162687881e-05
47,1.0262313096743643e-05
48,7.4037057675725996e-06
49,3.12449658781806e-05
50,1.643280837569809e-05
51,1.0956368513914538e-05
52,1.477353852908477e-05
53,1.920264191907869e-05
54,2.7831055376903267e-05
55,3.944820716610253e-05
56,2.2233091839918542e-05
57,1.731589370920629e-05
58,3.87175202247774e-05
59,3.530376526713048e-05
60,1.6124547422094708e-05
61,2.3005337090565355e-05
62,1.6157551113865594e-05
63,3.1362945513971956e-05
64,1.632874143992688e-05
65,2.2971925619837838e-05
66,1.7132522155107602e-05
67,2.9175786160464044e-05
68,2.7871630325447146e-05
69,5.193707521413024e-06
70,1.7450594512326955e-05
71,2.993204279029825e-05
72,1.1088864521245742e-05
73,3.119938324403414e-05
74,1.5078115397300189e-05
75,2.1508481654790594e-05
76,2.1539964417578788e-05
77,2.5440130299905902e-05
78,1.4472311816949592e-05
79,2.3854627028761987e-05
80,1.1316901428691016e-05
81,1.7321897038819536e-05
82,2.1846622619171346e-05
83,2.413185245944825e-05
84,2.2322187689569704e-05
