ell,Cl
0,1.3222892321182396e-27
1,5.652906419336973e-23
2,4.789656462629777e-09
3,6.631483896282351e-11
4,1.1421967538906807e-09
5,9.968911768263604e-11
6,7.159217780242005e-10
7,6.023163738568312e-11
8,7.650865394828516e-11
9,2.5908898216616577e-11
10,2.0103323635476752e-11
11,4.914716320374682e-12
12,2.1375882465712222e-11
13,4.084608191097312e-12
14,2.3206156203832067e-11
15,6.664007211721234e-12
16,3.813048099766661e-12
17,3.6384980163539604e-12
18,6.783951130366242e-12
19,1.0154166531195578e-12
20,6.031906875208692e-12
21,5.606288209585642e-12
22,5.8445150413889995e-12
23,1.0463438159093838e-12
24,6.513313584684669e-13
25,2.1339814870615606e-12
26,1.784108635978773e-13
27,6.068554875656692e-13
28,2.1148405055691936e-12
29,3.8698000330395913e-13
30,1.2730185650614297e-12
31,9.040664944209355e-13
32,9.045293334157056e-13
33,5.828541234572266e-13
34,3.3369714031935797e-13
35,5.441971310129172e-13
36,4.047928338363783e-13
37,2.51283902577056e-13
38,5.385070875666585e-13
39,2.420127771337456e-13
40,3.5792378145306654e-13
41,4.3048559343195077e-13
42,2.4253960037875135e-13
43,2.9283170501040573e-13
44,2.2324523755063728e-13
45,1.1249685902714305e-13
46,2.4091465104786783e-13
47,6.960616610939002e-14
48,1.8307936669150458e-13
49,1.322131038234924e-13
50,9.703887031878898e-14
51,1.06278853585613e-13
52,1.2859547936327087e-13
53,9.432823177352341e-14
54,1.0793498356999696e-13
55,2.885159118167761e-14
56,6.562890136823329e-14
57,3.534121467700501e-14
58,6.203059690165934e-14
59,8.434712199168935e-14
60,5.530909458860315e-14
61,3.964252747632176e-14
62,3.060690749962511e-14
63,4.1232244290157074e-14
64,3.0073936379121007e-14
65,5.062609080293593e-14
66,2.6487405182782732e-14
67,2.918368765350379e-14
68,3.446859615607279e-14
69,6.059241607174786e-14
70,3.005684473971248e-14
71,2.5771631404816463e-14
72,3.6369139623903575e-14
73,3.1509552985072147e-14
74,1.598853492930818e-14
75,2.1082281715895837e-14
76,2.7641664632026963e-14
77,2.580474578883577e-14
78,1.6091573526816078e-14
79,1.5143623664660186e-14
80,1.474009115576552e-14
81,1.7108385054875894e-14
82,1.4838897191405054e-14
83,1.1508490689301771e-14
84,1.3412085796596333e-14
85,8.081469849198941e-15
86,1.0249754262281904e-14
87,8.188791494686816e-15
88,1.8245357198995582e-14
89,9.381025768690527e-15
90,1.1740081331162974e-14
91,4.842451901874576e-15
92,6.403489137855192e-15
93,8.332233480507595e-15
94,6.350323714627597e-15
95,6.120535483963441e-15
96,7.168092857673342e-15
97,5.769276783882438e-15
98,6.4868758404440295e-15
99,6.316526854536521e-15
100,8.407600601661365e-15
101,4.982685058030628e-15
102,4.9713755962282224e-15
103,3.3429129516822656e-15
104,4.530650773055446e-15
105,3.893205692542099e-15
106,3.852457780251128e-15
107,3.1912237802223952e-15
108,3.5816786478135415e-15
109,3.2270619851289974e-15
110,2.807166621213917e-15
111,3.523966602312146e-15
112,4.360577596259776e-15
113,2.908821902999864e-15
114,4.91740733622079e-15
115,3.644278030891554e-15
