,ells,Cl
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,20.0,1.1067009901738374e-05
21,21.0,1.1503363362865707e-05
22,22.0,1.193971682399304e-05
23,23.0,1.2376070285120373e-05
24,24.0,1.2812423746247706e-05
25,25.0,1.324877720737504e-05
26,26.0,1.3685130668502374e-05
27,27.0,1.4121484129629705e-05
28,28.0,1.455783759075704e-05
29,29.0,1.4994191051884371e-05
30,30.0,1.5430544513011706e-05
31,31.0,1.5866897974139037e-05
32,32.0,1.6303251435266372e-05
33,33.0,1.6739604896393707e-05
34,34.0,1.7175958357521038e-05
35,35.0,1.761231181864837e-05
36,36.0,1.8048665279775704e-05
37,37.0,1.848501874090304e-05
38,38.0,1.892137220203037e-05
39,39.0,1.93577256631577e-05
40,40.0,1.9794079124285036e-05
41,41.0,1.9923224131282055e-05
42,42.0,2.0052369138279077e-05
43,43.0,2.0181514145276096e-05
44,44.0,2.0310659152273115e-05
45,45.0,2.0439804159270137e-05
46,46.0,2.0568949166267156e-05
47,47.0,2.0698094173264175e-05
48,48.0,2.0827239180261198e-05
49,49.0,2.0956384187258216e-05
50,50.0,2.1085529194255235e-05
51,51.0,2.1214674201252258e-05
52,52.0,2.1343819208249277e-05
53,53.0,2.14729642152463e-05
54,54.0,2.1602109222243318e-05
55,55.0,2.1731254229240337e-05
56,56.0,2.186039923623736e-05
57,57.0,2.1989544243234378e-05
58,58.0,2.2118689250231397e-05
59,59.0,2.224783425722842e-05
60,60.0,2.2376979264225438e-05
61,61.0,2.2310559595518823e-05
62,62.0,2.2244139926812205e-05
63,63.0,2.217772025810559e-05
64,64.0,2.2111300589398975e-05
65,65.0,2.2044880920692357e-05
66,66.0,2.1978461251985742e-05
67,67.0,2.1912041583279127e-05
68,68.0,2.184562191457251e-05
69,69.0,2.1779202245865894e-05
70,70.0,2.1712782577159276e-05
71,71.0,2.164636290845266e-05
72,72.0,2.1579943239746046e-05
73,73.0,2.1513523571039428e-05
74,74.0,2.1447103902332813e-05
75,75.0,2.1380684233626198e-05
76,76.0,2.131426456491958e-05
77,77.0,2.1247844896212965e-05
78,78.0,2.118142522750635e-05
79,79.0,2.111500555879973e-05
80,80.0,2.1048585890093117e-05
81,81.0,2.1194030282456624e-05
82,82.0,2.1339474674820128e-05
83,83.0,2.1484919067183635e-05
84,84.0,2.163036345954714e-05
85,85.0,2.1775807851910646e-05
86,86.0,2.1921252244274153e-05
87,87.0,2.2066696636637657e-05
88,88.0,2.2212141029001164e-05
89,89.0,2.2357585421364668e-05
90,90.0,2.2503029813728175e-05
91,91.0,2.2648474206091682e-05
92,92.0,2.2793918598455186e-05
93,93.0,2.2939362990818693e-05
94,94.0,2.3084807383182197e-05
95,95.0,2.3230251775545704e-05
96,96.0,2.337569616790921e-05
97,97.0,2.3521140560272715e-05
98,98.0,2.3666584952636222e-05
99,99.0,2.3812029344999726e-05
100,100.0,2.3957473737363233e-05
101,101.0,2.3868437102261452e-05
102,102.0,2.3779400467159668e-05
103,103.0,2.3690363832057887e-05
104,104.0,2.3601327196956107e-05
105,105.0,2.3512290561854323e-05
106,106.0,2.3423253926752542e-05
107,107.0,2.333421729165076e-05
108,108.0,2.3245180656548977e-05
109,109.0,2.3156144021447197e-05
110,110.0,2.3067107386345416e-05
111,111.0,2.2978070751243632e-05
112,112.0,2.288903411614185e-05
113,113.0,2.2799997481040067e-05
114,114.0,2.2710960845938286e-05
115,115.0,2.2621924210836506e-05
116,116.0,2.253288757573472e-05
117,117.0,2.244385094063294e-05
118,118.0,2.235481430553116e-05
119,119.0,2.2265777670429376e-05
120,120.0,2.2176741035327596e-05
121,121.0,2.2063148149524927e-05
122,122.0,2.1949555263722262e-05
123,123.0,2.1835962377919594e-05
124,124.0,2.1722369492116926e-05
125,125.0,2.1608776606314257e-05
126,126.0,2.1495183720511593e-05
127,127.0,2.1381590834708924e-05
128,128.0,2.1267997948906256e-05
129,129.0,2.115440506310359e-05
130,130.0,2.1040812177300923e-05
131,131.0,2.0927219291498254e-05
132,132.0,2.081362640569559e-05
133,133.0,2.070003351989292e-05
134,134.0,2.0586440634090253e-05
135,135.0,2.0472847748287588e-05
136,136.0,2.035925486248492e-05
137,137.0,2.024566197668225e-05
138,138.0,2.0132069090879583e-05
139,139.0,2.0018476205076918e-05
140,140.0,1.990488331927425e-05
141,141.0,2.0055970396518603e-05
142,142.0,2.020705747376296e-05
143,143.0,2.0358144551007314e-05
144,144.0,2.050923162825167e-05
145,145.0,2.0660318705496024e-05
146,146.0,2.081140578274038e-05
147,147.0,2.0962492859984734e-05
148,148.0,2.111357993722909e-05
149,149.0,2.1264667014473445e-05
150,150.0,2.1415754091717798e-05
151,151.0,2.1566841168962155e-05
152,152.0,2.171792824620651e-05
153,153.0,2.1869015323450865e-05
154,154.0,2.202010240069522e-05
155,155.0,2.2171189477939576e-05
156,156.0,2.232227655518393e-05
157,157.0,2.2473363632428286e-05
158,158.0,2.262445070967264e-05
159,159.0,2.2775537786916997e-05
160,160.0,2.292662486416135e-05
161,161.0,2.291917713130047e-05
162,162.0,2.291172939843959e-05
163,163.0,2.290428166557871e-05
164,164.0,2.2896833932717832e-05
165,165.0,2.288938619985695e-05
166,166.0,2.288193846699607e-05
167,167.0,2.287449073413519e-05
168,168.0,2.286704300127431e-05
169,169.0,2.285959526841343e-05
170,170.0,2.2852147535552552e-05
171,171.0,2.2844699802691673e-05
172,172.0,2.2837252069830793e-05
173,173.0,2.2829804336969914e-05
174,174.0,2.2822356604109034e-05
175,175.0,2.2814908871248155e-05
176,176.0,2.2807461138387272e-05
177,177.0,2.2800013405526392e-05
178,178.0,2.2792565672665513e-05
179,179.0,2.2785117939804634e-05
180,180.0,2.2777670206943754e-05
181,181.0,2.2688011605134263e-05
182,182.0,2.2598353003324776e-05
183,183.0,2.2508694401515285e-05
184,184.0,2.2419035799705794e-05
185,185.0,2.2329377197896303e-05
186,186.0,2.223971859608681e-05
187,187.0,2.2150059994277324e-05
188,188.0,2.2060401392467833e-05
189,189.0,2.1970742790658342e-05
190,190.0,2.1881084188848854e-05
191,191.0,2.1791425587039363e-05
192,192.0,2.1701766985229872e-05
193,193.0,2.161210838342038e-05
194,194.0,2.152244978161089e-05
195,195.0,2.1432791179801403e-05
196,196.0,2.1343132577991912e-05
197,197.0,2.125347397618242e-05
198,198.0,2.1163815374372933e-05
199,199.0,2.1074156772563442e-05
200,200.0,2.098449817075395e-05
201,201.0,2.088671805982029e-05
202,202.0,2.0788937948886624e-05
203,203.0,2.0691157837952963e-05
204,204.0,2.0593377727019297e-05
205,205.0,2.0495597616085636e-05
206,206.0,2.039781750515197e-05
207,207.0,2.030003739421831e-05
208,208.0,2.0202257283284644e-05
209,209.0,2.0104477172350982e-05
210,210.0,2.000669706141732e-05
211,211.0,1.9908916950483655e-05
212,212.0,1.9811136839549993e-05
213,213.0,1.9713356728616328e-05
214,214.0,1.9615576617682666e-05
215,215.0,1.9517796506749e-05
216,216.0,1.942001639581534e-05
217,217.0,1.9322236284881674e-05
218,218.0,1.9224456173948012e-05
219,219.0,1.9126676063014347e-05
220,220.0,1.9028895952080686e-05
221,221.0,1.912515842680496e-05
222,222.0,1.9221420901529234e-05
223,223.0,1.931768337625351e-05
224,224.0,1.9413945850977783e-05
225,225.0,1.951020832570206e-05
226,226.0,1.9606470800426336e-05
227,227.0,1.970273327515061e-05
228,228.0,1.9798995749874884e-05
229,229.0,1.989525822459916e-05
230,230.0,1.9991520699323433e-05
231,231.0,2.0087783174047708e-05
232,232.0,2.0184045648771982e-05
233,233.0,2.0280308123496257e-05
234,234.0,2.037657059822053e-05
235,235.0,2.0472833072944806e-05
236,236.0,2.0569095547669083e-05
237,237.0,2.0665358022393358e-05
238,238.0,2.0761620497117632e-05
239,239.0,2.0857882971841907e-05
240,240.0,2.095414544656618e-05
241,241.0,2.0858839568823808e-05
242,242.0,2.0763533691081438e-05
243,243.0,2.0668227813339068e-05
244,244.0,2.0572921935596695e-05
245,245.0,2.047761605785432e-05
246,246.0,2.038231018011195e-05
247,247.0,2.028700430236958e-05
248,248.0,2.0191698424627208e-05
249,249.0,2.0096392546884835e-05
