ells,ksz_lt_cls
0,2.5689954341438044e-16
1,6.848040378245535e-34
2,3.956822209286642e-06
3,1.5420312309661377e-33
4,3.907215270441527e-06
5,2.4333807733263978e-05
6,2.3560808970146843e-05
7,4.788586881640782e-06
8,1.827317698041039e-05
9,8.215847422641804e-06
10,1.5282295664326173e-05
11,7.394196222142605e-06
12,1.8356369393028303e-05
13,8.516731954811672e-06
14,3.971797818083386e-06
15,9.133107442781831e-06
16,5.999492650969031e-06
17,9.031212498470003e-06
18,1.5128302456534443e-06
19,1.472597885452229e-05
20,3.175603921577645e-06
21,2.3894425505781683e-05
22,1.8810438794510104e-05
23,6.307871468244557e-06
24,2.03794713792152e-05
25,4.822771761936579e-06
26,1.1983729068100837e-05
27,1.4056539012040495e-05
28,1.2573835078857582e-05
29,1.141150301203701e-05
30,1.5775522029178396e-05
31,2.8796484437136696e-05
32,1.5767326632915817e-05
33,1.641493377977235e-05
34,1.5973665968031848e-05
35,1.545476366490082e-05
36,3.446578490602402e-05
37,2.0887136205253953e-05
38,1.1800718872144553e-05
39,3.575645754408131e-05
40,3.4463595464262254e-05
41,6.548401054716756e-06
42,2.6311973787272368e-05
43,2.3684716462032326e-05
44,9.906744425238891e-06
45,1.4312311935493584e-05
46,2.0650022807386226e-05
47,1.0262313075922066e-05
48,7.4037192713213635e-06
49,3.124496580660457e-05
50,1.6432815378440125e-05
51,1.0956368567032884e-05
52,1.4773532552351265e-05
53,1.920264202798444e-05
54,2.7831021956891947e-05
55,3.944820716428434e-05
56,2.2233084375106876e-05
57,1.7315893647545828e-05
58,3.8717529274301e-05
59,3.530376528314257e-05
60,1.612458952249566e-05
61,2.30053370602628e-05
62,1.6157495440034916e-05
63,3.136294540419875e-05
64,1.6328747031133086e-05
65,2.2971925576815144e-05
66,1.7132538980971373e-05
67,2.9175786092918604e-05
68,2.7871654639808126e-05
69,5.193707538663112e-06
70,1.74506193795895e-05
71,2.9932042839549224e-05
72,1.1088890531159082e-05
73,3.1199383293961705e-05
74,1.5078135723473152e-05
75,2.150848157175133e-05
76,2.1539927443514126e-05
77,2.544013027299856e-05
78,1.4472334233308766e-05
79,2.3854626918476203e-05
80,1.1316906974656951e-05
81,1.7321897096560878e-05
82,2.184659209420759e-05
83,2.4131852502624222e-05
84,2.2322187582784505e-05
85,3.6007824314945535e-05
86,1.2271592678497192e-05
87,1.790723213982247e-05
88,1.7832119944184543e-05
89,2.844896717569911e-05
90,1.3865026218846659e-05
91,2.5326834261207033e-05
92,2.055455545969642e-05
93,3.398788100053234e-05
94,1.819877589435622e-05
95,3.1330229798531766e-05
96,2.170610483569268e-05
97,3.4626378883606736e-05
98,2.087399703677832e-05
99,2.28826091559468e-05
100,2.1291289818067748e-05
101,2.8237594261397843e-05
102,2.2191574123370323e-05
103,2.4587610006910107e-05
104,1.9938256969844364e-05
105,2.5296137093148973e-05
106,3.137720282546532e-05
107,1.988022331212381e-05
108,2.966170580058542e-05
109,1.333543237670757e-05
110,2.8529303184323686e-05
111,2.059180911996791e-05
112,2.1736812668847415e-05
113,2.3547525311093453e-05
114,2.432444386743967e-05
115,2.5277654277838707e-05
116,2.9166383941621167e-05
117,2.0124747624457052e-05
118,3.1338649528113895e-05
119,2.230076434972032e-05
120,2.0223760966176678e-05
121,1.8299461272120505e-05
122,2.8147028256682232e-05
123,2.1333785246325436e-05
124,2.0491779741974534e-05
125,1.042640716716909e-05
126,1.9265178246750712e-05
127,2.1748914800232916e-05
128,2.0760119771798573e-05
129,1.5900322389013008e-05
130,2.7341156201783643e-05
131,2.6421980529500815e-05
132,2.3527971503786767e-05
133,1.4455452992266515e-05
134,2.0464406485038316e-05
135,2.06169435928364e-05
136,1.9482019581798582e-05
137,1.593896499498125e-05
138,2.0527190400508282e-05
139,1.5202447193220301e-05
140,2.614925437723728e-05
141,1.3454806685622605e-05
142,2.5146953723636374e-05
143,1.8704125731986958e-05
144,1.9684078315865223e-05
145,1.6799440618702433e-05
146,1.0622367044518019e-05
147,1.7282654448063767e-05
148,2.6797369726042802e-05
149,1.947807989624866e-05
150,2.9417648391193533e-05
151,1.3857809946769302e-05
152,1.8195701892762232e-05
153,2.0270280314605753e-05
154,1.4638116842097449e-05
155,2.0915085226700567e-05
156,2.6340708891325705e-05
157,2.4283212394585654e-05
158,2.6925661802580847e-05
159,2.7961189374765996e-05
160,2.5633057565445266e-05
161,1.894238228654479e-05
162,3.398648576532264e-05
163,3.681441914040929e-05
164,1.7851999811274203e-05
165,2.1105846705771284e-05
166,2.3703723101895103e-05
167,1.5614206688794887e-05
168,2.268826654099512e-05
169,1.938673585521275e-05
170,2.2824377768677343e-05
171,2.560170233620579e-05
172,1.911345264604929e-05
173,1.9705890754526317e-05
174,2.4557896344242667e-05
175,1.622068396174362e-05
176,2.2097836348868238e-05
177,2.8742746865353976e-05
178,2.7878451857040987e-05
179,2.5906969433402398e-05
180,2.869471498726895e-05
181,2.5243817798816613e-05
182,2.3728728408934522e-05
183,1.415372139829682e-05
184,2.4562356601019296e-05
185,2.9451257446833823e-05
186,1.743896894976829e-05
187,1.6647312998454325e-05
188,2.4580611253113722e-05
189,1.840202797490284e-05
190,1.8562990349495583e-05
191,1.7883027187627043e-05
192,1.7449404482307083e-05
193,2.084419649311479e-05
194,2.8935369043648048e-05
195,2.02097609428646e-05
196,2.1857601859483825e-05
197,2.0390135907744402e-05
198,2.6964101218446322e-05
199,2.386452240367817e-05
200,2.1625888451574165e-05
201,1.5705700091204958e-05
202,2.1560134285052398e-05
203,1.7789597701955694e-05
204,2.2516675875504817e-05
205,2.597534656618324e-05
206,1.707979016807201e-05
207,2.4297895041874124e-05
208,1.68303465684075e-05
209,1.9347458289376317e-05
210,1.7339993552203483e-05
211,1.5490335840671823e-05
212,2.025985720241057e-05
213,1.7972396019176646e-05
214,2.02171437541797e-05
215,1.8771551814202968e-05
216,2.009976121020507e-05
217,2.0880972027868447e-05
218,2.0737855824235574e-05
219,2.2588758976736102e-05
220,2.4274139389440262e-05
221,1.9108023836378273e-05
222,2.0165554934324253e-05
223,1.6384873408180877e-05
224,1.649855874133668e-05
225,2.3086314256938105e-05
226,1.3978201349990359e-05
227,1.6557989410507816e-05
228,2.011289632849589e-05
229,1.605279005066479e-05
230,1.883866016084054e-05
231,1.686143370807983e-05
232,1.7123032154174883e-05
233,1.7278068124225715e-05
234,2.1352993088503957e-05
235,2.190535926706992e-05
236,1.889715859587888e-05
237,1.7291788605997864e-05
238,2.6144212747112013e-05
239,1.576397535604065e-05
240,2.1798749792287455e-05
241,1.921742925506427e-05
242,2.4873621385376683e-05
243,1.862639895623024e-05
244,2.3754683150825778e-05
245,2.466789261916053e-05
246,1.9225705480217298e-05
247,2.9304523667457277e-05
248,1.9868807998427226e-05
249,2.6288447194565636e-05
250,1.5533260550968386e-05
251,1.968346264797419e-05
252,2.1312693158184525e-05
253,1.5848369350031836e-05
254,2.043398870279176e-05
255,2.083054250341809e-05
256,2.1507459269956968e-05
257,1.6680399014759266e-05
258,1.824379484813193e-05
259,1.939961767503946e-05
260,1.0317080662108835e-05
261,2.1364341166524848e-05
262,1.1686090143951668e-05
263,2.675358907048819e-05
264,1.9617191721023076e-05
265,2.2434869815144115e-05
266,2.0320813452522035e-05
267,1.765368359987075e-05
268,1.5491392726322394e-05
269,2.5847932557675343e-05
270,2.246080744306842e-05
271,2.489504270518906e-05
272,2.1575284166063828e-05
273,3.076473656067958e-05
274,2.478645276374935e-05
275,2.0018071699522296e-05
276,2.088540186922417e-05
277,2.638394368412355e-05
278,2.096230636845037e-05
279,2.095910506505388e-05
280,1.922679411094432e-05
281,2.001814243861064e-05
282,1.9002333361864604e-05
283,2.331211385223058e-05
