ells,cls
0,5.250836284306664e-31
1,5.644651320455295e-23
2,4.789656467531999e-09
3,6.631483898769151e-11
4,1.1421967561419898e-09
5,9.968911768046677e-11
6,7.159217761381256e-10
7,6.023163738659457e-11
8,7.65086542080082e-11
9,2.5908898222185328e-11
10,2.0103323458938987e-11
11,4.914716324431452e-12
12,2.137588273560212e-11
13,4.084608192412842e-12
14,2.3206155885698755e-11
15,6.6640072128392285e-12
16,3.813048113903365e-12
17,3.638498016417262e-12
18,6.783951100132747e-12
19,1.015416652453615e-12
20,6.0319070149400546e-12
21,5.606288208593279e-12
22,5.844514950885252e-12
23,1.0463438161007523e-12
24,6.513313546455422e-13
25,2.1339814877420685e-12
26,1.784108595424352e-13
27,6.068554875642109e-13
28,2.1148405178230496e-12
29,3.869800035508208e-13
30,1.2730184976867564e-12
31,9.040664937268016e-13
32,9.045293571068218e-13
33,5.828541231846207e-13
34,3.336971299103333e-13
35,5.441971314954111e-13
36,4.047928206911262e-13
37,2.512839027264011e-13
38,5.3850709478861e-13
39,2.4201277727880416e-13
40,3.5792378653265914e-13
41,4.304855932027558e-13
42,2.425396035455662e-13
43,2.9283170505595474e-13
44,2.2324524077769642e-13
45,1.1249685878572054e-13
46,2.409146466588761e-13
47,6.960616602107917e-14
48,1.8307935756999408e-13
49,1.3221310384799506e-13
50,9.703887567533154e-14
51,1.0627885349478776e-13
52,1.285954859003628e-13
53,9.432823166606762e-14
54,1.0793498778771975e-13
55,2.88515910529034e-14
56,6.56288930834598e-14
57,3.534121467068974e-14
58,6.203059353296845e-14
59,8.434712201747948e-14
60,5.530909522653974e-14
61,3.964252745960472e-14
62,3.0606905485013435e-14
63,4.123224421833409e-14
64,3.007393431641009e-14
65,5.062609076178504e-14
66,2.648740775547592e-14
67,2.918368765062288e-14
68,3.4468600078430025e-14
69,6.059241604232681e-14
70,3.0056842741007165e-14
71,2.5771631399201184e-14
72,3.63691399551066e-14
73,3.1509552936531225e-14
74,1.5988534322386925e-14
75,2.1082281755071395e-14
76,2.7641662083567866e-14
77,2.5804745765473548e-14
78,1.60915743247729e-14
79,1.5143623661905336e-14
80,1.474009041756878e-14
81,1.7108385044472226e-14
82,1.483889541955915e-14
83,1.150849069051315e-14
84,1.3412084478166673e-14
85,8.081469879281863e-15
86,1.024975552229323e-14
87,8.188791491015998e-15
88,1.8245355933844885e-14
89,9.381025799890407e-15
90,1.1740079223503064e-14
91,4.842451880705414e-15
92,6.4034891132764135e-15
93,8.332233466674673e-15
94,6.350324072575684e-15
95,6.120535508946572e-15
96,7.168092785965165e-15
97,5.76927679938623e-15
98,6.4868760831688244e-15
99,6.316526845208635e-15
100,8.407599369536666e-15
101,4.982685050398687e-15
102,4.971376169702132e-15
103,3.3429129350252053e-15
104,4.530650569716535e-15
105,3.893205683894681e-15
106,3.852456791090381e-15
107,3.1912238122743948e-15
108,3.5816787395754e-15
109,3.2270620111816916e-15
110,2.8071678801845085e-15
111,3.523966580347061e-15
112,4.36057823215992e-15
113,2.908821886051099e-15
114,4.917407201090729e-15
115,3.644278033422935e-15
116,3.290140617571162e-15
117,2.155429996652932e-15
118,3.181796281328773e-15
119,2.353893055224994e-15
120,1.840343874749609e-15
121,1.8094808283630835e-15
122,2.582507293222542e-15
123,1.5340124512815093e-15
124,1.9257002450457863e-15
125,2.5852974865702226e-15
126,2.12275557616048e-15
127,1.8238795487856986e-15
128,2.5473141282055765e-15
129,1.6792179099863431e-15
130,1.5204507164289789e-15
131,1.5146787512233099e-15
132,1.495270728891034e-15
