ells,cls
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,1.6925449303898748e-05
31,1.714668590088865e-05
32,1.736792249787855e-05
33,1.7589159094868448e-05
34,1.781039569185835e-05
35,1.803163228884825e-05
36,1.825286888583815e-05
37,1.8474105482828052e-05
38,1.869534207981795e-05
39,1.891657867680785e-05
40,1.913781527379775e-05
41,1.9359051870787653e-05
42,1.958028846777755e-05
43,1.980152506476745e-05
44,2.0022761661757352e-05
45,2.0243998258747253e-05
46,2.0465234855737154e-05
47,2.0686471452727055e-05
48,2.0907708049716953e-05
49,2.1128944646706854e-05
50,2.1350181243696755e-05
51,2.132489542117447e-05
52,2.1299609598652184e-05
53,2.12743237761299e-05
54,2.1249037953607616e-05
55,2.1223752131085332e-05
56,2.1198466308563048e-05
57,2.117318048604076e-05
58,2.1147894663518477e-05
59,2.1122608840996193e-05
60,2.1097323018473905e-05
61,2.107203719595162e-05
62,2.1046751373429338e-05
63,2.1021465550907054e-05
64,2.099617972838477e-05
65,2.0970893905862482e-05
66,2.09456080833402e-05
67,2.0920322260817915e-05
68,2.0895036438295627e-05
69,2.0869750615773343e-05
70,2.084446479325106e-05
71,2.0934140473714597e-05
72,2.102381615417813e-05
73,2.1113491834641664e-05
74,2.12031675151052e-05
75,2.129284319556874e-05
76,2.1382518876032272e-05
77,2.1472194556495806e-05
78,2.1561870236959343e-05
79,2.165154591742288e-05
80,2.1741221597886414e-05
81,2.1830897278349948e-05
82,2.1920572958813485e-05
83,2.2010248639277022e-05
84,2.2099924319740556e-05
85,2.218960000020409e-05
86,2.2279275680667626e-05
87,2.2368951361131164e-05
88,2.2458627041594697e-05
89,2.254830272205823e-05
90,2.2637978402521768e-05
91,2.2712917279636744e-05
92,2.278785615675172e-05
93,2.28627950338667e-05
94,2.2937733910981674e-05
95,2.301267278809665e-05
96,2.308761166521163e-05
97,2.3162550542326604e-05
98,2.323748941944158e-05
99,2.3312428296556556e-05
100,2.338736717367153e-05
101,2.346230605078651e-05
102,2.3537244927901486e-05
103,2.361218380501646e-05
104,2.368712268213144e-05
105,2.3762061559246416e-05
106,2.3837000436361392e-05
107,2.3911939313476367e-05
108,2.3986878190591343e-05
109,2.4061817067706322e-05
110,2.4136755944821298e-05
111,2.3931356377446916e-05
112,2.3725956810072535e-05
113,2.3520557242698154e-05
114,2.3315157675323772e-05
115,2.3109758107949388e-05
116,2.2904358540575006e-05
117,2.2698958973200625e-05
118,2.2493559405826243e-05
119,2.2288159838451862e-05
120,2.208276027107748e-05
121,2.18773607037031e-05
122,2.1671961136328718e-05
123,2.1466561568954337e-05
124,2.1261162001579955e-05
125,2.1055762434205574e-05
126,2.085036286683119e-05
127,2.0644963299456808e-05
128,2.0439563732082427e-05
129,2.0234164164708045e-05
130,2.0028764597333664e-05
131,2.0069637727609833e-05
132,2.0110510857886005e-05
133,2.0151383988162174e-05
134,2.0192257118438342e-05
135,2.023313024871451e-05
136,2.027400337899068e-05
137,2.0314876509266852e-05
138,2.035574963954302e-05
139,2.039662276981919e-05
140,2.0437495900095362e-05
141,2.047836903037153e-05
142,2.05192421606477e-05
143,2.0560115290923868e-05
144,2.0600988421200037e-05
145,2.064186155147621e-05
146,2.0682734681752378e-05
147,2.0723607812028547e-05
148,2.076448094230472e-05
149,2.0805354072580888e-05
150,2.0846227202857057e-05
151,2.097485867333417e-05
152,2.1103490143811285e-05
153,2.1232121614288402e-05
154,2.1360753084765516e-05
155,2.148938455524263e-05
156,2.1618016025719745e-05
157,2.174664749619686e-05
158,2.1875278966673976e-05
159,2.200391043715109e-05
160,2.2132541907628204e-05
161,2.226117337810532e-05
162,2.2389804848582433e-05
163,2.251843631905955e-05
164,2.2647067789536664e-05
165,2.277569926001378e-05
166,2.2904330730490893e-05
167,2.303296220096801e-05
168,2.3161593671445124e-05
169,2.3290225141922238e-05
170,2.3418856612399352e-05
171,2.334757534427011e-05
172,2.3276294076140865e-05
173,2.3205012808011622e-05
174,2.3133731539882375e-05
175,2.306245027175313e-05
176,2.2991169003623888e-05
177,2.2919887735494644e-05
178,2.28486064673654e-05
179,2.2777325199236157e-05
180,2.270604393110691e-05
181,2.2634762662977667e-05
182,2.2563481394848423e-05
183,2.249220012671918e-05
184,2.2420918858589936e-05
185,2.2349637590460692e-05
186,2.227835632233145e-05
187,2.2207075054202205e-05
188,2.213579378607296e-05
189,2.2064512517943715e-05
190,2.199323124981447e-05
191,2.1886288331652862e-05
192,2.177934541349125e-05
193,2.167240249532964e-05
194,2.156545957716803e-05
195,2.1458516659006417e-05
196,2.1351573740844808e-05
197,2.1244630822683198e-05
198,2.1137687904521585e-05
199,2.1030744986359976e-05
200,2.0923802068198366e-05
201,2.0816859150036754e-05
202,2.0709916231875144e-05
203,2.060297331371353e-05
204,2.0496030395551922e-05
205,2.0389087477390312e-05
206,2.02821445592287e-05
207,2.017520164106709e-05
208,2.006825872290548e-05
209,1.9961315804743868e-05
210,1.9854372886582258e-05
211,1.98058442957153e-05
212,1.975731570484834e-05
213,1.9708787113981383e-05
214,1.9660258523114423e-05
215,1.9611729932247464e-05
216,1.9563201341380504e-05
217,1.9514672750513544e-05
218,1.9466144159646588e-05
219,1.941761556877963e-05
220,1.936908697791267e-05
221,1.932055838704571e-05
222,1.927202979617875e-05
223,1.9223501205311794e-05
224,1.9174972614444834e-05
225,1.9126444023577874e-05
226,1.9077915432710915e-05
227,1.9029386841843955e-05
228,1.8980858250977e-05
229,1.893232966011004e-05
230,1.888380106924308e-05
231,1.8982360630505265e-05
232,1.908092019176745e-05
233,1.9179479753029635e-05
234,1.927803931429182e-05
235,1.9376598875554005e-05
236,1.947515843681619e-05
237,1.9573717998078375e-05
238,1.967227755934056e-05
239,1.9770837120602745e-05
240,1.986939668186493e-05
241,1.996795624312711e-05
242,2.0066515804389297e-05
243,2.016507536565148e-05
244,2.0263634926913667e-05
245,2.036219448817585e-05
246,2.0460754049438037e-05
247,2.055931361070022e-05
248,2.0657873171962407e-05
249,2.0756432733224592e-05
250,2.0854992294486777e-05
251,2.087518801600738e-05
252,2.0895383737527982e-05
253,2.0915579459048587e-05
254,2.093577518056919e-05
255,2.0955970902089796e-05
256,2.0976166623610397e-05
257,2.0996362345131e-05
258,2.1016558066651606e-05
259,2.1036753788172207e-05
260,2.1056949509692812e-05
261,2.1077145231213416e-05
262,2.1097340952734017e-05
263,2.1117536674254622e-05
264,2.1137732395775227e-05
265,2.1157928117295828e-05
266,2.1178123838816432e-05
267,2.1198319560337037e-05
