ells,kap_cls
0,0.0
1,1.4111628301138237e-23
2,1.9158625870127995e-08
3,1.3428754895007533e-09
4,7.310059239308735e-08
5,1.5576424637572935e-08
6,2.3195865546875268e-07
7,3.6154040341303377e-08
8,7.83448619090004e-08
9,4.2497070308939474e-08
10,5.0258308647347456e-08
11,1.798909042650022e-08
12,1.1081257610136137e-07
13,2.91651236458758e-08
14,2.228719211262509e-07
15,8.434134128749649e-08
16,6.247298029819273e-08
17,7.597274820729653e-08
18,1.7803801267188383e-07
19,3.308252839110188e-08
20,2.412762805976023e-07
21,2.725791342738574e-07
22,3.4227817358364393e-07
23,7.320247496036264e-08
24,5.4024027879719856e-08
25,2.083966296623115e-07
26,2.0382370237565973e-08
27,8.062697179165297e-08
28,3.2497485333076113e-07
29,6.842590097285702e-08
30,2.5778624578156817e-07
31,2.0873109808826732e-07
32,2.371169437894107e-07
33,1.7280473615530716e-07
34,1.1148287194896376e-07
35,2.0415895511257533e-07
36,1.6997412457948664e-07
37,1.1773662260440368e-07
38,2.8071513239978585e-07
39,1.3997057037016354e-07
40,2.2907122338090192e-07
41,3.0411235008355317e-07
42,1.88677378548581e-07
43,2.5028333151925073e-07
44,2.0918614849448014e-07
45,1.1532685788954886e-07
46,2.6967118254266606e-07
47,8.49139714539764e-08
48,2.429653477485694e-07
49,1.9054555831900637e-07
50,1.5162324324270555e-07
51,1.7974945148544797e-07
52,2.3506020305921685e-07
53,1.8607377993117614e-07
54,2.2944431137957425e-07
55,6.600252259461856e-08
56,1.6135677162842822e-07
57,9.326547435125389e-08
58,1.7549224089836586e-07
59,2.555161316992117e-07
60,1.7920146853398883e-07
61,1.3722103301095528e-07
62,1.130644798417004e-07
63,1.6238248377847308e-07
64,1.2613922299905612e-07
65,2.259268403511472e-07
66,1.25647892371127e-07
67,1.4702100526847683e-07
68,1.842465246176354e-07
69,3.4336390652844083e-07
70,1.804161985528954e-07
71,1.637251189915211e-07
72,2.443447574993454e-07
73,2.2370396952346773e-07
74,1.19860349896716e-07
75,1.6676414278913894e-07
76,2.3054649884112954e-07
77,2.2677882147206714e-07
78,1.4890763118990784e-07
79,1.4746134206618239e-07
80,1.5093852587590425e-07
81,1.8411496944249218e-07
82,1.6772468783867536e-07
83,1.3654341135397114e-07
84,1.669373184894933e-07
85,1.0546444465429696e-07
86,1.4016749771748655e-07
87,1.1728347684978504e-07
88,2.735413823768813e-07
89,1.4714664539098535e-07
90,1.9256664946350914e-07
91,8.301773721593764e-08
92,1.1468536300469667e-07
93,1.5582359981338142e-07
94,1.2395022288316073e-07
95,1.246303606345979e-07
96,1.5220487373800823e-07
97,1.2768748173491106e-07
98,1.4958219892451086e-07
99,1.516907621141326e-07
100,2.1018998423841667e-07
101,1.2962505110029812e-07
102,1.3452943613858004e-07
103,9.406194898584562e-08
104,1.3250550878379415e-07
105,1.1830539603273774e-07
106,1.2159094845367849e-07
107,1.0457608600365665e-07
108,1.2182085958647625e-07
109,1.1388153473284226e-07
110,1.0274936233445344e-07
111,1.3374073478634398e-07
112,1.7153635672745516e-07
113,1.1856893303491862e-07
114,2.0763262132848392e-07
115,1.593466264298605e-07
116,1.489314525527264e-07
117,1.0097581756945674e-07
118,1.5421989667727315e-07
119,1.1800885099473438e-07
120,9.54034264670198e-08
121,9.696957138971586e-08
122,1.4302794145319876e-07
123,8.777873930650022e-08
124,1.1381917542431559e-07
125,1.5779403604554585e-07
126,1.337587432151544e-07
127,1.1861812261152432e-07
128,1.709473573950266e-07
129,1.1625346536505418e-07
130,1.0856398227982017e-07
131,1.1151819314391096e-07
132,1.1348946931693977e-07
133,9.878894266564366e-08
134,1.3444126814910993e-07
135,1.323281862997207e-07
136,1.777621280743951e-07
137,6.909745296502818e-08
138,1.0100583032185099e-07
139,1.0291326799041202e-07
140,1.0010309540312469e-07
141,1.1623906239253594e-07
142,1.1715611737493005e-07
143,1.148379807147329e-07
144,1.2894116973204314e-07
145,1.100609230494808e-07
146,1.3328249102768868e-07
147,1.4666134787200748e-07
148,1.3291984877916955e-07
149,1.4305214924599612e-07
150,1.6077164188186922e-07
151,1.033242858091533e-07
152,1.3525937489305512e-07
153,9.906253823802667e-08
154,1.3001701457061536e-07
155,7.835422663645767e-08
156,1.3057690317997635e-07
157,1.3408777302953715e-07
158,1.1996271844797583e-07
159,9.686891186061922e-08
160,1.0997572796515686e-07
161,9.50893761070953e-08
162,1.3144009532111418e-07
163,6.229754343439793e-08
164,1.0380007774472428e-07
165,9.412081559216107e-08
166,1.5426623661439564e-07
167,1.0115621534240115e-07
168,7.73495996199671e-08
169,1.0150456213133117e-07
170,9.179193866447694e-08
171,6.11746226043557e-08
172,1.0025477916953102e-07
173,1.00505705295918e-07
174,9.788587938671016e-08
175,7.85293191741931e-08
176,1.0685827869451432e-07
177,6.001506344969662e-08
178,1.230349143486501e-07
179,8.792454681834439e-08
180,8.594787312776882e-08
181,1.0162122614890047e-07
182,1.0575055494059253e-07
183,1.0104136600385674e-07
184,1.0899392456179568e-07
185,8.368603741493195e-08
186,1.100522906311361e-07
187,8.804247729515522e-08
188,8.965972814241266e-08
189,6.538298356353207e-08
190,9.752209769558598e-08
191,9.136524369946451e-08
192,8.735074168751442e-08
193,1.0713345377406834e-07
194,8.240477643589659e-08
195,7.241926014931558e-08
196,9.868470488304797e-08
197,8.529110030344128e-08
198,6.831713299980289e-08
199,7.69092022279037e-08
200,8.061055000618832e-08
201,8.55177909676823e-08
202,8.488692000616441e-08
203,7.440694577615982e-08
204,7.297555843637904e-08
205,7.981195705152376e-08
206,6.083561394792075e-08
207,8.437792248093768e-08
208,7.941073957227719e-08
209,8.637349525527892e-08
210,1.1009829687077918e-07
211,8.409249872752489e-08
212,6.416610085193966e-08
213,8.55757591732534e-08
214,5.759895427262601e-08
215,7.270257507616652e-08
216,7.325539102023217e-08
217,6.781561853331498e-08
218,7.7584423174774e-08
219,7.244612784261743e-08
220,8.619202385731855e-08
221,8.345073750232292e-08
222,8.232460892086492e-08
223,6.414955847291747e-08
224,6.018732736426517e-08
225,5.6140785314072664e-08
226,7.922967841821732e-08
227,7.66330566173759e-08
228,6.193981940838799e-08
229,8.144997145642044e-08
230,6.721827180723717e-08
231,6.673696160378789e-08
232,5.846083146406437e-08
233,6.67481227929382e-08
234,8.774608936418668e-08
235,7.11644873481821e-08
236,7.849783946487718e-08
237,6.092946548692146e-08
238,7.188765272232689e-08
239,5.88623353955387e-08
240,7.84432326265335e-08
241,5.746347432454451e-08
242,7.807873613916857e-08
243,5.542291488586867e-08
244,6.450566881332585e-08
245,6.598978688701018e-08
246,6.597489968193664e-08
247,9.748752040852608e-08
248,7.781230106006304e-08
249,6.15359574261469e-08
250,8.123809190503383e-08
251,6.011426464983628e-08
