,ell,Cl
0,0,0.0
1,1,5.652906419336973e-23
2,2,4.310690816366799e-08
3,3,2.3873342026616463e-09
4,4,1.1421967538906805e-07
5,5,2.2430051478593113e-08
6,6,3.1572150410867255e-07
7,7,4.7221603710375577e-08
8,8,9.915521551697759e-08
9,9,5.2465518888648556e-08
10,10,6.081255399731718e-08
11,11,2.1408504291552116e-08
12,12,1.3005086892139315e-07
13,13,3.382464043047684e-08
14,14,2.558478721472486e-07
15,15,9.596170384878577e-08
16,16,7.052613765328419e-08
17,17,8.517360006482985e-08
18,18,1.9836951500303924e-07
19,19,3.665654117761604e-08
20,20,2.6600709319670347e-07
21,21,2.991571451516995e-07
22,22,3.741015632842685e-07
23,23,7.97062865207132e-08
24,24,5.861982226216202e-08
25,25,2.2540179457087743e-07
26,26,2.1980396806122086e-08
27,27,8.670993948533307e-08
28,28,3.4860184957600344e-07
29,29,7.322629112519167e-08
30,30,2.752584392304075e-07
31,31,2.2241482269146088e-07
32,32,2.521683056869641e-07
33,33,1.8343643258858176e-07
34,34,1.1813713010156072e-07
35,35,2.1599184129902695e-07
36,36,1.7954829020512862e-07
37,37,1.241867662087043e-07
38,38,2.9568401014818825e-07
39,39,1.4724057360817085e-07
40,40,2.40667950649042e-07
41,41,3.191280106085671e-07
42,42,1.9776897300523724e-07
43,43,2.6205977812109235e-07
44,44,2.1880265732337963e-07
45,45,1.205094478113513e-07
46,46,2.815234655431475e-07
47,47,8.85657720589301e-08
48,48,2.5319437022955025e-07
49,49,1.9840228892512826e-07
50,50,1.5774881356198137e-07
51,51,1.8686755756709722e-07
52,52,2.4418789823524526e-07
53,53,1.931616742247821e-07
54,54,2.380209241431465e-07
55,55,6.842443364646662e-08
56,56,1.6717098762758573e-07
57,57,9.656665305438055e-08
58,58,1.815958750721426e-07
59,59,2.6425109848776346e-07
60,60,1.8522462686777296e-07
61,61,1.4175696079455682e-07
62,62,1.1674114204723765e-07
63,63,1.6757839624973657e-07
64,64,1.3011187835062916e-07
65,65,2.3293190943657833e-07
66,66,1.2948423647154222e-07
67,67,1.5144244340132483e-07
68,68,1.8970536416171634e-07
69,69,3.533886038240496e-07
70,70,1.85607779057791e-07
71,71,1.6836957290953697e-07
