ell,Cl
0,1.797862772383699e-09
1,4.619311920556244e-21
2,4.310721950986465e-08
3,2.3873362529028446e-09
4,1.1422015703692659e-07
5,2.2430049901135736e-08
6,3.157206618348439e-07
7,4.7221602117783217e-08
8,9.915541327667493e-08
9,5.246552222357729e-08
10,6.081234737709547e-08
11,2.1408507247041545e-08
12,1.300513208631622e-07
13,3.382464206026591e-08
14,2.5584716120243815e-07
15,9.596170485304186e-08
16,7.052617717424518e-08
17,8.517360012808467e-08
18,1.9836940475860345e-07
19,3.665653970899642e-08
20,2.660077245341751e-07
21,2.991571429769337e-07
22,3.741010755847757e-07
23,7.97062869945168e-08
24,5.861979733979604e-08
25,2.2540179632691205e-07
26,2.1980365838009336e-08
27,8.670993854315495e-08
28,3.4860195721788243e-07
29,7.322629197053608e-08
30,2.7525776174494835e-07
31,2.2241481664928886e-07
32,2.521685777072809e-07
33,1.8343643128515976e-07
34,1.1813699525988516e-07
35,2.1599184590682105e-07
36,1.795480990953236e-07
37,1.2418676716935302e-07
38,2.956841281639663e-07
39,1.472405739468989e-07
40,2.4066804333836197e-07
41,3.1912800720970095e-07
42,1.977690378667479e-07
43,2.6205977652654256e-07
44,2.1880272763445292e-07
45,1.2050944468364064e-07
46,2.8152336060668196e-07
47,8.85657701915399e-08
48,2.531941294672708e-07
49,1.984022897145739e-07
50,1.5774896722978845e-07
51,1.868675561379151e-07
52,2.441881018938771e-07
53,1.931616712958381e-07
54,2.380210660305888e-07
55,6.842443007737551e-08
56,1.6717068518176745e-07
57,9.65666533818677e-08
58,1.8159574215330303e-07
59,2.6425110000805816e-07
60,1.8522465348007012e-07
61,1.417569598399847e-07
62,1.167410504773565e-07
63,1.6757839421461935e-07
64,1.3011177764479981e-07
65,2.3293190643844314e-07
66,1.294843697289088e-07
67,1.5144244358643056e-07
68,1.8970558094718356e-07
69,3.5338860175710677e-07
70,1.856076614392407e-07
71,1.6836957252263672e-07
72,2.511792646111684e-07
73,2.298748225749194e-07
74,1.2312167151708787e-07
75,1.712408347202938e-07
76,2.366532685140622e-07
77,2.3270742819231805e-07
78,1.5275030290851168e-07
79,1.5121816864768922e-07
80,1.5473552217763928e-07
81,1.8868907919779318e-07
82,1.7184035043437738e-07
83,1.3985343537327013e-07
84,1.7093557577941188e-07
85,1.0796055983953531e-07
86,1.434462585361846e-07
87,1.199951434730899e-07
88,2.7979344947766497e-07
89,1.5047188953718437e-07
90,1.9686949760960494e-07
91,8.485232671651829e-08
92,1.171920700155757e-07
93,1.5919266127391754e-07
94,1.2660152431133255e-07
95,1.2726796874270754e-07
96,1.5539231719596785e-07
97,1.3033378530033506e-07
98,1.526504969460851e-07
99,1.5477069942035206e-07
100,2.1441466997396814e-07
101,1.3220459029932276e-07
102,1.3718026306861916e-07
103,9.589725967407905e-08
104,1.3506591893208535e-07
105,1.2056956233667402e-07
106,1.2389581982242385e-07
107,1.0653991598025215e-07
108,1.2408725723864788e-07
109,1.1598069105174554e-07
110,1.0462618824317059e-07
111,1.3616133074814132e-07
112,1.7461326612218012e-07
113,1.2067678249396044e-07
114,2.112912564619188e-07
115,1.6212992081009467e-07
116,1.515101824386412e-07
117,1.0270927719264762e-07
118,1.5684484852708023e-07
119,1.200005249511996e-07
120,9.70000834400088e-08
121,9.857899511175898e-08
122,1.4538222424222494e-07
123,8.921183707838327e-08
124,1.1566207800986186e-07
125,1.6032883775784016e-07
126,1.3589035809745973e-07
127,1.2049347745699733e-07
128,1.736287716701143e-07
129,1.1806283072968766e-07
