ell,kap_cl
0,5.359033784581025e-10
1,6.819243505549462e-09
2,8.845603035373307e-08
3,8.084905486595431e-08
4,6.818355994188853e-08
5,9.851836959981387e-08
6,1.712743944449393e-07
7,8.378941606625002e-08
8,1.0181578706137319e-07
9,2.1695703227498158e-07
10,1.9442376288084177e-07
11,2.337943996969108e-07
12,8.341016127211181e-08
13,1.8952107881515882e-07
14,1.3752752325319101e-07
15,2.1767812233385056e-07
16,2.3383082220745914e-07
17,3.010944604931001e-07
18,1.2591664944834375e-07
19,2.591032513455406e-07
20,1.2278915915471403e-07
21,2.0297472546629448e-07
22,1.4719054958472094e-07
23,2.0163866665908634e-07
24,2.3458840192385432e-07
25,2.3487709310173142e-07
26,1.8924019873706626e-07
27,2.5598814578096713e-07
28,2.549021063892025e-07
29,1.6238849398434064e-07
30,1.886761673048907e-07
31,2.430262867911526e-07
32,1.3827619161911601e-07
33,1.6558892938677432e-07
34,2.4226547855905627e-07
35,2.0344123541553738e-07
36,2.1948837307232636e-07
37,2.515192824529558e-07
38,1.7319898478120322e-07
39,1.8516038072613522e-07
40,2.142125441309499e-07
41,2.1232371337429307e-07
42,2.3473888844641912e-07
43,1.622266860361643e-07
44,2.573719733567504e-07
45,2.0036602716045507e-07
46,2.465285112567778e-07
47,2.526530533220281e-07
48,2.4042492454958685e-07
49,1.659912013330634e-07
50,2.743248232578315e-07
51,2.404727895976412e-07
52,2.2823910203817676e-07
53,2.5817478714028304e-07
54,2.211053616049192e-07
55,1.7679890479229216e-07
56,1.9615830408098103e-07
57,1.908613526659635e-07
58,2.0695040039133595e-07
59,1.7703140929818746e-07
60,1.822910382276697e-07
61,2.0202161331001735e-07
62,1.752502380768421e-07
63,1.8783394938389234e-07
64,1.776092509109372e-07
65,2.048954693730358e-07
66,1.84547022352094e-07
67,1.7402932634842866e-07
68,1.7291314330710302e-07
69,1.824421942297308e-07
70,1.9465877001683328e-07
71,1.7690789195149655e-07
72,2.125159071929298e-07
73,1.9025519192227624e-07
74,1.7323280114082893e-07
75,1.8678626689484258e-07
76,2.022493077027938e-07
77,1.9476445292375672e-07
78,1.7114811734650185e-07
79,1.8605653799287706e-07
80,1.453811281241208e-07
81,1.863412397838652e-07
82,1.8942231655456628e-07
83,1.3726671582205573e-07
84,1.3770654200700614e-07
85,1.50334451856036e-07
86,1.508097654257831e-07
87,2.0084858969285264e-07
88,1.842224038677554e-07
89,1.6044558418554983e-07
90,1.773759591015046e-07
91,1.6196022440254399e-07
92,1.5354633983914983e-07
93,1.8477086497412303e-07
94,1.6660256621610694e-07
95,2.0041375178330585e-07
96,1.569004719172326e-07
97,1.4442299803606406e-07
98,1.5996233418094821e-07
99,1.4674141586838556e-07
100,1.5781256091589496e-07
101,1.497847618924499e-07
102,1.5699731797940336e-07
103,1.544468435803938e-07
104,1.472664673648292e-07
105,1.6042072230911337e-07
106,1.2863823094524753e-07
107,1.7222063888618353e-07
108,1.2667642495337e-07
109,1.607065950704707e-07
110,1.4713584965914898e-07
111,1.2603544118338207e-07
112,1.3651389488787967e-07
113,1.5473562842343113e-07
114,1.7520292912564505e-07
115,1.5730306691296312e-07
116,1.2382536829382384e-07
117,1.4045811117049996e-07
118,1.4324703420749936e-07
119,1.0246525852970575e-07
120,1.6398268977976117e-07
121,1.437437952159506e-07
122,1.4181885454799867e-07
123,1.275874477257456e-07
124,1.1714088507284212e-07
125,1.1660793842900795e-07
126,1.4421079586610714e-07
127,1.347163247666837e-07
128,1.3898272919544096e-07
129,1.27212821496089e-07
130,1.2916659106148957e-07
131,1.2250606060457004e-07
132,1.4299495314295624e-07
133,1.2900505834619336e-07
134,1.2723821728975121e-07
135,1.4069922144295812e-07
136,1.2172663387734014e-07
137,1.2095574331620395e-07
138,1.3317698710621233e-07
139,1.2358334978767976e-07
140,1.1409724685845279e-07
141,1.164369031308771e-07
142,1.072847324226847e-07
143,1.1230653455273583e-07
144,1.2035084307270193e-07
145,1.302511646383429e-07
146,1.0547014057101838e-07
147,1.1783264326855138e-07
148,1.2046049010038686e-07
149,1.120969257587617e-07
150,1.1557083661386835e-07
151,1.041862750767376e-07
152,1.0337232902574783e-07
153,1.1543334122327049e-07
154,1.1313204012373871e-07
155,1.1437386744964243e-07
156,1.0618808790722652e-07
157,1.1597752248022245e-07
158,1.1096591424426004e-07
159,1.1678199718140413e-07
160,1.1634380558265655e-07
161,1.1112005477386786e-07
162,1.0565687074408394e-07
163,1.0059389439498845e-07
164,1.1642880946445305e-07
165,1.0255290478364692e-07
166,1.0118196500220099e-07
167,1.109407787381715e-07
168,1.1452682735843552e-07
169,1.0291042089050543e-07
170,1.0147528124157933e-07
171,1.0009000143453237e-07
172,9.309159475857785e-08
173,8.846888623221396e-08
174,9.316589636940782e-08
175,9.17001439661379e-08
176,9.05241812208309e-08
177,9.074248693020018e-08
178,9.444715489837168e-08
179,9.361309572146001e-08
180,9.567817985809465e-08
181,1.0401050451950756e-07
182,9.956530766457971e-08
183,8.615133124615354e-08
