ell,Cl
0,5.358504142684346e-10
1,6.8191900616054945e-09
2,8.845655503951081e-08
3,8.084916931861367e-08
4,6.818365965832709e-08
5,9.851834154183885e-08
6,1.7127444915433567e-07
7,8.378950055927399e-08
8,1.0181567172680432e-07
9,2.1695691267553575e-07
10,1.9442394627982732e-07
11,2.3379452570251418e-07
12,8.341006510588514e-08
13,1.8952104092765037e-07
14,1.3752757261011515e-07
15,2.176781517453863e-07
16,2.338304975098821e-07
17,3.0109452271087753e-07
18,1.2591672698856592e-07
19,2.591031691074363e-07
20,1.2278905321041734e-07
21,2.0297472664291655e-07
22,1.4719080178127733e-07
23,2.0163860310367616e-07
24,2.3458837355876475e-07
25,2.348771529098088e-07
26,1.8924035544821898e-07
27,2.5598815066131485e-07
28,2.549022678898608e-07
29,1.6238844327750346e-07
30,1.8867618969457092e-07
31,2.430262976279388e-07
32,1.382761370814087e-07
33,1.6558891679623194e-07
34,2.4226555187992135e-07
35,2.0344126590970352e-07
36,2.1948823848894816e-07
37,2.515192712725546e-07
38,1.731991595012524e-07
39,1.8516040876270833e-07
40,2.142124875158165e-07
41,2.123237719896273e-07
42,2.3473899716473664e-07
43,1.6222670070438308e-07
44,2.5737183358751853e-07
45,2.0036599782313362e-07
46,2.46528558527716e-07
47,2.5265308103709007e-07
48,2.404249303108305e-07
49,1.6599121785532028e-07
50,2.743246767898085e-07
51,2.4047282033031283e-07
52,2.2823917387620262e-07
53,2.581747518697619e-07
54,2.211053212487055e-07
55,1.7679888430968858e-07
56,1.961582767331905e-07
57,1.9086139545780027e-07
58,2.0695047868915564e-07
59,1.7703140600373699e-07
60,1.8229110671288113e-07
61,2.0202155034475598e-07
62,1.7525026077557267e-07
63,1.878339663494215e-07
64,1.7760933499739787e-07
65,2.0489546736351418e-07
66,1.8454710920523607e-07
67,1.7402932564283884e-07
68,1.7291311591035467e-07
69,1.8244219446419687e-07
70,1.9465858765982925e-07
71,1.7690790868878273e-07
72,2.1251589971474908e-07
73,1.9025514085034226e-07
74,1.7323276900707763e-07
75,1.8678622105087677e-07
76,2.0224938356196484e-07
77,1.9476448323525325e-07
78,1.711480943480931e-07
79,1.860565269540202e-07
80,1.4538117546962034e-07
81,1.8634119159552554e-07
82,1.894222453203496e-07
83,1.3726671656911343e-07
84,1.3770652417930716e-07
85,1.5033446555531847e-07
86,1.5080978178241668e-07
87,2.008485984841715e-07
88,1.842224445308053e-07
89,1.604455894428667e-07
90,1.773759151714347e-07
91,1.6196022800513642e-07
92,1.5354643191739748e-07
93,1.8477085721521002e-07
94,1.6660254773231543e-07
95,2.004137597348567e-07
96,1.5690051507133883e-07
97,1.444229668879108e-07
98,1.5996226910550784e-07
99,1.467414480965999e-07
100,1.5781246760837158e-07
101,1.4978478876782836e-07
102,1.56997298790113e-07
103,1.544468201818817e-07
104,1.4726643871065306e-07
105,1.604207458841254e-07
106,1.2863819714038162e-07
107,1.7222064770813014e-07
108,1.2667646392134325e-07
109,1.6070657389458138e-07
110,1.4713584732989006e-07
111,1.260354293270137e-07
112,1.3651389747824936e-07
113,1.5473565365409372e-07
114,1.7520292269072807e-07
115,1.573030836639311e-07
116,1.2382541589727712e-07
117,1.4045814393064716e-07
118,1.4324702529236514e-07
119,1.0246522829858366e-07
120,1.639826445405775e-07
121,1.4374378524159278e-07
122,1.418188559870654e-07
123,1.2758745954358648e-07
124,1.1714085584049978e-07
125,1.1660793614449449e-07
126,1.442107087189478e-07
127,1.3471628811535687e-07
128,1.3898263515828184e-07
129,1.2721282398059817e-07
130,1.2916659422451404e-07
131,1.2250605779683258e-07
132,1.4299491172176865e-07
133,1.290050655017083e-07
134,1.2723831287212133e-07
135,1.406992371169108e-07
136,1.2172666824402477e-07
137,1.209557374352294e-07
138,1.3317690699297482e-07
139,1.2358331388390268e-07
140,1.1409728346150484e-07
141,1.1643689634531436e-07
142,1.0728471780893559e-07
143,1.123065514645559e-07
144,1.2035084321070077e-07
145,1.3025115747115015e-07
146,1.0547011232885542e-07
147,1.1783265253018934e-07
148,1.2046053418432068e-07
149,1.1209689887228182e-07
150,1.155708164661044e-07
151,1.0418628880677696e-07
152,1.0337225290381865e-07
153,1.1543334453545011e-07
154,1.1313203042558012e-07
155,1.1437385843343492e-07
156,1.0618807206367481e-07
157,1.1597756125525408e-07
158,1.1096591936819095e-07
159,1.1678197899835302e-07
160,1.1634376317342708e-07
161,1.1112002562356263e-07
162,1.0565684262122667e-07
163,1.0059389760199126e-07
164,1.16428777459677e-07
165,1.0255291597874529e-07
166,1.0118202487343639e-07
