ell,Cl
0,5.359099052840183e-10
1,6.819233011437494e-09
2,8.845596547312865e-08
3,8.084907750582415e-08
4,6.818354785512036e-08
5,9.851836434382888e-08
6,1.7127438659899785e-07
7,8.378943242540001e-08
8,1.0181580144675327e-07
9,2.1695700881270234e-07
10,1.9442374030153116e-07
11,2.3379442437511363e-07
12,8.34101728473883e-08
13,1.8952107104593392e-07
14,1.3752751695147198e-07
15,2.1767812838039205e-07
16,2.3383086198242057e-07
17,3.010944729794719e-07
18,1.259166399521144e-07
19,2.591032355568302e-07
20,1.2278917244299454e-07
21,2.0297472564857224e-07
22,1.471905187934693e-07
23,2.0163865395197091e-07
24,2.3458840536308228e-07
25,2.3487710448191587e-07
26,1.8924017916023757e-07
27,2.559881467929327e-07
28,2.5490208645865864e-07
29,1.6238848382708007e-07
30,1.886761646954413e-07
31,2.4302628887205886e-07
32,1.3827619877362252e-07
33,1.6558892681404563e-07
34,2.42265469337538e-07
35,2.0344124134423475e-07
36,2.1948838938344154e-07
37,2.5151928005642484e-07
38,1.7319896330868473e-07
39,1.8516038615054808e-07
40,2.1421255177018917e-07
41,2.1232372493071556e-07
42,2.3473887482669107e-07
43,1.6222668935521187e-07
44,2.5737199039550324e-07
45,2.0036602110118063e-07
46,2.465285052135768e-07
47,2.526530586444794e-07
48,2.4042492381217134e-07
49,1.6599120435583456e-07
50,2.743248414878176e-07
51,2.40472795599879e-07
52,2.2823909298637638e-07
53,2.5817478025575404e-07
54,2.2110536647080283e-07
55,1.7679890092489137e-07
56,1.9615830722420682e-07
57,1.908613609677787e-07
58,2.069503906685591e-07
59,1.7703140877853677e-07
60,1.8229102981193497e-07
61,2.0202160098250635e-07
62,1.752502354229952e-07
63,1.8783395242745295e-07
64,1.7760924058190294e-07
65,2.0489546911837097e-07
66,1.8454701162531784e-07
67,1.7402932577640953e-07
68,1.7291314674965834e-07
69,1.82442194426591e-07
70,1.9465879234887795e-07
71,1.7690789513351103e-07
72,2.125159080720814e-07
73,1.9025518158167796e-07
74,1.7323280515705702e-07
75,1.867862578018978e-07
76,2.0224929803320917e-07
77,1.9476445895003568e-07
78,1.7114812011330615e-07
79,1.8605653547498192e-07
80,1.4538112223639016e-07
81,1.8634123037626977e-07
82,1.8942232547354198e-07
83,1.3726671596335816e-07
84,1.3770654403676874e-07
85,1.5033445469290888e-07
86,1.508097634591974e-07
87,2.0084859169461689e-07
88,1.8422239900398054e-07
89,1.6044558489038905e-07
90,1.7737596427509723e-07
91,1.6196022513979437e-07
92,1.5354632866290296e-07
93,1.847708633524681e-07
94,1.666025684630448e-07
95,2.004137532115728e-07
96,1.5690046646997968e-07
97,1.4442299205694422e-07
98,1.5996234218010095e-07
99,1.4674142237835418e-07
100,1.5781257268395035e-07
101,1.4978476702185344e-07
102,1.5699732016403768e-07
103,1.5444683908578088e-07
104,1.4726647078670893e-07
105,1.6042072709046658e-07
106,1.2863823512695062e-07
107,1.722206406203208e-07
108,1.2667642018044777e-07
109,1.6070659077762453e-07
110,1.471358499662397e-07
111,1.2603543856241723e-07
112,1.3651389460250463e-07
113,1.5473563364712373e-07
114,1.7520292981946437e-07
115,1.5730307046951627e-07
116,1.238253624713449e-07
117,1.4045811748803706e-07
118,1.4324703544018723e-07
119,1.0246525228815214e-07
120,1.63982695215109e-07
121,1.437437929691198e-07
122,1.4181885440868615e-07
123,1.2758744989056602e-07
124,1.1714088872671932e-07
125,1.1660793827349744e-07
126,1.4421080672253753e-07
127,1.3471631746728138e-07
128,1.38982740693221e-07
129,1.2721282199272722e-07
130,1.2916659055129616e-07
131,1.2250605993404668e-07
132,1.4299495827522133e-07
133,1.2900505964653613e-07
134,1.2723820557321366e-07
135,1.4069922456753238e-07
136,1.2172662959909051e-07
137,1.2095574220650261e-07
138,1.3317699705689334e-07
139,1.2358334283964867e-07
140,1.1409724235801701e-07
141,1.1643690187831665e-07
142,1.072847341945884e-07
143,1.1230653807391121e-07
144,1.2035084311818704e-07
145,1.3025116314451955e-07
146,1.0547014408033881e-07
147,1.1783264495355454e-07
148,1.204604847305733e-07
149,1.1209692076387237e-07
150,1.1557083901904786e-07
151,1.0418627807794555e-07
152,1.033723382408559e-07
153,1.1543334204840552e-07
154,1.1313204132926356e-07
155,1.1437386586367032e-07
156,1.0618808963334843e-07
157,1.1597753003106775e-07
158,1.1096591348626635e-07
159,1.1678199358736165e-07
160,1.1634381079538514e-07
161,1.1112004875845591e-07
162,1.0565687419857053e-07
163,1.0059389516498095e-07
164,1.1642881351049527e-07
165,1.0255290667680114e-07
166,1.0118195771007486e-07
167,1.1094077585671574e-07
168,1.1452682024841397e-07
169,1.0291042199098747e-07
170,1.0147527606875898e-07
171,1.0008999744136831e-07
172,9.309159805929041e-08
173,8.846888594656693e-08
174,9.31658923525481e-08
175,9.170014302877999e-08
176,9.052418571372651e-08
177,9.074248947195689e-08
178,9.44471536625253e-08
179,9.361309210417696e-08
180,9.567818458084237e-08
181,1.0401050620896947e-07
182,9.956530679932284e-08
183,8.615133178616614e-08
184,1.0109785808917017e-07
185,9.912572581101012e-08
186,9.795299334304391e-08
187,9.337266556642999e-08
188,1.0240043133281994e-07
189,7.869869252858696e-08
190,9.003840644905841e-08
191,7.957812955005846e-08
192,9.768729830619022e-08
193,8.756222218449267e-08
194,8.442285014455313e-08
195,9.888029478065994e-08
196,9.01152895710808e-08
197,9.682734441553036e-08
198,9.205816854025456e-08
199,8.460268186449693e-08
200,9.339662866645133e-08
201,8.69537675615424e-08
202,8.801921285567106e-08
203,8.697784783355884e-08
204,8.628663333474782e-08
205,7.979934132951471e-08
206,8.565258194917442e-08
207,9.217964543236015e-08
208,7.820797258995376e-08
209,8.184770847535741e-08
210,8.284182936767679e-08
211,8.425187507974674e-08
212,7.827461459073758e-08
213,8.074682564926829e-08
214,8.753859341947406e-08
215,8.242417600261098e-08
216,8.626608667161966e-08
217,8.607761357369423e-08
218,8.882627665166015e-08
219,6.832439854130507e-08
220,8.511373909785458e-08
221,7.373810659829351e-08
222,8.296574927468068e-08
223,8.327683937636948e-08
224,8.702283931843716e-08
225,7.6924567863904e-08
226,7.740301245636917e-08
227,6.931884345256683e-08
228,7.656771603644856e-08
229,7.718301683439559e-08
230,8.163665102403959e-08
231,7.75039806678492e-08
232,8.186001245092544e-08
233,7.035016403411494e-08
234,7.212182361814959e-08
235,7.23313936879922e-08
236,7.384869492853387e-08
237,7.803734683184944e-08
238,7.200437417762467e-08
239,7.728577826645867e-08
240,7.221055822469466e-08
241,7.66347375468273e-08
242,7.137581110280062e-08
243,7.127291552078001e-08
244,7.241558882683327e-08
245,7.044002065502135e-08
246,6.298519890621843e-08
247,7.751198929725813e-08
248,7.031053730958855e-08
249,7.114275722565405e-08
250,6.927185955765676e-08
251,6.930437163883351e-08
252,6.652586603434181e-08
253,6.056367214046185e-08
254,6.908379875000035e-08
255,6.658869960512585e-08
256,6.706242507902319e-08
257,6.419103376976092e-08
258,6.185576312449862e-08
259,6.586014413175469e-08
260,6.263829096827596e-08
261,6.629783033190582e-08
262,6.311985430054227e-08
263,6.68407439444129e-08
264,6.29811127912766e-08
265,6.700018742159971e-08
266,6.278379269582045e-08
267,6.268145338888104e-08
268,6.798524737525168e-08
269,6.848620819943136e-08
270,6.700604265437203e-08
271,6.189067652111158e-08
272,5.67948640485368e-08
273,6.334638426311232e-08
274,6.021464142656601e-08
275,6.528518858402186e-08
276,6.144164888370305e-08
277,5.443904806665702e-08
278,5.94158287714023e-08
279,6.903981440769326e-08
280,5.919805957791495e-08
281,6.09265475096372e-08
282,6.264817394267897e-08
283,5.841751026401324e-08
284,6.152225891002669e-08
285,5.8877504774228e-08
286,5.118243064969943e-08
287,5.3474273440655276e-08
288,5.6547292483947044e-08
289,5.71676586623304e-08
290,6.20554609182039e-08
291,5.5554056927096136e-08
292,5.5773888134142885e-08
293,5.887320090447167e-08
294,6.125939932675999e-08
295,5.607769059502779e-08
296,5.7769777943815976e-08
297,5.567072619004294e-08
298,5.627447998611128e-08
299,5.2482287447743093e-08
300,5.985457901447815e-08
301,5.4532932144349834e-08
302,5.3949682717439105e-08
303,5.371006665687183e-08
304,6.05120467366285e-08
305,5.279911488270397e-08
306,5.789393509542952e-08
307,5.294280668731321e-08
308,5.2898214149352804e-08
309,5.6834666014994295e-08
310,5.464655823964212e-08
311,5.411209002511705e-08
312,5.844455516471583e-08
313,5.168005741899071e-08
314,5.385603618195074e-08
315,5.222080392312663e-08
316,5.706555810448536e-08
317,5.135967985553774e-08
318,5.5301293089690424e-08
319,5.709883174751227e-08
320,5.204739528318263e-08
321,5.077198156139624e-08
322,5.4831514258861357e-08
323,5.474387729958179e-08
324,4.8470800199831345e-08
325,5.5915011745639174e-08
326,5.81429024070475e-08
327,5.5886488092028077e-08
328,5.1884129326032274e-08
329,5.034228245039229e-08
330,5.362311115195601e-08
331,4.949679813538758e-08
332,5.234300895426118e-08
333,5.5403783948845776e-08
334,5.434677943537784e-08
335,5.136070204097038e-08
336,5.4452120376812297e-08
337,4.7342047509461955e-08
338,5.27075930092851e-08
339,4.895693344244655e-08
340,4.8416708886133254e-08
341,4.875454708635282e-08
342,4.9666893176336047e-08
343,5.2149837855611834e-08
344,4.349040960475953e-08
345,4.7652941260529925e-08
346,5.119487587508868e-08
347,4.6458464908990854e-08
348,4.6853976095377766e-08
349,4.600720646838552e-08
350,5.197031628004675e-08
351,4.744622611714719e-08
352,4.314706459555621e-08
353,4.51156489375255e-08
354,4.8745086149605955e-08
355,4.759765021654504e-08
356,4.760731219749309e-08
357,4.1966298450460475e-08
358,4.7639593458715756e-08
359,4.173713175905678e-08
360,4.811158510781495e-08
361,4.585854672828644e-08
362,4.4961311847610304e-08
363,4.444583697756233e-08
364,3.759846428540333e-08
365,4.920418710893481e-08
