Ls,noise_cl
140.0,5.2309301887316605e-08
340.0,5.623284860426071e-08
540.0,5.5858122071458765e-08
740.0,5.5126298345015415e-08
940.0,5.394502037886228e-08
1140.0,5.247946127474054e-08
1340.0,5.1072839164487394e-08
1540.0,4.959361702416123e-08
1740.0,4.827379135434103e-08
1940.0,4.742967416969725e-08
2140.0,4.714582189541726e-08
2340.0,4.772782995849576e-08
2540.0,4.955337694679204e-08
2740.0,5.3395362327793425e-08
2940.0,5.949599760355261e-08
3140.0,6.8534210922924e-08
3340.0,8.401613669421009e-08
3540.0,9.974230558203214e-08
3740.0,1.106600300524827e-07
