Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
105.0,3.557712453846323e-07,4.529314057501244e-09,-0.028609972279876925,0.035270795431846615,2.8262407968982493e-11,6.428697725816596e-08,1.3270818822985467e-07,2.3302170823948397e-09,1.1668450476591549e-07,1.8250759401539126e-09
255.0,1.4744889702401278e-07,1.0430618192316983e-09,-0.004176233529581299,0.01651984803160811,4.850892924102766e-12,7.780337391967529e-08,6.429182167117839e-08,4.817330560564828e-10,5.90224996779755e-08,6.416877799375644e-10
405.0,1.3305786363712292e-07,1.2617560078434415e-09,-0.0015362993968058777,0.03422428035164827,2.141507951367552e-12,8.722177281216515e-08,3.6959879823397663e-08,1.509135010313652e-10,3.4613242129816334e-08,2.8791186636036694e-10
555.0,1.234983019113496e-07,9.953728842510022e-10,0.007070561259430803,0.044148170872963986,1.2009449311019138e-12,9.223907071932384e-08,2.2470867100905e-08,9.528105972325874e-11,2.145894036149086e-08,1.890751687649376e-10
705.0,1.229423846536749e-07,1.1893967188014005e-09,-0.008665847129838165,0.07581857734764352,7.857618552720212e-13,9.729985937025847e-08,1.5669568274442237e-08,5.54527718522391e-11,1.501018205606309e-08,1.1598693281660262e-10
855.0,1.1903141991746687e-07,9.991922936421073e-10,-0.015651047952164727,0.08530561201884294,5.472971706153767e-13,9.985789111904161e-08,1.1633409678431786e-08,3.8294743394704095e-11,1.1053443979604638e-08,8.96806765201522e-11
1005.0,1.2222309137993018e-07,9.577468685916417e-10,-0.00812712120589567,0.10692693675092503,4.166047341123166e-13,1.0511150535649462e-07,8.96003803506103e-09,2.9036003209461267e-11,8.591268966181879e-09,7.890181010428188e-11
1155.0,1.2306861384235968e-07,9.083988873913724e-10,-0.011134786663032439,0.12733385432774721,3.2568657590090646e-13,1.0849284867027854e-07,7.098489167451144e-09,2.163050117394961e-11,6.886204882874228e-09,7.264264309501016e-11
1305.0,1.2611703500924477e-07,8.867249576659979e-10,-0.05152899074893752,0.15312005747185842,2.6583161913835894e-13,1.131159692539146e-07,5.797402805876474e-09,1.2397067804798468e-11,5.572952808537895e-09,3.6994983747963025e-11
1455.0,1.269242698059765e-07,9.048868065536861e-10,-0.014588401224876146,0.18878581528152127,2.1821805875432148e-13,1.1545908148628711e-07,4.790399165416379e-09,1.1135651023271988e-11,4.701048396638754e-09,5.3337446335620855e-11
1605.0,1.3321052990426646e-07,8.102736146177664e-10,-0.05013347453765016,0.19793496158977034,1.9105894680296445e-13,1.2309430210338375e-07,4.0630121849438706e-09,1.2229415339986948e-11,3.960599168772186e-09,3.752335637357422e-11
1755.0,1.4227037409165285e-07,8.409713301738884e-10,-0.03548327156071972,0.2393802694403685,1.7058260868086994e-13,1.3137123913529095e-07,3.5062442961520685e-09,1.0955516977706286e-11,3.466762008572555e-09,3.8437021322418005e-11
1905.0,1.5409328494518943e-07,9.102020142996871e-10,-0.041140717544575676,0.29886996066164384,1.5754429487426392e-13,1.4304516025537892e-07,3.037889472905199e-09,5.499081796744418e-12,2.964497977036031e-09,3.650594937292469e-11
2055.0,1.6442127324964207e-07,9.002591106773573e-10,0.06818772897245184,0.3369583327079131,1.4567423777671763e-13,1.5383800116660557e-07,2.6652663884733688e-09,6.960036210575723e-12,2.6364449696518646e-09,3.606092772865014e-11
2205.0,1.899932748074344e-07,1.0187423768886228e-09,-0.13684409619681864,0.4340662231824512,1.4759576649291868e-13,1.797913985384469e-07,2.337858401040204e-09,7.224306285743636e-12,2.3405042879969174e-09,3.643172969448564e-11
2355.0,2.3816052327133856e-07,1.3972668975634443e-09,0.026463810067720757,0.6619152785999386,1.6107146049328023e-13,2.2375306053932092e-07,2.1045536599934474e-09,6.504366544999873e-12,2.0816293467014066e-09,2.92970487765568e-11
2505.0,2.941219325820129e-07,1.5241686630612084e-09,-0.16492410096832724,0.8001570729736152,1.76211878306847e-13,2.7697098710065955e-07,1.8950419822759997e-09,5.985049207269469e-12,1.8807678290060486e-09,3.291431988762514e-11
2655.0,3.3943099772373e-07,1.8002250386742532e-09,-0.042779836527863324,1.0442243019432904,1.8007735735280868e-13,3.175082365245856e-07,1.7167690382791032e-09,4.098736100983719e-12,1.6893716001730667e-09,3.564249419978429e-11
2805.0,3.9794907151358123e-07,1.9798335280378085e-09,-0.21496458214459638,1.2674335528328426,1.937765591115844e-13,3.81818771578619e-07,1.5580177136353249e-09,5.1413986251009846e-12,1.5051281610327048e-09,3.7377788869887554e-11
