Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
105.0,6.960488011721998e-07,6.74278498313481e-09,-0.013887632475290984,0.053531902890760465,1.0033809947903366e-10,2.350912003205223e-07,1.3270818822985467e-07,2.3302170823948397e-09,1.1504223058013263e-07,1.8151173930754414e-09
255.0,3.887510338960978e-07,2.8670893797138393e-09,0.0006783148832013339,0.044798830372053976,1.946509560291024e-11,3.1375317368329744e-07,6.429182167117839e-08,4.817330560564828e-10,5.981903116514576e-08,9.265663537829986e-10
405.0,3.9021410700519916e-07,2.737674033380966e-09,0.0004020803882851809,0.07424053133216403,8.473915924431331e-12,3.4431499770334674e-07,3.6959879823397663e-08,1.509135010313652e-10,3.4802257645525624e-08,3.6806835457345823e-10
555.0,3.91025329580911e-07,2.4558007796286702e-09,-0.00279691214181099,0.10825279499296937,4.71478490198836e-12,3.6230246092648663e-07,2.2470867100905e-08,9.528105972325874e-11,2.1424831345757133e-08,3.2796878416452894e-10
705.0,4.0890598730823717e-07,2.101713149376327e-09,0.005780335555848535,0.13426810653210627,3.106053281369939e-12,3.8477975320231465e-07,1.5669568274442237e-08,5.54527718522391e-11,1.5095879426165036e-08,2.0934463417057317e-10
855.0,4.250292827272192e-07,2.0035376858411813e-09,0.024643864556119242,0.17209698059218403,2.2268448726076206e-12,4.067246454128424e-07,1.1633409678431786e-08,3.8294743394704095e-11,1.1157221788311367e-08,1.5852010154657901e-10
1005.0,4.5449428959385833e-07,2.067051189441157e-09,0.01749945404517387,0.23011278825288106,1.7384313006609935e-12,4.388903977846563e-07,8.96003803506103e-09,2.9036003209461267e-11,8.737811411303537e-09,1.21845925274032e-10
1155.0,4.899514637111034e-07,2.542160004723496e-09,-0.0306788109384972,0.35613366703392324,1.4246824377313983e-12,4.7522159901394647e-07,7.098489167451144e-09,2.163050117394961e-11,6.873690109681899e-09,1.3757352345222755e-10
1305.0,5.385908477842528e-07,2.3062728973745182e-09,-0.0642373478491922,0.3971571065549841,1.2307760310929749e-12,5.243296205197344e-07,5.797402805876474e-09,1.2397067804798468e-11,5.5102610189350475e-09,1.0982535411131847e-10
1455.0,5.986857569763218e-07,2.8795817174258403e-09,-0.002771596330742248,0.5985735969768299,1.0975468227594247e-12,5.816281388986826e-07,4.790399165416379e-09,1.1135651023271988e-11,4.799391581617609e-09,9.953539187718692e-11
1605.0,6.800103854044783e-07,3.164105994377495e-09,-0.05063574484198084,0.7749015361558985,1.0259431011398704e-12,6.61464302124896e-07,4.0630121849438706e-09,1.2229415339986948e-11,4.038967077877063e-09,7.263738764580352e-11
1755.0,7.758601688751572e-07,3.439102899703388e-09,-0.07907427740874858,0.9804443419641172,9.775636857036527e-13,7.536955171760815e-07,3.5062442961520685e-09,1.0955516977706286e-11,3.4144065937459394e-09,9.056686438242428e-11
1905.0,9.003833389494081e-07,4.357178888862582e-09,0.03843219050681146,1.4321764226376252,9.549099351844347e-13,8.674858678019294e-07,3.037889472905199e-09,5.4990817967444185e-12,2.950261371669844e-09,1.0059998564939677e-10
2055.0,1.02423736292646e-06,5.156049967463953e-09,0.17261946237799247,1.9212813205300552,9.327794163955278e-13,9.85681799630099e-07,2.6652663884733688e-09,6.960036210575724e-12,2.5268492551665238e-09,7.387837487859768e-11
2205.0,1.1546906305447002e-06,5.453013099271798e-09,0.0855453220971542,2.320418841446504,9.165266520416924e-13,1.1150198289631292e-06,2.337858401040204e-09,7.2243062857436365e-12,2.3080629422899605e-09,9.669536102796483e-11
