Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
105.0,3.4079413679902486e-07,6.035099963160018e-09,-0.07142015787026373,0.04811906198808268,1.130634133689992e-11,2.5243474842276466e-08,1.3270818822985467e-07,2.3302170823948397e-09,1.1219223632299485e-07,2.087540937639281e-09
255.0,9.977626180395777e-08,8.264875732404977e-10,-0.024423839356110606,0.01264817728390935,1.725698722943375e-12,2.7322978630910696e-08,6.429182167117839e-08,4.817330560564828e-10,5.632972634306481e-08,4.113108668943465e-10
405.0,7.525929792278586e-08,9.615532885425889e-10,-0.034017089168157155,0.025837691453188923,6.963920607619538e-13,2.828917876688173e-08,3.6959879823397663e-08,1.509135010313652e-10,3.2653045484124215e-08,2.471540988065644e-10
555.0,6.255697596450264e-08,6.976722875110039e-10,-0.026286753858690323,0.030774286155255997,3.7389154150261396e-13,2.8646100356829304e-08,2.2470867100905e-08,9.528105972325874e-11,2.048874195487815e-08,1.2718607171924113e-10
705.0,5.5655512411183345e-08,6.021156039110803e-10,-0.029072248652292427,0.038097883408009285,2.334551456033014e-13,2.8879808298659598e-08,1.5669568274442237e-08,5.54527718522391e-11,1.4238461675285842e-08,6.790257840610542e-11
855.0,5.129040361238308e-08,5.807211362091333e-10,-0.015130458196845288,0.049380806455741,1.5754599603345857e-13,2.870203410239042e-08,1.1633409678431786e-08,3.8294743394704095e-11,1.0606365274507883e-08,5.839506863296493e-11
1005.0,4.8150753516665034e-08,5.265999631127505e-10,0.007386136456988133,0.05862734538557332,1.1230341750996813e-13,2.8288983780787993e-08,8.96003803506103e-09,2.9036003209461267e-11,8.291010951449549e-09,5.058339406895345e-11
1155.0,4.424049585879981e-08,4.651386897469378e-10,-0.045907887407422555,0.06505370146092963,8.275334829659114e-14,2.7528265954170193e-08,7.098489167451144e-09,2.163050117394961e-11,6.544375053059302e-09,3.735876256514611e-11
1305.0,4.1414732927915426e-08,4.0561685501918066e-10,-0.04192335822611295,0.07013331090247192,6.289187540676192e-14,2.67287656013756e-08,5.797402805876474e-09,1.2397067804798468e-11,5.341070262820295e-09,2.867361156879117e-11
1455.0,3.8912385156156835e-08,3.3616033245692104e-10,-0.048538261580916696,0.07003847803817496,4.885392628886694e-14,2.581902698172491e-08,4.790399165416379e-09,1.1135651023271988e-11,4.492832743455935e-09,2.6210188216086674e-11
1605.0,3.676440783282662e-08,3.3931397799325305e-10,-0.052751115728508324,0.08273910233553526,3.862333931278535e-14,2.4836901643732626e-08,4.0630121849438706e-09,1.2229415339986948e-11,3.801594572202798e-09,2.1430844533076203e-11
1755.0,3.4655900221439027e-08,3.06051510587825e-10,-0.040648529989732306,0.08715752292931413,3.092485689972461e-14,2.377989274027268e-08,3.5062442961520685e-09,1.0955516977706286e-11,3.3088315887012643e-09,2.0375389732339815e-11
1905.0,3.2751541451007123e-08,2.769566295170886e-10,-0.053450057276896584,0.09085471451958627,2.5151707884137213e-14,2.2798030967120626e-08,3.037889472905199e-09,5.4990817967444185e-12,2.877106616682034e-09,1.7091254977844827e-11
2055.0,3.131645215667822e-08,2.6714607961300124e-10,-0.05141803801709943,0.09942276249252135,2.0931059272249133e-14,2.2075452901112496e-08,2.6652663884733688e-09,6.960036210575724e-12,2.538951146315544e-09,1.5017561382073424e-11
2205.0,3.007719193851282e-08,1.9798376985886964e-10,-0.03767955298045042,0.08380003179552305,1.7576595500420412e-14,2.1348058443693777e-08,2.337858401040204e-09,7.2243062857436365e-12,2.2477187189854504e-09,1.5150733554061608e-11
2355.0,2.9266460154185387e-08,2.156051624602448e-10,-0.03472301622444648,0.10166075269399995,1.502946205431271e-14,2.0828231846694088e-08,2.1045536599934474e-09,6.504366544999873e-12,2.0327522975975527e-09,1.4700987546522996e-11
2505.0,2.8402097520162215e-08,1.5320273169985464e-10,-0.013547738979506414,0.08024522957562327,1.3008579022077587e-14,2.040348071080516e-08,1.8950419822759997e-09,5.985049207269469e-12,1.8133810340390816e-09,1.4186121582355459e-11
2655.0,2.8949864755288626e-08,1.842039631581248e-10,-0.0017141530016899036,0.10706590349221763,1.1796960101352856e-14,2.0786220108325143e-08,1.7167690382791032e-09,4.098736100983719e-12,1.6658193941853764e-09,8.050896738265397e-12
2805.0,2.9505029063157593e-08,1.5068278129875994e-10,-0.11415189199471325,0.09553066375643228,1.08007244894885e-14,2.1243977054096233e-08,1.5580177136353249e-09,5.141398625100986e-12,1.5331900012391012e-09,1.2504188153948016e-11
2955.0,3.115182000791454e-08,1.875900641127277e-10,-0.07616045757429166,0.13123423347094476,1.023018409112667e-14,2.2336525527720476e-08,1.424004592783202e-09,2.7499885054746194e-12,1.407888308310503e-09,9.728432713156291e-12
3105.0,3.28222580266913e-08,1.5620880640957279e-10,-0.06384516378497232,0.1194869947575088,9.804295406792865e-15,2.364399338584075e-08,1.3001701603227166e-09,3.354381399094971e-12,1.2892307456767725e-09,8.655543370112414e-12
3255.0,3.868938984031001e-08,2.038854480589448e-10,-0.008550958260038247,0.1693948231843331,1.0488493307652492e-14,2.7818516380391777e-08,1.1988410745049898e-09,3.2558721774219016e-12,1.2061781987888081e-09,1.2418086709739796e-11
3405.0,4.6131184767062234e-08,2.220050155225798e-10,-0.02769684508713407,0.1994576040836755,1.1537648994580784e-14,3.3481753389211016e-08,1.109975252076584e-09,3.686032743515516e-12,1.097280292147902e-09,8.894643157780477e-12
3555.0,5.520841326271318e-08,2.9827374173524657e-10,-0.05404792965248449,0.2880924238348875,1.2729382172749993e-14,4.0252453652108515e-08,1.0309260419003538e-09,2.976740568737982e-12,1.0627392478375025e-09,1.01392980811752e-11
3705.0,6.062876846956544e-08,3.3444699660178513e-10,-0.08612554821731513,0.35187810699801797,1.3107849800251943e-14,4.5016171322833475e-08,9.525703451945038e-10,3.1798715041004453e-12,9.774925941326387e-10,1.0293682166152508e-11
3855.0,6.850339744949786e-08,3.7690155652191246e-10,0.2708060958079788,0.4226470362687816,1.4130461994386814e-14,5.251799488580045e-08,8.923759125894326e-10,1.965163604910959e-12,9.169979540475605e-10,9.520152491740481e-12
