Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
140.0,2.795964859233847e-07,1.4944497208052115e-08,-0.015600745948679542,0.13077296365655494,1.8351391658955442e-11,7.770974000153903e-08,1.1325669470616186e-07,6.059537614246091e-09,9.8603385295522e-08,6.907064465694639e-09
340.0,1.486513071292635e-07,6.581498881685449e-09,-0.02214587516008179,0.13294353535514986,3.3301982406753605e-12,9.488404022777757e-08,4.913246043813247e-08,1.3547677431434114e-09,4.5568886641728955e-08,2.0440917362572985e-09
540.0,1.3448503614857612e-07,5.994757911139314e-09,-0.022377382769896263,0.22786429896761956,1.4112645633720679e-12,1.0229838179909743e-07,2.6204792135125375e-08,6.80809382122519e-10,2.467926002678768e-08,1.1827172180558808e-09
740.0,1.3224602273170968e-07,5.702483110470303e-09,-0.017459050527083034,0.3473810121014349,7.963393203746561e-13,1.0847032831697096e-07,1.6461946521459504e-08,2.921460144889093e-10,1.556353157245678e-08,6.99572822838043e-10
940.0,1.3111897727628232e-07,5.046208716213847e-09,-0.04118586438169974,0.4476433354518896,5.171676520264525e-13,1.1404691666006213e-07,1.1329905586064607e-08,1.8937495217943406e-10,1.0777428129463388e-08,5.375908303223906e-10
1140.0,1.3247008875130075e-07,4.686290567221402e-09,-0.026583770105287174,0.5648730006676058,3.7005251959142006e-13,1.2010247731428716e-07,8.292721883187212e-09,1.3488205547728139e-10,7.817364246928722e-09,3.6811188868572243e-10
1340.0,1.3673676531613592e-07,4.569506371507013e-09,-0.01649142562035899,0.7137263608648149,2.82071019762401e-13,1.2646761240397054e-07,6.38612452018398e-09,9.476685584627895e-11,6.083013827016406e-09,2.7990097663816217e-10
1540.0,1.4039623436510893e-07,4.034940326358618e-09,-0.013812796373891196,0.7907513679451162,2.2512611718241507e-13,1.335182437184139e-07,5.104711380882024e-09,6.930852666160876e-11,4.85736591835684e-09,2.5903294166011613e-10
1740.0,1.516100249901908e-07,3.6261478454214466e-09,-0.03258958238485979,0.8682440100559486,1.9408585552094103e-13,1.4697283871374675e-07,4.1789172275017e-09,5.026532134367088e-11,3.938751166325226e-09,2.2694245372835689e-10
1940.0,1.6861118243452168e-07,4.3835367198684235e-09,-0.023243725411034637,1.2507767463266586,1.750014422713422e-13,1.6484310790241832e-07,3.5159213206294457e-09,4.372581004648228e-11,3.3672752079881552e-09,2.476229664806329e-10
2140.0,1.8987720345402043e-07,3.5391646777256406e-09,-0.05785361616204833,1.1814540857124534,1.652904705461265e-13,1.897584968575002e-07,2.993715701040167e-09,4.009068643501498e-11,2.848607183161456e-09,1.6696530685931437e-10
2340.0,2.501580706923439e-07,4.534241959984226e-09,-0.06800191485115531,1.74712575642766,1.824006262401937e-13,2.5047686238561133e-07,2.5952669569270203e-09,3.011865098379043e-11,2.5133268358009008e-09,1.7519680588303943e-10
2540.0,3.2442908136772247e-07,6.6972269923066635e-09,-0.07271299596147984,2.9093135841725957,2.015920176340434e-13,3.2593291311322e-07,2.2845432611993388e-09,2.814455190898156e-11,2.174963471725481e-09,1.964848835000105e-10
2740.0,3.85914767015986e-07,8.39414673120226e-09,-0.17061260578146994,4.152359883037591,2.0784535523509908e-13,3.91135736468241e-07,2.0220942559503693e-09,1.7615715571881787e-11,1.9728408710854784e-09,2.1313967083523345e-10
