Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
105.0,9.061931262142694e-07,8.535259336334259e-09,-0.013818394014909897,0.060872731658866246,1.819878016509918e-10,4.3409254318301915e-07,1.3878960633424223e-07,1.6832899320389179e-09,1.1418491388739054e-07,2.85081142466435e-09
255.0,6.900093258400178e-07,4.146112164411373e-09,-0.008272737746797033,0.06047806034493247,3.8793911984417286e-11,6.30258755027532e-07,6.856161417981192e-08,3.819392689262589e-10,6.267510148518609e-08,9.399282122901326e-10
405.0,7.414660822505189e-07,5.426698678284783e-09,-0.011551304667500277,0.13789041054938797,1.7604993826743757e-11,7.159825007206493e-07,3.946671199597959e-08,2.4044135943091433e-10,3.7376150472260035e-08,5.747533939503738e-10
555.0,7.775879280654354e-07,4.658814517985454e-09,-0.004223153709762812,0.18493779665100288,1.002461950284383e-11,7.713582826533465e-07,2.5166598888918734e-08,1.0966482754612056e-10,2.3730274621276365e-08,4.225298704258701e-10
705.0,8.449012074247849e-07,3.926577320150137e-09,-0.011449737207647921,0.2209834354700475,6.765249160868964e-12,8.386644651394817e-07,1.7765680806215987e-08,5.997618275710163e-11,1.79394770263728e-08,3.4866172939682736e-10
855.0,9.048563635229086e-07,4.07851674801823e-09,-0.02068909059568659,0.30990124304309535,4.975370136909448e-12,9.095781498573409e-07,1.3084868802700313e-08,4.291058287000337e-11,1.3104143254297107e-08,3.0860102358522974e-10
1005.0,1.0002475863485822e-06,4.320961519120045e-09,-0.044996231859734906,0.4273174699136569,4.012988096499509e-12,1.013959225722745e-06,1.0194152871218165e-08,3.6597858743654156e-11,1.025399873774189e-08,2.536436979426159e-10
1155.0,1.114461960183869e-06,3.580052580005461e-09,-0.060402200907615056,0.4414804880306084,3.4060875044322113e-12,1.1370521105985552e-06,8.124054662817857e-09,2.1565672168708658e-11,7.827336438560357e-09,2.1240693128236452e-10
1305.0,1.2824296171629704e-06,6.113508793407957e-09,-0.029553589895197938,0.9184418489282119,3.0496852705400245e-12,1.3000487633415934e-06,6.648621400604144e-09,1.7859570117702658e-11,6.222748388027221e-09,1.8623587421010497e-10
1455.0,1.4639921227193881e-06,7.230123133068173e-09,-0.02576611437949258,1.2894533595654571,2.8018340115874153e-12,1.4854563008635462e-06,5.594956003006071e-09,1.446512285280129e-11,5.438810878258412e-09,1.783683004262789e-10
1605.0,1.692382671022392e-06,7.140130177399816e-09,0.04192149703257399,1.492151747033372,2.6771435744617454e-12,1.726463898256294e-06,4.771966957170894e-09,1.3972454779003429e-11,4.582952274170297e-09,1.830840231764129e-10
1755.0,1.9329933766170454e-06,8.94267091347777e-09,0.03953107968893442,2.1790258579538713,2.5536426176668507e-12,1.9684953405692814e-06,4.115963355683991e-09,9.262280727481876e-12,3.817448102346032e-09,1.3586043248414897e-10
1905.0,2.189487252573923e-06,8.767748533231278e-09,0.00605388216432713,2.4217659430100924,2.457210698281226e-12,2.23181247800487e-06,3.625803891735172e-09,8.107058742043114e-12,3.727689972514999e-09,1.3469057990477197e-10
2055.0,2.439692477013864e-06,9.157431674200836e-09,-0.09311837645990807,2.8671621094168347,2.3619387060017996e-12,2.495354464826555e-06,3.1919906936298338e-09,6.998555205764289e-12,3.0114318341398805e-09,1.147358079487831e-10
2205.0,2.741495195389537e-06,1.2682720889295637e-08,-0.05999788318095028,4.45515115066165,2.29087147055367e-12,2.7868752728973556e-06,2.8526241678187514e-09,7.199655970524688e-12,2.812414162974755e-09,1.3243458681201048e-10
2355.0,3.063270305312195e-06,1.4802239192432018e-08,-0.155401163703169,5.753107137437315,2.2498713844923066e-12,3.122750369556671e-06,2.571135811079151e-09,4.5877454034061976e-12,2.4487153726806095e-09,1.59963990647681e-10
2505.0,3.5090369244353435e-06,1.4351158453673907e-08,-0.19792887233867942,6.1351513763521455,2.2598098914015276e-12,3.5493573096877644e-06,2.332088469465176e-09,6.1192597746285085e-12,2.2162450378436517e-09,1.3929864068936913e-10
2655.0,4.082137245580104e-06,1.9491603520899834e-08,-0.06580537166269235,9.166076937348663,2.3348283389616147e-12,4.119216315371136e-06,2.126342549674087e-09,4.5205823898959e-12,1.981828404130566e-09,1.0946646086850001e-10
2805.0,4.886249196900783e-06,2.2798637475535587e-08,-0.35043384855926263,11.655895132712429,2.4860644922846612e-12,4.896480612530042e-06,1.949633344084784e-09,3.7822698679393015e-12,2.08268444840907e-09,1.3419062256181426e-10
2955.0,5.976840577715036e-06,2.7569623523190636e-08,-0.35987969871203795,15.315670866879536,2.7319640356425065e-12,5.973088063357759e-06,1.797003072728318e-09,4.16297607585351e-12,1.5482362581412366e-09,1.1374961244330402e-10
3105.0,7.493450462461327e-06,3.839863854601302e-08,-0.6565958318188242,23.114172599858804,3.0969027859990326e-12,7.477142640684077e-06,1.659326618134603e-09,3.4041906697742617e-12,1.846345771093806e-09,1.5402815513803283e-10
3255.0,9.698747814762779e-06,5.0105380130734896e-08,-1.3881492677546226,32.441673484120905,3.6261822736696875e-12,9.622361205540262e-06,1.5436556690465517e-09,2.5675791343132137e-12,1.3919064464782036e-09,1.5320614283787737e-10
3405.0,1.2838509796706904e-05,7.123967108302678e-08,0.6201815004411052,49.375429184783634,4.375308202044393e-12,1.2706831668577593e-05,1.4422117716078176e-09,3.4463905668700305e-12,1.4780869808123075e-09,1.2114301532997653e-10
3555.0,1.754632486454529e-05,1.161390819471346e-07,1.0586269871246747,86.3358829127202,5.441019988582199e-12,1.722583308450811e-05,1.3454636481695878e-09,2.571045391596011e-12,8.857371227471895e-10,1.8062176617682357e-10
3705.0,2.4533062032906898e-05,1.6814546847909515e-07,-2.325844598293022,133.48663651942294,6.9606287793301505e-12,2.393786634326731e-05,1.259778350453772e-09,2.2517242183299395e-12,8.235412620658533e-10,1.7381338713576545e-10
3855.0,3.524681140727387e-05,2.5322972782708994e-07,0.9293943733100447,213.138214225296,9.165220613610769e-12,3.412765311575938e-05,1.1867562285130274e-09,2.2800877865863214e-12,9.585364640713584e-10,2.349235838841106e-10
