Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
140.0,2.5308998962275224e-07,2.0092780927578762e-08,0.005220560625615742,0.17693105187191963,7.233020662588981e-12,2.953535509979195e-08,1.1325669470616186e-07,6.059537614246089e-09,9.926234478856005e-08,6.116408601409122e-09
340.0,9.303567666344494e-08,6.619112683486067e-09,0.010558909142712871,0.13381433476549992,1.1202390368922999e-12,3.161143149614765e-08,4.9132460438132464e-08,1.3547677431434101e-09,4.515229404751651e-08,2.083924244252251e-09
540.0,7.03361738477855e-08,4.0398473616386275e-09,0.004077270374231408,0.15321334502887166,4.4404282613888054e-13,3.205616472733573e-08,2.6204792135125368e-08,6.808093821225188e-10,2.4055983752828158e-08,9.743582402224239e-10
740.0,6.03083874146177e-08,3.5521856161924205e-09,-0.006469585092512116,0.2157710678767356,2.3671350671400724e-13,3.219144392881731e-08,1.6461946521459507e-08,2.921460144889087e-10,1.531306903884181e-08,5.249524114899086e-10
940.0,5.4188092394090024e-08,3.1290173983881766e-09,0.006036037657631587,0.27657954265879936,1.4451279073475976e-13,3.176467293530352e-08,1.1329905586064607e-08,1.893749521794342e-10,1.0599000567002104e-08,3.7147709626617935e-10
1140.0,4.8752124210579927e-08,2.4741060030468183e-09,0.0005438539011047009,0.29885669088371053,9.525811159266829e-14,3.084284468832694e-08,8.292721883187212e-09,1.3488205547728128e-10,7.76146218971718e-09,1.9648088748727132e-10
1340.0,4.4845086487217715e-08,2.121434067961065e-09,0.005218983144236121,0.3314084156074133,6.646326425380844e-14,2.9743420629323e-08,6.38612452018398e-09,9.476685584627897e-11,5.986772892683808e-09,2.1650122568811134e-10
1540.0,4.131596781817433e-08,2.101777179257351e-09,0.015707529628529646,0.4116926673568071,4.809481262648903e-14,2.843426285044057e-08,5.104711380882024e-09,6.930852666160868e-11,4.809708029103208e-09,1.496584876297079e-10
1740.0,3.800636854262848e-08,1.5934452643161847e-09,-0.0017174756833293152,0.38137068551184466,3.581252554855321e-14,2.7046113890890248e-08,4.1789172275017e-09,5.0265321343671e-11,3.937097580901253e-09,1.0942249615841808e-10
1940.0,3.545675109804466e-08,1.2556747788001187e-09,-0.024784960203533643,0.3572504834119358,2.74824868703356e-14,2.5819387324188535e-08,3.5159213206294465e-09,4.3725810046482243e-11,3.3165020081578195e-09,9.673985493760987e-11
2140.0,3.3397072101135126e-08,1.135857968454248e-09,-0.013915420947936456,0.37953412982292245,2.1740562568775523e-14,2.4855799383342488e-08,2.993715701040167e-09,4.009068643501491e-11,2.8272950176742693e-09,9.084631575195002e-11
2340.0,3.2072274296348227e-08,1.0065249233765644e-09,-0.020504334828792315,0.3872849784779997,1.7695479705118877e-14,2.419956879123593e-08,2.5952669569270203e-09,3.011865098379067e-11,2.4796963465559422e-09,6.554064146357011e-11
2540.0,3.1373607235581526e-08,7.650843093762303e-10,0.0019177991628112946,0.3340318947970649,1.4907760844942575e-14,2.4040827510004173e-08,2.2845432611993388e-09,2.814455190898162e-11,2.174347721011303e-09,5.395852569409996e-11
2740.0,3.219282444265582e-08,7.417279932536013e-10,-0.011409774052192309,0.3664812197294489,1.3274084880768863e-14,2.4916699728873162e-08,2.0220942559503693e-09,1.761571557188169e-11,1.9283243134958772e-09,5.672944992867821e-11
2940.0,3.4062474299892845e-08,8.418159718636215e-10,-0.00462509268328154,0.46501741031843924,1.2334822585816826e-14,2.66733901982682e-08,1.8086951772094287e-09,2.2003084875775743e-11,1.7406337027083154e-09,5.430392658826827e-11
3140.0,3.757578928567577e-08,7.458595771489972e-10,-0.03161321308138427,0.457367189869037,1.211346599279039e-14,2.991074528437439e-08,1.6318166067622733e-09,1.8590289621701817e-11,1.5634401531473647e-09,7.315193138639373e-11
3340.0,4.6717188178232886e-08,9.422993589373304e-10,-0.054992013660018775,0.6322017380034338,1.3529047579386645e-14,3.781246970707226e-08,1.485274498274656e-09,1.542944544147841e-11,1.424499707791024e-09,6.123682262518138e-11
3540.0,5.783307311273972e-08,1.0095181456613253e-09,-0.05190972324286623,0.7465489290075102,1.514445518579069e-14,4.752439187144092e-08,1.3538714173753372e-09,1.2624414719879389e-11,1.2829370457565837e-09,4.765939624432648e-11
3740.0,6.660873452313731e-08,1.1599696342230375e-09,0.0020637119934903323,0.9362024107234218,1.5776589804302954e-14,5.524271100485812e-08,1.2413400538180047e-09,1.154578083980511e-11,1.1741438724065115e-09,4.7566227341092394e-11
