Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
130.0,5.315820578311643e-07,3.3424927067571153e-09,-0.09192209889600092,0.03167179792432951,8.257529480341519e-12,2.5772243726146363e-08,1.1137578872837054e-07,1.1234516500695905e-09,9.323410055081734e-08,1.0765135287188036e-09
330.0,7.949216984409786e-08,4.88162695000658e-10,-0.0420487838283578,0.010427506350294496,1.0628626852440425e-12,2.7956792986626624e-08,4.779035267627319e-08,2.545191068200688e-10,4.109706621417595e-08,2.969036740504575e-10
530.0,5.932738584500534e-08,2.7508344008062774e-10,-0.028719573729537828,0.011257692926479605,4.128382539805254e-13,2.8606338955870497e-08,2.445107108798247e-08,1.0408182715057623e-10,2.1689012637492498e-08,1.2489465522829298e-10
730.0,5.046006411603702e-08,2.0007541004029824e-10,-0.036652535467508816,0.013571912295095101,2.1770857324123855e-13,2.8871497721665722e-08,1.4835226067877852e-08,5.308749203182513e-11,1.3264688253491808e-08,7.71316334129227e-11
930.0,4.5553255958248065e-08,1.7747752662001418e-10,-0.010788445923396669,0.017550825017286616,1.3244296104708394e-13,2.8534351024130098e-08,1.0194483736220966e-08,3.42034256894692e-11,9.186203500657639e-09,5.2939923099682044e-11
1130.0,4.166509970957396e-08,1.4417368895397196e-10,-0.029860214181644373,0.01958320434107108,8.704677085422783e-14,2.7673515327314278e-08,7.38073350917849e-09,2.2868638638840146e-11,6.7836839546284485e-09,4.2818022665972116e-11
1330.0,3.80660876303263e-08,1.2734065282464725e-10,-0.048166207558752415,0.02306931105109965,6.035756488335506e-14,2.6597385343756212e-08,5.5873971091418925e-09,1.5851297574904592e-11,5.10782168589319e-09,3.076305910432683e-11
1530.0,3.5238278310791883e-08,1.051442851830329e-10,-0.05527326123481304,0.02410349727170793,4.3461793098960396e-14,2.5339591755899285e-08,4.389470245140662e-09,1.1129739191308448e-11,4.071845661158834e-09,2.3052254782644187e-11
1730.0,3.2834276131810155e-08,1.0708742681389454e-10,-0.031658347284423266,0.02994535461655404,3.2212657807534995e-14,2.3988480371807488e-08,3.5786133654780363e-09,9.141082695192213e-12,3.3565850036167037e-09,2.0037351466705698e-11
1930.0,3.057910945803393e-08,9.481620317869654e-11,-0.03826561467475857,0.03199700311588123,2.4454585259700312e-14,2.2702727247921227e-08,2.9690767553576054e-09,6.565065635533976e-12,2.7996505656489454e-09,1.5674745447482857e-11
2130.0,2.9048470367941187e-08,8.683814105380691e-11,-0.034426788733440926,0.03479571775707905,1.9166819947366333e-14,2.1702765096160647e-08,2.491373658145261e-09,5.676754955375147e-12,2.3875838655211386e-09,1.4205508163484487e-11
2330.0,2.7808830705848956e-08,7.727312389279588e-11,-0.09615366070277814,0.03598857470295194,1.5448701042494568e-14,2.0932801462209967e-08,2.14878744860954e-09,4.5785913138907016e-12,2.0725630414571854e-09,1.1946562623105253e-11
2530.0,2.719481566450875e-08,7.740708614826354e-11,-0.007371186497497437,0.0417659516639187,1.281299922115985e-14,2.0476454437472562e-08,1.8611257864537973e-09,4.711744000691214e-12,1.8000926400444495e-09,1.0326379823610362e-11
2730.0,2.793460915092428e-08,7.59511675615163e-11,-0.06674682112079768,0.046714017633646826,1.1285284433182631e-14,2.1009181590986237e-08,1.636527468598561e-09,3.987808724083094e-12,1.608584431331451e-09,9.816161029646386e-12
2930.0,2.956018930099299e-08,9.09429629711393e-11,-0.07544984247773555,0.0638710362626091,1.032156084839791e-14,2.2160218483047128e-08,1.4361514388833242e-09,3.504905832577858e-12,1.42278284524316e-09,8.851895298342759e-12
3130.0,3.2437950363047036e-08,9.638245799748868e-11,-0.0941636822990351,0.07529108918535066,9.891727422780298e-15,2.4252306266629272e-08,1.2874791076472396e-09,2.8564147161014037e-12,1.2811972339212939e-09,8.306188276429374e-12
3330.0,4.0772721287009025e-08,1.3756784850503145e-10,-0.15127711229838944,0.11984024566851031,1.1021070173386872e-14,3.059192212792565e-08,1.1497706493913674e-09,2.6716707179700582e-12,1.1488995975987268e-09,8.581063823160509e-12
3530.0,5.1930778685714006e-08,2.0272308964385006e-10,-0.023998451285337216,0.1959187257392033,1.25402613784333e-14,3.911439532560997e-08,1.037371900481052e-09,2.5593960960565787e-12,1.0593789690821778e-09,9.581052437660534e-12
3730.0,5.979689789439358e-08,2.62161820942932e-10,-0.09870793067866095,0.2791100472841596,1.3353068456527426e-14,4.652099937984928e-08,9.42884102707636e-10,1.9495762848749473e-12,9.75312338701686e-10,9.386300053061752e-12
