Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
105.0,7.744690800905374e-07,4.3817943752881105e-09,-0.03119606923317298,0.03328070052882856,2.938058856002953e-11,6.480576846949077e-08,1.3801527651150806e-07,1.55300026446877e-09,1.1787073889316333e-07,1.6432566622094439e-09
255.0,1.5840143479323858e-07,1.150181904829076e-09,-0.02525759943390095,0.016944355153617294,4.859751054885881e-12,7.837550992962068e-08,6.889235341330814e-08,4.910174148224394e-10,6.315646656506281e-08,6.30163455255739e-10
405.0,1.2838187249166946e-07,7.039778774622924e-10,-0.022438093131586474,0.01790567154256621,2.152556554217079e-12,8.775967097409848e-08,3.953434159561285e-08,2.0760019646856323e-10,3.6725035940022435e-08,2.79949523179678e-10
555.0,1.192354253216032e-07,6.29562661485386e-10,-0.023938665489686636,0.02496017818018577,1.2035748304174464e-12,9.281348948950624e-08,2.5187114289604054e-08,1.1454703792577167e-10,2.3600330965835795e-08,1.9323570437790946e-10
705.0,1.1727417876661187e-07,5.712617362997223e-10,-0.019449070177928515,0.032535592274544105,7.88585482120755e-13,9.785879291994687e-08,1.7753923112447148e-08,6.691439428726757e-11,1.6554298198222703e-08,1.5032788400373343e-10
855.0,1.143285407303146e-07,4.802234596417269e-10,-0.013056715688236928,0.036808704185798305,5.49589358880071e-13,1.0044127396826136e-07,1.3105471573921237e-08,4.685609846475531e-11,1.2460951479753655e-08,1.0253599482659402e-10
1005.0,1.1645594254187065e-07,4.70524649175745e-10,0.0025454661018421893,0.04647669027302161,4.1979149119821276e-13,1.0568759440425444e-07,1.0220814130414003e-08,3.487493238949307e-11,9.655914831072126e-09,9.322744959453753e-11
1155.0,1.168199049647589e-07,4.490672302547892e-10,0.012364662076944895,0.05537708062561061,3.2814753621197024e-13,1.0910821554433288e-07,8.144303878908278e-09,2.5193326276881636e-11,7.716975170101477e-09,6.851930259436141e-11
1305.0,1.2023559031925687e-07,4.349455402177957e-10,0.012523273612175782,0.0658474520157919,2.6723688078240465e-13,1.1380331957448046e-07,6.6259513418536055e-09,2.0949546063171643e-11,6.27282036428166e-09,6.027975248627032e-11
1455.0,1.1993838862622978e-07,4.3002139157188343e-10,-0.0029958884017630945,0.07743004023229932,2.1939647105005378e-13,1.162037404264703e-07,5.5894227438465236e-09,1.6443967159294774e-11,5.272472170820355e-09,5.3704670122317776e-11
1605.0,1.271222970966978e-07,4.528024070365315e-10,0.02022658852164169,0.09560706408000341,1.9231853532054647e-13,1.2391573151876375e-07,4.7487215572885115e-09,1.318485843180821e-11,4.633934490882202e-09,5.139509070460699e-11
1755.0,1.329524724243532e-07,4.897997344454523e-10,-0.005716387865537756,0.11898688693064871,1.7192849811248453e-13,1.3216644534791123e-07,4.132586108202507e-09,1.0959883489966256e-11,3.881236975452622e-09,4.5719402737339236e-11
1905.0,1.4475684970265688e-07,5.283942190450895e-10,0.044790629533596416,0.14562840866501323,1.587370863373611e-13,1.439679318622853e-07,3.623629372303132e-09,8.552667760318764e-12,3.4792168656279148e-09,3.894194031114763e-11
2055.0,1.548192690353815e-07,5.267176474268782e-10,0.006555850350218545,0.16527655387029108,1.467091319829306e-13,1.5511972341632715e-07,3.197245101314405e-09,8.169086837403768e-12,3.080063981877488e-09,3.8915106409634055e-11
2205.0,1.7883380991132012e-07,6.375444063399453e-10,0.11839244257462932,0.22383929170466166,1.4889312211694336e-13,1.815232023446194e-07,2.8424789238828028e-09,6.800403763327044e-12,2.7475518959783776e-09,3.960665392158297e-11
2355.0,2.2142262809151263e-07,7.716688177014085e-10,0.040201040712726246,0.30018458665015674,1.6229588905412447e-13,2.2533945194867147e-07,2.5734241196633653e-09,5.689788180780921e-12,2.4421399580173182e-09,3.688590426453245e-11
2505.0,2.7400998922630964e-07,1.0689338423033958e-09,0.06539046698974468,0.4595538572333003,1.77489118722597e-13,2.7887124997259916e-07,2.3325452049167354e-09,5.137569132591343e-12,2.2636323597940553e-09,4.164833301677062e-11
2655.0,3.1314782229757163e-07,1.345579889409483e-09,-0.18325084241054873,0.6326616161455775,1.8135207739059548e-13,3.1974118390104626e-07,2.1307655392978867e-09,4.4545467999775425e-12,2.0384677015745635e-09,3.900931744759889e-11
2805.0,3.713744818128523e-07,1.3894522351404996e-09,-0.17470359794815563,0.7157359724294754,1.949026147674922e-13,3.840578060886507e-07,1.9438199435723624e-09,3.924071021801338e-12,1.8999122396743067e-09,3.8832827470762975e-11
