Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
105.0,1.7740086146261318e-06,1.0411380109015536e-08,-0.005563853676632772,0.0778903960146176,1.8756020122446544e-10,4.3527316810767113e-07,1.3801527651150806e-07,1.55300026446877e-09,1.1975766608311316e-07,2.4146865030779115e-09
255.0,7.206001755786989e-07,4.796567379532433e-09,-0.016753421030781285,0.07155454750657014,3.864733182496226e-11,6.309648670076297e-07,6.889235341330814e-08,4.910174148224394e-10,6.329798033482912e-08,1.1235388393248031e-09
405.0,7.273207565148839e-07,4.33992426413664e-09,-0.02445437239679067,0.11112957362545667,1.7591011276691533e-11,7.161395964513471e-07,3.953434159561285e-08,2.0760019646856323e-10,3.7292920735697755e-08,5.970362748723916e-10
555.0,7.617322974710162e-07,4.037946202753366e-09,-0.003456398058467088,0.16073204528946564,9.993883176867846e-12,7.720741502876044e-07,2.5187114289604054e-08,1.1454703792577167e-10,2.3877861326841095e-08,4.707542144892891e-10
705.0,8.25387162395814e-07,3.7220118468548867e-09,-0.02346433856991856,0.21062480205857248,6.7557824160999545e-12,8.393103981367656e-07,1.7753923112447148e-08,6.691439428726757e-11,1.72730684442777e-08,3.725731322186799e-10
855.0,8.887693904963734e-07,3.6411198274232544e-09,-0.021778476898897954,0.28019785588770374,4.973844861991084e-12,9.107612627269833e-07,1.3105471573921237e-08,4.685609846475531e-11,1.2625912996365053e-08,2.798649342183433e-10
1005.0,9.85903306806019e-07,4.1883595746968136e-09,0.040396197341412275,0.4130170930424552,4.026604254134472e-12,1.015184885779002e-06,1.0220814130414003e-08,3.487493238949307e-11,1.0518299743076625e-08,2.6898652295720215e-10
1155.0,1.1019900096595315e-06,4.249441389050648e-09,-0.0077883996040793045,0.5266794100202628,3.4217580847934895e-12,1.1402954095026462e-06,8.144303878908278e-09,2.5193326276881636e-11,7.857599265490868e-09,2.1737313675968577e-10
1305.0,1.263152938854265e-06,4.745765865661357e-09,0.044036150933026916,0.721216865944498,3.0684504350025464e-12,1.3092240282587802e-06,6.6259513418536055e-09,2.0949546063171643e-11,6.469217407551733e-09,2.0498442639470762e-10
1455.0,1.448186453474277e-06,5.180554981403837e-09,0.032987208599343794,0.9304732466790537,2.829537556528676e-12,1.501777327642014e-06,5.5894227438465236e-09,1.6443967159294774e-11,5.314593645687701e-09,1.7566593625513895e-10
1605.0,1.6953244821757322e-06,5.9026253026545935e-09,0.23470863910597958,1.249370602904768,2.7220333090003428e-12,1.7557157754726684e-06,4.7487215572885115e-09,1.318485843180821e-11,4.711674071015867e-09,1.700904556152908e-10
1755.0,1.9297671004871564e-06,6.573288970338471e-09,0.267696404866984,1.5884278295162362,2.6147682681992275e-12,2.0120466166114562e-06,4.132586108202507e-09,1.0959883489966256e-11,3.9967612826646545e-09,1.6331486497893824e-10
1905.0,2.2085873083012456e-06,7.318699025221609e-09,0.17175288238486078,2.025707588520228,2.5338514557020514e-12,2.2991448165809694e-06,3.623629372303132e-09,8.552667760318764e-12,3.5462591761628925e-09,1.4697168046374304e-10
2055.0,2.4732061766940108e-06,8.296188453983617e-09,-0.012246793813000511,2.616542880434376,2.4493411100777607e-12,2.5909873507977847e-06,3.197245101314405e-09,8.169086837403768e-12,3.1514379433275366e-09,1.4498154417153664e-10
2205.0,2.802371428828512e-06,8.907198610356244e-09,0.2884333179203531,3.1369277839062986,2.397604697355477e-12,2.9195978173594698e-06,2.8424789238828028e-09,6.800403763327044e-12,2.7387267065408814e-09,1.4547618798841181e-10
2355.0,3.1585583173163783e-06,9.648149973635123e-09,-0.41878883742883444,3.771447816436616,2.3739498535300384e-12,3.2935359643137862e-06,2.5734241196633653e-09,5.689788180780921e-12,2.5991209247253366e-09,1.5104078621425806e-10
2505.0,3.6192713975293627e-06,1.0313870663282603e-08,0.34895332459366946,4.4186767190372676,2.3940200920387788e-12,3.75882705791857e-06,2.3325452049167354e-09,5.137569132591343e-12,2.464737200413601e-09,1.4575463699274348e-10
2655.0,4.191117038824297e-06,1.2131268926973843e-08,0.7423319807998934,5.697339589041403,2.473842053849968e-12,4.364189135637343e-06,2.1307655392978867e-09,4.4545467999775425e-12,1.7938192958160025e-09,1.4000983111687486e-10
2805.0,5.01973483109849e-06,1.4063846072507456e-08,0.459381917689557,7.303628985175414,2.64256294809701e-12,5.205303009091402e-06,1.9438199435723624e-09,3.924071021801338e-12,1.8299873164584031e-09,1.4987170791314857e-10
