Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
105.0,3.569586450752379e-07,4.532051002117389e-09,-0.028693033218111244,0.03524521996334456,2.845412184348686e-11,6.472207406974389e-08,1.3270818822985467e-07,2.3302170823948397e-09,1.1657632025909603e-07,1.828741175488763e-09
255.0,1.478116502901688e-07,1.0566495439219121e-09,-0.004043153040404525,0.01673640950473958,4.8826112150070025e-12,7.830675257470499e-08,6.429182167117839e-08,4.817330560564828e-10,5.9012672121974665e-08,6.372427814255304e-10
405.0,1.3345697220102102e-07,1.2495504958657679e-09,-0.0016906963265798495,0.0338986318150987,2.153805255782313e-12,8.771935079187761e-08,3.6959879823397663e-08,1.509135010313652e-10,3.460937266278977e-08,2.8759000826451493e-10
555.0,1.2392584457947592e-07,9.702831384195993e-10,0.0072982841796705765,0.04304033364208599,1.2074345428733354e-12,9.273669041911331e-08,2.2470867100905e-08,9.528105972325874e-11,2.1452263730657268e-08,1.9092971965374152e-10
705.0,1.2338598801110865e-07,1.1830441886260786e-09,-0.009740593454270566,0.07542435017008813,7.898646369202265e-13,9.780767039329203e-08,1.5669568274442237e-08,5.54527718522391e-11,1.5014584355423636e-08,1.1664682385021668e-10
855.0,1.1944681230824636e-07,9.955442047483808e-10,-0.01584126190955836,0.08500880244973193,5.502020726145862e-13,1.0038826136631797e-07,1.1633409678431786e-08,3.8294743394704095e-11,1.1048039662701933e-08,8.997920702909437e-11
1005.0,1.225874084792217e-07,9.535877908379502e-10,-0.009447395568175528,0.10647133961290493,4.188091358741082e-13,1.0566752125055135e-07,8.96003803506103e-09,2.9036003209461267e-11,8.59003591584574e-09,7.856830335527622e-11
1155.0,1.2357206079144834e-07,9.051135563597171e-10,-0.013697666626733437,0.12684439323022667,3.2744005650120204e-13,1.0907740836530856e-07,7.098489167451144e-09,2.163050117394961e-11,6.8891484536024955e-09,7.4285345729693e-11
1305.0,1.2660790944281268e-07,8.79111041292282e-10,-0.05324750258375253,0.15183700933059288,2.6729304789802664e-13,1.1373809385098547e-07,5.797402805876474e-09,1.2397067804798468e-11,5.574192998163422e-09,3.668354668887992e-11
1455.0,1.274709727153562e-07,9.069308734594508e-10,-0.015504942455454548,0.18919991829531266,2.1949038868560195e-13,1.1613316613861402e-07,4.790399165416379e-09,1.1135651023271988e-11,4.704846121521688e-09,5.327164297446689e-11
1605.0,1.3387583512641195e-07,7.986687905834895e-10,-0.049490029908249716,0.19511305876616802,1.9221366340866466e-13,1.2383827556864542e-07,4.0630121849438706e-09,1.2229415339986948e-11,3.9644192291960085e-09,3.681442682998799e-11
1755.0,1.429228567115149e-07,8.370390111852842e-10,-0.034723801534093726,0.23823570634280963,1.7164558307465507e-13,1.3219055704887407e-07,3.5062442961520685e-09,1.0955516977706286e-11,3.4730443191327123e-09,3.875313869541097e-11
1905.0,1.5479747568120228e-07,9.026523496811296e-10,-0.04078154767632666,0.2964629775382411,1.5856433998269344e-13,1.439716281300777e-07,3.037889472905199e-09,5.499081796744418e-12,2.9626299168832593e-09,3.689499998472046e-11
2055.0,1.6530198145112267e-07,8.858740598038601e-10,0.06624641532830632,0.3316118610626981,1.4669020767043857e-13,1.5491239959201115e-07,2.6652663884733688e-09,6.960036210575723e-12,2.639334558148423e-09,3.611672350857729e-11
2205.0,1.9112861896244125e-07,1.00355850603136e-09,-0.142312967515131,0.4278894561733897,1.4868551836209077e-13,1.811186485463253e-07,2.337858401040204e-09,7.224306285743636e-12,2.34155407834718e-09,3.704571219038841e-11
2355.0,2.394857218170448e-07,1.394082415113295e-09,0.016488112257042734,0.6607987353235901,1.6223067880038138e-13,2.2536305966748749e-07,2.1045536599934474e-09,6.504366544999873e-12,2.08027761155095e-09,2.8484600113029815e-11
2505.0,2.9561713868903144e-07,1.5109785276866791e-09,-0.16014877877904016,0.7934860663545121,1.7740903896092922e-13,2.788509650122455e-07,1.8950419822759997e-09,5.985049207269469e-12,1.880411018455922e-09,3.3193464209308264e-11
2655.0,3.4102898570939047e-07,1.794886909274231e-09,-0.06115335220663982,1.0411727053599507,1.8126091293898125e-13,3.195951197228205e-07,1.7167690382791032e-09,4.098736100983719e-12,1.6886249949244595e-09,3.5684735236451264e-11
2805.0,3.996334398846943e-07,1.968711212410055e-09,-0.20607437100493164,1.2602927102369863,1.9483344008877899e-13,3.838937768523959e-07,1.5580177136353249e-09,5.1413986251009846e-12,1.5043879589324078e-09,3.747477744605199e-11
