cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,cl_kappa_tg_ave,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
3.5809296808374834e-07,3.227193192214253e-07,3.538214224195784e-07,3.3787433407789807e-07,3.4948725836834784e-07,3.3926447282787624e-07,3.634609951865006e-07,3.385379625537288e-07,3.3956347801884433e-07,3.3398949175603646e-07,3.2430822880087675e-07,3.496077797484516e-07,3.1868174358145203e-07,3.0743688768750164e-07,3.0508979628945343e-07,3.111576552563438e-07,3.0885258590180424e-07,3.0156524195671224e-07,3.010212677547011e-07,3.119296826550873e-07,3.1326880693175573e-07,3.070269181805409e-07,3.0637462708910116e-07,3.0817747852295577e-07,3.389081177156844e-07,3.278016797086036e-07,3.5662955304397436e-07,3.4286437202432236e-07,3.44171967259729e-07,3.494846787353317e-07,3.5425269875499533e-07,3.2495358086912057e-07,3.3970447842100904e-07,3.551668571677433e-07,3.29682402106249e-07,3.472511172855704e-07,130.0,3.335817011342711e-07,3.311717196100849e-07,3.1697623029707434e-09,-0.02983614597262208,0.028846495304531847,1.55389634370405e-11,5.203547063781613e-08,1.1209792404985323e-07,1.3899520066891873e-09,1.1209792404985323e-07,1.1841906884471082e-09
1.1420250748326765e-07,1.1364753723410626e-07,1.1681740658998256e-07,1.1143957376548288e-07,1.1365198061712584e-07,1.1059325708251993e-07,1.1706175312053654e-07,1.1015540941419869e-07,1.1428410990951923e-07,1.1547790965264667e-07,1.1460040830376197e-07,1.1276013930742606e-07,1.0982603411355355e-07,1.055014696771762e-07,1.0413234257651956e-07,1.073768985253416e-07,1.0238339405921018e-07,1.0484630383622772e-07,1.0077075958032326e-07,1.0587382305347636e-07,1.0631680138014295e-07,1.0579401200943708e-07,1.0782496455431677e-07,1.0427088812285787e-07,1.1215581824260608e-07,1.0998761890109682e-07,1.098071464721516e-07,1.1253477656519359e-07,1.0714101109106497e-07,1.1464331028949085e-07,1.0715117612917002e-07,1.1054193851700048e-07,1.1191012962934318e-07,1.1417295156822614e-07,1.0238880605448446e-07,1.1473976219736228e-07,330.0,1.1082604075921886e-07,1.0991067026739851e-07,7.388473020323784e-10,-0.018694651799093714,0.015471525817914044,2.1190169256011953e-12,5.6203109429543406e-08,4.7679143410413233e-08,2.712913256517238e-10,4.7679143410413233e-08,2.8674322080883174e-10
9.347485236266193e-08,8.657146559331951e-08,9.149782846894343e-08,8.88049202256981e-08,8.98493831625882e-08,9.410671135293287e-08,8.831353757424697e-08,9.159893978634678e-08,9.205317721189371e-08,8.985315293673658e-08,9.152743823603969e-08,8.846754685991129e-08,8.203221628400744e-08,8.560788193103774e-08,8.209775405270228e-08,8.117352069550437e-08,8.389309516251562e-08,8.053646673509844e-08,8.463752070210106e-08,8.18588499679524e-08,8.1829011987627e-08,8.225663695892275e-08,8.250064732803481e-08,8.541352711969348e-08,9.01378035588569e-08,8.756078416255105e-08,8.928784083558464e-08,9.03558087416261e-08,8.865578234754118e-08,9.049546176803003e-08,9.042926042877034e-08,9.139620426870539e-08,8.664643755438059e-08,9.19739373752524e-08,8.947609254111932e-08,8.625479069982096e-08,530.0,8.803918887269376e-08,8.757295241607652e-08,6.52161896651972e-10,-0.018378288444526922,0.02664124706957177,8.058153495244305e-13,5.587202734736383e-08,2.443415166367776e-08,7.596178807538058e-11,2.443415166367776e-08,1.3272126090906838e-10
8.138161151278763e-08,7.593848360324114e-08,7.946051345370933e-08,8.016526519574956e-08,8.108132236413001e-08,7.751071323695789e-08,7.892127684962548e-08,7.836557179331558e-08,8.022698173745307e-08,7.9193905124577e-08,8.092578352608323e-08,7.964782875454568e-08,7.620633904657187e-08,7.5597726301124e-08,7.431731255695702e-08,7.245077343944273e-08,7.477830601375152e-08,7.208511310354832e-08,7.204719174256466e-08,7.275080663578614e-08,7.463974034861541e-08,7.545617477807036e-08,7.494843455971003e-08,7.032612254140656e-08,8.316802853008024e-08,7.95821283772609e-08,7.817413410803481e-08,7.953625793968147e-08,7.70104543697616e-08,7.944843536936907e-08,7.912826891535522e-08,8.212415573845405e-08,7.904003409080216e-08,8.020798052535518e-08,7.990659029820775e-08,8.010641563824097e-08,730.0,7.797113818696479e-08,7.766267172556466e-08,5.3558968381505e-10,-0.018650559916127407,0.03585359654160828,4.1730159420747774e-13,5.518928935521559e-08,1.4854525502183898e-08,4.3844002564169984e-11,1.4854525502183898e-08,6.085216458935318e-11
7.43211826907139e-08,7.181611680187119e-08,6.978684401179076e-08,7.113262178551662e-08,7.489413469094969e-08,7.354491362111257e-08,7.321682512450735e-08,7.557259565738961e-08,7.352108228869108e-08,7.224955000337766e-08,7.339773444665485e-08,7.311836387597057e-08,6.891298102849852e-08,6.809987557239905e-08,6.732919080308942e-08,6.783234506649681e-08,6.636713250958774e-08,6.565211146115005e-08,6.668970215451404e-08,6.710426426117779e-08,6.910275731214424e-08,6.828375402983676e-08,6.604411365661063e-08,6.659392933854075e-08,7.447569962397256e-08,7.440423154013294e-08,7.110198725457208e-08,7.494270453484806e-08,7.245113897280916e-08,7.217948848016683e-08,7.199289280637357e-08,7.20912649352382e-08,7.160969169408403e-08,7.022773064309957e-08,7.265580459154828e-08,7.436946621277503e-08,930.0,7.11558907956209e-08,7.103017287450589e-08,4.990290165774212e-10,-0.011088305834548893,0.049083703894654086,2.5091896513599607e-13,5.4005581108869055e-08,1.0156821491210495e-08,2.6445527332408157e-11,1.0156821491210495e-08,4.8023019100065206e-11
6.649640669919614e-08,6.450793660885508e-08,6.602904931715179e-08,6.599141003174704e-08,6.74772344236421e-08,6.961902897003147e-08,6.860044964399922e-08,6.794908627804454e-08,6.609412415608088e-08,6.765829749074166e-08,6.630950481136963e-08,7.03100948504333e-08,6.439649058450812e-08,6.455821406731208e-08,6.223770176567945e-08,6.254219199672525e-08,6.526008264350703e-08,6.41843081673128e-08,6.136355608686644e-08,6.303843382756155e-08,6.450984885423533e-08,6.346484642520295e-08,6.245909793471003e-08,6.357854377888392e-08,6.66691514466864e-08,6.70674027510907e-08,6.67439534037537e-08,6.939859241372579e-08,6.53872244893076e-08,6.876662063514946e-08,6.700128027828414e-08,6.623685366854772e-08,6.641373760631607e-08,6.57049260171624e-08,6.627445029447612e-08,6.828422035401186e-08,1130.0,6.596203799821285e-08,6.590512091034194e-08,3.6696362365283164e-10,-0.006072738112972667,0.049234884580678644,1.6526720189663193e-13,5.2555048193406426e-08,7.387967050085782e-09,2.21171330496807e-11,7.387967050085782e-09,5.1790294599142703e-11
6.331564553364836e-08,6.204715011694227e-08,6.354514598176479e-08,6.328120988277393e-08,6.311266262466895e-08,6.433669658683149e-08,6.270318541034688e-08,6.240152861085956e-08,6.578208595829905e-08,6.358208583830615e-08,6.279974909977371e-08,6.389426973476118e-08,5.902847611615714e-08,6.0886642699755e-08,6.00946196731868e-08,6.02782390077423e-08,5.982639810840315e-08,5.9494976723392914e-08,6.007320385506039e-08,5.929818817877771e-08,6.129742911584736e-08,5.99524523422187e-08,5.94688490116693e-08,6.068608220959135e-08,6.504277551708659e-08,6.385760109446302e-08,6.26459459115591e-08,6.337511207126365e-08,6.313582244738253e-08,6.257606449442574e-08,6.369160503380463e-08,6.385746578640133e-08,6.335694383172334e-08,6.504656832028437e-08,6.307795380283015e-08,6.30707439631891e-08,1330.0,6.25960859131403e-08,6.233115485264423e-08,3.0612932158290986e-10,-0.04833923597364827,0.05459261773157956,1.160087616340144e-13,5.1151187006547594e-08,5.604489966611716e-09,1.1878128832530967e-11,5.604489966611716e-09,2.8832724784142807e-11
6.169871900668402e-08,5.942218852468227e-08,6.043240369981987e-08,6.027778649370059e-08,5.974511556864358e-08,6.072233991205063e-08,5.850398985194687e-08,5.97549551389019e-08,6.013653661939038e-08,6.008275760694194e-08,5.947372500665372e-08,5.885763386573787e-08,5.7196133486689585e-08,5.5684174628130934e-08,5.772855267608801e-08,5.623720728970129e-08,5.809094339942666e-08,5.7315651148045874e-08,5.583709270747437e-08,5.7283636610580506e-08,5.7248430476966604e-08,5.574016807135392e-08,5.681134257858288e-08,5.579924858871888e-08,5.870225725319957e-08,6.02608158390557e-08,5.8273996398561885e-08,5.935437091146948e-08,5.8824528388023637e-08,5.885053357139482e-08,5.953275516233445e-08,6.038353444507747e-08,5.877679389089786e-08,5.961974353473997e-08,5.742702263054996e-08,6.132423864307804e-08,1530.0,5.8799906663933984e-08,5.865031454514713e-08,2.753404426136535e-10,-0.03124357203504137,0.062027005900461125,8.503105167643748e-14,4.965988042462569e-08,4.412223546190342e-09,1.0739415363491027e-11,4.412223546190342e-09,3.185497040941428e-11
5.813844989335558e-08,5.689960544241581e-08,5.5867876995852495e-08,5.689605167357581e-08,5.672330427435216e-08,5.783483297563694e-08,5.7737505841323987e-08,5.736011403253138e-08,5.672627930282417e-08,5.543445939680452e-08,5.7684491506023395e-08,5.548980358744857e-08,5.4302798415536366e-08,5.491755831951705e-08,5.467258029622987e-08,5.5442919647572537e-08,5.372860680951817e-08,5.519364676987541e-08,5.3730436706873795e-08,5.511290546818989e-08,5.331878002480108e-08,5.382124721518545e-08,5.4381620955658466e-08,5.4609746104656535e-08,5.7465247339844833e-08,5.6975673448437465e-08,5.680938819640097e-08,5.828228701668552e-08,5.614503876525693e-08,5.574790790384791e-08,5.772335076803909e-08,5.596622820107492e-08,5.720828188785485e-08,5.565815640315262e-08,5.675068156301785e-08,5.692336260735286e-08,1730.0,5.617091436298147e-08,5.604670071546457e-08,2.3265032512961914e-10,-0.0316885069502235,0.06454408982713637,6.470212905774243e-14,4.8336633809912486e-08,3.5859170996040314e-09,1.0739004329076421e-11,3.5859170996040314e-09,2.0576588355329326e-11
5.461562982494172e-08,5.278956295093564e-08,5.397214944983117e-08,5.5238355146817205e-08,5.463158913504652e-08,5.6349548370786886e-08,5.527145146820406e-08,5.4588820500767145e-08,5.5136102155769026e-08,5.401757351991696e-08,5.517957061357743e-08,5.371715572856102e-08,5.222362182456106e-08,5.32853416200268e-08,5.356871079654301e-08,5.303915895471691e-08,5.380575037255766e-08,5.191203092653258e-08,5.22497529605295e-08,5.308947626384484e-08,5.182088101936563e-08,5.193329719185988e-08,5.350620404483943e-08,5.192110965569244e-08,5.548904293207376e-08,5.4461212059691797e-08,5.500040944329755e-08,5.358744220038929e-08,5.412501644998215e-08,5.3966484337748634e-08,5.48331354050942e-08,5.397297002122072e-08,5.4682172428637656e-08,5.4476937999011796e-08,5.357240383225588e-08,5.341399567442478e-08,1930.0,5.402403689700493e-08,5.38734463133348e-08,1.9029891793883469e-10,-0.04882842103666902,0.06344758758690779,5.101422831065744e-14,4.745676423456351e-08,2.975140660098657e-09,5.760917615904832e-12,2.975140660098657e-09,1.5332025243416862e-11
