cutout 0 g,cutout 1 g,cutout 2 g,cutout 3 g,cutout 4 g,cutout 5 g,cutout 6 g,cutout 7 g,cutout 8 g,cutout 9 g,cutout 10 g,cutout 11 g,cutout 12 g,cutout 13 g,cutout 14 g,cutout 15 g,cutout 16 g,cutout 17 g,cutout 18 g,cutout 19 g,cutout 20 g,cutout 21 g,cutout 22 g,cutout 23 g,cutout 24 g,cutout 25 g,cutout 26 g,cutout 27 g,cutout 28 g,cutout 29 g,cutout 30 g,cutout 31 g,cutout 32 g,cutout 33 g,cutout 34 g,cutout 35 g,cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,cl_kappa_tg_ave,cl_kappa_tg_ave_err,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,d_auto_cl,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
3.8318347097867204e-07,3.3703220887637645e-07,3.873527088987023e-07,3.5219149623537384e-07,3.711662549433595e-07,3.543074992129531e-07,4.015773158359365e-07,3.5581280135622723e-07,3.67514618533209e-07,3.6772842642490617e-07,3.4592846118145294e-07,3.8119093616546555e-07,3.2363107910066006e-07,3.13673969414587e-07,3.1097190293026717e-07,3.297863311958978e-07,3.3413374596195067e-07,3.191226685006711e-07,3.249694231228973e-07,3.328942585142954e-07,3.3475345940139304e-07,3.205269173145012e-07,3.3907463496353424e-07,3.23452056986276e-07,3.844772877157893e-07,3.4649071907071125e-07,3.929398730157576e-07,3.820220706094079e-07,3.605669175855884e-07,3.780249739766498e-07,3.835009857172921e-07,3.442760159281947e-07,3.6504326231634777e-07,3.7680874458118244e-07,3.6872704204059613e-07,3.963899318670294e-07,3.785867968248188e-07,3.41270626966008e-07,3.832711834064112e-07,3.4843468805772023e-07,3.740110349046427e-07,3.5491518436137253e-07,3.993677320978139e-07,3.52615113218432e-07,3.691906024307971e-07,3.669236826128203e-07,3.4021877983659954e-07,3.717835684188972e-07,3.226558359960973e-07,3.1386651850657627e-07,3.059657811400533e-07,3.299549133017277e-07,3.296259035740345e-07,3.166777737313474e-07,3.2279330147609663e-07,3.325040888951418e-07,3.2908225147388533e-07,3.238873459008726e-07,3.374321488292651e-07,3.225009258774476e-07,3.788118215180866e-07,3.466039270020213e-07,3.9522443354052476e-07,3.812193598000503e-07,3.678515304416234e-07,3.766592053889609e-07,3.8143761187937957e-07,3.41167579360587e-07,3.6752769504567965e-07,3.72057599194094e-07,3.6978321539362223e-07,3.996160063629487e-07,105.0,3.553123464020587e-07,4.363523583785458e-09,3.54041549076846e-07,4.390470841631107e-09,-0.02542236877888325,0.034119803502132263,1.2891150889870613e-10,2.97694361690398e-11,6.772534056477654e-08,1.3270818822985467e-07,2.3302170823948397e-09,1.1634357255770451e-07,1.7981875902958961e-09
1.5369418510576298e-07,1.605803494529931e-07,1.4711487971715039e-07,1.5156421247824647e-07,1.5638128846946437e-07,1.4734297967162198e-07,1.549826029929013e-07,1.6492918424977732e-07,1.439416994475281e-07,1.4453756499166118e-07,1.4236183926824878e-07,1.4553800822906163e-07,1.5218315116085388e-07,1.4821624435353312e-07,1.5296257207869254e-07,1.5016057055940374e-07,1.432223948673322e-07,1.4643032691598674e-07,1.346156554280715e-07,1.4135607074630617e-07,1.4536236593500635e-07,1.4710145934032427e-07,1.460471516985631e-07,1.392560477832804e-07,1.4598799980598334e-07,1.4747269565293198e-07,1.4762333563983084e-07,1.474763621589848e-07,1.4514027589507645e-07,1.4939321134083882e-07,1.4038337362899298e-07,1.4192661557934283e-07,1.499751024609413e-07,1.4737651189780165e-07,1.384102966446786e-07,1.5357440378137665e-07,1.5201369064908295e-07,1.610585233919189e-07,1.4827701749002064e-07,1.499249009990874e-07,1.5292857243629888e-07,1.4586680794608229e-07,1.5260742688157616e-07,1.6427017360005412e-07,1.4308034804883674e-07,1.432202071596007e-07,1.381569649461458e-07,1.4782436992941342e-07,1.522787618506802e-07,1.4687964888281582e-07,1.5267190272282096e-07,1.5047781390857335e-07,1.4157970875721982e-07,1.4889177330142957e-07,1.3644479872328473e-07,1.4200679732803086e-07,1.4599910718077375e-07,1.465142040375601e-07,1.43942104542904e-07,1.397528464676914e-07,1.4702597802030394e-07,1.4779463023342872e-07,1.4487406485173258e-07,1.4625400170941679e-07,1.4538166710472332e-07,1.481269550070409e-07,1.4106114227028436e-07,1.4115009046576086e-07,1.5163485961499204e-07,1.4645600627610277e-07,1.371899064974504e-07,1.5577024062982222e-07,255.0,1.4762841637301537e-07,1.0126498978549478e-09,1.4720522260730445e-07,1.009750858711474e-09,-0.006789275498014455,0.016026848206184763,9.081332802646081e-12,5.1051718401712e-12,8.184995212507502e-08,6.429182167117839e-08,4.817330560564828e-10,5.893988642433462e-08,6.308232594696102e-10
1.4255206577523204e-07,1.4448190663291198e-07,1.3835031289568328e-07,1.372189317738574e-07,1.3652717017171862e-07,1.352683200575872e-07,1.333511138858087e-07,1.299544505146928e-07,1.4260828733488362e-07,1.3624083359919842e-07,1.4077040940974754e-07,1.4082528294961733e-07,1.296679538672706e-07,1.1574292646416765e-07,1.2167261847823324e-07,1.259278813145059e-07,1.196025214895634e-07,1.2592642594868243e-07,1.2911050178696882e-07,1.220912164211156e-07,1.2879673318352247e-07,1.2444549787652338e-07,1.207482863077781e-07,1.2614658324499842e-07,1.4164588208209477e-07,1.3272425933315093e-07,1.3589560506123216e-07,1.4047012146675693e-07,1.2830964022406203e-07,1.3606711981216434e-07,1.344685557420123e-07,1.4400343177607046e-07,1.35776542436285e-07,1.3309038170968678e-07,1.3006135131447164e-07,1.409363520690831e-07,1.4101544025791868e-07,1.4254907209519664e-07,1.4061881859856793e-07,1.3786174556138183e-07,1.3516433188479493e-07,1.3491809648440395e-07,1.3358113530260204e-07,1.300686812127764e-07,1.4012537575186523e-07,1.3459502443494824e-07,1.3933763012030412e-07,1.4004579588763918e-07,1.2863701320251254e-07,1.1621683062327586e-07,1.1943630863224955e-07,1.2597221875399245e-07,1.1915086998259793e-07,1.2659119660371595e-07,1.2888900197523524e-07,1.24393219556381e-07,1.2993121481886443e-07,1.252463688844704e-07,1.210233028207661e-07,1.2620231564074192e-07,1.4333899928940446e-07,1.3177510779834556e-07,1.3614467724091404e-07,1.4014882660600276e-07,1.2975879324356311e-07,1.373772408302978e-07,1.3721820815001527e-07,1.42899898125659e-07,1.3656578487711995e-07,1.3154554895567282e-07,1.302445665711267e-07,1.3978915868004125e-07,405.0,1.3281881873364832e-07,1.2697784612035301e-09,1.3273271720709347e-07,1.2265065581199536e-09,-0.0018643629027697507,0.03327143817954064,3.2389896353275e-12,2.2432259192297193e-12,9.134273293182382e-08,3.6959879823397663e-08,1.509135010313652e-10,3.4559303072524906e-08,2.8600770002014497e-10
1.3169831239757203e-07,1.2322449642813152e-07,1.2649727097550317e-07,1.2698086161522437e-07,1.1959636844659753e-07,1.3260345280270952e-07,1.272775484995869e-07,1.2932222793530972e-07,1.3207376273739012e-07,1.282435891244297e-07,1.2373098210545039e-07,1.2459948517864433e-07,1.1564961070082145e-07,1.1907541666497763e-07,1.1507779417089386e-07,1.1512697321249433e-07,1.1902142845782932e-07,1.1765374420720717e-07,1.1744539263666957e-07,1.1434228800218458e-07,1.1525562646235782e-07,1.1622483486595159e-07,1.1680449255282323e-07,1.1894160818994383e-07,1.2505148495434946e-07,1.199796038511552e-07,1.2741766045575232e-07,1.2547854402885272e-07,1.252403747788199e-07,1.285383216623403e-07,1.3364084050722623e-07,1.312458999739734e-07,1.2276672069849603e-07,1.253847760913924e-07,1.311686072433097e-07,1.2161654624091157e-07,1.3054787778686387e-07,1.2408988574654136e-07,1.257726563756728e-07,1.2661232674257503e-07,1.1989089336742985e-07,1.3237675396603904e-07,1.2572350904600155e-07,1.2824183044034036e-07,1.3151157921926816e-07,1.270065113813246e-07,1.249828390481069e-07,1.2407338296546362e-07,1.1697573073884246e-07,1.1982779839794067e-07,1.1469946105524265e-07,1.1388506033844768e-07,1.193595462317794e-07,1.1626423402987533e-07,1.1973975741328953e-07,1.1490048850229297e-07,1.1620214950799371e-07,1.1490087382176936e-07,1.1532015660205927e-07,1.194714673045651e-07,1.257436752811659e-07,1.2020633296088436e-07,1.2773156624791038e-07,1.255182334292362e-07,1.2648040778539052e-07,1.27966458880363e-07,1.344182184840826e-07,1.3114628224238143e-07,1.2180455130354824e-07,1.2532558569488187e-07,1.3124250624881925e-07,1.213245519489556e-07,555.0,1.2344435969048014e-07,9.787820886472125e-10,1.2336903168159289e-07,9.643028145228155e-10,-0.0012404371631312074,0.04274632283281284,1.6030433853158677e-12,1.2548369056300497e-12,9.637058701424222e-08,2.2470867100905e-08,9.528105972325874e-11,2.1428472886674523e-08,1.9276332437121358e-10
1.2530078903908045e-07,1.236291034446442e-07,1.2028422054537336e-07,1.2438362618384673e-07,1.3006289635507514e-07,1.2125749435786782e-07,1.2806624113034567e-07,1.2491295646284665e-07,1.3436837505075846e-07,1.2387590700958155e-07,1.309020758311914e-07,1.2837350467349613e-07,1.1742650484600933e-07,1.1731753775408263e-07,1.1433571202905139e-07,1.1231879817690892e-07,1.1659002130936045e-07,1.1467559814799645e-07,1.1235137923914986e-07,1.142962387938318e-07,1.1645582202826849e-07,1.1684363153993957e-07,1.1291326604013986e-07,1.1151790767787388e-07,1.3477491586836039e-07,1.2433203108757732e-07,1.2612254745914564e-07,1.3620920836901825e-07,1.2681482387527205e-07,1.2768074801212356e-07,1.300045207531713e-07,1.2334971619462848e-07,1.291396123303909e-07,1.3220491113277242e-07,1.2880370907597808e-07,1.2700149659077609e-07,1.2427427605537392e-07,1.240757218471671e-07,1.2003515266238588e-07,1.2395154993727205e-07,1.2920920825702708e-07,1.213662460575834e-07,1.282508799197186e-07,1.219236711953629e-07,1.3463289759183133e-07,1.2348730173919552e-07,1.3112950502343562e-07,1.2723934557402295e-07,1.173808126347384e-07,1.182635559042311e-07,1.1360285567226245e-07,1.1202818877902165e-07,1.1759547661610872e-07,1.1367567070569356e-07,1.1239560672081401e-07,1.1358724881291634e-07,1.1673278910419394e-07,1.157159174803793e-07,1.1214695479906794e-07,1.1109769094960732e-07,1.3423574920208083e-07,1.24543115044102e-07,1.2796103939887695e-07,1.3422827936677247e-07,1.2542022779612296e-07,1.265821265608819e-07,1.298669414550253e-07,1.2320898176992697e-07,1.2881220055219154e-07,1.3016556148345806e-07,1.280108963721982e-07,1.2612333591499593e-07,705.0,1.2330271801155375e-07,1.1832255077114135e-09,1.2285991608211232e-07,1.1609470270745904e-09,-0.023123499414152576,0.0739824132336226,9.92326084293979e-13,8.196985271338733e-13,1.0149893992663089e-07,1.5669568274442237e-08,5.54527718522391e-11,1.4983742677310177e-08,1.1403974341724916e-10
1.2380696516546325e-07,1.2413398474804287e-07,1.2287956138372045e-07,1.232353556589429e-07,1.218493234878809e-07,1.2328415285208098e-07,1.182090147121115e-07,1.24254963062884e-07,1.229332792250058e-07,1.2387014780070174e-07,1.281517015949091e-07,1.1558087773883603e-07,1.1138576100774139e-07,1.1626646503051698e-07,1.126949432325468e-07,1.1303059868426514e-07,1.1056864408807165e-07,1.1436704310713051e-07,1.1147901619680022e-07,1.0936241913253893e-07,1.1140712846652103e-07,1.1389241733780732e-07,1.1483642110365492e-07,1.0841937600934534e-07,1.2841379382857696e-07,1.1946543128707492e-07,1.2000598507663853e-07,1.241702650385472e-07,1.2421164483566347e-07,1.2669134079930346e-07,1.2461906377449657e-07,1.1499116863109278e-07,1.1742943300524955e-07,1.227084972479725e-07,1.1894756449111424e-07,1.280832165009099e-07,1.2212465804294102e-07,1.2286542295392904e-07,1.2286405655231344e-07,1.228492774502124e-07,1.224517325400407e-07,1.2412694909123075e-07,1.177631573584925e-07,1.2308071786537533e-07,1.2245507922929268e-07,1.2321177289103827e-07,1.2774262842567358e-07,1.1465965577840459e-07,1.1077830469471846e-07,1.1551141730657248e-07,1.1358230122506899e-07,1.1245472040820195e-07,1.1009456724995482e-07,1.1276961740042762e-07,1.1082499470642527e-07,1.0976263583106361e-07,1.1313254969240973e-07,1.1213067300029434e-07,1.1522381210872731e-07,1.1021376542451774e-07,1.2871113839671547e-07,1.1907600181893337e-07,1.1998729317762438e-07,1.2366234952365407e-07,1.246608620550874e-07,1.2625278976427774e-07,1.2522302414162422e-07,1.1594914369364133e-07,1.2012564708308948e-07,1.2185293780622865e-07,1.1867316779723461e-07,1.277221754735436e-07,855.0,1.191565823706711e-07,9.824037082858893e-10,1.1901586105441615e-07,9.62134377112302e-10,-0.00859228251263583,0.08215954218273992,6.519973044460648e-13,5.708615542524592e-13,1.0415742920997144e-07,1.1633409678431786e-08,3.8294743394704095e-11,1.1040420991417331e-08,8.902340874817378e-11
1.2768373625821314e-07,1.2274687236932153e-07,1.1975277216547145e-07,1.3036954072093933e-07,1.2788128393805868e-07,1.252334680394895e-07,1.293032577655545e-07,1.250897503766293e-07,1.2914409235564086e-07,1.266144724295656e-07,1.2175488768258251e-07,1.2229075510486967e-07,1.1531324886185252e-07,1.1574230291204561e-07,1.1327957396495231e-07,1.1550671255718345e-07,1.1223828381805636e-07,1.172405777033389e-07,1.1861630412678668e-07,1.1457155176078574e-07,1.1530614890586561e-07,1.2243047500906084e-07,1.1335482853918067e-07,1.1133162109542014e-07,1.2409611948644351e-07,1.2587657917253457e-07,1.284951998109741e-07,1.2326856612798433e-07,1.2283630550899552e-07,1.23307579609181e-07,1.265020133331949e-07,1.243190103315677e-07,1.2984006769044642e-07,1.2459430999519576e-07,1.2356395065284454e-07,1.2973285359502154e-07,1.2765077121719312e-07,1.214673294469679e-07,1.2075046698001788e-07,1.3000741173670663e-07,1.2954619189596585e-07,1.240917006391658e-07,1.3033645456132827e-07,1.2702931440556953e-07,1.2993919108610478e-07,1.2670996423081026e-07,1.227753513924058e-07,1.226515881017887e-07,1.1666673816082947e-07,1.1623170640989933e-07,1.1328482497826982e-07,1.1472186997090094e-07,1.1256944918049848e-07,1.164832345775633e-07,1.1809794213377045e-07,1.1589843828317596e-07,1.1606068405700255e-07,1.2072844450850272e-07,1.1476369933794033e-07,1.1216639765784094e-07,1.2372506082830757e-07,1.2618429236217505e-07,1.2723145134286944e-07,1.227298782359163e-07,1.2245366842479224e-07,1.2336954361561927e-07,1.272572211779547e-07,1.220649344839015e-07,1.3121896415968308e-07,1.228374260964921e-07,1.232473843628043e-07,1.2997293972154495e-07,1005.0,1.2220080760486804e-07,9.465180991036987e-10,1.2230338693784108e-07,9.403980863414541e-10,0.014488457438758104,0.1050487800723745,4.83951615474342e-13,4.3430381223521174e-13,1.095754035840283e-07,8.96003803506103e-09,2.9036003209461267e-11,8.589576122130202e-09,7.879149385045614e-11
1.2884551548050318e-07,1.2768460198308865e-07,1.2330843268048394e-07,1.280719595986469e-07,1.247440434399984e-07,1.2514122661701575e-07,1.282364560764745e-07,1.3020232452981514e-07,1.2663164527800445e-07,1.216738422035498e-07,1.25631332166112e-07,1.3038508848418496e-07,1.2092689324043217e-07,1.1462424690708856e-07,1.1497270318891637e-07,1.1779586311965308e-07,1.2182741376624513e-07,1.1743501191300945e-07,1.1264133542474006e-07,1.166099810653443e-07,1.1754268897959673e-07,1.1605551919389008e-07,1.1794349335864561e-07,1.1489585514174243e-07,1.2781461930857392e-07,1.2164667709209485e-07,1.2771543881685923e-07,1.3145960838962525e-07,1.2601900384453705e-07,1.2550441710437533e-07,1.2354167069521788e-07,1.2530374896874952e-07,1.250429122276712e-07,1.2647123791580184e-07,1.2487626557040522e-07,1.2748992144877218e-07,1.288784712128263e-07,1.271401645131219e-07,1.2369241277132957e-07,1.2789026641984493e-07,1.2427141244363083e-07,1.2458550209006498e-07,1.2880996084670357e-07,1.3009208431091783e-07,1.2474349032346655e-07,1.2075279465440002e-07,1.2613550582908407e-07,1.3134512657001794e-07,1.2060332751082035e-07,1.1397945689978172e-07,1.1520368190236966e-07,1.1701720608388294e-07,1.2113955037270105e-07,1.169018772191881e-07,1.1295450032231019e-07,1.1691728694883592e-07,1.1709218406731626e-07,1.1562138342332556e-07,1.1787338188533381e-07,1.1554271192259231e-07,1.2806326035429886e-07,1.2202672609998337e-07,1.2838480986356808e-07,1.317066342353495e-07,1.260285105321598e-07,1.2505740013049326e-07,1.2316573328551325e-07,1.2524559954538515e-07,1.2632571211276044e-07,1.2674965113534602e-07,1.2430240411547611e-07,1.282303288737617e-07,1155.0,1.2324202764499624e-07,8.630711936129936e-10,1.2317973641188784e-07,8.855980855069878e-10,-0.007454613589339302,0.12414245787500611,3.695343869717472e-13,3.395966064553328e-13,1.1312821483942941e-07,7.098489167451144e-09,2.163050117394961e-11,6.878587003028837e-09,7.216031328150473e-11
1.2835963303842675e-07,1.282644242580347e-07,1.2638443098051952e-07,1.2975592845815829e-07,1.2877056885955543e-07,1.3303996880648235e-07,1.299830440315621e-07,1.293418025505574e-07,1.3243773525005043e-07,1.2837897628253203e-07,1.2809646689262847e-07,1.292269678580834e-07,1.1907549398478823e-07,1.1977930770671152e-07,1.1974178185301108e-07,1.2276460738059877e-07,1.1782431372264085e-07,1.2090184665483691e-07,1.1870017150681873e-07,1.2026193747766118e-07,1.2178100885366027e-07,1.1982483292346116e-07,1.2195406164765366e-07,1.223101082684928e-07,1.352651904428499e-07,1.2775438574394744e-07,1.2688981572711938e-07,1.294970051583488e-07,1.2996240035314977e-07,1.2975325167965523e-07,1.286035141872323e-07,1.2403133790843573e-07,1.293613743839481e-07,1.3333895187982433e-07,1.3035610643398476e-07,1.3023078162017833e-07,1.2850278769775683e-07,1.2862664342609183e-07,1.2645345793317918e-07,1.2954022499832102e-07,1.2927229257921042e-07,1.3393678167677492e-07,1.3108166562432192e-07,1.2743919785700642e-07,1.3237637665475174e-07,1.2859635017688856e-07,1.2802568896011975e-07,1.298422463207747e-07,1.1898190078509579e-07,1.1896103922642094e-07,1.1831716050381157e-07,1.233274620524223e-07,1.1781944571361522e-07,1.197893190392627e-07,1.1786099016239639e-07,1.1863797025084607e-07,1.211845952735952e-07,1.1955215755426784e-07,1.2270158896580787e-07,1.2060846766348804e-07,1.3449831034830797e-07,1.2731616899091563e-07,1.2713018614646765e-07,1.2981533297599934e-07,1.2991999321084888e-07,1.2985563165516077e-07,1.2893906871759535e-07,1.2515962789432096e-07,1.2798083136234135e-07,1.3405708516461075e-07,1.2965221039888597e-07,1.297272168991744e-07,1305.0,1.2644454263237778e-07,8.016244880460917e-10,1.2626354096835715e-07,8.50916700897842e-10,-0.03371351089294069,0.14694717291631554,2.9698810676855076e-13,2.772949905930904e-13,1.1799515246530846e-07,5.797402805876474e-09,1.2397067804798468e-11,5.563207455723423e-09,3.6627731184711844e-11
1.3238217837143568e-07,1.305583334517427e-07,1.3156422571091496e-07,1.3154867451312286e-07,1.3182727823770244e-07,1.3449175971155586e-07,1.3592263256308803e-07,1.284770487899417e-07,1.3398632321093346e-07,1.3067264479698328e-07,1.299572832529673e-07,1.2635724909755384e-07,1.1978573165578716e-07,1.2083006231646198e-07,1.196896218236211e-07,1.2032661698909877e-07,1.2200864244109414e-07,1.1880487510141813e-07,1.195817551222641e-07,1.232079701245614e-07,1.2103192486884816e-07,1.192722395837614e-07,1.2034160478138742e-07,1.188450523452194e-07,1.3094606973989704e-07,1.2722825805015432e-07,1.2987280578188047e-07,1.3216503086249892e-07,1.2793583564502138e-07,1.278721827969912e-07,1.2655657409463e-07,1.3083409900618727e-07,1.288516113795053e-07,1.3352151160332184e-07,1.3240989242048427e-07,1.3198453658583002e-07,1.3324416729407652e-07,1.309281923301067e-07,1.302807435707013e-07,1.3089119831598342e-07,1.3034918212110856e-07,1.350893134991161e-07,1.3612812824049102e-07,1.2684937773368254e-07,1.3446780576563948e-07,1.2939553636674233e-07,1.294314338496215e-07,1.2495545687083583e-07,1.1982878392969244e-07,1.211762042510757e-07,1.198879195025626e-07,1.198669585690383e-07,1.2237278892076217e-07,1.1946563511888774e-07,1.2060255240229885e-07,1.220546143271023e-07,1.2028646026212832e-07,1.1978323814845668e-07,1.2129715234484996e-07,1.1929115481380883e-07,1.3093158487888927e-07,1.2784728163291213e-07,1.2965794995843502e-07,1.3133821260334505e-07,1.2891564109385986e-07,1.271751640810745e-07,1.2706271927079079e-07,1.3116590321539155e-07,1.2957502742920738e-07,1.329351993690745e-07,1.319752191447328e-07,1.3252304124103441e-07,1455.0,1.2726805935632966e-07,9.068305576716961e-10,1.2719519284631988e-07,8.865188124344808e-10,-0.01128942635300081,0.1849302570086656,2.4046586007501974e-13,2.2800189002994596e-13,1.2064010866269771e-07,4.790399165416379e-09,1.1135651023271988e-11,4.694368624260031e-09,5.2834822310536745e-11
