cutout 0 g,cutout 1 g,cutout 2 g,cutout 3 g,cutout 4 g,cutout 5 g,cutout 6 g,cutout 7 g,cutout 8 g,cutout 9 g,cutout 10 g,cutout 11 g,cutout 12 g,cutout 13 g,cutout 14 g,cutout 15 g,cutout 16 g,cutout 17 g,cutout 18 g,cutout 19 g,cutout 20 g,cutout 21 g,cutout 22 g,cutout 23 g,cutout 24 g,cutout 25 g,cutout 26 g,cutout 27 g,cutout 28 g,cutout 29 g,cutout 30 g,cutout 31 g,cutout 32 g,cutout 33 g,cutout 34 g,cutout 35 g,cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,cl_kappa_tg_ave,cl_kappa_tg_ave_err,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,d_auto_cl,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
9.76623408963479e-07,9.293926600009531e-07,1.0200650533783994e-06,9.278082893508646e-07,9.40111533668946e-07,9.390296076276792e-07,1.0159053205352997e-06,9.226363231921009e-07,9.722663647923158e-07,8.967857564121758e-07,9.079932834599713e-07,9.361464014585902e-07,8.68860125298728e-07,8.157076436431985e-07,8.341309452421809e-07,9.374064557509124e-07,8.922882903158554e-07,9.319748880435442e-07,9.143201811861302e-07,9.227212097543587e-07,8.875651393193305e-07,8.462329939188685e-07,8.915114430911698e-07,8.521690346193668e-07,9.360039084380126e-07,9.209156011501085e-07,9.151206591936275e-07,1.0090407866495474e-06,9.356574595148133e-07,9.130401491124442e-07,8.987144966100267e-07,8.405951250549789e-07,9.445329118543577e-07,1.0009338134476433e-06,9.123005954397148e-07,8.749366755585716e-07,9.812936153836448e-07,9.418701815708084e-07,1.0182539059567375e-06,9.194846366401114e-07,9.373528632449233e-07,9.42161647915e-07,1.0132906105680926e-06,9.238931607679927e-07,9.754915396349701e-07,9.0107883417746e-07,9.053189781123954e-07,9.373348784710675e-07,8.734997136825225e-07,8.164124812738785e-07,8.35265380456274e-07,9.351776159890595e-07,8.946808139779887e-07,9.350992684436898e-07,9.160568876546735e-07,9.198898119279573e-07,8.882529663289495e-07,8.4077393241509e-07,8.900620544579286e-07,8.605970653010312e-07,9.382930954365576e-07,9.23691277610855e-07,9.118069128631037e-07,1.0063774378835665e-06,9.383620060562031e-07,9.160485125748552e-07,8.91777161860999e-07,8.41695371417677e-07,9.447578940551428e-07,9.987846771246984e-07,9.146310027541651e-07,8.812171712162371e-07,105.0,9.189290148624519e-07,8.237684638270012e-09,9.197232045890643e-07,8.153193482514734e-09,-0.01036073834276423,0.06283298240548547,3.333982820362637e-10,1.8258522506995582e-10,4.355105570345559e-07,1.3270818822985467e-07,2.3302170823948397e-09,1.1356570999448552e-07,2.1298711518203534e-09
6.885224904762276e-07,6.892068052255087e-07,7.395791334401709e-07,7.279827757710837e-07,6.975354233296914e-07,7.037565099753956e-07,7.471741137675364e-07,7.750270746503372e-07,7.132932310820066e-07,7.016768736699079e-07,6.52614353251177e-07,6.80234530312673e-07,7.007454890867547e-07,7.202096436909052e-07,7.163939594056856e-07,7.2401372365258e-07,6.732966622726541e-07,7.062664589431152e-07,6.975632990344397e-07,7.188814658358208e-07,6.547280727033191e-07,6.831470401409822e-07,7.095002285061138e-07,6.854793272824892e-07,7.194660250888056e-07,7.278389186611942e-07,7.46199314922397e-07,7.022734941241042e-07,6.729976376690318e-07,7.004787061736503e-07,6.964860003414836e-07,6.547713764585859e-07,7.466244428429688e-07,7.235893058385648e-07,6.658078309557399e-07,7.145757730944592e-07,6.853684670594376e-07,6.938895844265976e-07,7.408766332043479e-07,7.252002044243618e-07,6.927785762258791e-07,6.975133093936436e-07,7.41645494875586e-07,7.770114903815094e-07,7.111392881334498e-07,7.024854180110169e-07,6.510853405423581e-07,6.730593041281639e-07,7.012387836696465e-07,7.200740110587731e-07,7.148267859013895e-07,7.2199409999982e-07,6.774127781043711e-07,7.068354427864922e-07,6.958205543027359e-07,7.193188057225024e-07,6.593929846571485e-07,6.879041749343943e-07,7.113253365944727e-07,6.866581765106423e-07,7.205810566529687e-07,7.31659880774429e-07,7.412517661838487e-07,7.030837465190419e-07,6.741544130521707e-07,6.993951920972296e-07,6.95403607341616e-07,6.632611444770611e-07,7.55261545831046e-07,7.219943864811083e-07,6.695496938125346e-07,7.144997939945157e-07,255.0,7.049427086577101e-07,4.6806798402534495e-09,7.051375353407308e-07,4.593640670059996e-09,-0.00025536503146813026,0.07239285110281302,4.336441114388067e-11,3.891696481760378e-11,6.322501592912855e-07,6.429182167117839e-08,4.817330560564828e-10,6.04796993364657e-08,9.303043296505948e-10
7.536157233824194e-07,7.729764947684107e-07,7.823516339813508e-07,7.539758589046794e-07,7.266984284720512e-07,7.438599708026459e-07,8.057530343742264e-07,7.777706478760803e-07,7.840145842597488e-07,7.807644730335021e-07,7.824916273027505e-07,7.425762900112055e-07,7.536865079590458e-07,7.357407766192581e-07,7.322241471828443e-07,7.355504902838839e-07,7.300124709990468e-07,7.783538722203173e-07,7.809409085765769e-07,7.29643857640965e-07,7.785674460498655e-07,7.239275880438176e-07,7.31162348872827e-07,7.337635076521573e-07,7.490786382441848e-07,7.608962387012721e-07,7.484484823494958e-07,7.500646874602808e-07,7.699225976678256e-07,7.819105346592865e-07,7.873568871590402e-07,7.553566651658758e-07,8.116641488861433e-07,8.013518226918874e-07,7.428590057084559e-07,7.190511217643398e-07,7.527974542622014e-07,7.780182100215792e-07,7.821804573274649e-07,7.546732094641213e-07,7.262484025480763e-07,7.440274900792527e-07,8.052711280987831e-07,7.807631886952065e-07,7.821647313721457e-07,7.775493495549631e-07,7.820643627702326e-07,7.382547968288066e-07,7.506429939561915e-07,7.405914648908797e-07,7.324144801641333e-07,7.342876574642647e-07,7.293839726699417e-07,7.779609332102529e-07,7.770050484480057e-07,7.279355884733113e-07,7.820003998577319e-07,7.204047356082245e-07,7.388721625078479e-07,7.293541109858682e-07,7.532500579311944e-07,7.583951419287286e-07,7.495451108312409e-07,7.475563735020418e-07,7.762194574975249e-07,7.751244988883697e-07,7.884207648664374e-07,7.511345790148814e-07,8.123569589912651e-07,8.008837899586456e-07,7.425881514276875e-07,7.193781688979179e-07,405.0,7.591217644368824e-07,4.190260122887852e-09,7.58881093972095e-07,4.220418819193427e-09,-0.003461360916052209,0.11418171540245997,1.851234298276195e-11,1.765975125595578e-11,7.182092540008124e-07,3.6959879823397663e-08,1.509135010313652e-10,3.501185720602157e-08,6.103665897915016e-10
8.073273284726911e-07,8.159923347294366e-07,8.403831124772574e-07,8.183641186291328e-07,8.082907503801434e-07,8.273745431334878e-07,8.23881451235875e-07,8.09458962213362e-07,7.968725038166564e-07,8.094107835413313e-07,8.397338148427445e-07,8.083130604636396e-07,7.961367153723557e-07,7.198578765280861e-07,7.970635386731702e-07,8.204029182434664e-07,7.757005944084563e-07,8.015185687925232e-07,8.225806519038053e-07,7.867360810592991e-07,7.687026844907901e-07,7.656142567465374e-07,7.772999416850004e-07,8.103900308978169e-07,8.196385658044747e-07,7.779168423424893e-07,8.08312188860833e-07,8.119254669729764e-07,7.632772920284887e-07,7.952028932329939e-07,8.447036995725194e-07,7.564457921396227e-07,7.925093779394783e-07,8.430189906025144e-07,7.847323052978464e-07,7.762083085252332e-07,8.06754536516553e-07,8.185118515460764e-07,8.399943086268948e-07,8.176348340044565e-07,8.03489089373651e-07,8.322725366244541e-07,8.214160994174139e-07,8.103225290037326e-07,8.022530789813731e-07,8.110012559124952e-07,8.421688736920816e-07,8.083610848427838e-07,7.999933839809476e-07,7.207340123653523e-07,7.968737052725947e-07,8.181554103472308e-07,7.754217508807886e-07,8.081048684553754e-07,8.234966641975782e-07,7.818587156338956e-07,7.710273358428968e-07,7.680607433436824e-07,7.761930415402996e-07,8.101853544367836e-07,8.191177955966493e-07,7.772589923137528e-07,8.084833936787521e-07,8.084650995166409e-07,7.634954770143698e-07,7.922272150681663e-07,8.477567214927069e-07,7.55333859880983e-07,7.909210765690153e-07,8.404825360669818e-07,7.86959163834957e-07,7.779221922204097e-07,555.0,8.005916207237928e-07,4.496278997231744e-09,8.009085718914662e-07,4.510969739233717e-09,0.011867292122989944,0.2006415979986542,1.0396449907946337e-11,1.005575228730979e-11,7.737542419855539e-07,2.2470867100905e-08,9.528105972325874e-11,2.2042892055939832e-08,3.96637218567346e-10
8.775364663947193e-07,8.998207265528403e-07,8.791755823198617e-07,8.608349762211744e-07,8.745338777512074e-07,8.704383322059546e-07,9.061764027455354e-07,8.779969430938329e-07,8.833528312193867e-07,8.564590468134238e-07,8.845912104792867e-07,8.798388795048233e-07,8.140183517400276e-07,8.680297478689909e-07,8.813993902420308e-07,8.881708817035871e-07,8.517604315248298e-07,8.505586783818551e-07,8.68252963546618e-07,8.811634293115349e-07,8.335660418701032e-07,8.606647323082044e-07,8.300472550199403e-07,8.571197895911716e-07,8.682875963625946e-07,8.664152862232168e-07,8.463932926576498e-07,8.904707834628242e-07,8.515571220666374e-07,8.469066312652611e-07,8.752292831425309e-07,8.699977110246733e-07,8.913404955780457e-07,9.089521546810476e-07,8.867194947063252e-07,8.864504281796337e-07,8.804227118977732e-07,9.020603776268454e-07,8.804033488019526e-07,8.575408425629908e-07,8.696155408065712e-07,8.689885151697147e-07,9.044229684847253e-07,8.774088024449902e-07,8.845880110712452e-07,8.583577634782884e-07,8.856147685881514e-07,8.807069800172966e-07,8.140843357551464e-07,8.671437484253937e-07,8.851112851967458e-07,8.87505662774562e-07,8.500799704406487e-07,8.533260506031096e-07,8.712080769204958e-07,8.735095349408446e-07,8.346684828196805e-07,8.605936400607767e-07,8.307803315343742e-07,8.545277398793735e-07,8.731203443556561e-07,8.685535233976256e-07,8.468174589497212e-07,8.8872711136229e-07,8.583599420091691e-07,8.453489084561629e-07,8.761055143844866e-07,8.673681816218426e-07,8.910773174219754e-07,9.096121704198797e-07,8.909848230767333e-07,8.876517161411234e-07,705.0,8.70117423548927e-07,3.474085909415422e-09,8.704554583860655e-07,3.48072442008431e-09,0.03031874049609842,0.2225671864360941,7.0026048874718775e-12,6.786889375992905e-12,8.413522696544748e-07,1.5669568274442237e-08,5.54527718522391e-11,1.5472931569598247e-08,2.905476026022392e-10
9.254561649996076e-07,9.365956279055562e-07,9.584975462152027e-07,9.222029701978531e-07,9.169540169807719e-07,9.360605569990489e-07,9.842851031894935e-07,9.385182803504116e-07,9.000010261788783e-07,9.364228178105725e-07,9.634522660579843e-07,9.245926233415835e-07,8.709728260833541e-07,8.873577837526751e-07,9.246824871293996e-07,9.089482638972256e-07,9.383011569998843e-07,8.869086655281881e-07,8.976773931111184e-07,8.769673483178914e-07,9.34823686785357e-07,9.197293674605904e-07,9.252903437497359e-07,9.126751060585855e-07,9.3389623957482e-07,9.247306771082307e-07,9.033100141250635e-07,9.55827698603559e-07,9.105312172543313e-07,9.284325583879086e-07,9.44580293662686e-07,8.721028245458084e-07,9.171530352697299e-07,9.637908894243325e-07,9.127684414929751e-07,9.240622698357259e-07,9.219844261587022e-07,9.365431527682619e-07,9.60038932821306e-07,9.192369172360059e-07,9.165061860397635e-07,9.349248652937461e-07,9.814539851417002e-07,9.369868973829167e-07,9.005696858616857e-07,9.408526699462236e-07,9.65170760301202e-07,9.236782448296056e-07,8.724798552234285e-07,8.894469814829086e-07,9.235713606378528e-07,9.063224214204111e-07,9.392494222412509e-07,8.873280227205669e-07,8.963971529786626e-07,8.788199555763642e-07,9.34108216421363e-07,9.146275514987457e-07,9.2780580109501e-07,9.071956393188928e-07,9.356508600984371e-07,9.239323270960398e-07,9.021239635256308e-07,9.610622709637638e-07,9.113544085264634e-07,9.278222815562715e-07,9.482436970638126e-07,8.720919467142247e-07,9.244435983682813e-07,9.670010832292093e-07,9.105169479465498e-07,9.233310632353742e-07,855.0,9.227377663440592e-07,4.306688141909432e-09,9.228575986866842e-07,4.374681077158648e-09,0.021191210437123305,0.3763059223111291,5.049007989297547e-12,4.99289079549822e-12,9.127968099040754e-07,1.1633409678431786e-08,3.8294743394704095e-11,1.1065125672360288e-08,2.808777873023252e-10
1.0627655074596697e-06,1.0649316471584753e-06,1.0816491889679773e-06,1.0503502931091029e-06,1.0486399529296573e-06,1.0507566301685248e-06,1.062736960940596e-06,1.0337726651846866e-06,1.0185766589541768e-06,1.0528235315255331e-06,1.0356170857220265e-06,1.0087987031690007e-06,1.0152191400114837e-06,9.779902351893047e-07,1.0037398538448307e-06,1.0214347838488866e-06,1.0266288936694831e-06,1.0554517591143204e-06,1.040790344524124e-06,9.976134410157367e-07,9.825269073856342e-07,1.019064066847685e-06,1.0028392316682047e-06,9.789768046093972e-07,1.0314856928903633e-06,1.0234247296841693e-06,9.9862232005623e-07,1.0212934614006607e-06,1.0183425769918414e-06,1.0813277596982238e-06,1.0391622628892699e-06,1.009407561182812e-06,1.0361165571412706e-06,1.0140013100147452e-06,1.0036143089918165e-06,1.0293130182949371e-06,1.0592489688225265e-06,1.0637220907555101e-06,1.0840071480788437e-06,1.0504360809894018e-06,1.0485459597572489e-06,1.048600127435232e-06,1.062656175410792e-06,1.035477260407747e-06,1.0227220997998125e-06,1.053155027616981e-06,1.0355487506796324e-06,1.0096316551096361e-06,1.0155591740929896e-06,9.800521738511317e-07,1.0040060977934287e-06,1.020925540303641e-06,1.0240288387537345e-06,1.0593814224578587e-06,1.0395579280836744e-06,9.964148141448844e-07,9.86131624444961e-07,1.0178464422242517e-06,1.0002451502380676e-06,9.74352232983108e-07,1.030120652098269e-06,1.0240016524610988e-06,9.967068597962384e-07,1.0261652051790517e-06,1.0213042964693056e-06,1.0830475765273678e-06,1.0422384577414632e-06,1.0058772132841486e-06,1.0351158531204983e-06,1.0144715099985573e-06,1.001628645111513e-06,1.0337770519260876e-06,1005.0,1.0277723846181906e-06,4.435890671816539e-09,1.027964104387464e-06,4.498654702890276e-09,0.028471765320423077,0.5022757534297081,4.07028493202917e-12,4.031002647174673e-12,1.018541845100409e-06,8.96003803506103e-09,2.9036003209461267e-11,8.477829100078559e-09,2.4551364643193325e-10
1.2024377164800019e-06,1.2022706960544203e-06,1.195313098028006e-06,1.1857216581325729e-06,1.143799943154946e-06,1.2022557574620233e-06,1.1969160015631802e-06,1.1565640990121964e-06,1.1948491888769795e-06,1.1424138545146142e-06,1.1529319719049523e-06,1.165440125369107e-06,1.1380811357514523e-06,1.0829144891424809e-06,1.1681995368329988e-06,1.1212257079580054e-06,1.15561944830305e-06,1.0948248900275808e-06,1.1370364614800692e-06,1.136896025797944e-06,1.1442730719758311e-06,1.115739210691172e-06,1.131553205814602e-06,1.1303264946188081e-06,1.1686106331248658e-06,1.1620006138123589e-06,1.1303719233044183e-06,1.1778707931790507e-06,1.156171515728471e-06,1.1391450685099602e-06,1.1745001707433922e-06,1.1629730049522887e-06,1.2072659199689223e-06,1.1500632657956308e-06,1.1707848104883315e-06,1.1876254855760388e-06,1.2010753187557955e-06,1.204161239172868e-06,1.197272847583131e-06,1.1839945591756739e-06,1.1431064842911501e-06,1.2011328497387602e-06,1.1964604602931236e-06,1.1570876355251702e-06,1.1985264140136886e-06,1.1426501962806045e-06,1.15038900604476e-06,1.1612121912831102e-06,1.1354953109762683e-06,1.0850784251377216e-06,1.1684204975617192e-06,1.1229315380567323e-06,1.1550959077336553e-06,1.0956015200862379e-06,1.1371167818172738e-06,1.1345939940592054e-06,1.1453799212138682e-06,1.1134268044211126e-06,1.133771542607514e-06,1.12981600451277e-06,1.1643612520309242e-06,1.1602489825466437e-06,1.1314301434087223e-06,1.1775252506998945e-06,1.160080901841786e-06,1.1427815299287059e-06,1.1741631849336234e-06,1.1650916538584353e-06,1.2087473010542323e-06,1.1505343578525586e-06,1.1718267735513045e-06,1.1895273717810657e-06,1155.0,1.1579163053925205e-06,5.0974429879283435e-09,1.158058782050828e-06,5.1009614430952535e-09,0.025393508361678283,0.718118263434668,3.471947843233882e-12,3.4262516263565096e-12,1.1438298236274638e-06,7.098489167451144e-09,2.163050117394961e-11,6.961910273933937e-09,2.1373317363983254e-10
1.3568238176170739e-06,1.349959401559855e-06,1.3504524451333147e-06,1.2906154400577072e-06,1.3151047716415446e-06,1.3591895900834988e-06,1.3465784835859655e-06,1.277844431947517e-06,1.3186078404468906e-06,1.301523633470737e-06,1.3076341061810849e-06,1.3065997874962091e-06,1.3176330011165937e-06,1.2909935046663034e-06,1.3004454409087183e-06,1.2933936486531948e-06,1.2933079029123045e-06,1.3571334596681254e-06,1.345875775696435e-06,1.2731945418779625e-06,1.2701163712560495e-06,1.2826832697574465e-06,1.3522876439970729e-06,1.301888078145653e-06,1.337179944251122e-06,1.3367679567845643e-06,1.2658474070203582e-06,1.326647352674923e-06,1.305262784889178e-06,1.3124482238326542e-06,1.3283880405972833e-06,1.3248376798363461e-06,1.3474592832965007e-06,1.3632371590106605e-06,1.3123210997974662e-06,1.3587061800457112e-06,1.3511409312251371e-06,1.3482185078571194e-06,1.3502861600185877e-06,1.290534519418191e-06,1.3130965708317104e-06,1.3626150123552887e-06,1.344674359424389e-06,1.2769265798978204e-06,1.3180069005889115e-06,1.2975736461079908e-06,1.304283542424509e-06,1.307304060750864e-06,1.3189567821967356e-06,1.2876219432081563e-06,1.299891867695115e-06,1.291831306678567e-06,1.2940601023363766e-06,1.3545069365766963e-06,1.3444326214691646e-06,1.2705735466827064e-06,1.271836431738763e-06,1.2828948446713737e-06,1.3557952790155292e-06,1.3022447336163255e-06,1.3374075220979639e-06,1.338496110749096e-06,1.2696527841902325e-06,1.3258266451752751e-06,1.3081128362930063e-06,1.3100345633090043e-06,1.3271592083677523e-06,1.3246049334995965e-06,1.3509555619163015e-06,1.3647241585011e-06,1.3125089030153647e-06,1.3649435262198798e-06,1305.0,1.3188608194420562e-06,4.794067992916976e-09,1.3187148316700165e-06,4.858340161874457e-09,-0.028628501960406005,0.8403526348433034,3.0976898623145433e-12,3.0759270262516233e-12,1.3113145931445215e-06,5.797402805876474e-09,1.2397067804798468e-11,5.621685843109421e-09,1.596110838839038e-10
1.5727288655338455e-06,1.5668116200704452e-06,1.5531254730622484e-06,1.5152120782862509e-06,1.5117891744618998e-06,1.5316255549718266e-06,1.5563968883614207e-06,1.4923289430549391e-06,1.5737691802924355e-06,1.535533270224211e-06,1.5617055912836341e-06,1.5242774215828676e-06,1.4813771208003622e-06,1.4464484969978677e-06,1.476808865880143e-06,1.4765730782235177e-06,1.5197245266610877e-06,1.5256320109584516e-06,1.4847697735354295e-06,1.4847278278917343e-06,1.4513738509063108e-06,1.4883463540392242e-06,1.497430722589711e-06,1.4931604384753524e-06,1.5266601587656073e-06,1.5209746858839042e-06,1.4981065274223958e-06,1.6017995319368133e-06,1.4861279804645198e-06,1.5201733041887761e-06,1.6101845606482423e-06,1.5115715175887057e-06,1.5273166664774594e-06,1.5018462550055776e-06,1.587696837185935e-06,1.5383735716487958e-06,1.5720098317774337e-06,1.5676276466955205e-06,1.555880937523293e-06,1.5102077137507944e-06,1.5105806635788058e-06,1.5292093252130076e-06,1.5580457323603776e-06,1.4939364055510058e-06,1.5747072106121442e-06,1.538320464470154e-06,1.5542495130909595e-06,1.5256184946926017e-06,1.483655172153122e-06,1.4460810802138114e-06,1.4759011431223486e-06,1.4760246952021896e-06,1.5194354316788847e-06,1.5270275857726194e-06,1.488083660913475e-06,1.4812233678205581e-06,1.4516322363955483e-06,1.4861595559374988e-06,1.4960462195073848e-06,1.4895706277455823e-06,1.5239727291190844e-06,1.5157448313069576e-06,1.50204422193052e-06,1.6024417748218716e-06,1.4886837907948757e-06,1.5217867980318054e-06,1.6114522828825309e-06,1.5132755554927256e-06,1.5308915560611961e-06,1.5027271815097782e-06,1.5864930707483973e-06,1.5366515655032494e-06,1455.0,1.520903020148943e-06,6.620542934653999e-09,1.5207611131661698e-06,6.629959862604586e-09,-0.03541110336161873,1.3771034166313763,2.8736609537420547e-12,2.835660919016512e-12,1.5035022942408548e-06,4.790399165416379e-09,1.1135651023271988e-11,4.527432605245104e-09,1.8021440916044768e-10
