cutout 0 g,cutout 1 g,cutout 2 g,cutout 3 g,cutout 4 g,cutout 5 g,cutout 6 g,cutout 7 g,cutout 8 g,cutout 9 g,cutout 10 g,cutout 11 g,cutout 12 g,cutout 13 g,cutout 14 g,cutout 15 g,cutout 16 g,cutout 17 g,cutout 18 g,cutout 19 g,cutout 20 g,cutout 21 g,cutout 22 g,cutout 23 g,cutout 24 g,cutout 25 g,cutout 26 g,cutout 27 g,cutout 28 g,cutout 29 g,cutout 30 g,cutout 31 g,cutout 32 g,cutout 33 g,cutout 34 g,cutout 35 g,cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,cl_kappa_tg_ave,cl_kappa_tg_ave_err,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,d_auto_cl,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
2.730774325912271e-07,2.380513752957792e-07,2.666586557753121e-07,2.488646667524719e-07,2.4849229978648073e-07,2.500451567085208e-07,2.71262135463715e-07,2.445100111356707e-07,2.6031707165476807e-07,2.485286327761182e-07,2.3747588565628153e-07,2.6008744848936386e-07,2.2311870648121519e-07,2.1268426587411837e-07,2.1567426455873584e-07,2.1723693953500593e-07,2.1908073206266163e-07,2.0924412670802388e-07,2.1189500952191453e-07,2.193266067656322e-07,2.1890207842069922e-07,2.153818793556527e-07,2.2125100706264693e-07,2.158433594353953e-07,2.511728092611938e-07,2.3702978297291208e-07,2.606633828919261e-07,2.6217528388615636e-07,2.5671591368583907e-07,2.643332293897724e-07,2.5821213798857893e-07,2.443742390503834e-07,2.5981035585634773e-07,2.584022288123688e-07,2.4762974097439045e-07,2.614722208351979e-07,2.6648815886702323e-07,2.3735166761647543e-07,2.592759876605504e-07,2.4408635719927904e-07,2.4938602326398254e-07,2.453125045948589e-07,2.6065766707359325e-07,2.37968242781388e-07,2.5500429827346466e-07,2.4811119136682635e-07,2.3434877251083167e-07,2.566254918911933e-07,2.2108190954534377e-07,2.0608153895827177e-07,2.1101470947012342e-07,2.165839749407656e-07,2.1666916778766474e-07,2.0537562610482752e-07,2.095756525231707e-07,2.2025785583573402e-07,2.14533796283258e-07,2.1104002960593554e-07,2.1447393012336432e-07,2.1304172138816722e-07,2.481465172627866e-07,2.3473423316637306e-07,2.6045663872459436e-07,2.5139386124559176e-07,2.542077458002396e-07,2.623283494993048e-07,2.525960207362826e-07,2.3891484728023664e-07,2.524513426392455e-07,2.5716510206526816e-07,2.423744353514546e-07,2.5756851880003826e-07,130.0,2.419166964853466e-07,3.3421518987667956e-09,2.3796344133993087e-07,3.2344331759019707e-09,-0.04430525633947343,0.029720890056998735,5.7258389700673754e-11,9.75872573425218e-12,3.2494142970212514e-08,1.1209792404985323e-07,1.3899520066891873e-09,9.555364904816094e-08,1.1893608977146735e-09
8.613000442521503e-08,8.442442501431751e-08,8.894077771825206e-08,8.617863397351009e-08,8.862072713833745e-08,8.58077630913403e-08,8.860984185127817e-08,8.337579543481558e-08,8.861110484814603e-08,8.713302061743201e-08,8.775449564387342e-08,8.552834360174144e-08,7.844045536494368e-08,7.73472576749102e-08,7.761293138079906e-08,7.691650004792637e-08,7.712269087831019e-08,8.104490568125367e-08,7.189103019854612e-08,7.673422969771823e-08,7.860326454391654e-08,7.94987079492252e-08,7.880862774041294e-08,7.663365475882292e-08,8.608295817912535e-08,8.34355151983195e-08,8.611784728225432e-08,8.829078092186357e-08,7.944956770710883e-08,9.103603196892192e-08,8.202559057881835e-08,8.494116038707953e-08,8.52649524460686e-08,8.693491918076787e-08,7.883791333617994e-08,8.85897510398313e-08,8.344060688388493e-08,8.26127052958776e-08,8.713265964076328e-08,8.504585392669677e-08,8.532009492601425e-08,8.350173870583556e-08,9.051050990727151e-08,8.250436469314263e-08,8.753409939582842e-08,8.765178887304655e-08,8.509739934805796e-08,8.383246986514635e-08,7.781934266770132e-08,7.570705564113438e-08,7.58886485332731e-08,7.663909581988561e-08,7.60346674966254e-08,7.847063608336471e-08,7.07062591824686e-08,7.60829063199521e-08,7.584569124537308e-08,7.718108764114509e-08,7.815372388709906e-08,7.679643762881721e-08,8.666637559084888e-08,8.141138707577733e-08,8.532368636757449e-08,8.627380748270234e-08,7.721536777569705e-08,8.907882642214009e-08,7.900933632248309e-08,8.223395398761573e-08,8.319314530192155e-08,8.367321414017968e-08,7.825930664491664e-08,8.734628870981792e-08,330.0,8.313267159726066e-08,8.033787738090507e-10,8.164429276194667e-08,8.027585561415442e-10,-0.03075900876041575,0.01666765778911156,3.0535416564650378e-12,1.3141548930073035e-12,3.4904970458965746e-08,4.7679143410413233e-08,2.712913256517238e-10,4.211567134803888e-08,2.8630722808857604e-10
6.683724441631484e-08,6.152362612593275e-08,6.677999602157833e-08,6.596704543934998e-08,6.376207566577117e-08,6.805424526963723e-08,6.352162562359894e-08,6.498621188333099e-08,6.706887652844395e-08,6.302565583182531e-08,6.521593125220957e-08,6.210529236520883e-08,5.7177918143255166e-08,5.736229773686391e-08,5.859544781268922e-08,5.795936073097143e-08,6.039863956876502e-08,5.7583548516201846e-08,5.73476143536985e-08,5.536762508573137e-08,5.63837702794015e-08,5.8245718713494974e-08,5.880002495196103e-08,5.8806457523552184e-08,6.396135475966538e-08,6.221239273721198e-08,6.518873152193758e-08,6.65422753882155e-08,6.54703998643038e-08,6.5843810981149e-08,6.7865094534021e-08,6.446389798743796e-08,6.504504529091594e-08,6.810083813570512e-08,6.483208339371865e-08,6.336376070788329e-08,6.664656095244106e-08,6.146701329408693e-08,6.321844965490306e-08,6.623145568489087e-08,6.359318091087731e-08,6.70303820436977e-08,6.304810045613242e-08,6.466046178350486e-08,6.64802623339642e-08,6.266803251968141e-08,6.367679149274156e-08,6.386475342307029e-08,5.789561410583809e-08,5.7203899540250245e-08,5.729072120634895e-08,5.662602255811727e-08,5.978985544032678e-08,5.491014679503274e-08,5.770452932071032e-08,5.551660350959346e-08,5.5415781325429454e-08,5.7223906851492344e-08,5.773073049785763e-08,5.85131232194432e-08,6.437232599552953e-08,6.129063388852314e-08,6.530207701113229e-08,6.487399205972531e-08,6.520756196954645e-08,6.530720209855037e-08,6.535647832688695e-08,6.427475577585168e-08,6.440566462528048e-08,6.763231207584727e-08,6.379746894041522e-08,6.323108892739534e-08,530.0,6.266016486505425e-08,6.420594815461382e-10,6.20404983504199e-08,6.376671471442969e-10,-0.024836658378183968,0.025985348641003644,8.922771785696585e-13,5.082171442487944e-13,3.52636341443598e-08,2.443415166367776e-08,7.596178807538058e-11,2.206868134298631e-08,1.1408223748789683e-10
5.652315946307195e-08,5.5395848873347104e-08,5.803399231021434e-08,5.5570152933715165e-08,5.74329256970566e-08,5.3860215887590056e-08,5.4118941643600615e-08,5.582356454252731e-08,5.7470550720754113e-08,5.4980276726310015e-08,5.5024897870714005e-08,5.5451235607703004e-08,5.074995197951982e-08,5.073029762061466e-08,4.9422451662871135e-08,5.025203054899904e-08,4.79613649060416e-08,4.888317282175879e-08,4.819576957058001e-08,4.937731064278754e-08,4.962226067403492e-08,5.032747195513129e-08,5.070077958466823e-08,4.8008612709798236e-08,5.665310038144962e-08,5.4365572382468325e-08,5.5770842211892034e-08,5.828462863591038e-08,5.6153841926370315e-08,5.662196193920092e-08,5.528774866366628e-08,5.697658385765721e-08,5.319161082750117e-08,5.4769253287327827e-08,5.505318732760545e-08,5.487168843911892e-08,5.4933692089897296e-08,5.3734510048970224e-08,5.590475439413064e-08,5.610620795887965e-08,5.7046299300570726e-08,5.356563894525247e-08,5.4461798297075045e-08,5.394253127548502e-08,5.704054640772252e-08,5.534925096197385e-08,5.447029643629274e-08,5.4968346445216376e-08,4.993845955880307e-08,5.072014857006649e-08,4.817529750657224e-08,4.917604157007691e-08,4.8273092518736934e-08,4.8131500647780685e-08,4.8333902129361826e-08,4.8258511459144316e-08,4.9720064402755026e-08,4.9856135489538874e-08,5.002349546366218e-08,4.722964675672552e-08,5.7333831528943215e-08,5.488388277959078e-08,5.533534539852266e-08,5.710599247138617e-08,5.476028726960934e-08,5.5979293236287516e-08,5.477330633017917e-08,5.7924152004098076e-08,5.52535223537015e-08,5.491444773237055e-08,5.410706358641861e-08,5.450671329533287e-08,730.0,5.366436824537716e-08,5.356430235995729e-10,5.322883351725365e-08,5.418210672699365e-10,-0.02688937121929346,0.03616701159792176,4.0281004500189277e-13,2.665815726777555e-13,3.5277275147951355e-08,1.4854525502183898e-08,4.3844002564169984e-11,1.35229131840897e-08,5.227835852573894e-11
5.0640432563089736e-08,4.985849864391998e-08,4.883485322607967e-08,4.962910014663252e-08,5.2138234246779306e-08,5.120270819990337e-08,5.1756359435923954e-08,5.1637116589851594e-08,5.182362342139119e-08,4.9491983887890854e-08,5.1019592569056155e-08,5.025012005465049e-08,4.599716314679924e-08,4.425616791111282e-08,4.414023225911706e-08,4.486615885852773e-08,4.257262289648977e-08,4.324552561665522e-08,4.340393968418221e-08,4.284700917390389e-08,4.3905041211403997e-08,4.601972221173094e-08,4.436692806897885e-08,4.359101044315207e-08,5.060115157357692e-08,4.909250697540181e-08,4.9301812611982615e-08,5.091556839446939e-08,5.003479061131541e-08,5.105891258002475e-08,4.9649398549964786e-08,5.024464323362113e-08,4.982389542718768e-08,4.960022471875157e-08,5.027922447038223e-08,5.057772918290807e-08,5.019030798219935e-08,4.94306814581884e-08,4.8483319645486596e-08,4.9364329283990116e-08,5.1556138531450963e-08,5.014454671275126e-08,5.129710126382058e-08,5.164603629134994e-08,5.219640473980994e-08,4.9612436670083014e-08,5.104737883261721e-08,4.96611498800527e-08,4.674637720214891e-08,4.365577864143681e-08,4.357398416229217e-08,4.500189163686033e-08,4.3474223447407055e-08,4.3071428523020484e-08,4.352751758820891e-08,4.3564537545471246e-08,4.420377729627043e-08,4.520283053086869e-08,4.330239356574087e-08,4.376116233639183e-08,5.041273555578627e-08,5.0430888411987714e-08,4.961952980479071e-08,5.0882285045545934e-08,5.0519558469487006e-08,5.1363847780030534e-08,4.937553221430851e-08,4.984308474468067e-08,4.980187820103372e-08,4.9161925777483264e-08,4.984087170905478e-08,5.134835289514401e-08,930.0,4.829650007768914e-08,5.265278118547578e-10,4.8231006232701416e-08,5.204066074548603e-10,-0.005085873497183287,0.05109308903493618,2.2336223876836227e-13,1.6120950699941e-13,3.46970769625619e-08,1.0156821491210495e-08,2.6445527332408157e-11,9.311053297076395e-09,3.83955333399434e-11
4.646240161308256e-08,4.46481809257705e-08,4.5275638945035227e-08,4.485280347959344e-08,4.600728673683837e-08,4.624699322983565e-08,4.628949903099836e-08,4.589176564736256e-08,4.7031721158685244e-08,4.445045804477005e-08,4.560934913456166e-08,4.7257837831000264e-08,4.137042397215885e-08,4.114287319644619e-08,4.047172118105573e-08,4.0036440548962486e-08,4.216102956172757e-08,4.0101550599705844e-08,3.933319897651983e-08,3.996995366244592e-08,4.073738550345489e-08,4.099655829250698e-08,4.080890078151911e-08,4.058511676834893e-08,4.406264785185295e-08,4.473028759098893e-08,4.5009475758500705e-08,4.6423016563499445e-08,4.460525771055783e-08,4.601802505480509e-08,4.493579553562903e-08,4.532958390703681e-08,4.4374573605554076e-08,4.560991203755108e-08,4.5291434446568956e-08,4.554579842043759e-08,4.6749608196785936e-08,4.442428493029226e-08,4.462635677473144e-08,4.4222542055820554e-08,4.562277937222079e-08,4.5371222985012286e-08,4.7088702227613605e-08,4.578347955461764e-08,4.5692191384067325e-08,4.528694137461697e-08,4.554019399180323e-08,4.790567519412089e-08,4.098396658586635e-08,4.118813054674344e-08,4.0197001154384754e-08,3.988664998820703e-08,4.237725843595953e-08,4.0250774834436987e-08,3.918112082805825e-08,4.0613322053386334e-08,4.0942593267031674e-08,4.064957531363982e-08,4.033593462479637e-08,4.059702126333438e-08,4.3788003597376206e-08,4.4640223359171956e-08,4.515513220611557e-08,4.689172173216511e-08,4.4493434534665003e-08,4.6220147547450176e-08,4.452287601294644e-08,4.457524177346212e-08,4.4870226176613315e-08,4.4925219674153755e-08,4.4598320772076814e-08,4.5324246855354134e-08,1130.0,4.3879858258482474e-08,4.0966521898369493e-10,4.376450336608608e-08,4.087969791388242e-10,-0.012771182958477949,0.05485718298299907,1.3745746184817125e-13,1.0578215807792331e-13,3.362913821615929e-08,7.387967050085782e-09,2.21171330496807e-11,6.815907827277315e-09,3.469926073340775e-11
4.223277006459116e-08,4.264690125764406e-08,4.2180802938086496e-08,4.225178703111055e-08,4.2142276758593056e-08,4.314540164711403e-08,4.1125421781723416e-08,4.125823635099066e-08,4.2640995365235e-08,4.131581241275846e-08,4.0726236119245456e-08,4.2206822444711354e-08,3.7044776442998026e-08,3.7014396405878273e-08,3.7693458876093595e-08,3.806384334063652e-08,3.748177668202685e-08,3.773731643893386e-08,3.604281134305681e-08,3.709616916496339e-08,3.781485696912111e-08,3.684639733561068e-08,3.693401955086544e-08,3.750181588357351e-08,4.194082541502317e-08,4.2051816062150976e-08,4.175063639988633e-08,4.2797228846912274e-08,4.1157381019291614e-08,4.213790687604808e-08,4.183680755809551e-08,4.211449562676911e-08,4.1797091976422e-08,4.266012735318447e-08,4.1404163144548357e-08,4.135246707837771e-08,4.1496020875957504e-08,4.093817077880601e-08,4.12180260120112e-08,4.1743842283331094e-08,4.094338562692252e-08,4.186729766690168e-08,4.138488421561704e-08,4.0932515987250054e-08,4.322355183123221e-08,4.2010964974091416e-08,4.066123617753007e-08,4.188665789030775e-08,3.6861835024840154e-08,3.6528064540721324e-08,3.768622085163285e-08,3.7665129641688224e-08,3.751153264312262e-08,3.716087718157092e-08,3.668200225290769e-08,3.700573066641684e-08,3.7967150385754666e-08,3.681042608616071e-08,3.611192147270475e-08,3.765484437717074e-08,4.1456136367950524e-08,4.16781683598533e-08,4.1796816686721256e-08,4.2366794068116813e-08,4.084802636904499e-08,4.1446840531024664e-08,4.1143420425400554e-08,4.153061636283928e-08,4.1108265601736495e-08,4.2227512689036635e-08,4.114997804976163e-08,4.1781344808941365e-08,1330.0,4.039294583228532e-08,3.852985334596194e-10,4.006906138236327e-08,3.627943005555003e-10,-0.05895103921984953,0.06487518327971886,9.134025853871968e-14,7.347078438288009e-14,3.238717651259001e-08,5.604489966611716e-09,1.1878128832530967e-11,5.1785662944646905e-09,2.700556560818522e-11
3.939078450811769e-08,3.887758422722849e-08,3.8338824782380756e-08,3.7937529235124035e-08,3.9421981752445934e-08,3.9089995391310266e-08,3.837508395261385e-08,3.8186214738428365e-08,3.908228874439624e-08,3.837052551017164e-08,3.817543657485705e-08,3.827330066128039e-08,3.429965546033563e-08,3.415479972859489e-08,3.492080095377047e-08,3.4103683670945776e-08,3.4385969531136974e-08,3.562723862856528e-08,3.4934360179813106e-08,3.512898357519183e-08,3.534641815643092e-08,3.443557091836835e-08,3.4636178819709356e-08,3.447284531044191e-08,3.7748501405029906e-08,3.814808569226974e-08,3.814393440367415e-08,3.9321075397909204e-08,3.799802951956406e-08,3.841880664083246e-08,3.899546206482796e-08,3.8120136596737296e-08,3.7480613797685015e-08,3.895356990036112e-08,3.764419751890191e-08,3.957500198860816e-08,3.959171676595355e-08,3.885474680144997e-08,3.8386933642545774e-08,3.8486038087081026e-08,3.87787209807855e-08,3.8214489906909357e-08,3.788862475767236e-08,3.798991172143967e-08,3.881916737366173e-08,3.786645871986293e-08,3.7886872055082836e-08,3.860477316131225e-08,3.442168324662747e-08,3.354729601081154e-08,3.480515448001636e-08,3.4214441211707107e-08,3.465130472342834e-08,3.522168552359002e-08,3.467631510571362e-08,3.566260930271591e-08,3.5029368633898534e-08,3.4403370869381785e-08,3.4523224867016323e-08,3.418463695893284e-08,3.7299803538785015e-08,3.801329905699597e-08,3.807381392811957e-08,3.8026658782974615e-08,3.751201372137007e-08,3.8486012356065495e-08,3.8472995258871855e-08,3.853969613218896e-08,3.738698523175144e-08,3.859647437722514e-08,3.722108561427936e-08,3.943868011605921e-08,1530.0,3.723648527605723e-08,3.167672656623565e-10,3.70493628617301e-08,3.0700771116807895e-10,-0.03912366358346556,0.06914579871601488,6.362763941399842e-14,5.3040376652030686e-14,3.0963061111683604e-08,4.412223546190342e-09,1.0739415363491027e-11,4.136458558169225e-09,2.1789610487219983e-11
3.622000594045688e-08,3.5811642394323955e-08,3.4914910742686154e-08,3.671032846858149e-08,3.597832482904245e-08,3.656455676722108e-08,3.6406263973712524e-08,3.6259123327140665e-08,3.6060161983993213e-08,3.4874718166371395e-08,3.6006990230589384e-08,3.614694344984812e-08,3.19448142753126e-08,3.251744992065897e-08,3.2148515258083825e-08,3.270068288190225e-08,3.2240278686284125e-08,3.2276177856441615e-08,3.246322376911554e-08,3.238081898155657e-08,3.193643318345599e-08,3.2377067462920755e-08,3.254359514870748e-08,3.192274632010684e-08,3.573279265361338e-08,3.5546440507807006e-08,3.581564265525786e-08,3.6131501088630476e-08,3.6003226492329596e-08,3.553168528195761e-08,3.617402078403647e-08,3.589390925049898e-08,3.6121031386927036e-08,3.491665856766833e-08,3.4548480223812125e-08,3.470362590087865e-08,3.6286757992117136e-08,3.542755192590026e-08,3.478599367164692e-08,3.6776830820645486e-08,3.584081550301998e-08,3.5749711221840413e-08,3.602034222494724e-08,3.6503489478030144e-08,3.566504237758154e-08,3.493799703811297e-08,3.545214329937425e-08,3.518096033751317e-08,3.201425652530056e-08,3.220968624234801e-08,3.22792023291049e-08,3.263014275732246e-08,3.1716807967546975e-08,3.181289405898798e-08,3.215179463115644e-08,3.2648731408389504e-08,3.195711648255732e-08,3.1675329674223694e-08,3.192261330435547e-08,3.217539286072444e-08,3.5524391335597197e-08,3.4665643872779165e-08,3.548042738995107e-08,3.626047001990846e-08,3.5654884189121844e-08,3.516476065423114e-08,3.6007911494973326e-08,3.590796372525534e-08,3.5937873447685477e-08,3.480233043944063e-08,3.413173908022618e-08,3.555651588247295e-08,1730.0,3.4625688578109206e-08,2.9180627877819744e-10,3.441434765734417e-08,2.90717839752779e-10,-0.054626803188240786,0.08066349536736318,4.627710725798952e-14,3.948367652324622e-14,2.9481497765073458e-08,3.5859170996040314e-09,1.0739004329076421e-11,3.389451692555744e-09,1.7063712226208783e-11
3.366081233207291e-08,3.3241732598898776e-08,3.244077413150933e-08,3.2950410257096826e-08,3.3387740752501745e-08,3.384395111468314e-08,3.2603748135698646e-08,3.2740335106699614e-08,3.3827448647083593e-08,3.269302962487426e-08,3.285999427872283e-08,3.301105762383402e-08,3.000965447717312e-08,3.020476758101931e-08,3.062521525083113e-08,3.007636801277898e-08,3.088768095549299e-08,2.9293016804055807e-08,3.035308628531496e-08,3.0438782069887096e-08,2.9980930527398473e-08,3.0373847475582244e-08,3.0111067361074286e-08,3.012674686726678e-08,3.385067935870964e-08,3.287529658178083e-08,3.3875025986550274e-08,3.2702474599260884e-08,3.2949272871330875e-08,3.304517193698885e-08,3.2686669407126145e-08,3.3235138448826364e-08,3.247345992519577e-08,3.374340241000952e-08,3.221280240488863e-08,3.1726918026213086e-08,3.362137819186459e-08,3.219116671392399e-08,3.235933876602457e-08,3.272691903756426e-08,3.31696494979816e-08,3.43613959462986e-08,3.292910112783611e-08,3.303715105525208e-08,3.40869745442333e-08,3.282525274031498e-08,3.33074243430865e-08,3.2582660288619845e-08,2.9788430360881352e-08,2.986990957931841e-08,3.006505118387095e-08,3.021909423769603e-08,3.079650385937529e-08,2.9525110094782983e-08,2.9800847970880286e-08,2.999215886488245e-08,2.980836497685553e-08,2.9995742079622536e-08,2.98982215534955e-08,3.008075195899161e-08,3.3783008280271524e-08,3.3038139844361156e-08,3.3533901018214013e-08,3.251329411050064e-08,3.2883400705852645e-08,3.3522352765571116e-08,3.292730086166495e-08,3.234270741845159e-08,3.297348151353419e-08,3.3514269505989876e-08,3.247147784806935e-08,3.206795674264215e-08,1930.0,3.20866252841231e-08,2.4038647100365295e-10,3.201694137746602e-08,2.5728074862564365e-10,-0.020745527891466983,0.08603854088535758,3.4456361549703994e-14,3.027307673232752e-14,2.8150083023567362e-08,2.975140660098657e-09,5.760917615904832e-12,2.821244365634256e-09,1.2732457158703797e-11
