cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35
3.865637081473464e-07,3.7022197502645687e-07,3.803336446279089e-07,3.500426179456611e-07,3.613430624884873e-07,3.969478871527565e-07,3.803353537912002e-07,3.610200303891688e-07,3.821321947266076e-07,3.5607752692814776e-07,3.7088435236863674e-07,3.9257867381756164e-07,3.162528099135124e-07,3.156040105032894e-07,3.236536163469684e-07,3.2786885385478923e-07,3.223468854417232e-07,3.1053238821099495e-07,3.054938850226923e-07,2.838076083336606e-07,3.2871769022525256e-07,3.2331572099886207e-07,3.203430283096656e-07,3.065629801948509e-07,3.6790774831259624e-07,3.8418296907553465e-07,3.739434342315843e-07,4.000891273713048e-07,3.630150845024117e-07,3.850880270393424e-07,3.5146821487009373e-07,3.7655569478817774e-07,3.6132156378094904e-07,3.7321104286717027e-07,3.5466827636568507e-07,3.7597701266098785e-07
1.1382653154144488e-07,1.0857532990990536e-07,1.1882384224592067e-07,1.1066819031717675e-07,1.1780877930761476e-07,1.1695122607382036e-07,1.1631530295270027e-07,1.1157051274427557e-07,1.218338582238065e-07,1.0798314205461522e-07,1.043010672422503e-07,1.0735548737323288e-07,9.644696486582415e-08,9.928606843021054e-08,1.0178878217864842e-07,9.428215617730052e-08,1.0146757603985374e-07,9.953351345726648e-08,1.014622417563985e-07,1.0578792858038929e-07,9.913177601328714e-08,1.0401332301723139e-07,1.0821382815837e-07,9.774588779844762e-08,1.1382040624058547e-07,1.0509350323962072e-07,1.0819519844210222e-07,1.1954542561063173e-07,1.0718344305201304e-07,1.1541903773005599e-07,1.1358288669870286e-07,1.0497636007770866e-07,1.179913527056435e-07,1.1067350976516058e-07,1.0165706612951725e-07,1.1281266849851083e-07
8.666640249210722e-08,8.293907444960176e-08,8.150437646404417e-08,8.211199898103558e-08,9.26746890430955e-08,8.441705345040564e-08,8.524423730973233e-08,8.013142529611583e-08,8.736475269090155e-08,8.380671608604508e-08,8.798100973201003e-08,8.083631002934719e-08,7.558407465118931e-08,7.839210070595016e-08,7.666665557769485e-08,7.358628078592678e-08,7.594906980981138e-08,7.295707302426817e-08,7.578644809976572e-08,7.37073592593263e-08,7.302181755000725e-08,7.387444992146355e-08,7.399004811136542e-08,7.350056918795528e-08,8.363424099468449e-08,8.785052537578039e-08,8.473783009632234e-08,8.28203296693463e-08,8.294256433182693e-08,8.440652025686376e-08,8.034080326744535e-08,8.049310608092193e-08,8.447354125806776e-08,8.370889979188082e-08,8.444716986508237e-08,8.220957229987584e-08
6.815888747168709e-08,6.982273903349606e-08,6.975816375601733e-08,6.437341677007932e-08,6.893103983580454e-08,7.082481707655032e-08,7.192736160785471e-08,7.136908067546901e-08,7.488840019348554e-08,7.164422151198889e-08,7.020746074562521e-08,7.106287663572413e-08,6.519151071871562e-08,6.209006502716505e-08,6.238839627451344e-08,6.454321399640624e-08,6.221860589606066e-08,6.097349644086054e-08,6.122047521726406e-08,6.126288413711255e-08,6.325052130009186e-08,5.954545770165482e-08,6.508672416660148e-08,6.338402147360625e-08,7.03018243944674e-08,6.869591560975863e-08,6.852116304216954e-08,7.074286346718321e-08,6.636683237482371e-08,6.728971132841363e-08,6.973273191018502e-08,6.766516459064726e-08,7.553297162444762e-08,6.617274474421813e-08,6.776604454023428e-08,6.943196937918378e-08
6.20981132791001e-08,6.000814969067363e-08,6.230136443184778e-08,6.359051005874899e-08,6.400123739872979e-08,6.26156855537042e-08,6.046192605395498e-08,6.227290069108848e-08,6.276667756783138e-08,6.460402047251601e-08,6.201540808040484e-08,6.11801400828113e-08,5.557232114416413e-08,5.5630516339427015e-08,5.6692284534990205e-08,5.566797606372845e-08,5.418796677037003e-08,5.357642157171705e-08,5.6697923794819846e-08,5.4301894072476227e-08,5.631846649784588e-08,5.713857733669357e-08,5.684682417904417e-08,5.576393710026215e-08,6.491521609855709e-08,5.9557215292679874e-08,6.292013532294904e-08,6.500676401895814e-08,6.533485100874266e-08,6.119875296651392e-08,6.346104566348007e-08,6.06563930432924e-08,6.339524919902127e-08,6.1233492344811e-08,6.016339977918099e-08,6.359939162022022e-08
5.8814316833929336e-08,5.6989401624585274e-08,5.767368824936007e-08,5.709572655971463e-08,5.4939540021672225e-08,5.6457614815768396e-08,5.738322733743876e-08,5.749463231017265e-08,5.7037071746602775e-08,5.720277954367221e-08,5.639396819894056e-08,5.77129224700072e-08,5.0532334470590064e-08,5.045908310324945e-08,5.135278204616918e-08,4.936820017514259e-08,4.907461845687445e-08,4.9992310142385896e-08,5.097748733468507e-08,4.913217737469436e-08,5.145773644434275e-08,4.936007478636104e-08,5.3221097231564354e-08,5.071042677017177e-08,5.7166847776143905e-08,5.6653745769356036e-08,5.6882345603829486e-08,5.640736384986507e-08,5.6624266299615436e-08,5.559991032896896e-08,5.796754561350566e-08,5.5941873959249707e-08,5.716922552409226e-08,5.454871063884862e-08,5.464669957188157e-08,5.741553646841999e-08
5.21537560240053e-08,5.150407372497672e-08,5.250449460723924e-08,5.228948725108264e-08,5.280609486254891e-08,5.451858691792712e-08,5.427392947516482e-08,5.0424764792774056e-08,5.409772078671252e-08,5.4438701798051126e-08,5.289323579601798e-08,5.555860700344345e-08,4.737119783585063e-08,4.731561881491643e-08,4.704292774400173e-08,4.6946019294501046e-08,4.698537545424536e-08,4.7722131453839897e-08,4.773790333673263e-08,4.737895749728289e-08,4.7320318709716616e-08,4.586546205844163e-08,4.759805879161778e-08,4.707290201031782e-08,5.3741939631132854e-08,5.300325299453539e-08,5.207070350144782e-08,5.194722219738373e-08,5.334951133025077e-08,5.2344900236304866e-08,5.279432045253956e-08,5.418932592199826e-08,5.4846690327314834e-08,5.383754965605584e-08,5.307559825415889e-08,5.285443954671051e-08
4.980557706480686e-08,4.8812998131047215e-08,4.8239411306065345e-08,4.9015110645498406e-08,4.976253043295254e-08,4.8860107404329476e-08,4.8982556915433286e-08,4.886429415303269e-08,4.9267605127719504e-08,4.927449885271211e-08,4.9412040018499715e-08,4.9044510183275526e-08,4.456053694760106e-08,4.2875137568755e-08,4.4231001430764235e-08,4.3897262561528154e-08,4.4813116238222355e-08,4.268558745355245e-08,4.596130494575476e-08,4.344798083509943e-08,4.634730881818274e-08,4.3273845146429737e-08,4.6043664193486926e-08,4.4539166249112634e-08,5.0265450800924125e-08,4.862881409832498e-08,4.976782593514774e-08,4.891697068152706e-08,4.868384693425234e-08,4.901036582463905e-08,4.9143467197168444e-08,4.742377873794828e-08,4.827135187679659e-08,4.7202488212211503e-08,4.884025758940459e-08,4.89135866380863e-08
4.436062533540402e-08,4.4829023044238474e-08,4.4702194735262153e-08,4.564503255661245e-08,4.690788175558472e-08,4.483805157618812e-08,4.432556501599967e-08,4.510513522603399e-08,4.571486994084963e-08,4.473123369667273e-08,4.590522589026848e-08,4.703976315097637e-08,4.143838906755356e-08,4.155340003652755e-08,4.2143334890643606e-08,4.009603554326805e-08,4.154142213704995e-08,4.228291411823584e-08,4.239383499321043e-08,4.055300849790893e-08,4.143024662646673e-08,4.2772524080002284e-08,4.22580700987631e-08,4.1342107506704034e-08,4.5720811692477756e-08,4.580243804118875e-08,4.614260162862933e-08,4.605121294175559e-08,4.4409282181099053e-08,4.447552087499047e-08,4.5331771429812623e-08,4.416862307422522e-08,4.42720965538794e-08,4.483384539565072e-08,4.7381853895928814e-08,4.8432767879495044e-08
4.472207088489798e-08,4.323947586081781e-08,4.251096218284281e-08,4.2323120154415846e-08,4.363430779977473e-08,4.291359199677274e-08,4.226928868648482e-08,4.294550268450317e-08,4.370489243032687e-08,4.2710395511280515e-08,4.299372650822177e-08,4.235515496602922e-08,3.998441684080979e-08,3.89600047356794e-08,4.006748966590651e-08,3.9004925329073217e-08,3.87805683016434e-08,4.011816940489559e-08,3.981896692398969e-08,3.8566578918759666e-08,3.96880518418968e-08,3.780468032490852e-08,3.9855206376253975e-08,3.933233930723698e-08,4.4234612998547455e-08,4.4321759124327024e-08,4.2587814371269375e-08,4.296968949825857e-08,4.316144773291447e-08,4.292894552776179e-08,4.3483367520812575e-08,4.239611424697988e-08,4.201727777134999e-08,4.4193158722981486e-08,4.256920918300982e-08,4.4324652037495955e-08
