Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
105.0,3.489005684480954e-07,3.925706938794312e-09,-0.010096777891808123,0.0008803598098793719,1.3878960619916989e-07,1.182640763841098e-07
255.0,1.5173461799639166e-07,1.083359204740389e-09,-0.010535465691472993,0.0002732789923594953,6.856161393077063e-08,6.267064365892286e-08
405.0,1.3404473720288888e-07,1.280470222882547e-09,-0.013871336349522602,0.0011546284189658054,3.946671194121806e-08,3.692203523208459e-08
555.0,1.2534100803833762e-07,1.0312517051054283e-09,-0.016014351787933465,0.0018356970000592257,2.5166598881787275e-08,2.3690451741909055e-08
705.0,1.2425817912341377e-07,1.032330430411002e-09,-0.012769369643394491,0.0036924205025395574,1.7765680761445657e-08,1.674464139695068e-08
855.0,1.200729254740756e-07,9.32157030310272e-10,-0.010882803764221165,0.005555943583800635,1.308486878374511e-08,1.2398033093345026e-08
1005.0,1.2272832161317113e-07,9.745656532591494e-10,-0.00999375674357807,0.010040367655875659,1.0194152847517303e-08,9.702418177710785e-09
1155.0,1.226335981718556e-07,8.585517485771889e-10,0.0020957585955458688,0.012267914545534208,8.12405467886605e-09,7.660918306738521e-09
1305.0,1.2601246181237753e-07,8.349071371881153e-10,-0.00862572389269345,0.01727893068799134,6.648621420582496e-09,6.2820379497185205e-09
1455.0,1.2580094637463343e-07,8.030230924455041e-10,0.00923961779782127,0.022651039471666346,5.594956015758932e-09,5.371651567700477e-09
1605.0,1.3220180609101405e-07,7.169972701384008e-10,-0.01840390675233531,0.024816224914066685,4.771966979369621e-09,4.557750603014676e-09
1755.0,1.386067987609423e-07,7.236087923404309e-10,-0.02463920314895785,0.03416164639130291,4.115963346473803e-09,3.8734340402146126e-09
1905.0,1.5050959091782122e-07,8.134501844940448e-10,-0.032098811906333825,0.05543587295276654,3.6258038886014334e-09,3.4993244966458534e-09
2055.0,1.6019052656974852e-07,8.777444990298135e-10,-0.005227818583393102,0.0830686182323918,3.1919906851695273e-09,3.028641336360315e-09
2205.0,1.839020842335592e-07,7.047541846247916e-10,-0.08631953744449863,0.0675313263896939,2.8526241701474894e-09,2.708836608040534e-09
2355.0,2.3001288746150706e-07,1.1267958864717107e-09,-0.03544552642925183,0.2120633871617842,2.5711358109036626e-09,2.486542614056647e-09
2505.0,2.833054608119213e-07,1.376209461133096e-09,-0.004289440478850124,0.38241479823914937,2.3320884846985333e-09,2.2064897333939338e-09
2655.0,3.2343642160657044e-07,1.578734748492688e-09,-0.0987266359501864,0.6038411705875456,2.1263425595960556e-09,2.0543678439817618e-09
2805.0,3.8250264615793316e-07,1.5570743750572143e-09,-0.08280168767316523,0.6992974295922124,1.949633359921446e-09,1.9322094768106385e-09
2955.0,3.188387245347258e-07,1.1334745004055088e-09,-0.02650096130115483,0.4373702801243016,1.7970030813015424e-09,1.3749966214728873e-09
