cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,cl_kappa_tg_ave,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
3.5350242743522564e-07,3.355807055121686e-07,3.5426643688707013e-07,3.356596086094139e-07,3.290876766984055e-07,3.4417272813415185e-07,3.3829518898055506e-07,3.2989097935423495e-07,3.420665296782887e-07,3.3551085134849565e-07,3.3462316130228636e-07,3.636335713758396e-07,3.0680510131243863e-07,3.149844078213554e-07,3.1156565283992087e-07,3.2250821699932014e-07,3.150302962826632e-07,3.167330901219176e-07,3.1668642629627404e-07,2.884844110422426e-07,3.1466188774901615e-07,3.175630108499533e-07,3.1542979676440633e-07,3.007749070281505e-07,3.5029088999813414e-07,3.3683723469145477e-07,3.424993698713672e-07,3.6511009124062954e-07,3.3464511429458896e-07,3.5017901323501516e-07,3.3521603833868473e-07,3.4164385152079887e-07,3.4211074319557195e-07,3.4272980612294083e-07,3.377480015522253e-07,3.4457874731059093e-07,130.0,3.351047921885182e-07,3.3225294366099435e-07,2.894668794208297e-09,-0.02597414670223783,0.02461692404940675,1.55389634370405e-11,5.203547063781613e-08,1.1817938374559349e-07,1.1044382398170005e-09,1.1817938374559349e-07,1.1598025512845894e-09
1.181953564889852e-07,1.1563071550286104e-07,1.1718800946607229e-07,1.1840083828471145e-07,1.3633099420032285e-07,1.1676068518537728e-07,1.1527672202126903e-07,1.1773429412360774e-07,1.2274376132695928e-07,1.2069926745384402e-07,1.1517782577594853e-07,1.1222488360089502e-07,1.1104822876776685e-07,1.0663268558312805e-07,1.0735365895113331e-07,1.0345240333359548e-07,1.0840535715705029e-07,1.0752659398595121e-07,1.0369655022896067e-07,1.0902801112053051e-07,1.0366976036462322e-07,1.0659147363836347e-07,1.0667125064001195e-07,1.1242534966927199e-07,1.1579942484238253e-07,1.1897789554691039e-07,1.1558145676684605e-07,1.24692840634262e-07,1.174941001129905e-07,1.205546833893306e-07,1.1359008830265551e-07,1.1497875916397025e-07,1.1665532340930088e-07,1.176255036618679e-07,1.1153326928299776e-07,1.1296515504522698e-07,330.0,1.1519766564047319e-07,1.1425869936194393e-07,1.1140946330966385e-09,-0.01863872806915221,0.02165952640996269,2.1190169256011953e-12,5.6203109429543406e-08,5.096958467630469e-08,2.1667579921722022e-10,5.096958467630469e-08,3.407893822588534e-10
9.393610514405911e-08,9.149818299722829e-08,9.191448244511249e-08,9.015415353245257e-08,9.287960165056717e-08,9.378808691312005e-08,9.205042961815487e-08,9.334999739449415e-08,9.392374524387458e-08,9.273023771661482e-08,9.106845446299128e-08,9.639053690531488e-08,8.733029924242787e-08,8.701003061395984e-08,8.403749624487126e-08,8.624026099474399e-08,8.350989424800142e-08,8.669364063661754e-08,8.451089680665997e-08,8.44599778567767e-08,8.734366090980623e-08,8.181334407066342e-08,8.756216610128408e-08,8.661743018045578e-08,9.794501298103008e-08,9.08827618951707e-08,8.797979566396342e-08,9.221523153785098e-08,9.383456246169057e-08,8.925181849179413e-08,9.312415589920147e-08,9.032681585611913e-08,9.931280557090156e-08,9.172062885024756e-08,9.150599193596564e-08,9.051564771869073e-08,530.0,9.088365652761965e-08,9.026189835535775e-08,6.803319518177195e-10,-0.023409202155229212,0.025224377868358693,8.058153495244305e-13,5.587202734736383e-08,2.6902645016060485e-08,1.0765024669685704e-10,2.6902645016060485e-08,1.7806840503356848e-10
8.305860298830498e-08,8.165514005792108e-08,8.207110441830189e-08,8.341929608696225e-08,8.068300381598779e-08,7.798911956596063e-08,8.423143598180023e-08,8.068506171009854e-08,7.835900095270516e-08,8.605360321135379e-08,8.192093616139955e-08,8.383558507815717e-08,7.659619964242323e-08,7.638073230712163e-08,7.49628725463903e-08,7.641299309257219e-08,7.589557262057422e-08,7.386237941503626e-08,7.875278069977673e-08,7.287935680201691e-08,7.658331149629163e-08,7.556607417536725e-08,7.6329231986893e-08,7.527891227911276e-08,8.189340298478972e-08,7.889484628118995e-08,8.258635339305526e-08,8.186269148302243e-08,8.270060928650097e-08,8.206391321179998e-08,8.351908953659421e-08,7.857317324136666e-08,8.067209283378436e-08,7.705853689881845e-08,8.140402052438278e-08,8.355550650841868e-08,730.0,8.01518689767918e-08,7.967351509100702e-08,5.678664025780064e-10,-0.029246220440577946,0.03380674626148552,4.1730159420747774e-13,5.518928935521559e-08,1.6814895062588408e-08,4.614816032779016e-11,1.6814895062588408e-08,7.884786694809317e-11
7.487306425968432e-08,7.337765405359694e-08,7.489285680730589e-08,7.439803186191626e-08,7.438669885101294e-08,7.470241490933105e-08,7.567177561793222e-08,7.225564748581584e-08,7.369647042440482e-08,7.492938793627223e-08,7.344460307192134e-08,7.614738606523259e-08,6.860728854071988e-08,7.02616264912524e-08,6.851436468342172e-08,6.957783064732205e-08,6.741505553855384e-08,6.959207007917478e-08,6.828368402711279e-08,6.94274867556114e-08,7.035230896894743e-08,6.635990566842997e-08,7.108102866781816e-08,6.933251213875247e-08,7.362599515936654e-08,7.36814075043676e-08,7.611569367648484e-08,7.408088260778041e-08,7.667758434449868e-08,7.174715677555981e-08,7.500011576011518e-08,7.304305535667839e-08,7.270757813569376e-08,7.443466001184381e-08,7.366621731630472e-08,7.763215388537177e-08,930.0,7.289944339476688e-08,7.261093483571135e-08,4.798394815263469e-10,-0.026272169884814248,0.041589169351403284,2.5091896513599607e-13,5.4005581108869055e-08,1.1515359003098697e-08,3.330566770156292e-11,1.1515359003098697e-08,7.640111045600743e-11
6.950992970389015e-08,6.770268175469639e-08,6.791686879511757e-08,6.902539232540143e-08,6.81700712938271e-08,6.743631797122047e-08,6.741619583928157e-08,6.717533584973468e-08,6.799398832928591e-08,6.902693336094375e-08,6.737762465197016e-08,6.956609945096475e-08,6.561776442051757e-08,6.389303516483645e-08,6.41112140644076e-08,6.216770674872952e-08,6.425092366904887e-08,6.238427159024309e-08,6.55461337800003e-08,6.43067993132723e-08,6.523520018241159e-08,6.318537843457516e-08,6.601646728613297e-08,6.344803659347505e-08,6.924207536490743e-08,6.843709220223868e-08,6.858195182086735e-08,6.864919879930693e-08,6.800725115936826e-08,6.838722987445029e-08,6.825468248586171e-08,6.729433363765435e-08,6.984263589397977e-08,6.768819061947277e-08,6.763682289421746e-08,6.719166030961171e-08,1130.0,6.697888432357702e-08,6.688037487877557e-08,3.601789732034292e-10,-0.011839384880051823,0.04277153588198349,1.6526720189663193e-13,5.2555048193406426e-08,8.416318835255453e-09,2.2401493258266836e-11,8.416318835255453e-09,3.3119859763511494e-11
6.356388240188975e-08,6.235679021629792e-08,6.259066104628008e-08,6.31965097210748e-08,6.576000094762027e-08,6.359693754380739e-08,6.249238321855922e-08,6.290515548844405e-08,6.517274210596965e-08,6.263808150546446e-08,6.494612671388994e-08,6.555067680767661e-08,6.11021277702885e-08,6.105626723558008e-08,6.001424919714279e-08,5.970140044095309e-08,5.838866424339509e-08,5.970493798814453e-08,6.089764917481158e-08,5.948357738991513e-08,6.104834811661102e-08,6.027066138626556e-08,6.01791021842244e-08,6.025846962014778e-08,6.242640315218167e-08,6.450086253049828e-08,6.475253196500024e-08,6.414804683552805e-08,6.536981893842082e-08,6.35360213812984e-08,6.538525492607448e-08,6.283649374339454e-08,6.255914469725398e-08,6.253725594628048e-08,6.439167864155995e-08,6.597612371597685e-08,1330.0,6.284005883754002e-08,6.264708441494227e-08,3.478357758777921e-10,-0.03050188587079483,0.053788742889089435,1.160087616340144e-13,5.1151187006547594e-08,6.455485753102268e-09,1.557966070785554e-11,6.455485753102268e-09,3.831259878618912e-11
5.8700846351226534e-08,5.9066014734577755e-08,6.055674551697353e-08,5.897354200750198e-08,6.220164148041003e-08,6.06728888844463e-08,6.073250943630488e-08,5.971954451065545e-08,5.882979156972247e-08,6.090960629218862e-08,5.993496968624465e-08,5.953982067099159e-08,5.798306284101459e-08,5.69735265595904e-08,5.7542249392690526e-08,5.6604989103531047e-08,5.769961851536596e-08,5.6181210101582934e-08,5.884818274214034e-08,5.6547659521486705e-08,5.6864012402032075e-08,5.5193718045575826e-08,5.879639371545136e-08,5.7260429320718476e-08,5.931505842488298e-08,6.090275802677889e-08,5.985982890180368e-08,5.984470575710327e-08,5.835480982534354e-08,6.109172172787891e-08,6.060198153534117e-08,5.906621683477798e-08,5.848342863931173e-08,6.14096311027332e-08,5.947275712561506e-08,6.238536769930322e-08,1530.0,5.919341843712069e-08,5.908670108342493e-08,2.88320871767019e-10,-0.020799209490321695,0.05590168923472094,8.503105167643748e-14,4.965988042462569e-08,5.158378852764829e-09,1.099677132047862e-11,5.158378852764829e-09,3.014789247305769e-11
5.7023840503518746e-08,5.632017309870693e-08,5.6587521715940086e-08,5.435726592975369e-08,5.839126660851579e-08,5.5684991917143696e-08,5.6865452023491405e-08,5.557001217152475e-08,5.7079306653893947e-08,5.696307114746064e-08,5.6358712826233725e-08,5.664175447791406e-08,5.42388475663317e-08,5.408257200767598e-08,5.379961064601623e-08,5.4082574452982836e-08,5.398821222736479e-08,5.479700585004278e-08,5.5359115297399084e-08,5.463936529593796e-08,5.452142855520887e-08,5.3579003381230416e-08,5.4898256836242557e-08,5.360473122157084e-08,5.710620267807988e-08,5.697059138921711e-08,5.627678834012155e-08,5.727803765228086e-08,5.6885847110502666e-08,5.86362549034309e-08,5.717717234502014e-08,5.564887638969246e-08,5.636456044973715e-08,5.5798789889259496e-08,5.546356122815732e-08,5.749902385246007e-08,1730.0,5.601434759324203e-08,5.58483277400017e-08,2.2995794587081043e-10,-0.039087825477680735,0.05449655455333304,6.470212905774243e-14,4.8336633809912486e-08,4.218020668149981e-09,8.342568927549417e-12,4.218020668149981e-09,2.043369508673426e-11
5.3783022808714923e-08,5.4629314123743096e-08,5.412025297521275e-08,5.291694020815915e-08,5.522965975632799e-08,5.456787444856944e-08,5.3287157203537874e-08,5.3336642999382286e-08,5.424591022048147e-08,5.592217885390575e-08,5.513612150190357e-08,5.419274966018872e-08,5.366497828213747e-08,5.3957467270140537e-08,5.211634086677073e-08,5.2769238031665345e-08,5.378557603238749e-08,5.184729912061716e-08,5.362937998303933e-08,5.231828440531464e-08,5.343651943293216e-08,5.244268536493563e-08,5.2586820476345616e-08,5.378104969654103e-08,5.40106007942732e-08,5.408484708984267e-08,5.4824352344722294e-08,5.468952592035817e-08,5.4565152208960356e-08,5.586685373853767e-08,5.395338536449698e-08,5.364491440532763e-08,5.4622498490666e-08,5.52195908161094e-08,5.4364387211906696e-08,5.5600662690157384e-08,1930.0,5.408998084525558e-08,5.397639541106423e-08,1.7078653127504283e-10,-0.03162632879071044,0.048246867961646345,5.101422831065744e-14,4.745676423456351e-08,3.543819128085985e-09,7.148299922090746e-12,3.543819128085985e-09,2.0781328110845542e-11
5.487991195923867e-08,5.3760855661916905e-08,5.182421641789499e-08,5.219956533121779e-08,5.412916083232707e-08,5.236226037726152e-08,5.33856460377422e-08,5.143053298536892e-08,5.3131835033757955e-08,5.382254543693817e-08,5.169354887705415e-08,5.3995462966636616e-08,5.2908674534233404e-08,5.1087222345889766e-08,5.2586223857158604e-08,5.1293490474058505e-08,5.263717619002336e-08,5.0319377852964084e-08,5.221729610800037e-08,5.1363631474521966e-08,5.18413791723349e-08,5.111599701064059e-08,5.117120216425554e-08,5.243661233644863e-08,5.147437812879705e-08,5.254227709095454e-08,5.2767249693992294e-08,5.295824127857249e-08,5.3182262803761055e-08,5.228308728477407e-08,5.244153172546219e-08,5.244556399284447e-08,5.365277695382961e-08,5.27281188907623e-08,5.192853556626813e-08,5.1991000427453985e-08,2130.0,5.25482731025744e-08,5.244413470209325e-08,1.6675120001270975e-10,-0.0341389459567251,0.0553459757783705,4.159041894447155e-14,4.714133831203468e-08,3.0180296110868023e-09,6.668939974026867e-12,3.0180296110868023e-09,1.742080768405204e-11
