cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,cl_kappa_tg_ave,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
8.716166591865961e-07,9.363824472549483e-07,9.331096600602865e-07,9.259503514758931e-07,9.483070952081279e-07,9.174666118474925e-07,9.466339066914286e-07,8.815231353895925e-07,9.354444199001463e-07,8.549338233137258e-07,9.627705491613762e-07,9.515471289315411e-07,8.764059227405064e-07,8.909705262831878e-07,9.220456263411409e-07,8.482647940491348e-07,8.287961539043071e-07,9.028197018659563e-07,8.629052298601809e-07,8.42964819315919e-07,8.650146496117294e-07,8.562192617796398e-07,8.20949863661138e-07,8.226391741086907e-07,9.167566720055371e-07,1.0032482454802249e-06,8.924663567368304e-07,9.180317823707391e-07,9.279766516633305e-07,9.454322968587174e-07,8.859417506454679e-07,9.313414993951163e-07,8.625694734754123e-07,9.349972589345867e-07,9.60819793281652e-07,9.989865398891005e-07,105.0,9.057917447270735e-07,9.051180509077608e-07,7.885598847744737e-09,-0.009832311809103576,0.05730434921719948,1.819903053236773e-10,4.3409984254092213e-07,1.3878960633424223e-07,1.6832899320389179e-09,1.3878960633424223e-07,2.5265311328938594e-09
6.932379078232799e-07,6.65436956045806e-07,6.832985341492416e-07,6.906079784370243e-07,7.201858282042828e-07,6.820752031560204e-07,7.021886027673181e-07,7.086547783495227e-07,7.570852542622338e-07,6.473630530363719e-07,6.990559386001521e-07,6.669080228559293e-07,7.427023188804512e-07,6.85134355538416e-07,6.616313374587471e-07,6.254253802349957e-07,7.11471662943005e-07,6.678761608106867e-07,6.808120161510972e-07,6.675055355289024e-07,6.60357251418099e-07,7.098561788000503e-07,6.697056403276531e-07,7.460797871961287e-07,7.152153362394028e-07,7.013959250130822e-07,6.735248273660449e-07,6.775242226572905e-07,7.192845262917245e-07,6.686581180616572e-07,6.596889773066509e-07,7.16159759840272e-07,6.866970183048638e-07,6.693179129884332e-07,6.59571366477558e-07,6.463826647141635e-07,255.0,6.869152009294386e-07,6.871687871732376e-07,4.903608122813464e-09,0.0026737263229060443,0.07109515191544476,3.879574618591605e-11,6.302922388428932e-07,6.856161417981192e-08,3.819392689262589e-10,6.856161417981192e-08,8.321519339024686e-10
7.607755343345877e-07,7.701645741564752e-07,7.517208046229373e-07,7.449380893774881e-07,8.058511794696583e-07,7.567035774807504e-07,7.482423570535488e-07,7.481265427553707e-07,7.675666788033917e-07,7.531445997321294e-07,7.429616797519615e-07,7.589172683391398e-07,7.255120969259415e-07,7.487019570263251e-07,7.347453875602595e-07,6.897670726596862e-07,7.003818047833431e-07,7.210573847907438e-07,7.298770708291412e-07,6.978860627295512e-07,6.924956138666691e-07,7.434514164999358e-07,7.016511398920669e-07,6.969664677901635e-07,6.83846521455561e-07,7.719924871016744e-07,7.154814282730252e-07,7.414486786407211e-07,8.01013703228069e-07,7.847461226607061e-07,7.777502262427225e-07,7.560301634083754e-07,7.55300751961581e-07,7.212155898328083e-07,7.785710870338121e-07,7.346404352128858e-07,405.0,7.420563789352824e-07,7.420456543412003e-07,5.1888040005355016e-09,0.001948153531500038,0.13193165912694563,1.7607024454304335e-11,7.160682024165682e-07,3.946671199597959e-08,2.4044135943091433e-10,3.946671199597959e-08,6.849174230322674e-10
7.698542747137942e-07,7.615384177720904e-07,7.906832607102859e-07,7.587911274933972e-07,8.100074310290664e-07,7.944625423484359e-07,8.219231137355368e-07,7.71224030351796e-07,8.05548434053594e-07,7.964221107395282e-07,7.919849749327924e-07,7.97944391349898e-07,7.840924987432843e-07,7.707293369112322e-07,7.402798493128954e-07,7.420884310442965e-07,7.601205928475572e-07,7.569705286168732e-07,7.316088047144058e-07,7.439765496132233e-07,7.843146117158338e-07,7.668599402698401e-07,7.752464132016289e-07,7.776355160259038e-07,8.084045998718834e-07,7.969897915244356e-07,7.728493346496813e-07,7.872477856925642e-07,7.782946994963698e-07,7.946381389451496e-07,7.839194170206865e-07,7.968919499712363e-07,7.727919015829263e-07,7.867430928674778e-07,7.881216716097895e-07,7.81828864375363e-07,555.0,7.791094687968845e-07,7.792507897181874e-07,3.4624474752340026e-09,0.004176219615197267,0.13807181589442344,1.0026881157812386e-11,7.715384461148321e-07,2.5166598888918734e-08,1.0966482754612056e-10,2.5166598888918734e-08,3.5690333464890934e-10
8.582934328633286e-07,8.410793060722607e-07,8.618882351960716e-07,8.300685066187241e-07,8.784887794568355e-07,8.96162992168664e-07,8.518804005165608e-07,8.41388449053328e-07,8.365990629577688e-07,8.709805205624152e-07,8.559455896264422e-07,8.748387783986671e-07,8.80222652884833e-07,8.09913139817838e-07,8.279117792620139e-07,8.361199451660949e-07,8.198299665125786e-07,8.210148687240667e-07,8.674468912549256e-07,8.098572045953572e-07,8.422341051433928e-07,8.203989709656498e-07,8.382395731264996e-07,8.546313611677959e-07,8.841034649740729e-07,8.716746694244504e-07,8.478484519782349e-07,8.371861638073734e-07,8.835384300655712e-07,8.556966608717642e-07,8.558875037577434e-07,8.689940219696524e-07,8.307193738895894e-07,8.450360632854228e-07,8.262273442485253e-07,8.621301650133295e-07,705.0,8.497247103187842e-07,8.49846578483273e-07,3.716646293524482e-09,-0.000795438198834261,0.20891840646876295,6.76841373839669e-12,8.390652853906904e-07,1.7765680806215987e-08,5.997618275710163e-11,1.7765680806215987e-08,3.9234261694591393e-10
8.97453697606311e-07,9.304861313578491e-07,8.891192924162788e-07,8.890509213373482e-07,9.258486956257312e-07,9.023640853532963e-07,9.265653010520239e-07,9.227510476411106e-07,8.949730540895577e-07,9.297649424951151e-07,9.223588290894221e-07,8.92270829257703e-07,9.193759036554421e-07,9.179304270070724e-07,8.402353730469679e-07,8.569500211631411e-07,8.728099691725912e-07,8.784145567583167e-07,8.747239401128923e-07,8.804529370758349e-07,8.961216975714037e-07,8.489219126996985e-07,8.344970361795809e-07,8.677639446207846e-07,9.079787608974061e-07,9.123663412668536e-07,8.591620191943099e-07,8.839097537494584e-07,9.24634388202671e-07,8.857018168587146e-07,9.002691893014973e-07,9.099695737108624e-07,9.200364378338829e-07,9.058790767533245e-07,9.106334213902923e-07,9.12117004857512e-07,855.0,8.953628893458465e-07,8.956628425111736e-07,4.356791402834415e-09,0.012162455495072864,0.3321753683328754,4.979934406906935e-12,9.104323820587572e-07,1.3084868802700313e-08,4.291058287000337e-11,1.3084868802700313e-08,3.174290182673505e-10
9.8803007593444e-07,9.69972460902783e-07,9.675157608072328e-07,1.0303534986050634e-06,1.014317722847679e-06,9.879607951158024e-07,1.0009723980993426e-06,9.85129871909411e-07,1.0012895552964935e-06,1.007215080008297e-06,1.0179929367511734e-06,9.866594737359734e-07,1.0215915742012608e-06,9.730981310081374e-07,9.398818179718478e-07,9.525995532894601e-07,9.969638745079358e-07,1.0008833781281534e-06,9.5520393957252e-07,9.773752992451775e-07,9.901944372221203e-07,9.955059585537559e-07,9.702469824040061e-07,9.520679559606839e-07,1.0122538664001945e-06,9.782234482695707e-07,9.957045143686888e-07,1.0293573951459556e-06,1.0307729395033065e-06,1.022319537143143e-06,1.0217548032948468e-06,9.8220381206564e-07,9.905796509458003e-07,1.0229596664325024e-06,9.811594654742699e-07,9.755794190461584e-07,1005.0,9.926362302215611e-07,9.923858625046893e-07,4.008659412264972e-09,-0.016610124625996245,0.39199543729921543,4.021207313036942e-12,1.0160708425493123e-06,1.0194152871218165e-08,3.6597858743654156e-11,1.0194152871218165e-08,2.2887297452835772e-10
1.1389154781007652e-06,1.1401688337295472e-06,1.147665546227069e-06,1.0986175118092799e-06,1.1110982243199309e-06,1.1428674827829213e-06,1.097688800310563e-06,1.0939100258750887e-06,1.140073660408199e-06,1.1114897623646907e-06,1.1512340724333546e-06,1.1253414316704296e-06,1.1226586898325394e-06,1.0713117756609142e-06,1.133252295331839e-06,1.082935579919765e-06,1.0800430051518642e-06,1.092550797808527e-06,1.1039719984729777e-06,1.080430660880438e-06,1.0908922594838322e-06,1.0888208497565582e-06,1.1087115943725526e-06,1.0845656036128176e-06,1.1462987324133544e-06,1.1243090227780473e-06,1.0926720864288692e-06,1.1485911177736542e-06,1.117369428289097e-06,1.12407529009369e-06,1.0964210820629803e-06,1.134334279380713e-06,1.1438125543704638e-06,1.146421430440907e-06,1.1262087634166608e-06,1.098004716556801e-06,1155.0,1.1150449672132855e-06,1.1149370678978246e-06,4.030977308644288e-09,-0.014183460577443427,0.49611824313932873,3.418589509664365e-12,1.141277746907416e-06,8.124054662817857e-09,2.1565672168708658e-11,8.124054662817857e-09,1.8833482905734383e-10
1.2973617966872253e-06,1.2891421018138286e-06,1.2618756955905717e-06,1.2541196877290272e-06,1.2955940488058976e-06,1.3187909242185674e-06,1.2812513314298858e-06,1.2281002200714022e-06,1.293147972973619e-06,1.2486226196682376e-06,1.2966780647903773e-06,1.2429817835488145e-06,1.3022308850815906e-06,1.2515928643027575e-06,1.2556404144430988e-06,1.2565983767321327e-06,1.2532812936256051e-06,1.229757290536001e-06,1.2560399631707184e-06,1.2420124336937948e-06,1.2233966833583434e-06,1.2487615113784071e-06,1.2718276636827375e-06,1.2337842719679178e-06,1.2890181573395854e-06,1.3050551425538968e-06,1.2733603252359886e-06,1.3130869084885747e-06,1.3415910277960138e-06,1.2680221316818987e-06,1.2958787747895154e-06,1.2922279814595934e-06,1.3262100561874824e-06,1.2788510670892294e-06,1.2235296813009426e-06,1.326846633611696e-06,1305.0,1.273766369549244e-06,1.2740629940787493e-06,5.281748484696813e-09,0.04491188270469563,0.7961866486510369,3.069775223936893e-12,1.308697459124497e-06,6.648621400604144e-09,1.7859570117702658e-11,6.648621400604144e-09,1.3660882387121628e-10
1.4759783972231972e-06,1.5079500250135941e-06,1.4724047387285503e-06,1.4304886011485121e-06,1.4588811938633082e-06,1.5220044609100008e-06,1.4977079267096584e-06,1.4268344076410363e-06,1.488093541426146e-06,1.45137406493602e-06,1.4507048294061207e-06,1.4044022289768669e-06,1.4626238750993287e-06,1.44717503085534e-06,1.4115562355710822e-06,1.4476876449311041e-06,1.4658139523112973e-06,1.4349445372218558e-06,1.4416892663396165e-06,1.4283826317630864e-06,1.4280614078770099e-06,1.445854152616522e-06,1.440758260144814e-06,1.4402644533191416e-06,1.4680318333350792e-06,1.4690175616099951e-06,1.4098996262111013e-06,1.4444684753542565e-06,1.501275697053147e-06,1.4755973689158274e-06,1.4722030817130308e-06,1.4791621786330815e-06,1.496527913340221e-06,1.4617016952504452e-06,1.4427534067612816e-06,1.481199334494951e-06,1455.0,1.4580125433967461e-06,1.4578742787973783e-06,4.706956751405749e-09,-0.035710213598726885,0.8396806348517133,2.8306645838436373e-12,1.5008604042200586e-06,5.594956003006071e-09,1.446512285280129e-11,5.594956003006071e-09,1.3239253479468288e-10
