cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,cl_kappa_tg_ave,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
3.7180874195406697e-07,3.5395947893850376e-07,3.970318652980483e-07,3.690293426587551e-07,3.471392548633639e-07,3.758588281680743e-07,3.660490103545882e-07,3.3709417084344676e-07,3.615005057457959e-07,3.4491474224553503e-07,3.5606630085701476e-07,3.7724147052294744e-07,3.1052747702710857e-07,3.2249839402389663e-07,3.5018213187734516e-07,3.4287256126632577e-07,3.207761910750474e-07,3.2933208132077395e-07,3.1512613208114733e-07,2.8988300238710696e-07,3.3673176859101044e-07,3.3063722845015423e-07,3.259117305234035e-07,3.1110891276598683e-07,3.7086529493397496e-07,3.804489236103842e-07,3.5647170956340796e-07,4.00282340907637e-07,3.5694365492404093e-07,3.8217221979831213e-07,3.544770420405182e-07,3.732695031721589e-07,3.5108349414852274e-07,3.601518292388748e-07,3.4402744113655704e-07,3.603516162706757e-07,105.0,3.521509224451324e-07,3.509396220440142e-07,4.180129239801167e-09,-0.013796027436397724,0.030093199474605717,2.8262407968982493e-11,6.428697725816596e-08,1.3878960633424223e-07,1.6832899320389179e-09,1.3878960633424223e-07,1.7489265609655465e-09
1.6146678564018966e-07,1.4144327945706645e-07,1.5463848037688867e-07,1.4789757838058596e-07,1.603071436825039e-07,1.5346489814717963e-07,1.5442430406194238e-07,1.5933626550710685e-07,1.5475699523164723e-07,1.485274421324415e-07,1.5663374727638667e-07,1.4876247461200732e-07,1.434153148907013e-07,1.524199095164682e-07,1.3960513976738947e-07,1.3934496016143982e-07,1.425556185267498e-07,1.5558182623926865e-07,1.5150896509937575e-07,1.4308560066110585e-07,1.494632067131446e-07,1.4719610477981765e-07,1.5267080096595523e-07,1.5131317260968456e-07,1.6124376313945916e-07,1.4240534881443007e-07,1.5696385245725443e-07,1.6292121857565214e-07,1.4676406579468366e-07,1.5388592223840644e-07,1.5725404088934552e-07,1.4720901243886023e-07,1.6077473565632306e-07,1.5848941069371486e-07,1.479870316740591e-07,1.4946544116248464e-07,255.0,1.5213395704947523e-07,1.5153288494365893e-07,1.106931169041513e-09,-0.009473669577115422,0.016197017992239677,4.850892924102766e-12,7.780337391967529e-08,6.856161417981192e-08,3.819392689262589e-10,6.856161417981192e-08,5.460573907891584e-10
1.4106418816749462e-07,1.394718251097884e-07,1.3668963626800977e-07,1.391478268675161e-07,1.4648775754228894e-07,1.4413796547449435e-07,1.349988707172042e-07,1.3663091565736423e-07,1.4145679327522105e-07,1.381723587854231e-07,1.4681752789002941e-07,1.3899926897372436e-07,1.227371507771121e-07,1.261164203785047e-07,1.264143038382153e-07,1.240759251218886e-07,1.2051961241088935e-07,1.3325383200831536e-07,1.2507094522113225e-07,1.2491164201969426e-07,1.2866229507637384e-07,1.200821274252046e-07,1.1891538563101351e-07,1.2209104079597647e-07,1.3575618155868256e-07,1.418417486173077e-07,1.3516111636547987e-07,1.4139794635182977e-07,1.3937024601757813e-07,1.4483485851419972e-07,1.3356145168401972e-07,1.3253099054446944e-07,1.4107943833434046e-07,1.38109064595765e-07,1.350310626740315e-07,1.3704739708462887e-07,405.0,1.3469446936943668e-07,1.342401977159781e-07,1.3417094385534568e-09,-0.012601814874685806,0.033892576568996684,2.141507951367552e-12,8.722177281216515e-08,3.946671199597959e-08,2.4044135943091433e-10,3.946671199597959e-08,3.126424537920836e-10
1.219668137860859e-07,1.2856281948268325e-07,1.2657826202092146e-07,1.282001079928037e-07,1.3205013350127296e-07,1.267871307864389e-07,1.3353309281614899e-07,1.262909862548557e-07,1.3119916010933335e-07,1.2981621103413678e-07,1.2763381176650398e-07,1.3216669174917307e-07,1.1723563785079058e-07,1.2047499456793162e-07,1.1732346845412041e-07,1.1802288165535887e-07,1.1330418046233978e-07,1.2118718070433776e-07,1.1818396721327434e-07,1.1516561438528334e-07,1.2075395918378435e-07,1.1270772195070633e-07,1.1847772441006523e-07,1.1737310530702318e-07,1.3609515238592705e-07,1.2990101033242017e-07,1.3007273000552946e-07,1.3298148883903824e-07,1.3105076564903396e-07,1.2979212474911006e-07,1.2760757573908697e-07,1.2649482146676458e-07,1.3985614584503665e-07,1.2582127283138116e-07,1.2563844540634775e-07,1.2772914201860696e-07,555.0,1.2584780730283216e-07,1.25501009242046e-07,1.112700241094579e-09,-0.013743509184566955,0.04423347705357795,1.2009449311019138e-12,9.223907071932384e-08,2.5166598888918734e-08,1.0966482754612056e-10,2.5166598888918734e-08,1.6018286219925297e-10
1.299902432235905e-07,1.2403329275485047e-07,1.2564412339903077e-07,1.3447611512828985e-07,1.293465679889556e-07,1.264325110030777e-07,1.2919084005521759e-07,1.2630304387449702e-07,1.2879744697653538e-07,1.3417013554592997e-07,1.2831278730715325e-07,1.2884793714475544e-07,1.1274956441971686e-07,1.1644015964291997e-07,1.1781321400783394e-07,1.1609782358152817e-07,1.1799724083302092e-07,1.1608475842053503e-07,1.2271258404707224e-07,1.1070841883850524e-07,1.201620574644252e-07,1.1721360275202383e-07,1.1691142298904027e-07,1.1322747708287256e-07,1.2952089292290438e-07,1.2625816719544027e-07,1.3450552813685737e-07,1.3056811095176596e-07,1.2654028132273793e-07,1.3129566170762652e-07,1.297108593469685e-07,1.2627232935022857e-07,1.2480971497885617e-07,1.2034796731104453e-07,1.278413493193459e-07,1.3204991437974618e-07,705.0,1.2473450822919227e-07,1.2453844848346945e-07,1.106196635560008e-09,-0.012589515166653258,0.062360489169299906,7.857618552720212e-13,9.729985937025847e-08,1.7765680806215987e-08,5.997618275710163e-11,1.7765680806215987e-08,1.2982201248610196e-10
1.246852565200838e-07,1.2673867528022885e-07,1.259858870901658e-07,1.245216062107369e-07,1.172727260365145e-07,1.1780405653905758e-07,1.275536775767606e-07,1.2327964738682093e-07,1.2254723471182136e-07,1.23435901161321e-07,1.2426237662372014e-07,1.2173611721317228e-07,1.1191838525986568e-07,1.111192359608169e-07,1.1371876913784679e-07,1.1093596461157743e-07,1.1139256856757086e-07,1.141122065263546e-07,1.127254397609893e-07,1.11051808474265e-07,1.1226718866709438e-07,1.1228246742600806e-07,1.1570642329975082e-07,1.1488354940699225e-07,1.2413808067324367e-07,1.210367947696932e-07,1.2194212977915947e-07,1.2749450292182398e-07,1.2287278935444956e-07,1.2052050089628628e-07,1.251812558778106e-07,1.2751082831726635e-07,1.2091566900907303e-07,1.231290215447322e-07,1.2875877175978703e-07,1.2361924999799123e-07,855.0,1.2017599101312464e-07,1.1997379900974593e-07,9.697940616856666e-10,-0.0170719726022424,0.07449045905983101,5.472971706153767e-13,9.985789111904161e-08,1.3084868802700313e-08,4.291058287000337e-11,1.3084868802700313e-08,1.254565378454209e-10
1.2453358322226948e-07,1.2132109666719706e-07,1.296259968784623e-07,1.2795504530659757e-07,1.277715159578559e-07,1.2604344581389025e-07,1.2472152574591137e-07,1.2427026224314556e-07,1.313207139052916e-07,1.220775126537147e-07,1.2607604561342452e-07,1.3144538588841584e-07,1.1792792851802726e-07,1.1137971806587928e-07,1.1715571080593372e-07,1.1471214910466103e-07,1.1135628795610268e-07,1.1833818754924574e-07,1.1905678576831679e-07,1.1330215452326839e-07,1.181595873599905e-07,1.1416840280958803e-07,1.1340376868153759e-07,1.1450579868597714e-07,1.2554710109731633e-07,1.211577229615938e-07,1.2961531931596084e-07,1.291683886791591e-07,1.2641494236938608e-07,1.3041644034051172e-07,1.2874372257255118e-07,1.1854607188663454e-07,1.282958206226464e-07,1.2740382599765568e-07,1.2752537272679792e-07,1.2615071210539e-07,1005.0,1.2277862433629053e-07,1.2276705695556407e-07,1.0329326416163347e-09,-0.00300393699767308,0.10161023662487452,4.166047341123166e-13,1.0511150535649462e-07,1.0194152871218165e-08,3.6597858743654156e-11,1.0194152871218165e-08,9.058297892722234e-11
1.307615338335911e-07,1.2273683489845277e-07,1.2621263841300316e-07,1.290065104156068e-07,1.278668610255031e-07,1.2384771012304458e-07,1.2792013029406156e-07,1.2763120475819686e-07,1.2456578244392045e-07,1.258761953410854e-07,1.2746352546782033e-07,1.2604875312546673e-07,1.1608103823553432e-07,1.1480747592772174e-07,1.1669805982132986e-07,1.1341069901327605e-07,1.1283119103548878e-07,1.1381071689818214e-07,1.1803446625817598e-07,1.1753183237074075e-07,1.184577931080345e-07,1.1333081638516166e-07,1.1887529446825107e-07,1.1490278783520534e-07,1.2783579866349765e-07,1.2600545742017912e-07,1.2884570760425847e-07,1.251494902635497e-07,1.3067298096279602e-07,1.2732880172339584e-07,1.2523229157005134e-07,1.2418191091368558e-07,1.2469010949997116e-07,1.2119013156319516e-07,1.2395249569955818e-07,1.202776489677501e-07,1155.0,1.225816371408535e-07,1.2261312989857623e-07,9.201212390773505e-10,0.0017345262197861894,0.11337886880334445,3.2568657590090646e-13,1.0849284867027854e-07,8.124054662817857e-09,2.1565672168708658e-11,8.124054662817857e-09,7.38233308537066e-11
1.2943661034616078e-07,1.2757986857605703e-07,1.277610367102615e-07,1.286417348346156e-07,1.2870713413021742e-07,1.3020727664902242e-07,1.3143544480751784e-07,1.2737141769800683e-07,1.2691873951953444e-07,1.3344955801062595e-07,1.3059008526123467e-07,1.2949992558610416e-07,1.1797684654962379e-07,1.189350624383924e-07,1.190410063495298e-07,1.2009319493846317e-07,1.158310383146251e-07,1.2189418316712894e-07,1.2195311545988757e-07,1.163869054705677e-07,1.2025640603446858e-07,1.2173303336197808e-07,1.21306436972968e-07,1.1738938461569383e-07,1.2991246514174294e-07,1.287927382775499e-07,1.3325184718782456e-07,1.3084645586610867e-07,1.3000895575156892e-07,1.278286932226292e-07,1.3337303159458194e-07,1.2454420116007284e-07,1.2899018100304939e-07,1.2658881204353562e-07,1.3245540742951476e-07,1.3238512422903178e-07,1305.0,1.2616068417624975e-07,1.2620481551971933e-07,8.95236416238646e-10,0.005023311258546011,0.1343076024809072,2.6583161913835894e-13,1.131159692539146e-07,6.648621400604144e-09,1.7859570117702658e-11,6.648621400604144e-09,5.7142977285447986e-11
1.2594830364129396e-07,1.3091499520675896e-07,1.2586368765087158e-07,1.2767342440680638e-07,1.304203099826642e-07,1.2615642503466426e-07,1.3100516173074822e-07,1.2838394424387865e-07,1.293114278454003e-07,1.3300587816418958e-07,1.2823703211453322e-07,1.2867881921433239e-07,1.2060571989356936e-07,1.1648132651610633e-07,1.1927592425329782e-07,1.1650527962098189e-07,1.1731788747957266e-07,1.205074094000983e-07,1.2495603669623405e-07,1.1963195592876796e-07,1.2337923363156884e-07,1.1650376619239814e-07,1.2245391498686279e-07,1.1871726942265168e-07,1.3061400245023567e-07,1.2828651006964753e-07,1.2584471608279334e-07,1.2909819688427003e-07,1.286395481840969e-07,1.3125328583686087e-07,1.3157174542940334e-07,1.2761709287833948e-07,1.2324955152217403e-07,1.2959133313703262e-07,1.2530915925006448e-07,1.3178927179944854e-07,1455.0,1.2557399371618196e-07,1.2568887629951716e-07,8.308322110636507e-10,0.01660976601202137,0.1486420578361021,2.1821805875432148e-13,1.1545908148628711e-07,5.594956003006071e-09,1.446512285280129e-11,5.594956003006071e-09,4.9204565725728985e-11
