Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
105.0,3.5217650289394093e-07,4.090332556124087e-09,0.002684293587045564,0.0032553094335464523,1.3878960619916989e-07,1.191558441712814e-07
255.0,1.5259337487305118e-07,1.0490845206630514e-09,0.00603867260136817,0.003310501294110406,6.856161393077063e-08,6.283232511998663e-08
405.0,1.34690646070447e-07,1.3338912589026914e-09,-0.002536104024526831,0.005212184281066391,3.946671194121806e-08,3.702347271860004e-08
555.0,1.2596954760576462e-07,1.0652241307300373e-09,-0.0034798360771175086,0.006268454435473733,2.5166598881787275e-08,2.3642658861355324e-08
705.0,1.250632648581144e-07,1.073556423280237e-09,0.006293093611255946,0.008965343369263903,1.7765680761445657e-08,1.6767949729609007e-08
855.0,1.2074053444183498e-07,9.539681176791052e-10,0.0118737395650225,0.009119469605239622,1.308486878374511e-08,1.2422135810082237e-08
1005.0,1.2348611934702078e-07,1.0484625411384874e-09,0.00301608303561418,0.013713981317964126,1.0194152847517303e-08,9.743248963324305e-09
1155.0,1.2330447701185927e-07,9.130258864018984e-10,0.005981127991474521,0.01458072197975751,8.12405467886605e-09,7.704786398266534e-09
1305.0,1.269410524405142e-07,8.902829645336618e-10,0.001132583189372485,0.01718986028994305,6.648621420582496e-09,6.279271801857388e-09
1455.0,1.2633056245657746e-07,8.461752242964442e-10,-0.02080988892770352,0.02028065739340257,5.594956015758932e-09,5.3749112509460076e-09
1605.0,1.3304248331432258e-07,7.949596542262555e-10,0.025181362999201356,0.022526367473750447,4.771966979369621e-09,4.576039411934269e-09
1755.0,1.3961029577376478e-07,7.81897202783257e-10,0.0006199725329559554,0.022760243341004193,4.115963346473803e-09,3.887029456383191e-09
1905.0,1.5173848572034963e-07,8.755067691613123e-10,0.06053893125384238,0.03755248639286503,3.6258038886014334e-09,3.507070635987481e-09
2055.0,1.6124937046847667e-07,9.47776437210126e-10,-0.04291935814189276,0.048731703594913876,3.1919906851695273e-09,3.0287810204838274e-09
2205.0,1.849939674935346e-07,7.905779359569905e-10,-0.011070507950017298,0.045343768008850656,2.8526241701474894e-09,2.701102081654039e-09
2355.0,2.3120964094072205e-07,1.1954739748299505e-09,0.03499949391380696,0.07557434929494929,2.5711358109036626e-09,2.4829994508518803e-09
2505.0,2.846545075059015e-07,1.4543940433490206e-09,0.06267875309837957,0.0868639184395309,2.3320884846985333e-09,2.201580182839839e-09
2655.0,3.25283486000005e-07,1.6910098877676594e-09,-0.013599033608910118,0.11883479032351953,2.1263425595960556e-09,2.041820452448535e-09
2805.0,3.832269385160394e-07,1.628177816970838e-09,-0.16763179832689662,0.14030175861122388,1.949633359921446e-09,1.9273454589742592e-09
2955.0,3.199999314163375e-07,1.1345642323264096e-09,-0.07702710932636164,0.11186924625010493,1.7970030813015424e-09,1.370787916265672e-09
