cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,cl_kappa_tg_ave,cl_kappa_tg_ave_err,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,d_auto_cl,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
3.4269463359899023e-07,3.110918993070685e-07,3.3480045726297734e-07,3.21899860561741e-07,3.3574135379044977e-07,3.2195232392297755e-07,3.437888361674985e-07,3.2218110056750197e-07,3.2834485381793e-07,3.2341457043620536e-07,3.0626259928485273e-07,3.347330235275998e-07,3.0654369295408493e-07,2.853753460657708e-07,2.868628401522073e-07,3.025872201430706e-07,3.0226118551212503e-07,2.909348801896328e-07,2.885650076460143e-07,3.0397362956196287e-07,3.021151349330259e-07,2.911638152282078e-07,2.980501407623539e-07,2.971412410926869e-07,3.2482644197416104e-07,3.179285341024794e-07,3.4185973655589694e-07,3.298181752468466e-07,3.3867383879009047e-07,3.3902705612753717e-07,3.3326917868723134e-07,3.0713775569293223e-07,3.2924683623159805e-07,3.349631442765351e-07,3.1235149381020616e-07,3.366441733236059e-07,130.0,3.203070461548447e-07,3.1066671506939544e-09,3.174507225362793e-07,3.0253996005604502e-09,-0.0339056270788201,0.027780504964050604,7.581231861653128e-11,1.6569445487836575e-11,5.558089055320911e-08,1.1209792404985323e-07,1.3899520066891873e-09,9.822923557568108e-08,1.2057560810514019e-09
1.0905681322803864e-07,1.1540316457931743e-07,1.133845080771906e-07,1.1440210956575813e-07,1.1064222952935809e-07,1.0857845391087637e-07,1.1313288164500191e-07,1.0997496431473949e-07,1.144642085789126e-07,1.1120445970910911e-07,1.084953785462461e-07,1.0924909768654404e-07,1.0852549733974586e-07,1.0222887683136356e-07,1.0410167926711375e-07,1.0619249978369387e-07,1.0248498561847183e-07,1.0892191640197268e-07,9.715508952172407e-08,1.0402613256309597e-07,1.0468886329260361e-07,1.0471198078746459e-07,1.0514887121040247e-07,1.0164560143989138e-07,1.1504423600423398e-07,1.0798477638840725e-07,1.1178329707184307e-07,1.1125559015669803e-07,1.0496708389497047e-07,1.1465516728711671e-07,1.0451929597222075e-07,1.095084397338087e-07,1.1016180314811707e-07,1.0714474374157932e-07,1.0347635686190165e-07,1.1762172064888848e-07,330.0,1.0909580764656117e-07,8.121861666199932e-10,1.0849841039828949e-07,7.747200451756009e-10,-0.012121518889715629,0.016144635979028613,4.007192200057343e-12,2.270410494751041e-12,6.022271756604491e-08,4.7679143410413233e-08,2.712913256517238e-10,4.343091815740454e-08,3.0219326681371404e-10
9.197603396807995e-08,8.569045858255341e-08,8.945142587161308e-08,8.99190940020115e-08,9.062140319059973e-08,9.447187448143e-08,8.71974427211834e-08,8.857217920375815e-08,9.136099781038553e-08,8.928489326600502e-08,8.953432476737369e-08,9.078449146621523e-08,8.327430314567814e-08,8.443020432187764e-08,8.137618031015126e-08,8.300122161766458e-08,8.301739474055848e-08,8.212470030095842e-08,8.268347266572842e-08,7.974910179371012e-08,7.962700764316158e-08,8.371524496115954e-08,8.450307153230198e-08,8.128379768980621e-08,8.90722737131351e-08,8.507452366101038e-08,8.771410748916157e-08,8.892556958474067e-08,9.078690603915526e-08,8.750691480102909e-08,8.824725348042884e-08,8.720323070343331e-08,8.918568466266104e-08,8.962379392401854e-08,9.037671848751254e-08,8.543381025107733e-08,530.0,8.727979770864226e-08,6.284549106916656e-10,8.68555863014258e-08,6.259120058195674e-10,-0.016766187680631855,0.025479774029543305,1.2428593479336744e-12,8.632533936657942e-13,5.985421964610621e-08,2.443415166367776e-08,7.596178807538058e-11,2.2640028055426774e-08,1.2731623596611608e-10
7.909834758439057e-08,7.773607598178004e-08,8.035544067390111e-08,7.923709520641017e-08,8.14612268534788e-08,7.478681935613089e-08,8.05189673195348e-08,7.736024731610775e-08,7.991772556156057e-08,7.934195233087674e-08,7.794240129490706e-08,7.905089723712451e-08,7.45083980032395e-08,7.490929302443268e-08,7.197037345892727e-08,7.443010745893069e-08,7.29904944233579e-08,7.349995442213436e-08,7.009280105910389e-08,7.068894692871405e-08,7.119063190006416e-08,7.65404934506545e-08,7.558148884700301e-08,6.963633328297403e-08,8.301039551233844e-08,7.820058507491195e-08,7.918634094624962e-08,8.348940119619931e-08,7.954737221545984e-08,7.90899363562246e-08,7.91832190485848e-08,8.140628639786134e-08,7.927553242734624e-08,7.908871731747523e-08,7.98480535595672e-08,7.846347067248486e-08,730.0,7.760546414775542e-08,6.030855548357812e-10,7.729543954723451e-08,6.057298403404017e-10,-0.018652836792145223,0.040626102189315,5.825142739557547e-13,4.4685730466226224e-13,5.9095862711710326e-08,1.4854525502183898e-08,4.3844002564169984e-11,1.384662652811123e-08,6.581536928908487e-11
7.279224013800563e-08,7.197381175589839e-08,7.061096433149968e-08,7.290381404970158e-08,7.341512742655781e-08,7.27779507468995e-08,7.317722242121995e-08,7.677633884028553e-08,7.357654645981581e-08,7.292905281953935e-08,7.2823958596937e-08,7.205561669965737e-08,6.896488734158918e-08,6.566817968290949e-08,6.790514783356974e-08,6.783119388776527e-08,6.556872545370418e-08,6.671589643935933e-08,6.672205310638796e-08,6.636119842360013e-08,6.769217418655362e-08,6.853367270603272e-08,6.664004427883174e-08,6.533644442767642e-08,7.439324589895796e-08,7.149781025413735e-08,7.203060011758324e-08,7.411661565643388e-08,7.19839597341898e-08,7.352680421934066e-08,7.079750427068657e-08,7.077293820258778e-08,7.136204677636218e-08,7.07245423451727e-08,6.99472403750439e-08,7.521681808266649e-08,930.0,7.081116240787931e-08,5.189426860825055e-10,7.072562188853221e-08,5.07231558151316e-10,-0.007376478381237486,0.04985900777422561,3.274883219233637e-13,2.685668293705546e-13,5.7803525349557855e-08,1.0156821491210495e-08,2.6445527332408157e-11,9.469634646086316e-09,5.7761740034593713e-11
6.692222612296512e-08,6.595578767289602e-08,6.688112052991292e-08,6.556627507506661e-08,6.703519642504283e-08,6.664574960523068e-08,6.863589764261747e-08,6.752925798962071e-08,6.797970047127045e-08,6.533151033302808e-08,6.687618698661958e-08,6.966405044408122e-08,6.397030239316223e-08,6.350187954445133e-08,6.351163481920505e-08,6.362348867735047e-08,6.483535964394895e-08,6.300962118918083e-08,6.182196437747649e-08,6.321073114816639e-08,6.353296604692817e-08,6.346886756818829e-08,6.292877322048763e-08,6.225072913608437e-08,6.55913608521403e-08,6.625022336206471e-08,6.764063227926445e-08,6.925320814083427e-08,6.57551485241805e-08,6.760666308356257e-08,6.691178623540341e-08,6.606029848086204e-08,6.561057883803413e-08,6.575742560488901e-08,6.562063170741926e-08,6.867458518089631e-08,1130.0,6.579646835433222e-08,3.473654321634064e-10,6.570616164868148e-08,3.406912429390852e-10,-0.01043227800227501,0.04576163002240736,2.0611314387761683e-13,1.7687890851302623e-13,5.624806294830117e-08,7.387967050085782e-09,2.21171330496807e-11,6.914601357241195e-09,4.359174662622707e-11
6.307395553130807e-08,6.19206303088548e-08,6.24988406855458e-08,6.443363334157125e-08,6.236459351062386e-08,6.387990007801947e-08,6.356760156259211e-08,6.196743841344478e-08,6.490061050588543e-08,6.328607641662724e-08,6.288976746550741e-08,6.422243779661936e-08,5.7728671759832644e-08,5.939271299674781e-08,5.973151627713759e-08,5.969482516952653e-08,5.862397241154329e-08,5.969369455308718e-08,5.9183235547605146e-08,5.8604683602611144e-08,6.024267140601683e-08,5.843456657322265e-08,5.895633686663131e-08,5.935373362065031e-08,6.383762188587501e-08,6.328056190224149e-08,6.316461857704228e-08,6.485222650580439e-08,6.202854194727651e-08,6.204805072371825e-08,6.29042251653005e-08,6.255522068621655e-08,6.211643011740432e-08,6.526237503919259e-08,6.248397954810128e-08,6.447256341173963e-08,1330.0,6.212223796698948e-08,3.968058500487024e-10,6.187923671975347e-08,3.620046946852194e-10,-0.04464452632934732,0.06448351948585697,1.4047654014809084e-13,1.2422061383374856e-13,5.477289317835884e-08,5.604489966611716e-09,1.1878128832530967e-11,5.281880346906001e-09,3.34325695090003e-11
6.053437947938786e-08,5.929655504429768e-08,5.8123372990465215e-08,6.011214379353913e-08,6.012140212362752e-08,6.044345839360438e-08,6.051323975828777e-08,5.88125408671852e-08,6.090500230662362e-08,5.9060639729784366e-08,5.9466052808632895e-08,6.011758090331418e-08,5.706876850327419e-08,5.489578019457353e-08,5.661776065244334e-08,5.560061138657179e-08,5.705195426111971e-08,5.692469201495105e-08,5.6444350407052395e-08,5.743871999153031e-08,5.616889052622843e-08,5.699620312825894e-08,5.6680427736533644e-08,5.632864676356881e-08,5.6949454888355114e-08,6.009428907755568e-08,5.970607949912115e-08,5.9537500390956785e-08,5.85482912903539e-08,5.935776603748841e-08,5.87012792682721e-08,5.944263981480486e-08,5.800124551339579e-08,5.8364750025976065e-08,5.810150466635557e-08,6.051910911196272e-08,1530.0,5.856635729116082e-08,2.838993308576218e-10,5.841797453748483e-08,2.727916534940962e-10,-0.031238939744953256,0.0616922638194879,1.0007494090505505e-13,9.114903181158844e-14,5.323462764272569e-08,4.412223546190342e-09,1.0739415363491027e-11,4.1963203833535464e-09,3.083476805451891e-11
5.812758218510188e-08,5.5395109985163526e-08,5.4669382599917266e-08,5.8093599201868345e-08,5.695188973100964e-08,5.740414659099656e-08,5.703748722872012e-08,5.7873163691512074e-08,5.6027781075377465e-08,5.4549246660892825e-08,5.508731529148701e-08,5.6732642313545763e-08,5.3590910053364695e-08,5.380580648575285e-08,5.339943964425618e-08,5.5303514937696304e-08,5.299649622937143e-08,5.3567742879163816e-08,5.341009770096317e-08,5.559428842679649e-08,5.449388407744904e-08,5.3894541214852524e-08,5.3640052310126594e-08,5.3551035512114865e-08,5.6475179462201516e-08,5.4827053874482035e-08,5.615471895070922e-08,5.791534597033715e-08,5.5941307566734114e-08,5.622607586238855e-08,5.6588310309500224e-08,5.8269562318147174e-08,5.831699507845883e-08,5.5453120657018614e-08,5.535767066526917e-08,5.697846665245715e-08,1730.0,5.57872295201427e-08,2.7029985848520827e-10,5.565836009431124e-08,2.7256721696040344e-10,-0.03182731323880816,0.07596297818982449,7.455943001121678e-14,6.947843391213038e-14,5.1906936084781164e-08,3.5859170996040314e-09,1.0739004329076421e-11,3.394314612332494e-09,2.033383576438462e-11
5.5687985585115776e-08,5.451962007674426e-08,5.322368876628191e-08,5.477522698308273e-08,5.4473333495598135e-08,5.6459705143566704e-08,5.5222017448071885e-08,5.436336931633942e-08,5.59049136679139e-08,5.4010818608667124e-08,5.3933037442466817e-08,5.4015036455089014e-08,5.273494537701536e-08,5.230867002541503e-08,5.2422675348245974e-08,5.2884381790795946e-08,5.370864919612317e-08,5.285175324451408e-08,5.249967288026425e-08,5.2762248717976386e-08,5.1512761286552536e-08,5.1668778003976125e-08,5.2971097313642575e-08,5.256852338967231e-08,5.582337450530641e-08,5.406605204126346e-08,5.4777918368038955e-08,5.5225503971954304e-08,5.311959463299211e-08,5.399864267509811e-08,5.384562064928105e-08,5.389709861405841e-08,5.517255693151498e-08,5.4726964401187526e-08,5.2885698297280875e-08,5.3422573292830104e-08,1930.0,5.384849860255534e-08,2.026558550165247e-10,5.3845680776220485e-08,2.0476732451905412e-10,0.0005634572807944959,0.06849395573698779,5.78254434777367e-14,5.490332163478089e-14,5.107670118493242e-08,2.975140660098657e-09,5.760917615904832e-12,2.8481870119125144e-09,2.039608067239836e-11
5.3495345114679147e-08,5.332752432425851e-08,5.2142738507509453e-08,5.2610245055423776e-08,5.300677410220129e-08,5.427783506334202e-08,5.403983738018765e-08,5.380350155798175e-08,5.3441890126902034e-08,5.3605904380552375e-08,5.301105569123465e-08,5.2726458624559246e-08,5.222604953548668e-08,5.253965583411514e-08,5.231802942095807e-08,5.2746560284177735e-08,5.234098375384218e-08,5.171611182423413e-08,5.234638591175547e-08,5.172765560036027e-08,5.1132166656632975e-08,5.169491726368174e-08,5.27092937461627e-08,5.1035202809810334e-08,5.3519386764385635e-08,5.350909507838647e-08,5.168608478765943e-08,5.254597980218914e-08,5.3727992858072116e-08,5.3784162944691464e-08,5.338563200065702e-08,5.246243630614901e-08,5.3080807990412886e-08,5.3620972908725605e-08,5.3013233015914165e-08,5.413791918035872e-08,2130.0,5.283404573883931e-08,1.2878483974094305e-10,5.2847106283545865e-08,1.4010245072749772e-10,0.007663284454493663,0.056119908545642916,4.658162687195161e-14,4.4877341123716083e-14,5.086919886057718e-08,2.4933311924834917e-09,6.1313458884108666e-12,2.4054146543251112e-09,1.4561494850376843e-11
5.348368792767949e-08,5.375132862521624e-08,5.326329459305669e-08,5.2209154733591794e-08,5.331161376188057e-08,5.36460269808355e-08,5.385473108399459e-08,5.356163593165583e-08,5.3214876755820175e-08,5.264116247608324e-08,5.2907917076256195e-08,5.2250842989787035e-08,5.194637993884455e-08,5.1678408572357254e-08,5.251068223927912e-08,5.204479679555021e-08,5.1970045959167496e-08,5.168489204802698e-08,5.300162688907545e-08,5.150549181546549e-08,5.092845977133154e-08,5.163484578938215e-08,5.273520080049045e-08,5.233175363915665e-08,5.404896458583117e-08,5.292461733621308e-08,5.2185362291699145e-08,5.246001257516392e-08,5.204266282920482e-08,5.3509176738649076e-08,5.400224516041431e-08,5.2668659570179005e-08,5.2335674263978667e-08,5.339009033425575e-08,5.32571501557196e-08,5.517243744732902e-08,2330.0,5.280173460940573e-08,1.436484481150935e-10,5.2779608624517274e-08,1.4769154895460654e-10,-0.0066448431508539275,0.06900254738269768,3.890418656405956e-14,3.8020366759331483e-14,5.15988789669481e-08,2.1361424976469847e-09,7.311251590562301e-12,2.0639203930606935e-09,1.507073317186645e-11
5.399747858231181e-08,5.462102883356545e-08,5.367664581055445e-08,5.478355837831297e-08,5.5248203337552676e-08,5.4997950137684145e-08,5.5455698469157143e-08,5.374819158603968e-08,5.4354305201213636e-08,5.426638746476782e-08,5.483203553148194e-08,5.3585956015799e-08,5.483864235831331e-08,5.3468921932089096e-08,5.483141272103272e-08,5.525928283207636e-08,5.423189813395861e-08,5.3232792225196975e-08,5.416435524873424e-08,5.4156791190549474e-08,5.339093990917033e-08,5.409665693983129e-08,5.4389993681866546e-08,5.3341756109048944e-08,5.375049465955821e-08,5.2948645468526384e-08,5.3025705442959615e-08,5.4085005965949626e-08,5.237084268231898e-08,5.393249731867005e-08,5.337906023915746e-08,5.397797426739419e-08,5.452601857449585e-08,5.4165273319813866e-08,5.3889529242984596e-08,5.4298700140758955e-08,2530.0,5.417902818141131e-08,1.1394703514947613e-10,5.4092239720913784e-08,1.1646526229113485e-10,-0.046393519825157575,0.06268938426017194,3.3857131454271295e-14,3.348200268121195e-14,5.3605113475871615e-08,1.8650999069931347e-09,4.599476523890968e-12,1.7958381831945238e-09,1.222792859082782e-11
5.90693399177726e-08,5.75192173398942e-08,5.705572387503242e-08,5.7595941445793056e-08,5.850994495157085e-08,6.03741136454985e-08,5.769610230462456e-08,5.763626853563174e-08,5.7768131297341794e-08,5.7173053242942865e-08,5.626136862942682e-08,5.702106025743218e-08,5.77467506885745e-08,5.748326353275305e-08,5.661179308092266e-08,5.865175800080315e-08,5.7512352676191145e-08,5.800882058919437e-08,5.892872319465293e-08,5.861810090682006e-08,5.6471532541545506e-08,5.787638682394288e-08,5.838562997885293e-08,5.7950823045130756e-08,5.6836866177110835e-08,5.656075938482869e-08,5.762344553378689e-08,5.6349956659779404e-08,5.6247811295154134e-08,5.815091443556504e-08,5.8714563626037257e-08,5.811921525117216e-08,5.647877133665232e-08,5.811448544555642e-08,5.776565793904487e-08,5.854384191791813e-08,2730.0,5.788217649346677e-08,1.5951009233476847e-10,5.770645804180423e-08,1.5280440436444108e-10,-0.10882573952023201,0.09394958317395846,3.106558600999169e-14,3.099736278419991e-14,5.778839929332593e-08,1.6335229036922636e-09,4.2841290152055394e-12,1.6066552461388097e-09,1.5745312634330996e-11
6.454401214829841e-08,6.238806139792582e-08,6.24662904098815e-08,6.156736626221141e-08,6.390464425910544e-08,6.331555780834774e-08,6.289899543380358e-08,6.175729369456639e-08,6.313469177549119e-08,6.325636836011804e-08,6.250487104685781e-08,6.221191979452161e-08,6.460157297784069e-08,6.3205201942621e-08,6.421241406154036e-08,6.461273866318159e-08,6.427571414976341e-08,6.474417803055305e-08,6.681990844108961e-08,6.325809431402062e-08,6.315695421005953e-08,6.351374522472427e-08,6.434028291444937e-08,6.43655310675317e-08,6.257601120891635e-08,6.139150987107934e-08,6.176063481054607e-08,6.389356596097406e-08,6.320772526928426e-08,6.234013916761455e-08,6.368310674381676e-08,6.440139658409575e-08,6.402528767279447e-08,6.277372754621364e-08,6.428826720373154e-08,6.222201900680133e-08,2930.0,6.339373097008271e-08,1.8581747414017417e-10,6.33783277620659e-08,1.8834911862236456e-10,-0.014710055864940563,0.130031407229627,2.9537318300775885e-14,2.994164680301633e-14,6.432721533406739e-08,1.4448552532963861e-09,2.770146106952472e-12,1.4365422832906148e-09,1.2091682076362957e-11
7.33581789134544e-08,7.114889785470196e-08,7.202139518557016e-08,7.065018670924389e-08,7.195237785447604e-08,7.25451001007737e-08,7.210366508608087e-08,6.961224585695367e-08,7.171668334773555e-08,6.966037888342884e-08,6.977371111042817e-08,7.13145014608201e-08,7.320006572469115e-08,7.280121671945877e-08,7.33132590804667e-08,7.382936018290552e-08,7.350782361533935e-08,7.310859304412326e-08,7.610008098265863e-08,7.330961359821622e-08,7.172277811109708e-08,7.398277010300299e-08,7.449043493782333e-08,7.237228819287585e-08,7.227575334403148e-08,7.017760907527234e-08,6.81790255546493e-08,7.187687613485489e-08,6.968533706466084e-08,7.171484759983337e-08,7.059961679215102e-08,7.195954297138899e-08,7.152555556903114e-08,7.12015939608003e-08,7.229795539745308e-08,7.30818753787583e-08,3130.0,7.205057750956445e-08,2.610732322118844e-10,7.200475543053367e-08,2.649480937928792e-10,-0.047176636282369615,0.2056294718766787,2.941770458392529e-14,3.007706268477324e-14,7.378869319997034e-08,1.2826546383721912e-09,3.511994469962236e-12,1.2776086778642085e-09,1.175969746461034e-11
8.95489816923121e-08,8.770791667188049e-08,8.792037933521581e-08,8.862983200939839e-08,8.729016633915411e-08,8.765499070315374e-08,8.696102090016305e-08,8.471765042562089e-08,8.92704563788809e-08,8.661813381698016e-08,8.655955920072316e-08,8.633578832791853e-08,9.153906319021341e-08,8.754485181354027e-08,8.888924488132372e-08,8.981482664891285e-08,9.024199650585592e-08,9.08550120490654e-08,9.461913675933702e-08,8.880937004768178e-08,8.982675661685352e-08,9.085842053304714e-08,9.090062352690822e-08,8.742581435428722e-08,8.502736440556294e-08,8.687369044787878e-08,8.246132867825211e-08,8.780313472659952e-08,8.436845968239293e-08,8.812071245904011e-08,8.931803053089522e-08,8.753577733926597e-08,8.763727388241771e-08,8.704250888591365e-08,8.865200761838486e-08,8.652598699682424e-08,3330.0,8.81176274466465e-08,4.006852757437378e-10,8.810850745505157e-08,3.7548224156224374e-10,-0.022536784289739906,0.32266913332176556,3.1785885866640153e-14,3.245263794846958e-14,9.010935160923314e-08,1.1530622300100758e-09,2.8191153838405978e-12,1.1575635233053145e-09,1.3267893820797559e-11
1.0920628746988056e-07,1.0454809852429139e-07,1.0506480740837381e-07,1.056876486229797e-07,1.0504854338339976e-07,1.0656125692829502e-07,1.0726611171202472e-07,1.0206532177163968e-07,1.0865980750692155e-07,1.0394187634394382e-07,1.0224150545578425e-07,1.0530011677987458e-07,1.0877687901490198e-07,1.051783651417004e-07,1.0689846788987034e-07,1.0644678632924448e-07,1.0649737087907644e-07,1.0782315121698871e-07,1.0944134514075782e-07,1.0634142313597563e-07,1.0504194133565775e-07,1.0677512937080854e-07,1.0628812843256846e-07,1.0580614389369154e-07,1.0389879666234233e-07,1.0276590119151944e-07,9.877130944257157e-08,1.0542653106505932e-07,1.0257792315573863e-07,1.071286555772042e-07,1.0463720753365452e-07,1.0599847135918847e-07,1.0460614122452269e-07,1.037842063610996e-07,1.0607718920539121e-07,1.0556097579574264e-07,3530.0,1.0566716451141338e-07,3.524989167608395e-10,1.0550388395174128e-07,3.614834271170358e-10,-0.1735304443676096,0.34796018932232037,3.391959313096594e-14,3.429792695217227e-14,1.0695529300607285e-07,1.0432819129931458e-09,3.2750750910790976e-12,1.0344342622680042e-09,1.3781565130516247e-11
1.2188806520385776e-07,1.178813577541436e-07,1.1770486891718152e-07,1.1704595236847517e-07,1.2142236517619245e-07,1.193809690684014e-07,1.197462146152894e-07,1.1349497045292506e-07,1.2213781070786578e-07,1.1573071479050577e-07,1.1703171123053792e-07,1.1718263341337064e-07,1.214240157830456e-07,1.1752166037467122e-07,1.1836824327228474e-07,1.1768139797667211e-07,1.1623137904026365e-07,1.1822685531077576e-07,1.2261192453124832e-07,1.1790201013103617e-07,1.1694711086343653e-07,1.2068216470899785e-07,1.1886243776267022e-07,1.1527246422207214e-07,1.1481337604359019e-07,1.1442888612460458e-07,1.1359013296853953e-07,1.1716942344642508e-07,1.1545720607917198e-07,1.1734779056548358e-07,1.1692559470724562e-07,1.1979635637506078e-07,1.1661952976946987e-07,1.166268570524783e-07,1.1689266927842198e-07,1.1576846606523443e-07,3730.0,1.177893940039855e-07,3.764127942079842e-10,1.1771709961532355e-07,3.8988869822621647e-10,-0.08755104768006197,0.413052520248683,3.38648000068959e-14,3.4138727769359376e-14,1.1883794746311128e-07,9.4378855163753e-10,2.9467008806348994e-12,9.68123347302223e-10,1.1058784102755483e-11
