cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35,Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise,inkap_x_inkap,inkap_x_inkap_err,inkap_x_reckap,inkap_x_reckap_err
9.907309783293807e-07,9.33739738699628e-07,9.59312208726136e-07,9.39333806722248e-07,9.579582583279478e-07,9.412177797823734e-07,9.793449681486254e-07,9.21988717542541e-07,9.042180284359048e-07,9.33089134924145e-07,9.164182692315308e-07,9.439909595414175e-07,8.952270362582492e-07,8.392765127590779e-07,8.717750005084711e-07,9.153423237126532e-07,8.688574540750183e-07,8.968966535577715e-07,9.221413607660725e-07,8.85018359824909e-07,8.512638875669459e-07,8.798729608317113e-07,8.706904433186606e-07,8.227940127757988e-07,9.795676727209095e-07,9.449912268548024e-07,9.160092307338279e-07,9.984316669407306e-07,9.534237808756589e-07,9.443045966498372e-07,8.993008174724208e-07,9.362748578055951e-07,9.337351929398755e-07,9.981700717454047e-07,9.58334054354812e-07,9.360350462434204e-07,105.0,9.233076963806808e-07,7.236382428317522e-09,-0.013635180246212152,0.05645467820582021,1.819903053236773e-10,4.3409984254092213e-07,1.3270818822985467e-07,2.3302170823948397e-09,1.3270818822985467e-07,2.136346214847039e-09
7.148540572412144e-07,6.968513835766774e-07,7.051400533965497e-07,7.12064630558257e-07,6.919616973535206e-07,7.219850966818944e-07,7.147896873064383e-07,7.702151066747134e-07,7.147718365249673e-07,6.757473148153938e-07,6.709793060626523e-07,6.836573366331342e-07,6.765512094421726e-07,7.509209729916638e-07,7.034784479030545e-07,6.968111783179964e-07,7.071959966747284e-07,6.676105491823075e-07,7.115817613451536e-07,7.467013217269714e-07,6.792383073549632e-07,6.886138337234205e-07,6.960993542436681e-07,6.526387384698676e-07,7.076597204891816e-07,7.089171310730429e-07,7.064741297324156e-07,6.846620098719651e-07,7.337609122573869e-07,7.026976528425421e-07,6.780609033497873e-07,6.819469591640065e-07,6.894611909768702e-07,7.078754066234502e-07,6.607268546482367e-07,7.196763316674456e-07,255.0,7.008993994693808e-07,4.165076755666387e-09,-0.016759904926050076,0.06548579231572747,3.879574618591605e-11,6.302922388428932e-07,6.429182167117839e-08,4.817330560564828e-10,6.429182167117839e-08,1.094302907902197e-09
7.650807579793835e-07,7.499033641655303e-07,7.5267877135079e-07,7.739844116339235e-07,7.313569326440234e-07,7.833083236526373e-07,7.713866162785323e-07,7.665302220240844e-07,7.724984842156551e-07,7.703784554393241e-07,7.760186621783179e-07,7.536024124175204e-07,7.336012136222094e-07,7.213221831190344e-07,7.407142524490974e-07,7.499281859938374e-07,7.155899422269875e-07,7.519989159894404e-07,7.570336955660119e-07,7.517963868164231e-07,7.845924326309666e-07,7.046938504037755e-07,7.387197258780069e-07,7.32302791206069e-07,7.956636793132525e-07,7.682241173698456e-07,7.096144850666286e-07,7.710317520778007e-07,7.695563571941842e-07,8.025869234381107e-07,7.804567173133438e-07,7.294995159987461e-07,7.838601017115093e-07,7.917575529120828e-07,7.77822894082291e-07,7.915536482739795e-07,405.0,7.58906909295371e-07,4.2011258537212245e-09,-0.01934880478636498,0.11318245593307062,1.7607024454304335e-11,7.160682024165682e-07,3.6959879823397663e-08,1.509135010313652e-10,3.6959879823397663e-08,4.753987415818962e-10
8.056953829920749e-07,7.998922132999255e-07,8.559820130890017e-07,8.151713884320172e-07,7.871253654630869e-07,8.015947992620194e-07,8.016253404597429e-07,8.330050348799065e-07,8.338993556888187e-07,8.412492227831709e-07,8.231046106656101e-07,7.689236682625137e-07,7.725477666071547e-07,7.700948528134363e-07,7.599306725890169e-07,7.977973850538135e-07,7.744027458015456e-07,8.110170640756001e-07,8.097381350688496e-07,7.811777813354007e-07,8.032075796825892e-07,7.765650720337668e-07,7.612971731769409e-07,7.606650212151086e-07,8.193699080938507e-07,7.933857812746337e-07,8.194118367425882e-07,8.386457956180843e-07,7.659893370188596e-07,7.888258619331052e-07,8.182632103015656e-07,8.055122404841649e-07,7.939734576206469e-07,8.361146088146446e-07,8.472362016763881e-07,8.33178582380064e-07,555.0,8.029337907413807e-07,4.489261097876931e-09,0.01736664153196782,0.19909858567345082,1.0026881157812386e-11,7.715384461148321e-07,2.2470867100905e-08,9.528105972325874e-11,2.2470867100905e-08,3.4902148740407725e-10
8.472425374223779e-07,8.857744504042088e-07,8.607575009925659e-07,8.351940100788582e-07,8.824671888086666e-07,8.590980872888374e-07,8.831808805875182e-07,8.388915231867593e-07,8.827464997653933e-07,8.648082362655881e-07,8.775981997125054e-07,8.554391618459436e-07,8.313302192615427e-07,8.256735027255138e-07,8.708452429679163e-07,8.718788234146862e-07,8.334157141545645e-07,8.645015164332149e-07,8.64932870409198e-07,8.539715104669495e-07,8.543231277282656e-07,8.117204254451881e-07,8.169971554409584e-07,8.294712063068565e-07,8.813743571489975e-07,8.753521048556498e-07,8.499951594436011e-07,9.035860125715701e-07,8.909438302982295e-07,8.854505614722342e-07,8.988631538087194e-07,9.074298921528916e-07,8.790488370760068e-07,8.973684919218973e-07,8.574159449455589e-07,9.133334709135987e-07,705.0,8.650672613256397e-07,4.340394097081469e-09,0.0059880945516841665,0.2754726714405057,6.76841373839669e-12,8.390652853906904e-07,1.5669568274442237e-08,5.54527718522391e-11,1.5669568274442237e-08,2.843683495058579e-10
9.292004904899437e-07,9.42435907992665e-07,9.327050552163395e-07,9.125636024528428e-07,9.704686871049659e-07,9.302549304799927e-07,9.146186735410872e-07,9.377859272741426e-07,9.153095460951696e-07,9.230581745656357e-07,9.232384784082757e-07,9.425721909825585e-07,8.981058692039561e-07,8.990000082432789e-07,9.1254126320094e-07,9.2982170726188e-07,9.282897831408344e-07,8.628769174347536e-07,9.296837993993285e-07,9.002553880592008e-07,9.427487550479372e-07,8.898062752150326e-07,9.048923968299334e-07,9.164511662013995e-07,9.608434592704417e-07,8.865313518132985e-07,8.71361172467645e-07,9.70988452841928e-07,9.088867386364096e-07,9.315444689087733e-07,9.555558118758843e-07,9.097670158243771e-07,9.302040485129887e-07,9.60764478904761e-07,9.182421013361811e-07,9.4306659784455e-07,855.0,9.232344636688702e-07,4.198968339629123e-09,-0.02516156252829683,0.3618559271374151,4.979934406906935e-12,9.104323820587572e-07,1.1633409678431786e-08,3.8294743394704095e-11,1.1633409678431786e-08,2.619309456532692e-10
1.0376797977035137e-06,1.040018646275549e-06,1.0132484879097133e-06,1.0686757290653723e-06,1.053996469291307e-06,1.0532309888691086e-06,1.0515153130294956e-06,1.0397327366047967e-06,1.05316418569881e-06,1.033522395850792e-06,1.0657154598485048e-06,1.041722888331231e-06,9.937530256799395e-07,9.810793748233895e-07,9.648578188082225e-07,1.0291058656696264e-06,1.0062249003668353e-06,1.0029202349985638e-06,1.0406928952716274e-06,1.0000399047461495e-06,9.894953696638532e-07,9.61560767043317e-07,9.984300245517781e-07,9.746719944964672e-07,1.0658102736605272e-06,1.0436102114434282e-06,1.017759413815883e-06,1.0564883883183156e-06,9.669688781831698e-07,1.0514956047387162e-06,1.0422329154368782e-06,1.0493219789740163e-06,1.0406519736217448e-06,1.0158861301543594e-06,1.0510552498897693e-06,1.0674689261616534e-06,1005.0,1.0267723671943452e-06,5.2912885042339366e-09,-0.006980381548463008,0.585502314945194,4.021207313036942e-12,1.0160708425493123e-06,8.96003803506103e-09,2.9036003209461267e-11,8.96003803506103e-09,2.1036354686767545e-10
1.1861536656806574e-06,1.1747436857368957e-06,1.142972606983199e-06,1.1698780378709522e-06,1.1941588756450539e-06,1.1574271790627198e-06,1.1744315852473303e-06,1.1782198662394607e-06,1.1643293843947969e-06,1.137973118783317e-06,1.17167944174078e-06,1.1411594828625457e-06,1.1164470423849466e-06,1.146202699370984e-06,1.1098729999230628e-06,1.1284026475954163e-06,1.194105742718618e-06,1.1353984063854198e-06,1.1507425320169815e-06,1.1398747404954204e-06,1.1433368899979772e-06,1.1193870246523843e-06,1.1263143111134574e-06,1.1076562481921699e-06,1.1750123574047655e-06,1.1850902593290376e-06,1.1332349902047157e-06,1.1729936623668067e-06,1.1497847290391867e-06,1.1661083008561673e-06,1.1783030408064387e-06,1.1983711981510823e-06,1.1637198846195598e-06,1.1399744527059113e-06,1.1582777014951275e-06,1.1597049510054493e-06,1155.0,1.1553178817521887e-06,4.0800394690149245e-09,-0.0039535151194427,0.5762825265402234,3.418589509664365e-12,1.141277746907416e-06,7.098489167451144e-09,2.163050117394961e-11,7.098489167451144e-09,1.9202021070652257e-10
1.3597715462839492e-06,1.3011888222736836e-06,1.390625804675803e-06,1.3060145117257068e-06,1.3416249475199092e-06,1.3538984278365602e-06,1.358423210881189e-06,1.2800710585244102e-06,1.3461231777805646e-06,1.3182425319690393e-06,1.2920707238053262e-06,1.3091395964246633e-06,1.3625390236487655e-06,1.3016624859970992e-06,1.292508080832464e-06,1.3344797033149333e-06,1.293420634479452e-06,1.316326300445411e-06,1.342540270558151e-06,1.2814599586093838e-06,1.296285123886571e-06,1.2769801368194774e-06,1.3120759323063088e-06,1.2789465944174216e-06,1.3420230217156854e-06,1.3324319877101918e-06,1.2616348750304003e-06,1.3252333100548904e-06,1.309149472933709e-06,1.3091248516009103e-06,1.3383490410168959e-06,1.3270908956954268e-06,1.2929960856352741e-06,1.3489596897258474e-06,1.3380624610175482e-06,1.350106846650978e-06,1305.0,1.320043920661222e-06,4.949985623130088e-09,-0.12996224602284542,0.8519731666837217,3.069775223936893e-12,1.308697459124497e-06,5.797402805876474e-09,1.2397067804798468e-11,5.797402805876474e-09,1.48731687934351e-10
1.5941510541844093e-06,1.5734287973535342e-06,1.5734293761617726e-06,1.5345399424125503e-06,1.5916153372393986e-06,1.5569386276530128e-06,1.5478184929126284e-06,1.4497874140264797e-06,1.6064462420484488e-06,1.4842731627209703e-06,1.5626220058817282e-06,1.5176678591814494e-06,1.5102053703772415e-06,1.4730016726585644e-06,1.457462720673624e-06,1.4740046335928195e-06,1.5059566595886693e-06,1.5022141280806841e-06,1.5301776915813827e-06,1.4833840150153304e-06,1.4701568162180796e-06,1.4989749633157702e-06,1.4885459190907827e-06,1.4827973686811329e-06,1.533656181282692e-06,1.5015255149036295e-06,1.5003999244498944e-06,1.5747196082109664e-06,1.4788357559699638e-06,1.5433935401738268e-06,1.5276720013476905e-06,1.5222623346615623e-06,1.5355791433837483e-06,1.4851711125614295e-06,1.5014504815070729e-06,1.5454464695070762e-06,1455.0,1.5199920094058336e-06,6.810103724251e-09,-0.06898182794950679,1.4198319607917076,2.8306645838436373e-12,1.5008604042200586e-06,4.790399165416379e-09,1.1135651023271988e-11,4.790399165416379e-09,1.6203010217797114e-10
