cutout 0,cutout 1,cutout 2,cutout 3,cutout 4,cutout 5,cutout 6,cutout 7,cutout 8,cutout 9,cutout 10,cutout 11,cutout 12,cutout 13,cutout 14,cutout 15,cutout 16,cutout 17,cutout 18,cutout 19,cutout 20,cutout 21,cutout 22,cutout 23,cutout 24,cutout 25,cutout 26,cutout 27,cutout 28,cutout 29,cutout 30,cutout 31,cutout 32,cutout 33,cutout 34,cutout 35
3.7315692849954717e-07,3.562967221335041e-07,3.979712731988735e-07,3.704868351475184e-07,3.487490726738356e-07,3.7882292075214504e-07,3.682158438168291e-07,3.3816060894140146e-07,3.637298352463145e-07,3.451165618435749e-07,3.5849070015067247e-07,3.775039371236433e-07,3.1188266065709303e-07,3.243133708845386e-07,3.517657256140254e-07,3.4454810867337935e-07,3.2263477464394566e-07,3.2822385887116494e-07,3.1756024461821386e-07,2.9078933046550843e-07,3.384601266298044e-07,3.32069768593454e-07,3.24782670822857e-07,3.1131265471993e-07,3.743132265095661e-07,3.8041798116701414e-07,3.5922400429278306e-07,3.993061214508652e-07,3.572533600940594e-07,3.8304208379818107e-07,3.578716461565793e-07,3.7532120541349944e-07,3.525569233588845e-07,3.590287573668203e-07,3.460714544839855e-07,3.611697604230339e-07
1.616376694233539e-07,1.4145896477150543e-07,1.5472720967546015e-07,1.4824692983593665e-07,1.617877787737741e-07,1.5353911007693104e-07,1.553378363172986e-07,1.595220959934213e-07,1.5596666037604644e-07,1.485168766486662e-07,1.5810561058371173e-07,1.49067340262549e-07,1.4347676343377465e-07,1.5293514509798115e-07,1.4084276897406056e-07,1.3977686537266451e-07,1.4288015314884266e-07,1.5687753385002042e-07,1.5154833908521976e-07,1.4367567785353301e-07,1.5048434973826776e-07,1.4801262583165833e-07,1.536046051273341e-07,1.5154183302307948e-07,1.6179432122093163e-07,1.4218065973432187e-07,1.5731004089826222e-07,1.633563463849543e-07,1.4690503282103948e-07,1.5441295564709399e-07,1.5802288554396272e-07,1.4795371804873625e-07,1.613297778913763e-07,1.5902449360603444e-07,1.4807699881315068e-07,1.4964326746849906e-07
1.4149991557617936e-07,1.398322580875572e-07,1.3716159294957483e-07,1.394763921711982e-07,1.4683503010018603e-07,1.444479874900474e-07,1.352045831138611e-07,1.3680238323257497e-07,1.413870307263808e-07,1.3868807424978783e-07,1.4779637354538912e-07,1.3967947310236572e-07,1.2290801141009774e-07,1.2659930637275438e-07,1.2711469917393727e-07,1.2426221164048995e-07,1.2027213419621602e-07,1.3347080180673378e-07,1.256885810859706e-07,1.2508321260967238e-07,1.291376670913358e-07,1.2018721104897832e-07,1.1884343660854277e-07,1.2253308698291373e-07,1.365200082164826e-07,1.4254910481254991e-07,1.3516945519099854e-07,1.41959902923525e-07,1.3976384863448584e-07,1.4568501840846217e-07,1.3357288292831438e-07,1.3294076586849665e-07,1.4159385068559075e-07,1.37609698875152e-07,1.3581420036910724e-07,1.3796124753116292e-07
1.2229791380701318e-07,1.294672776378882e-07,1.2704938815248601e-07,1.2813163766595512e-07,1.3222373856805e-07,1.2711447310280606e-07,1.3389084738238656e-07,1.262954037211889e-07,1.3142844893756138e-07,1.2986041810681094e-07,1.27994342167423e-07,1.3269312399810464e-07,1.1783494925946219e-07,1.2102460491783316e-07,1.1768900082718521e-07,1.187337561532655e-07,1.1371493947304319e-07,1.2142246721654113e-07,1.1906838128351099e-07,1.1549126410591835e-07,1.213641400753276e-07,1.1324655286280777e-07,1.1877511671421036e-07,1.176580741619584e-07,1.3638752107934856e-07,1.3035614270501715e-07,1.305277522921311e-07,1.3389531561640716e-07,1.3125897079635414e-07,1.303716759265121e-07,1.2799939292887594e-07,1.2633079266737107e-07,1.4016273087807364e-07,1.2668129640368792e-07,1.2620380464854175e-07,1.2804567999818733e-07
1.302567640767597e-07,1.2430035637776213e-07,1.2654673656443229e-07,1.3482386884324233e-07,1.2979176204681584e-07,1.2730921912065915e-07,1.2963159204568632e-07,1.2646656906918408e-07,1.2958596008265434e-07,1.3450747819789627e-07,1.2870394382266663e-07,1.29113537916548e-07,1.1346437656191e-07,1.1714691146550374e-07,1.1801157728150813e-07,1.164286874225141e-07,1.1826333374841877e-07,1.1637647659936225e-07,1.2396135597165952e-07,1.114868098909035e-07,1.2083355300985272e-07,1.1773979573045041e-07,1.1706961910806437e-07,1.134959289484661e-07,1.302871931210217e-07,1.2644481454428874e-07,1.3458715102652069e-07,1.3048154521147875e-07,1.2660552691691342e-07,1.3202848166788645e-07,1.295843603753572e-07,1.2662912313259497e-07,1.252478669075661e-07,1.203993494212319e-07,1.279475413520579e-07,1.326427484511958e-07
1.250056719117641e-07,1.2680075090532366e-07,1.2630322713520895e-07,1.2493122150780875e-07,1.1789551526487195e-07,1.1815284162851664e-07,1.2825240327882923e-07,1.23792940380673e-07,1.2305202291421868e-07,1.2374747649213592e-07,1.24888398218633e-07,1.2199660776809287e-07,1.1239190152112221e-07,1.117295890657867e-07,1.138952720818399e-07,1.1143679302078525e-07,1.1167481893021174e-07,1.1494428204944959e-07,1.1337315853809509e-07,1.1138998335632618e-07,1.128628220526211e-07,1.1291267489074414e-07,1.1631992952978128e-07,1.1541690206827383e-07,1.2487506401301922e-07,1.2117068254218053e-07,1.2262035261642643e-07,1.2772149730618535e-07,1.2304990996059671e-07,1.209227132394616e-07,1.2535539520848305e-07,1.2803653821449713e-07,1.212058413873343e-07,1.233769534674747e-07,1.2958949228796073e-07,1.242145564187308e-07
1.246046651890188e-07,1.217707251835785e-07,1.3032631190067593e-07,1.2834034546934432e-07,1.281317202504257e-07,1.2652613437696988e-07,1.2513167272804148e-07,1.247295037646889e-07,1.3202651200949262e-07,1.2234911358159132e-07,1.2656908168449662e-07,1.3204531782509088e-07,1.1833927874965512e-07,1.1210609345446292e-07,1.1787528391162036e-07,1.1532362687567247e-07,1.1185599217799565e-07,1.1906822459575956e-07,1.1974259224283865e-07,1.1370321760593636e-07,1.1876621589703263e-07,1.145318753798918e-07,1.1360785159876025e-07,1.1518884346817077e-07,1.2628568741816905e-07,1.2140512093819707e-07,1.2989263260519477e-07,1.2996892678136893e-07,1.2714195985762223e-07,1.3104622131107566e-07,1.2888715042126445e-07,1.1880725136117233e-07,1.288323375796183e-07,1.2772566250720926e-07,1.2818819450402592e-07,1.2665545677254392e-07
1.3125307105868912e-07,1.2297894813233453e-07,1.2678759789833594e-07,1.2921409812592777e-07,1.2848663242929522e-07,1.2424885402473264e-07,1.2828974324880178e-07,1.276899001216885e-07,1.2500976513035202e-07,1.2640188460220832e-07,1.2823824692152598e-07,1.2649372173438272e-07,1.1678783299214025e-07,1.1528766365855805e-07,1.1724725908268238e-07,1.1381165945737106e-07,1.1341802186230172e-07,1.1462622682643076e-07,1.1838722853079991e-07,1.1805098489480145e-07,1.1894755153634203e-07,1.1345036305437444e-07,1.1927476951006132e-07,1.1520463581111603e-07,1.2822042914718922e-07,1.2658329344703804e-07,1.2897360762329365e-07,1.2536929354833974e-07,1.3082028114024525e-07,1.277513703433022e-07,1.256436911445866e-07,1.2473834095553544e-07,1.2528040097709217e-07,1.2167662371394993e-07,1.247077570256387e-07,1.209576384929947e-07
1.297025484215354e-07,1.2779292980019318e-07,1.2809205267842176e-07,1.2917613976368588e-07,1.293933478920846e-07,1.3053186061267517e-07,1.317524575113612e-07,1.2779412273678844e-07,1.2749535203052688e-07,1.3359998083634147e-07,1.3108643469251124e-07,1.2982448185701897e-07,1.1856452749628269e-07,1.1945029888542164e-07,1.198495157727504e-07,1.2074069300490634e-07,1.163683029059914e-07,1.2242941585473588e-07,1.2228075201011183e-07,1.1699003895220414e-07,1.2103842214370864e-07,1.22118902393336e-07,1.2170899452971251e-07,1.1787499047473316e-07,1.3095336058627674e-07,1.2912651564563583e-07,1.3400790467346143e-07,1.309496184436318e-07,1.303119399407369e-07,1.2821116049082352e-07,1.3344666201839166e-07,1.2492549357008063e-07,1.2972287770647612e-07,1.274118574171741e-07,1.3285334091239323e-07,1.3294778075166967e-07
1.2630685890478101e-07,1.3159995970602912e-07,1.2613148950009186e-07,1.2804891410015266e-07,1.3054810979567436e-07,1.2646056194587638e-07,1.315851784651661e-07,1.289607343108084e-07,1.297706483557332e-07,1.3378692858211358e-07,1.2836711922831395e-07,1.2931057193801886e-07,1.2120440095178215e-07,1.1700336198017717e-07,1.1991529044783565e-07,1.1718378069089667e-07,1.1802963827849518e-07,1.212260237934592e-07,1.2572262990379524e-07,1.2001120439953202e-07,1.2426224540101758e-07,1.1729459351595598e-07,1.231184860269257e-07,1.1934166455408534e-07,1.3132167342493112e-07,1.290102141148134e-07,1.262829265822421e-07,1.2972743979282468e-07,1.2938020639270516e-07,1.3162552893118887e-07,1.3216351092876389e-07,1.2798540686886637e-07,1.232537921603665e-07,1.3003710074612523e-07,1.2598229027847946e-07,1.3226203509415252e-07
1.3307455705534143e-07,1.339929565862967e-07,1.3369776893746773e-07,1.318399621884933e-07,1.3672312103813717e-07,1.3622570180273296e-07,1.346948327295256e-07,1.3161054560638325e-07,1.3660020064815838e-07,1.3702051247176341e-07,1.3780506198546306e-07,1.3158399669107346e-07,1.2868919440057224e-07,1.28709530601208e-07,1.2475933468391643e-07,1.2564803779592715e-07,1.247737585555258e-07,1.2435376154716257e-07,1.2958393125573226e-07,1.248863986870807e-07,1.2792096090030178e-07,1.290016897053471e-07,1.306945208044888e-07,1.2808880870227183e-07,1.3493346894552336e-07,1.3867390540673473e-07,1.3353505559979573e-07,1.3612548860728467e-07,1.396926833286446e-07,1.3961548556797554e-07,1.343077735601571e-07,1.3385943102364263e-07,1.3223343948852246e-07,1.3488675610823273e-07,1.330527759248811e-07,1.390025192876512e-07
1.4252558215316643e-07,1.4456429537271544e-07,1.408685573912388e-07,1.3787245593869614e-07,1.442141194770323e-07,1.3828897854014148e-07,1.4288546683618777e-07,1.3794906430191786e-07,1.4436522141451039e-07,1.3988743598475956e-07,1.4010095773236922e-07,1.4621391900046924e-07,1.3619819576206785e-07,1.322946312337401e-07,1.3493038630318181e-07,1.313021871398297e-07,1.321360764752001e-07,1.3489006674741596e-07,1.358796590371214e-07,1.3260887631771588e-07,1.366983874098403e-07,1.3144716509627788e-07,1.3176384984741432e-07,1.356353996117882e-07,1.4318093618614438e-07,1.4083244524838145e-07,1.4080707150427198e-07,1.4099499969078438e-07,1.4126502313372513e-07,1.43833071516263e-07,1.440678505394863e-07,1.3836753326823669e-07,1.4241317737160063e-07,1.4089037807656803e-07,1.3968811712016174e-07,1.4566739266436425e-07
