Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
105.0,1.9457685312435578e-10,1.0614018800786377e-12,8.275885471005137e-05,6.531457242809142e-12,4.5035721875704833e-07,8.517955713040044e-10
255.0,7.997724728871148e-11,9.52621514133712e-13,0.00015532554705186856,8.858460749330048e-11,1.0220513192895163e-07,4.136495956999311e-10
405.0,6.345591369094784e-11,5.361965343747675e-13,0.0002067192292686041,1.2201836443329716e-10,4.9238009472402266e-08,2.0715740797530767e-10
555.0,4.998233222599013e-11,4.679951478940898e-13,0.0002456021843294046,2.901493220802933e-10,2.7711986944552495e-08,8.297936762690385e-11
705.0,4.022348318242919e-11,3.517264595194658e-13,0.0002627323701805287,3.6911280015701283e-10,1.848520179571038e-08,6.792993101478984e-11
855.0,3.140686371294911e-11,2.335281555636283e-13,0.00024885363510906733,3.1356958473082994e-10,1.333369512808606e-08,3.955128633959006e-11
1005.0,2.5037700639999594e-11,2.0839408228547048e-13,0.00017551043940411415,4.355379554425383e-10,1.0064179311190601e-08,3.3020839219012804e-11
1155.0,2.0189235211228868e-11,2.229403588483918e-13,0.00017497642723425752,8.121082324145785e-10,7.85484600230545e-09,2.086961963850001e-11
1305.0,1.6714817469293484e-11,1.0901254986321643e-13,0.00017412944970763195,3.018073052731053e-10,6.341061499102498e-09,1.7353583590888943e-11
1455.0,1.3360603781477853e-11,1.0505026967015189e-13,0.00016097889485368203,4.1538958491897183e-10,5.191826671396082e-09,1.2209285922962962e-11
1605.0,1.1558826146211402e-11,9.304033386736386e-14,0.00013466593254878088,4.587518299019839e-10,4.370631364892544e-09,7.539612643936146e-12
1755.0,9.965806279160136e-12,8.01139800302334e-14,8.401037674416758e-05,4.623500768811449e-10,3.748364869364811e-09,5.065087010268512e-12
1905.0,8.896727998115005e-12,7.747272727731792e-14,3.474071681233073e-05,5.815277847360454e-10,3.2308189633409446e-09,4.552260714253153e-12
2055.0,7.827536088032574e-12,6.903229626880965e-14,7.6126710042777855e-06,6.040260436194544e-10,2.821861753670429e-09,1.0372808953133757e-12
2205.0,8.218508962386707e-12,6.994611574505098e-14,4.1695246229905036e-05,8.129202271174536e-10,2.4656127889949925e-09,-1.056303209320485e-12
2355.0,9.886347028065462e-12,8.021767982401688e-14,6.35372324588693e-05,1.328257558835037e-09,2.2121153180254064e-09,-3.0399098914264435e-12
2505.0,1.2677750725064213e-11,9.23672985430039e-14,0.0002019102758658071,2.1904386314057186e-09,1.9859713839055546e-09,-6.162398484082066e-12
2655.0,1.565276256396418e-11,1.1365623923499855e-13,0.0006190572782563006,4.059178513506994e-09,1.7944482283998244e-09,-9.557070658060136e-12
2805.0,2.3277490950017468e-11,1.9053917652141518e-13,0.0013816094861927627,1.386003475963483e-08,1.6246771918971248e-09,-1.2870364425619857e-11
2955.0,2.1698765072738e-11,2.1139472590928894e-13,0.0014914662721290238,2.0457022978450102e-08,1.4817808755774113e-09,-1.0223104027639978e-11
