Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
130.0,4.366429708231034e-12,2.288530709525702e-13,4.272330668682038e-06,4.93327171978069e-13,3.259402858460868e-07,1.0885240549384146e-10
330.0,4.159558079593687e-12,2.135704966672168e-13,1.974415977318555e-05,9.746923249481055e-12,6.842487635426297e-08,5.0945708123481134e-11
530.0,3.63289943402574e-12,1.4957683973888057e-13,3.0836457369827945e-05,2.406339279771511e-11,3.050015579262339e-08,2.1756796270460307e-11
730.0,3.1527834726058172e-12,1.0572397757490295e-13,3.853305633358426e-05,3.6790500001226425e-11,1.743673187059856e-08,1.561763339049583e-11
930.0,2.6583988378194935e-12,7.08179099728501e-14,3.904373348408376e-05,3.7839282664040544e-11,1.1519097295092455e-08,1.0185143472406935e-11
1130.0,2.295298125537249e-12,5.1148771473381894e-14,3.9848220911683066e-05,3.900525885513241e-11,8.195135722480369e-09,6.443047542953198e-12
1330.0,2.025376802693746e-12,4.2866701666079273e-14,3.54082995087508e-05,4.912883375119479e-11,6.120647071337707e-09,3.553727958488249e-12
1530.0,1.9202786943083613e-12,3.1120605217055705e-14,3.1930600655275546e-05,4.277389347470749e-11,4.763623553474237e-09,8.897339016830704e-13
1730.0,2.0881047971437404e-12,2.7243350909026767e-14,2.8684579802291307e-05,5.0580215302737257e-11,3.837428221315774e-09,-1.849939884545075e-12
1930.0,2.759921945882305e-12,3.019207031758735e-14,6.771660917231929e-05,9.165602358838278e-11,3.1616907487624322e-09,-4.491297828198282e-12
2130.0,4.02036400178849e-12,3.8846834398274675e-14,0.00017665062940876047,2.186813432680457e-10,2.6345826203920248e-09,-5.671920070043439e-12
2330.0,5.8314464475960166e-12,6.036509835093406e-14,0.00032450488262932546,7.253482004776574e-10,2.2465289028439034e-09,-7.1182073510445945e-12
2530.0,8.487707089284025e-12,8.959714911106609e-14,0.0005929930881102035,2.111347532985511e-09,1.953733598716132e-09,-9.034880505821577e-12
2730.0,1.2316025742009436e-11,1.214430431984881e-13,0.0009955562632867584,5.093762042592081e-09,1.7053852509232105e-09,-9.936462314540144e-12
2930.0,1.799590205119529e-11,1.7910850765393167e-13,0.0016457054354353056,1.4233863261232471e-08,1.5040041587695208e-09,-1.1601384363708829e-11
3130.0,2.6279644122834615e-11,2.362099297771625e-13,0.0025974678675890032,3.161828281254476e-08,1.3317529478214418e-09,-1.3899086325145904e-11
3330.0,3.7952708583173655e-11,3.4631209791792603e-13,0.003849024622790615,8.447761227594572e-08,1.194516348338613e-09,-1.5089580384593008e-11
3530.0,5.393760240423432e-11,4.194439321253985e-13,0.005777856847272651,1.5212397051820678e-07,1.078628679411433e-09,-1.60149502611197e-11
3730.0,7.424174178551198e-11,6.212972271802733e-13,0.008430015560666033,4.0899686125119664e-07,9.740215032374027e-10,-1.7886608460177247e-11
3930.0,8.207144746309503e-11,6.785073722492959e-13,0.010617163360237979,5.931090159553553e-07,8.834146613592178e-10,-1.651643082211682e-11
