Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
105.0,2.4076624095762332e-12,3.3095020823942187e-14,3.9470099935175945e-06,5.808042205088135e-14,1.3878960619916989e-07,-1.2135201647323858e-10
255.0,2.1079425532788158e-12,3.7005533338498953e-14,8.95747820242556e-06,2.934385574616774e-13,6.856161393077063e-08,-7.120001756436116e-11
405.0,2.1292729871834976e-12,3.411504348699752e-14,1.4163653599893125e-05,7.523069329362594e-13,3.946671194121806e-08,-4.3009984855704494e-11
555.0,2.020974931680755e-12,3.443814357179657e-14,2.036886974347757e-05,1.8799662651394675e-12,2.5166598881787275e-08,-3.191988268064383e-11
705.0,1.841918579352199e-12,2.9268362743125517e-14,2.3652997245893936e-05,2.7270684569416738e-12,1.7765680761445657e-08,-2.248360117677133e-11
855.0,1.6344523337871153e-12,2.4781182511811985e-14,2.531337116479113e-05,3.6014308454018294e-12,1.308486878374511e-08,-1.6975231965447922e-11
1005.0,1.4911956992604681e-12,2.2043618737128955e-14,2.577052275004645e-05,4.6942291479288744e-12,1.0194152847517303e-08,-1.3214351697999679e-11
1155.0,1.332159293236526e-12,1.6975096396349597e-14,2.1726099443855628e-05,4.384541241462799e-12,8.12405467886605e-09,-1.010649729657642e-11
1305.0,1.2266546238545518e-12,1.341270545497647e-14,1.4839764053818433e-05,4.098794168792513e-12,6.648621420582496e-09,-6.079655957355575e-12
1455.0,1.169725838078101e-12,1.1770908780051704e-14,8.827622758041545e-06,4.461958305827238e-12,5.594956015758932e-09,-3.4340474873736046e-12
1605.0,1.2666687517859946e-12,1.3586470449833355e-14,1.1167431741366472e-05,8.159617233793215e-12,4.771966979369621e-09,-5.010965281644788e-13
1755.0,1.4954119383683455e-12,1.7574622302135417e-14,3.019560629685264e-05,1.8326716683423928e-11,4.115963346473803e-09,2.6619821708339816e-12
1905.0,1.9607464837086424e-12,2.949291655897961e-14,7.9582561891134e-05,6.634804491383798e-11,3.6258038886014334e-09,5.1786873083974084e-12
2055.0,2.655114335164573e-12,4.4240383383684454e-14,0.0001737089064134411,1.9245168632258038e-10,3.1919906851695273e-09,7.54222586628995e-12
2205.0,3.588037719958145e-12,6.849071995539906e-14,0.0003042436982666651,5.771526458199104e-10,2.8526241701474894e-09,9.64962555741684e-12
2355.0,4.7749325169012644e-12,9.350067100311675e-14,0.0004890951105671921,1.3237764778999847e-09,2.5711358109036626e-09,1.1509944145319897e-11
2505.0,6.229454198654921e-12,1.198615126282958e-13,0.000718739912028946,2.644420758427289e-09,2.3320884846985333e-09,1.3108115957611579e-11
2655.0,8.005746884251026e-12,1.5086100669803922e-13,0.0009866753195616608,5.038900520521124e-09,2.1263425595960556e-09,1.4050658547616943e-11
2805.0,1.0456829515537664e-11,1.9036444182443304e-13,0.0013591261744652534,9.543112471841114e-09,1.949633359921446e-09,1.512246683379895e-11
2955.0,1.0489918599526403e-11,1.8419726852349749e-13,0.001425780348570225,1.0520550532844734e-08,1.7970030813015424e-09,1.313853812607918e-11
