Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
130.0,8.570092554480759e-12,1.165381598015716e-13,2.526801600061948e-05,9.822055269636573e-13,1.1817938369006733e-07,8.105885671266687e-12
330.0,6.604833822529592e-12,7.579314519810155e-14,2.45529297146308e-05,2.243529295172205e-12,5.096958450921483e-08,1.3833422322091316e-12
530.0,5.955086395893998e-12,6.325794044170594e-14,2.9037932427031416e-05,5.5951599023047915e-12,2.6902644985989326e-08,6.543540993272562e-13
730.0,5.568616367931075e-12,5.855072467762837e-14,4.096298940672097e-05,1.2236339353028998e-11,1.6814895031045887e-08,-9.547820503614933e-13
930.0,5.128059594663547e-12,5.711310118347627e-14,5.2204517230807335e-05,2.4779789340819304e-11,1.1515358968700458e-08,-1.2599649166612086e-13
1130.0,4.807632958264309e-12,5.500045656151777e-14,6.402185999685285e-05,4.2950224227930456e-11,8.41631884879907e-09,2.3537496914940003e-13
1330.0,4.726988905641449e-12,5.4977513682007786e-14,7.766370887014766e-05,7.286775864961619e-11,6.455485769903924e-09,-2.999195835779204e-13
1530.0,4.966931777969917e-12,6.22281679910118e-14,9.2414986725941e-05,1.4617149625390286e-10,5.1583788751341656e-09,3.192096110000088e-13
1730.0,5.879208691903202e-12,7.750130659424397e-14,0.00014081992143437634,3.388660921058593e-10,4.218020663262584e-09,-7.403768867774026e-14
1930.0,7.484829837087812e-12,8.763583713083233e-14,0.00021118151680524062,6.144436447407061e-10,3.543819113869654e-09,-1.5468080099959232e-13
2130.0,9.921174388716823e-12,1.0775534255904646e-13,0.00035258538506211694,1.2805377305278891e-09,3.018029605096946e-09,-2.0326230093075176e-13
2330.0,1.3255634187447017e-11,1.472750242847095e-13,0.0005508193204143868,3.188782853498047e-09,2.6133011368206045e-09,6.25743457068402e-13
2530.0,1.769828177614613e-11,1.8371786728952994e-13,0.000833197875350954,6.411640232157359e-09,2.299539254018786e-09,-2.9741199623828634e-13
2730.0,2.4119101374106482e-11,2.5662949771258096e-13,0.0013016228092514641,1.5981362761386765e-08,2.033512516660308e-09,-2.351513643257914e-13
2930.0,3.3301422499930725e-11,3.469772204190192e-13,0.001956975537327563,3.6524744466794685e-08,1.818871877212376e-09,2.1620733373597101e-13
3130.0,4.64694596742387e-11,4.648195443210085e-13,0.0029896661325185606,8.081851339238732e-08,1.6386333511971152e-09,-5.291532640709851e-13
3330.0,6.456033853151872e-11,6.278125355346861e-13,0.004456861083281026,1.7761627779256578e-07,1.4928998041857035e-09,2.491558551700183e-13
3530.0,8.787966682703984e-11,8.24588868814446e-13,0.0065806211843440045,3.6922036668730956e-07,1.3603669581984366e-09,-2.982530867109133e-13
3730.0,1.153173161243139e-10,1.0421909812309863e-12,0.008789145337153992,7.030624338645407e-07,1.2461406608441798e-09,2.457285973507533e-14
3930.0,1.2175880927292393e-10,1.065118829967296e-12,0.010021693058752746,8.590058739878031e-07,1.1521604823560603e-09,-2.91504148966053e-13
