Ls,noise_cl,norm
140.0,2.9529231429569097e-08,7.204588144930533e-12
340.0,3.160894898668189e-08,1.1229894499635971e-12
540.0,3.205464194251109e-08,4.448417362298185e-13
740.0,3.219044355693041e-08,2.3675005953566157e-13
940.0,3.176365069247175e-08,1.4439736624177847e-13
1140.0,3.0842428898237535e-08,9.526011978661028e-14
1340.0,2.9742066413327806e-08,6.644489760247731e-14
1540.0,2.8432148124647966e-08,4.807617887376874e-14
1740.0,2.704450099891247e-08,3.580314933570815e-14
1940.0,2.581894309425427e-08,2.748236897329286e-14
2140.0,2.4854651814795837e-08,2.1736234823484415e-14
2340.0,2.4198886646519742e-08,1.7693580381410597e-14
2540.0,2.4040095874589734e-08,1.4908381600551664e-14
2740.0,2.4914752056900658e-08,1.3275158330342297e-14
2940.0,2.667049430853465e-08,1.2335156982183474e-14
3140.0,2.9905413745565763e-08,1.2112341536042679e-14
3340.0,3.7803190001815515e-08,1.352722127229342e-14
3540.0,4.751925867235321e-08,1.514382250823066e-14
3740.0,5.52391954911259e-08,1.5776471662646768e-14
