Ls,noise_cl,norm
140.0,4.92970436694883e-07,1.0797918753042322e-10
340.0,6.94412068096504e-07,2.4393676919080474e-11
540.0,7.655983372575427e-07,1.0544965222757009e-11
740.0,8.531756403746258e-07,6.24743114582971e-12
940.0,9.693320293139138e-07,4.3808994894111e-12
1140.0,1.1259100611352344e-06,3.45648683494667e-12
1340.0,1.341520849664615e-06,2.981437030617276e-12
1540.0,1.620685277146768e-06,2.7255301092754376e-12
1740.0,1.946671845171822e-06,2.5662205347731574e-12
1940.0,2.2953051957732477e-06,2.4351260950067542e-12
2140.0,2.657285629471964e-06,2.317191720462569e-12
2340.0,3.090666947064547e-06,2.254110605150195e-12
2540.0,3.6753289856329786e-06,2.274254050910746e-12
2740.0,4.538678367000672e-06,2.412634466588973e-12
2940.0,5.867055183461728e-06,2.7075842022462813e-12
3140.0,7.941350205133157e-06,3.211699868244458e-12
3340.0,1.1275035240949822e-05,4.02899763729039e-12
3540.0,1.677617778809911e-05,5.335126798772491e-12
3740.0,2.608738230091011e-05,7.432042661419188e-12
