L,auto_wksz_g,auto_wksz_g_err,auto_wksz,auto_wksz_err,auto_bias,auto_bias_err
60.0,7.638289599812177e-07,7.574372763097669e-08,7.637186896482448e-07,7.287258437792768e-08,0.00034180195651583337,0.01623141518671996
100.0,5.842407999988527e-07,6.326510280098681e-08,5.847452533284789e-07,6.570559406239782e-08,0.0004217165892651975,0.011995476147578142
140.0,4.1334501029291806e-07,3.613658695060852e-08,4.14480472838978e-07,3.659811740555367e-08,0.002793241422069244,0.015174590206689015
180.0,3.5495918820619764e-07,3.187314047690642e-08,3.547575342335643e-07,3.03516623772632e-08,-9.440194018319587e-05,0.014919299304150676
220.0,3.4362519136495684e-07,2.677268245419876e-08,3.4412315801932713e-07,2.6544827463761882e-08,0.0015855599091686885,0.013832417154361395
260.0,3.3176269594966145e-07,2.5156077911454056e-08,3.2976806498349677e-07,2.466965163216816e-08,-0.005884573306094696,0.01143201911710188
300.0,3.39749802998304e-07,2.2002991382365382e-08,3.3992666282684504e-07,2.147294058320932e-08,0.0007137142960909798,0.013528110148021685
340.0,3.4554652294110814e-07,2.297387765490631e-08,3.4541558467615416e-07,2.3535193971629896e-08,-0.00041927244024958467,0.01082856733920649
380.0,3.476406994039654e-07,2.318031965725763e-08,3.468340229378537e-07,2.17908537447297e-08,-0.002003557278200774,0.012811803926331904
420.0,3.4156625934014486e-07,1.9535313885362134e-08,3.41416858405712e-07,1.9937601035445918e-08,-0.00045839166468046084,0.00971791452276647
460.0,3.4044626034734555e-07,1.5582322202639143e-08,3.401845489511242e-07,1.4444157430014185e-08,-0.0005792429246208126,0.009376356821487368
500.0,3.4567984945824333e-07,1.671415925094348e-08,3.455164052763138e-07,1.6130467706921776e-08,-0.00036707582648227624,0.007825029549540723
540.0,3.5172027417385803e-07,1.7888804569991545e-08,3.5121855897101787e-07,1.782524171342713e-08,-0.001370922078962491,0.010821106963045724
580.0,3.6123711163645217e-07,1.4718632650128685e-08,3.603464475035107e-07,1.546644439480133e-08,-0.002504847363542386,0.00968805635267801
620.0,3.7381564595636396e-07,2.295713861400328e-08,3.731543579570458e-07,2.393541958416907e-08,-0.0018834437670206844,0.010528484536775365
660.0,3.8198649156264113e-07,1.935086872662212e-08,3.82571285727981e-07,1.9123781965438187e-08,0.0015819779779188243,0.007788095100586755
700.0,3.8425004992774654e-07,1.6028072238471068e-08,3.839594494813312e-07,1.6287444317203696e-08,-0.0007616534560289768,0.0069521451612162
740.0,3.940595839857255e-07,1.4140318022112756e-08,3.9379402195812567e-07,1.4901820791303843e-08,-0.0007144509468366842,0.00782668281641241
780.0,3.9944494770946165e-07,2.087919773988177e-08,3.9937784250376265e-07,2.0137730187714745e-08,-5.431061034352996e-05,0.006846482522115158
820.0,4.034004342475194e-07,1.676359373383118e-08,4.029263142363162e-07,1.6060058438787463e-08,-0.0010817840128682814,0.007184786389514586
860.0,4.127341751016349e-07,1.5293161638702416e-08,4.13124467428983e-07,1.6256558414769614e-08,0.0008808386685349442,0.005897579509968702
900.0,4.2886633952439223e-07,1.715848959498932e-08,4.2992589648404934e-07,1.5913873579698803e-08,0.0026217188968689336,0.009267680843989335
940.0,4.476901204893127e-07,1.815803171081458e-08,4.4843096933934233e-07,1.7155451105458754e-08,0.0017706772283158688,0.007741517506944723
980.0,4.6151023916656726e-07,1.8391008265483573e-08,4.6227842828839767e-07,1.9172515130137546e-08,0.0016275136165010025,0.007077392139183332
1020.0,4.70588252119065e-07,2.05022434188475e-08,4.691343864411278e-07,2.0714194730137085e-08,-0.0030942084995738525,0.006404175971208049
1060.0,4.756329848763373e-07,1.712698950224179e-08,4.7546251253066387e-07,1.7539444770706218e-08,-0.00034820427949357034,0.008896760409113838
1100.0,4.919503198305136e-07,1.4589217817610577e-08,4.926436343242599e-07,1.3944283797209544e-08,0.001460764093873834,0.005625605701100486
1140.0,5.068557975910871e-07,1.454234030243727e-08,5.06831983965468e-07,1.5746402398897517e-08,-9.686718833957016e-05,0.006016921722340416
1180.0,5.281486013588391e-07,2.079017882028033e-08,5.287359740584269e-07,1.952475776643548e-08,0.001219176736374521,0.0062958172923712865
1220.0,5.514542440848209e-07,1.6453566981364525e-08,5.513744364412826e-07,1.7319275157860365e-08,-0.00018096585429217072,0.004560104651498903
1260.0,5.601450428036331e-07,1.4546997838386936e-08,5.601023494764521e-07,1.43335760119947e-08,-4.319629331958003e-05,0.007100128078780281
1300.0,5.881490862884247e-07,1.766822334704855e-08,5.877628067447175e-07,1.728054696143277e-08,-0.0006238848561054226,0.0051728236252829496
1340.0,6.122622825231059e-07,2.23738433444004e-08,6.124078133063275e-07,2.1525259111945968e-08,0.0003015456118523533,0.005410073954146043
1380.0,6.331271541002392e-07,2.1423999200425988e-08,6.32224408914793e-07,2.0862579191260914e-08,-0.0013876588365298234,0.00491863258317854
1420.0,6.540688681554245e-07,2.2037039072975303e-08,6.538476861232242e-07,2.2260438786503493e-08,-0.00033761948063756295,0.004990263028598549
1460.0,6.816065871812355e-07,2.7080622034098878e-08,6.815109563514287e-07,2.645957725611993e-08,-0.0001013771746853866,0.0040910164844660925
1500.0,7.256928560711409e-07,2.3074117042824338e-08,7.263972269207273e-07,2.2978871725372403e-08,0.0009888269778137134,0.005243904356911476
1540.0,7.692439956236991e-07,2.3142555573043496e-08,7.687259431933669e-07,2.3565692170009685e-08,-0.0006818198796589072,0.004178592175984235
1580.0,8.03356917623562e-07,2.5284040511127476e-08,8.040951516835992e-07,2.5797524955944997e-08,0.0009120875024754359,0.005472942623450086
1620.0,8.588418252738006e-07,2.7473899113485345e-08,8.592306370959958e-07,2.6566808768289205e-08,0.0004932016487424288,0.0043441079978179566
1660.0,8.93810624360373e-07,2.5734011838603415e-08,8.946207168023512e-07,2.5250851823696377e-08,0.0009342590232691207,0.005164978548886709
1700.0,9.508292821213674e-07,2.6536477618036157e-08,9.510029921990159e-07,2.532363386718377e-08,0.00022428639694341802,0.004061017338334987
