L,kszkap_x_cmbkap,kszkap_x_cmbkap_err,kszgkap_x_cmbkap,termB_bias,termB_bias_err
60.0,1.6351312315942727e-06,1.9670145140072364e-07,1.96093931975488e-07,0.0005921030381868227,0.008851688103999064
100.0,1.163313482151091e-06,1.0014576865183441e-07,1.0093749995184095e-07,-0.0017346329333186937,0.009602475078224537
140.0,7.386341520361914e-07,8.912624015583746e-08,9.169553273874283e-08,-0.0011762364660366188,0.014218316096827352
180.0,5.919777008254365e-07,6.52383552538792e-08,6.447799311657164e-08,0.0033334788295878593,0.01094643555317448
220.0,5.547600262466582e-07,7.109505220410596e-08,7.069283625369266e-08,0.003359020371325721,0.010236044212425154
260.0,5.744269114657768e-07,6.286235249777862e-08,6.206969195594214e-08,0.0013870902344327544,0.01167060242829521
300.0,6.204090911557885e-07,4.35243804320187e-08,4.2972916878196775e-08,0.0012353647283645077,0.012494720314809821
340.0,6.343493421336332e-07,5.746383863318057e-08,5.737933382510924e-08,0.001412439327108206,0.012688536636533826
380.0,6.061181599692062e-07,5.8321652998280017e-08,5.963680999392871e-08,0.003973514124285538,0.010285076779495517
420.0,5.982374551897661e-07,6.292389230108062e-08,6.15068931574117e-08,0.0021495369768879846,0.011612667736872861
460.0,5.927112485110263e-07,3.8445053687216887e-08,3.906959689731142e-08,-0.002611226717242446,0.013579874620687472
500.0,5.861856321107168e-07,3.8366963101954874e-08,3.788844714010371e-08,0.0020784044265855775,0.01265600671838032
540.0,5.772825467582678e-07,4.491246965285962e-08,4.5229555882869054e-08,0.000949163829356127,0.0078757670098479
580.0,5.818336102912031e-07,4.8052877200367805e-08,4.854331413774361e-08,-0.0013047556044798304,0.009369236299672628
620.0,5.84213532129377e-07,4.3782284719494216e-08,4.421043776494226e-08,-0.0011761172273843316,0.009619086291718482
660.0,5.696405792432696e-07,4.4151929522325214e-08,4.462686584344481e-08,0.0035549696454984826,0.01142211409621974
700.0,5.616547493652813e-07,2.936448172289953e-08,2.9470136424959423e-08,-4.078918333906953e-06,0.013969950000305861
740.0,5.339690748730936e-07,2.7055641297964365e-08,2.7938853115589907e-08,0.00012175432842816078,0.00978261227896417
780.0,5.133798377972492e-07,3.1577390851133166e-08,3.287880474880039e-08,6.415871589719213e-05,0.0108304181301798
820.0,4.953739796692672e-07,2.879474875448603e-08,2.9277743695475122e-08,0.0035574180834540246,0.009600509594701927
860.0,4.868220309775387e-07,3.34933443631685e-08,3.3897224383366445e-08,0.0040023430539794375,0.009404840125556233
900.0,4.7589580770084486e-07,3.00610783345864e-08,2.9773237191803713e-08,0.001962552882569329,0.008152660047736467
940.0,4.571664106637968e-07,2.7157901681455978e-08,2.637069678471841e-08,-0.000386082266458381,0.013727733660861994
980.0,4.6474458432289666e-07,3.1953595874485705e-08,3.244725858724464e-08,0.0013835066655146803,0.011641282372069255
1020.0,4.4849265365434243e-07,2.4425683194377522e-08,2.4389207333137963e-08,-0.0018546613644349922,0.010828842650718354
1060.0,4.3204225347745984e-07,3.12470726479381e-08,3.2021533682972374e-08,-0.0015213279260717586,0.010162116049425912
1100.0,4.1986048331181306e-07,2.9030550606630282e-08,2.8569660615906734e-08,0.006691671947991181,0.013645515150427653
1140.0,4.2265915864644085e-07,2.3212283894314747e-08,2.30751080433398e-08,-4.977323362568758e-06,0.010315324383502442
1180.0,4.0167649369928236e-07,3.0157488708550664e-08,3.047997893215745e-08,0.0015683000610008698,0.015628678051030912
1220.0,3.992071159869897e-07,2.3907454035325495e-08,2.4933675946395063e-08,0.0007797736671809528,0.01732903619879885
1260.0,3.994041824166405e-07,2.824194920003471e-08,2.751363070047986e-08,-0.0005670795802182029,0.015323044440382875
1300.0,3.8915345554729933e-07,2.4812429923406155e-08,2.5414071042982543e-08,-0.00012245342605000397,0.013538006064220369
1340.0,3.813117063611879e-07,2.91176547144308e-08,2.9164645359894803e-08,0.0013862652480268179,0.01639346616452877
1380.0,3.6651180607063477e-07,2.2472593982354955e-08,2.3392573849956226e-08,0.004622845413082106,0.014899222888276858
1420.0,3.764205141935174e-07,2.0337734949118626e-08,2.0914790817463568e-08,0.0022145232353954383,0.010414381243612904
1460.0,3.6747722403000667e-07,2.7382933860017327e-08,2.7155005656307768e-08,0.0052746099724933155,0.014652126474758845
1500.0,3.546015531020626e-07,2.9739458976850262e-08,2.9076108476570862e-08,-0.00028059778204974636,0.01676996989363813
1540.0,3.5483843116989564e-07,2.5428497690248357e-08,2.6780913353775558e-08,0.0030571775790917306,0.01963137760722806
1580.0,3.5066632966408185e-07,2.3838490429102512e-08,2.424292944146323e-08,-4.0082551502330586e-05,0.012599220478504904
1620.0,3.58606677630405e-07,3.075100309422915e-08,3.0167159141029056e-08,-0.000854727612505787,0.014335858981745789
1660.0,3.610264625545899e-07,1.9390264781751875e-08,1.9762742224369846e-08,-0.0029218854516974077,0.01383360975813205
1700.0,3.5082879890320013e-07,3.213374788213116e-08,3.282162673038816e-08,0.00039425907168252525,0.015919565773148084
1740.0,3.501865452160853e-07,2.427992824269751e-08,2.4810570596585685e-08,-0.002538780842877202,0.022628755021003973
1780.0,3.475709087148305e-07,1.9826513228035172e-08,2.0875555918568604e-08,-0.0005413836558793051,0.018451900241549815
1820.0,3.6298897759289156e-07,2.569541860670462e-08,2.6416314288234917e-08,0.004970122176524069,0.0169658645586639
1860.0,3.4993190580991976e-07,2.4743754430607477e-08,2.56189348907377e-08,-0.007274324105893974,0.01899253250004883
1900.0,3.64040696135873e-07,2.5676185609675053e-08,2.5828716676754236e-08,-0.0011233981907201526,0.019557921395336852
1940.0,3.6865375634118686e-07,2.9367734707787566e-08,2.8610621552520388e-08,2.9675094456646338e-05,0.0154253654069331
1980.0,3.7621583589971797e-07,2.2649484629561032e-08,2.2371917944026472e-08,-0.004057133727546514,0.018541328915340927
2020.0,3.8692472643122174e-07,1.74275166900068e-08,1.776876415842977e-08,0.00046555919027576963,0.012946867157497637
2060.0,3.89347239052852e-07,2.660675520689772e-08,2.6214093653554087e-08,0.0032191473469029446,0.01833822190358774
2100.0,4.0897447794191496e-07,2.6796251483596257e-08,2.7577839992252715e-08,0.00040967549559841964,0.017496258153012114
2140.0,4.217520389510995e-07,2.950433974495041e-08,2.920377095668185e-08,-0.0017890813679593335,0.019403978544581032
2180.0,4.381650647500958e-07,2.5671381391195157e-08,2.520993358382109e-08,0.0002431162668376084,0.012822940529569176
2220.0,4.7308667899567725e-07,3.151462029298052e-08,3.1314708068946105e-08,0.0048978711868588355,0.014238296564922957
2260.0,4.929955249792907e-07,3.251377162906541e-08,3.26147415409341e-08,0.0032510002525393393,0.01274694456856942
2300.0,5.245028595902225e-07,3.125930498476366e-08,3.088377243210189e-08,0.0008513225135099786,0.014693550139020132
2340.0,5.506990115301578e-07,3.4178661749134486e-08,3.364316716783191e-08,0.0010219885835813165,0.01681924239756664
2380.0,5.876469262921169e-07,4.7311588602931004e-08,4.60897462661187e-08,0.004360200574703045,0.012326724746594802
2420.0,6.439267099822022e-07,3.379000187641745e-08,3.290058097205738e-08,0.005869507734504564,0.01744956308049998
2460.0,6.806018655246148e-07,4.013844428025686e-08,4.078035514501715e-08,-0.0048404454161347235,0.015554529143362202
2500.0,7.465230718200565e-07,3.4274986348741526e-08,3.238182991448057e-08,-0.00180785851496022,0.016773331844147126
2540.0,8.164411584984215e-07,4.2554909791674064e-08,4.2811031203517624e-08,0.002247893924163769,0.011750710749031631
2580.0,9.049780307721831e-07,4.695762520361156e-08,4.637213098287745e-08,-0.0003464182485676534,0.013177179325263489
2620.0,9.75066848705798e-07,5.324698359061851e-08,5.2911623415229156e-08,0.0014284781375256846,0.009754714274994266
2660.0,1.0938662179946672e-06,6.176742837196792e-08,6.098224806714075e-08,-0.0019064635694621762,0.012688718299120313
2700.0,1.2091476936358963e-06,5.973004362622327e-08,5.945918173468763e-08,0.002008315339429074,0.01109765103216916
2740.0,1.34940324211211e-06,6.485690916142922e-08,6.581188889585148e-08,-0.002734109571654637,0.009685876138645286
2780.0,1.4892159416256111e-06,8.485371797398894e-08,8.160911463457026e-08,-0.0004603461667231987,0.012260823970217792
2820.0,1.6426331892861844e-06,6.925441970000341e-08,7.071710175280301e-08,0.00043805291661726074,0.011837129234786633
2860.0,1.8607572652516329e-06,9.485097901170051e-08,9.695529646416336e-08,0.0008874586335503365,0.010155284934805503
2900.0,2.0945410612947097e-06,9.414181484064366e-08,9.885922492673319e-08,-7.266642148799195e-05,0.009494707862034458
2940.0,2.374070895730967e-06,8.284699664060652e-08,8.604729891420455e-08,0.0005282942751642734,0.008621439729423686
2980.0,2.6734588191057674e-06,1.1829742679183205e-07,1.1642246758207914e-07,6.8426965858482e-05,0.007031038165296621
3020.0,3.012711061385239e-06,1.144496426086472e-07,1.1049138004936436e-07,-0.0004969474737247697,0.00788136392355709
3060.0,3.460843885901775e-06,1.216207064614582e-07,1.2217471145086047e-07,-0.0019452955772844283,0.007144205988210032
3100.0,3.938871575255555e-06,1.845971018331047e-07,1.8095583914066157e-07,0.0032477990335831775,0.007520729849018115
3140.0,4.472273859183841e-06,1.6026517364998095e-07,1.61151886668921e-07,-0.0001246675327858692,0.006847782550468619
3180.0,5.209600749812673e-06,1.4355996563401284e-07,1.4222433544056332e-07,0.002387525154130671,0.006026850810320489
3220.0,5.927690380078931e-06,1.5495882280835853e-07,1.531870869365866e-07,0.0018162787007089999,0.005616605132131872
3260.0,6.705075990306367e-06,2.444517629682238e-07,2.42579089157881e-07,-0.0003776586010422166,0.006772703940470106
3300.0,7.75515131889583e-06,2.9110574393811586e-07,2.876608096690222e-07,0.0028906897900901236,0.0055223560273733934
3340.0,8.767563263978055e-06,3.2330113784756646e-07,3.218687951129419e-07,0.0020178245136413457,0.00548483882804051
3380.0,1.0238293774429119e-05,3.8194289184944847e-07,3.9323479237598215e-07,0.0018486967823540777,0.005957284737453245
3420.0,1.1810374635515126e-05,3.9103285237598945e-07,3.8517896773803116e-07,-0.0007518804117335635,0.005401477713529108
3460.0,1.3539012832851611e-05,4.178831451251559e-07,4.124936439285543e-07,-0.0010613335220861482,0.00474336897626434
3500.0,1.575229452653793e-05,3.992103273490476e-07,4.0324141969809154e-07,0.00012537221914679663,0.004913398210911619
3540.0,1.8141760131500225e-05,5.297219945965909e-07,5.358346885559214e-07,-0.00018184227578223308,0.004467513633949873
3580.0,2.1106317153982964e-05,6.202328506308764e-07,6.489006033807467e-07,0.0001826486802080313,0.004754148607432244
3620.0,2.4092088709252972e-05,7.997686888260315e-07,7.718952774493084e-07,0.0001139988583596758,0.004469792370114699
3660.0,2.790240373816782e-05,5.274749915952309e-07,5.289597648522482e-07,7.132799356027993e-06,0.0035606404417335953
3700.0,3.213636406819303e-05,8.61380380103769e-07,8.598468105605493e-07,0.0010353504889300082,0.0035474235958019404
3740.0,3.712763617637178e-05,7.969856884706854e-07,8.002434166050708e-07,0.0012782456525396479,0.0026137063099584464
3780.0,4.2467824905329535e-05,1.1873964233593058e-06,1.1895437460178617e-06,-0.0006960395413598726,0.0036731228774502887
3820.0,4.831354128251725e-05,1.1234720803695525e-06,1.1160388748046535e-06,0.0004323749103717992,0.00379989645181776
3860.0,5.6378653973745486e-05,1.6804247812217287e-06,1.6777800952827955e-06,0.0008483740351029287,0.0033653537861104725
3900.0,6.515804001150011e-05,1.3399686567422972e-06,1.3624059949157106e-06,0.0005815047619315369,0.002435214887398393
3940.0,7.459267516324441e-05,1.5237532498818115e-06,1.5415757076377496e-06,0.00019902997565551033,0.0032384929651789597
3980.0,8.578200232799782e-05,2.3801482229085903e-06,2.369025805941534e-06,-0.0007142161638619875,0.0030529343423094176
